# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.347
metadata : {}


# id : NWRW1800000026.347.1.1
[제주·서울] '먼바다 양식' 참다랑어 집단 폐사;태풍 영향… 뒤늦게 밝혀져

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
시설,	시설/NNG+,/SP
지난해	지난해/NNG
10월	10/SN+월/NNB
추자도	추자도/NNP
인근	인근/NNG
해역에서	해역/NNG+에서/JKB
잡은	잡/VV+은/ETM
5㎏급	5/SN+㎏/SW+급/NNG
참다랑어와	참다랑어/NNG+와/JC
수입산	수입/NNG+산/XSN
25㎏급	25/SN+㎏/SW+급/NNG
참다랑어를	참다랑어/NNG+를/JKO
넣어	넣/VV+어/EC
시험양식을	시험/NNG+양식/NNG+을/JKO
해왔다.	하/VV+아/EC+오/VX+았/EP+다/EF+./SF


