# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.260
metadata : {}


# id : NWRW1800000029.260.1.1
프로야구 7000만원 아끼려다… 팬 잃는 롯데

프로야구	프로/NNG+야구/NNG
팬들의	팬/NNG+들/XSN+의/JKG
거센	거세/VA+ㄴ/ETM
비난에	비난/NNG+에/JKB
직면했다.	직면/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.260.5.1
21일 롯데 홈페이지 게시판 ‘갈매기마당’에는 팬들의 비난 글이 잇따랐다.

21일	21/SN+일/NNB
롯데	롯데/NNP
홈페이지	홈페이지/NNG
게시판	게시판/NNG
‘갈매기마당’에는	‘/SS+갈매기/NNG+마당/NNG+’/SS+에/JKB+는/JX
팬들의	팬/NNG+들/XSN+의/JKG
비난	비난/NNG
글이	글/NNG+이/JKS
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.260.5.2
구단을 지지하는 글은 찾아볼 수가 없다.

구단을	구단/NNG+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
글은	글/NNG+은/JX
찾아볼	찾/VV+아/EC+보/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.260.5.3
올 시즌 사직 개막전 ‘무 관중 릴레이’가 이어지는 가운데 앞으로는 ‘롯데 자이언츠’가 아니라 ‘부산 자이언츠’로 불러야 된다는 의견도 있었다.

올	올/NNG
시즌	시즌/NNG
사직	사직/NNP
개막전	개막전/NNG
‘무	‘/SS+무/XPN
관중	관중/NNG
릴레이’가	릴레이/NNG+’/SS+가/JKS
이어지는	이어지/VV+는/ETM
가운데	가운데/NNG
앞으로는	앞/NNG+으로/JKB+는/JX
‘롯데	‘/SS+롯데/NNP
자이언츠’가	자이언츠/NNP+’/SS+가/JKC
아니라	아니/VCN+라/EC
‘부산	‘/SS+부산/NNP
자이언츠’로	자이언츠/NNP+’/SS+로/JKB
불러야	부르/VV+어야/EC
된다는	되/VV+ㄴ다는/ETM
의견도	의견/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.260.5.4
최근 창원을 연고로 9구단 창단을 선언한 엔씨소프트를 반대하면서 가뜩이나 여론이 좋지 않은 가운데 이번 연봉 조정 신청으로 인해 많은 팬이 등을 돌리고 있다.

최근	최근/MAG
창원을	창원/NNP+을/JKO
연고로	연고/NNG+로/JKB
9구단	9/SN+구단/NNG
창단을	창단/NNG+을/JKO
선언한	선언/NNG+하/XSV+ㄴ/ETM
엔씨소프트를	엔씨소프트/NNP+를/JKO
반대하면서	반대/NNG+하/XSV+면서/EC
가뜩이나	가뜩이나/MAG
여론이	여론/NNG+이/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
가운데	가운데/NNG
이번	이번/NNG
연봉	연봉/NNG
조정	조정/NNG
신청으로	신청/NNG+으로/JKB
인해	인/NNG+하/XSV+아/EC
많은	많/VA+은/ETM
팬이	팬/NNG+이/JKS
등을	등/NNG+을/JKO
돌리고	돌리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.260.6.1
롯데의 손을 들어준 KBO 게시판도 마찬가지다.

롯데의	롯데/NNP+의/JKG
손을	손/NNG+을/JKO
들어준	들/VV+어/EC+주/VX+ㄴ/ETM
KBO	KBO/SL
게시판도	게시판/NNG+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.260.6.2
KBO가 중립적인 조정자가 아니라 일방적으로 구단 편만 들었다는 얘기가 주를 이뤘다.

KBO가	KBO/SL+가/JKS
중립적인	중립/NNG+적/XSN+이/VCP+ㄴ/ETM
조정자가	조정자/NNG+가/JKC
아니라	아니/VCN+라/EC
일방적으로	일방/NNG+적/XSN+으로/JKB
구단	구단/NNG
편만	편/NNG+만/JX
들었다는	듣/VV+었/EP+다는/ETM
얘기가	얘기/NNG+가/JKS
주를	주/NNG+를/JKO
이뤘다.	이루/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.260.6.3
한 누리꾼은 “미국은 구단, 선수, 선수노조가 모두 인정하는 변호사 3명이 조정을 하는데 한국은 KBO 총재가 임명한 인사로 위원회를 구성한다”며 “애초부터 다양한 의견을 수렴할 수 있는 제도가 아니다”라고 비판했다.

한	한/MMN
누리꾼은	누리/NNG+꾼/XSN+은/JX
“미국은	“/SS+미국/NNP+은/JX
구단,	구단/NNG+,/SP
선수,	선수/NNG+,/SP
선수노조가	선수/NNG+노조/NNG+가/JKS
모두	모두/MAG
인정하는	인정/NNG+하/XSV+는/ETM
변호사	변호사/NNG
3명이	3/SN+명/NNB+이/JKS
조정을	조정/NNG+을/JKO
하는데	하/VV+는데/EC
한국은	한국/NNP+은/JX
KBO	KBO/SL
총재가	총재/NNG+가/JKS
임명한	임명/NNG+하/XSV+ㄴ/ETM
인사로	인사/NNG+로/JKB
위원회를	위원회/NNG+를/JKO
구성한다”며	구성/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“애초부터	“/SS+애초/NNG+부터/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
의견을	의견/NNG+을/JKO
수렴할	수렴/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
제도가	제도/NNG+가/JKS
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.260.7.1
팬들의 불만은 시간이 흐르면 잦아들겠지만 후폭풍은 법정 공방으로 이어질 것으로 전망된다.

팬들의	팬/NNG+들/XSN+의/JKG
불만은	불만/NNG+은/JX
시간이	시간/NNG+이/JKS
흐르면	흐르/VV+면/EC
잦아들겠지만	잦아들/VV+겠/EP+지만/EC
후폭풍은	후폭풍/NNG+은/JX
법정	법정/NNG
공방으로	공방/NNG+으로/JKB
이어질	이어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.260.8.1
프로야구선수협회는 KBO에 전면전을 선포했다.

프로야구선수협회는	프로야구선수협회/NNP+는/JX
KBO에	KBO/SL+에/JKB
전면전을	전면전/NNG+을/JKO
선포했다.	선포/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.260.8.2
선수협 권시형 사무총장은 21일 “이번 결정은 수용할 수 없다.

선수협	선수협/NNG
권시형	권시형/NNP
사무총장은	사무총장/NNG+은/JX
21일	21/SN+일/NNB
“이번	“/SS+이번/NNG
결정은	결정/NNG+은/JX
수용할	수용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.260.8.3
헌법소원을 포함해 무효 확인 소송, 이대호의 손해배상 청구, 불합리한 규약에 대한 효력정지 가처분 신청 등 모든 법적 대응을 준비하고 있다”고 밝혔다.

헌법소원을	헌법/NNG+소원/NNG+을/JKO
포함해	포함/NNG+하/XSV+아/EC
무효	무효/NNG
확인	확인/NNG
소송,	소송/NNG+,/SP
이대호의	이대호/NNP+의/JKG
손해배상	손해/NNG+배상/NNG
청구,	청구/NNG+,/SP
불합리한	불/XPN+합리/NNG+하/XSA+ㄴ/ETM
규약에	규약/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
효력정지	효력/NNG+정지/NNG
가처분	가/XPN+처분/NNG
신청	신청/NNG
등	등/NNB
모든	모든/MMN
법적	법/NNG+적/XSN
대응을	대응/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.260.9.1
이어 그는 “조정위가 열리기 전날까지 위원 5명 가운데 2명은 선수의 동의를 얻은 인물로 구성해줄 것을 요청했지만 묵살 당했다.

이어	이어/MAG
그는	그/NP+는/JX
“조정위가	“/SS+조정위/NNG+가/JKS
열리기	열리/VV+기/ETN
전날까지	전날/NNG+까지/JX
위원	위원/NNG
5명	5/SN+명/NNB
가운데	가운데/NNG
2명은	2/SN+명/NNB+은/JX
선수의	선수/NNG+의/JKG
동의를	동의/NNG+를/JKO
얻은	얻/VV+은/ETM
인물로	인물/NNG+로/JKB
구성해줄	구성/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요청했지만	요청/NNG+하/XSV+았/EP+지만/EC
묵살	묵살/NNG
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.260.9.2
법무법인과 관련 내용을 검토한 결과 선수에게 일방적으로 불리한 야구 규약 자체가 헌법소원 대상”이라며 “지금처럼 에이전트 제도를 거부한다면 선수들은 영원히 구단에 질 수밖에 없다.

법무법인과	법무/NNG+법인/NNG+과/JKB
관련	관련/NNG
내용을	내용/NNG+을/JKO
검토한	검토/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
선수에게	선수/NNG+에게/JKB
일방적으로	일방/NNG+적/XSN+으로/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
야구	야구/NNG
규약	규약/NNG
자체가	자체/NNG+가/JKS
헌법소원	헌법/NNG+소원/NNG
대상”이라며	대상/NNG+”/SS+이/VCP+라며/EC
“지금처럼	“/SS+지금/NNG+처럼/JKB
에이전트	에이전트/NNG
제도를	제도/NNG+를/JKO
거부한다면	거부/NNG+하/XSV+ㄴ다면/EC
선수들은	선수/NNG+들/XSN+은/JX
영원히	영원히/MAG
구단에	구단/NNG+에/JKB
질	지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.260.9.3
또 과거 자료도, 현재 다른 구단 선수와의 비교 자료도 받아들이지 않는다면 스콧 보라스가 에이전트라도 이길 수 없다.

또	또/MAG
과거	과거/NNG
자료도,	자료/NNG+도/JX+,/SP
현재	현재/MAG
다른	다른/MMD
구단	구단/NNG
선수와의	선수/NNG+와/JKB+의/JKG
비교	비교/NNG
자료도	자료/NNG+도/JX
받아들이지	받아들이/VV+지/EC
않는다면	않/VX+는다면/EC
스콧	스콧/NNP
보라스가	보라스/NNP+가/JKS
에이전트라도	에이전트/NNG+이/VCP+라도/EC
이길	이기/VV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.260.9.4
연봉조정 제도뿐 아니라 철저히 구단에 유리한 야구 규약을 바꾸기 위해 모든 수단을 동원할 것”이라고 말했다.

연봉조정	연봉/NNG+조정/NNG
제도뿐	제도/NNG+뿐/JX
아니라	아니/VCN+라/EC
철저히	철저히/MAG
구단에	구단/NNG+에/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
야구	야구/NNG
규약을	규약/NNG+을/JKO
바꾸기	바꾸/VV+기/ETN
위해	위하/VV+아/EC
모든	모든/MMN
수단을	수단/NNG+을/JKO
동원할	동원/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


