# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.16
metadata : {}


# id : NWRW1800000030.16.1.1
"판사 때 브로커한테 받은 돈 과세 정당"

"판사	"/SS+판사/NNG
2월	2/SN+월/NNB
퇴임	퇴임/NNG
직후	직후/NNG
자신이	자신/NNG+이/JKS
부탁했던	부탁/NNG+하/XSV+았/EP+던/ETM
수원지법	수원지법/NNP
사건의	사건/NNG+의/JKG
원고측	원고/NNG+측/NNB
변호를	변호/NNG+를/JKO
맡아	맡/VV+아/EC
1심에서	1심/NNG+에서/JKB
원고	원고/NNG
승소를	승소/NNG+를/JKO
이끌어	이끌/VV+어/EC
냈다.	내/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.16.5.3
그는 같이 수임한 다른 변호사보다 8배가 넘는 3억5000만원을 수임료로 받았지만, 선임계를 내지 않고 친척 명의 계좌에 수임료를 입금해 세금 1억4000여만원을 포탈하기도 했다.

그는	그/NP+는/JX
같이	같이/MAG
수임한	수임/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
변호사보다	변호사/NNG+보다/JKB
8배가	8/SN+배/NNG+가/JKS
넘는	넘/VV+는/ETM
3억5000만원을	3/SN+억/NR+5000/SN+만/NR+원/NNB+을/JKO
수임료로	수임료/NNG+로/JKB
받았지만,	받/VV+았/EP+지만/EC+,/SP
선임계를	선임계/NNG+를/JKO
내지	내/VV+지/EC
않고	않/VX+고/EC
친척	친척/NNG
명의	명의/NNG
계좌에	계좌/NNG+에/JKB
수임료를	수임료/NNG+를/JKO
입금해	입금/NNG+하/XSV+아/EC
세금	세금/NNG
1억4000여만원을	1/SN+억/NR+4000/SN+여/XSN+만/NR+원/NNB+을/JKO
포탈하기도	포탈/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.16.6.1
그는 2004년 당시 17대 국회의원 출마를 준비했다 공천을 받지 못했고 이후 '진실·화해를 위한 과거사 정리위원회' 비상임위원을 지내기도 했다.

그는	그/NP+는/JX
2004년	2004/SN+년/NNB
당시	당시/NNG
17대	17/SN+대/NNB
국회의원	국회/NNG+의원/NNG
출마를	출마/NNG+를/JKO
준비했다	준비/NNG+하/XSV+았/EP+다/EC
공천을	공천/NNG+을/JKO
받지	받/VV+지/EC
못했고	못하/VX+았/EP+고/EC
이후	이후/NNG
'진실·화해를	'/SS+진실/NNG+·/SP+화해/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
과거사	과거사/NNG
정리위원회'	정리/NNG+위원회/NNG+'/SS
비상임위원을	비/XPN+상임/NNG+위원/NNG+을/JKO
지내기도	지내/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


