# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.211
metadata : {}


# id : NWRW1800000040.211.1.1
국민행복연금위 구성, 첫발부터 불안

국민행복연금위	국민/NNG+행복/NNG+연금위/NNG
다시	다시/MAG
논의해야	논의/NNG+하/XSV+아야/EC
될	되/VV+ㄹ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.211.11.1
‘국민행복연금’이 모든 노인에게 지급하는 세금 기반의 기초연금과 가입자들이 낸 보험료를 기반으로 하는 국민연금을 포괄하는 통합적인 연금체계를 가리키는 것임에도, 이 위원회가 국민연금제도를 제외한 기초연금제도만 논의하도록 한 것은 맞지 않는다는 지적도 나온다.

‘국민행복연금’이	‘/SS+국민/NNG+행복/NNG+연금/NNG+’/SS+이/JKS
모든	모든/MMN
노인에게	노인/NNG+에게/JKB
지급하는	지급/NNG+하/XSV+는/ETM
세금	세금/NNG
기반의	기반/NNG+의/JKG
기초연금과	기초/NNG+연금/NNG+과/JC
가입자들이	가입자/NNG+들/XSN+이/JKS
낸	내/VV+ㄴ/ETM
보험료를	보험료/NNG+를/JKO
기반으로	기반/NNG+으로/JKB
하는	하/VV+는/ETM
국민연금을	국민연금/NNG+을/JKO
포괄하는	포괄/NNG+하/XSV+는/ETM
통합적인	통합/NNG+적/XSN+이/VCP+ㄴ/ETM
연금체계를	연금/NNG+체계/NNG+를/JKO
가리키는	가리키/VV+는/ETM
것임에도,	것/NNB+이/VCP+ㅁ/ETN+에/JKB+도/JX+,/SP
이	이/MMD
위원회가	위원회/NNG+가/JKS
국민연금제도를	국민연금/NNG+제도/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
기초연금제도만	기초/NNG+연금/NNG+제도/NNG+만/JX
논의하도록	논의/NNG+하/XSV+도록/EC
한	하/VX+ㄴ/ETM
것은	것/NNB+은/JX
맞지	맞/VV+지/EC
않는다는	않/VX+는다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.211.11.2
김연명 중앙대 교수(사회복지학) 교수는 “국민적 합의라는 의의는 인정하지만 위원회 구조가 실질적으로 연금에 대한 사회적 합의를 가져올 수 있을지 의문”이라고 말했다.

김연명	김연명/NNP
중앙대	중앙대/NNP
교수(사회복지학)	교수/NNG+(/SS+사회/NNG+복지학/NNG+)/SS
교수는	교수/NNG+는/JX
“국민적	“/SS+국민/NNG+적/XSN
합의라는	합의/NNG+이/VCP+라는/ETM
의의는	의의/NNG+는/JX
인정하지만	인정/NNG+하/XSV+지만/EC
위원회	위원회/NNG
구조가	구조/NNG+가/JKS
실질적으로	실질/NNG+적/XSN+으로/JKB
연금에	연금/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사회적	사회/NNG+적/XSN
합의를	합의/NNG+를/JKO
가져올	가져오/VV+ㄹ/ETM
수	수/NNB
있을지	있/VA+을지/EC
의문”이라고	의문/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.211.12.1
세대별 대표를 참여시켰다고 하지만, 대한노인회 강세훈 행정부총장과 원로 시인인 신달자 한국시인협회 회장이 노인 대표로 참석하고 20~30대 청년대표 두 사람이 세대대표로서 위촉됐을 뿐, 실제로 국민연금과 연계한 기초연금안에 대해 반대 목소리가 거센 40~50대 대표는 세대대표에 포함되지 않는 것도 문제다.

세대별	세대/NNG+별/XSN
대표를	대표/NNG+를/JKO
참여시켰다고	참여/NNG+시키/XSV+었/EP+다고/EC
하지만,	하/VV+지만/EC+,/SP
대한노인회	대한노인회/NNP
강세훈	강세훈/NNP
행정부총장과	행정부/NNG+총장/NNG+과/JC
원로	원로/NNG
시인인	시인/NNG+이/VCP+ㄴ/ETM
신달자	신달자/NNP
한국시인협회	한국시인협회/NNP
회장이	회장/NNG+이/JKS
노인	노인/NNG
대표로	대표/NNG+로/JKB
참석하고	참석/NNG+하/XSV+고/EC
20~30대	20/SN+~/SO+30/SN+대/NNB
청년대표	청년/NNG+대표/NNG
두	두/MMN
사람이	사람/NNG+이/JKS
세대대표로서	세대/NNG+대표/NNG+로서/JKB
위촉됐을	위촉/NNG+되/XSV+었/EP+을/ETM
뿐,	뿐/NNB+,/SP
실제로	실제로/MAG
국민연금과	국민연금/NNG+과/JKB
연계한	연계/NNG+하/XSV+ㄴ/ETM
기초연금안에	기초/NNG+연금/NNG+안/NNG+에/JKB
대해	대하/VV+아/EC
반대	반대/NNG
목소리가	목소리/NNG+가/JKS
거센	거세/VA+ㄴ/ETM
40~50대	40/SN+~/SO+50/SN+대/NNB
대표는	대표/NNG+는/JX
세대대표에	세대/NNG+대표/NNG+에/JKB
포함되지	포함/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
것도	것/NNB+도/JX
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.211.12.2
이에 대해 복지부 관계자는 “사용자와 근로자, 지역 대표 가운데 40~50대가 있다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“사용자와	“/SS+사용자/NNG+와/JC
근로자,	근로자/NNG+,/SP
지역	지역/NNG
대표	대표/NNG
가운데	가운데/NNG
40~50대가	40/SN+~/SO+50/SN+대/NNB+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


