# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.92
metadata : {}


# id : NWRW1800000052.92.1.1
일 자위대, 11월부터 공격 안받아도 무력사용

일	일/NNP
위험이	위험/NNG+이/JKS
커질	커지/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.92.7.1
고이즈미 정권 때 일본의 안보정책을 총괄하는 관방부 장관보를 역임한 야나기사와 교지도 <도쿄신문>과의 인터뷰에서 “자위대가 무기를 사용해 유엔 직원들을 구출할 경우 어떤 일이 일어날지 아무도 예측할 수 없다. 자위대는 지금껏 교전 상태를 경험한 적이 없다. 최악의 사태도 생각해야 한다”고 말했다.

고이즈미	고이즈미/NNP
정권	정권/NNG
때	때/NNG
일본의	일본/NNP+의/JKG
안보정책을	안보/NNG+정책/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
관방부	관방부/NNG
장관보를	장관보/NNG+를/JKO
역임한	역임/NNG+하/XSV+ㄴ/ETM
야나기사와	야나기사와/NNP
교지도	교지/NNP+도/JX
<도쿄신문>과의	</SS+도쿄신문/NNP+>/SS+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“자위대가	“/SS+자위대/NNG+가/JKS
무기를	무기/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
유엔	유엔/NNP
직원들을	직원/NNG+들/XSN+을/JKO
구출할	구출/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
어떤	어떤/MMD
일이	일/NNG+이/JKS
일어날지	일어나/VV+ㄹ지/EF
아무도	아무/NP+도/JX
예측할	예측/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF
자위대는	자위대/NNG+는/JX
지금껏	지금껏/MAG
교전	교전/NNG
상태를	상태/NNG+를/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
최악의	최악/NNG+의/JKG
사태도	사태/NNG+도/JX
생각해야	생각/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


