# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.309
metadata : {}


# id : NWRW1800000029.309.1.1
[횡설수설] 움직이는 땅

[횡설수설]	[/SS+횡설수설/NNG+]/SS
힘이	힘/NNG+이/JKS
대륙을	대륙/NNG+을/JKO
이동시켰는지를	이동/NNG+시키/XSV+었/EP+는지/EF+를/JKO
몰랐기에	모르/VV+았/EP+기에/EC
다른	다른/MMD
학자들의	학자/NNG+들/XSN+의/JKG
호된	호되/VA+ㄴ/ETM
비판을	비판/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.309.3.4
그는 1930년 그린란드에서 길을 잃어 동사(凍死)했다.

그는	그/NP+는/JX
1930년	1930/SN+년/NNB
그린란드에서	그린란드/NNP+에서/JKB
길을	길/NNG+을/JKO
잃어	잃/VV+어/EC
동사(凍死)했다.	동사/NNG+(/SS+凍死/SH+)/SS+하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.309.4.1
▷지금은 지구 내부의 움직이는 맨틀 위에 지각이 오렌지 껍질처럼 얹혀져 있음을 누구나 알고 있다.

▷지금은	▷/SW+지금/NNG+은/JX
지구	지구/NNG
내부의	내부/NNG+의/JKG
움직이는	움직이/VV+는/ETM
맨틀	맨틀/NNG
위에	위/NNG+에/JKB
지각이	지각/NNG+이/JKS
오렌지	오렌지/NNG
껍질처럼	껍질/NNG+처럼/JKB
얹혀져	얹히/VV+어/EC+지/VX+어/EC
있음을	있/VX+음/ETN+을/JKO
누구나	누구/NP+나/JX
알고	알/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.309.4.2
정교한 위성위치확인시스템(GPS) 덕분에 대륙들이 어느 방향으로 얼마나 움직이고 있는지 정확히 계산할 수도 있다.

정교한	정교하/VA+ㄴ/ETM
위성위치확인시스템(GPS)	위성/NNG+위치/NNG+확인/NNG+시스템/NNG+(/SS+GPS/SL+)/SS
덕분에	덕분/NNG+에/JKB
대륙들이	대륙/NNG+들/XSN+이/JKS
어느	어느/MMD
방향으로	방향/NNG+으로/JKB
얼마나	얼마나/MAG
움직이고	움직이/VV+고/EC
있는지	있/VX+는지/EF
정확히	정확히/MAG
계산할	계산/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.309.4.3
유럽과 북미대륙은 멀어지고 있고 북미는 아시아 쪽으로 다가오고 있다.

유럽과	유럽/NNP+과/JC
북미대륙은	북미/NNP+대륙/NNG+은/JX
멀어지고	멀/VA+어/EC+지/VX+고/EC
있고	있/VX+고/EC
북미는	북미/NNP+는/JX
아시아	아시아/NNP
쪽으로	쪽/NNB+으로/JKB
다가오고	다가오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.309.4.4
시간이 흐르면 태평양은 지중해처럼 작아지고 대서양은 거대해질 것으로 예측되고 있다.

시간이	시간/NNG+이/JKS
흐르면	흐르/VV+면/EC
태평양은	태평양/NNP+은/JX
지중해처럼	지중해/NNP+처럼/JKB
작아지고	작아지/VV+고/EC
대서양은	대서양/NNP+은/JX
거대해질	거대/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측되고	예측/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.309.4.5
‘거의 모든 것의 역사’를 쓴 미국 저술가 빌 브라이슨은 “충분히 오래 기다린다면 움직이는 대륙을 타고 여행할 수도 있다”고 익살스럽게 표현했다.

‘거의	‘/SS+거의/MAG
모든	모든/MMN
것의	것/NNB+의/JKG
역사’를	역사/NNG+’/SS+를/JKO
쓴	쓰/VV+ㄴ/ETM
미국	미국/NNP
저술가	저술가/NNG
빌	빌/NNP
브라이슨은	브라이슨/NNP+은/JX
“충분히	“/SS+충분히/MAG
오래	오래/MAG
기다린다면	기다리/VV+ㄴ다면/EC
움직이는	움직이/VV+는/ETM
대륙을	대륙/NNG+을/JKO
타고	타/VV+고/EC
여행할	여행/NNG+하/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
익살스럽게	익살/NNG+스럽/XSA+게/EC
표현했다.	표현/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.309.5.1
▷동(東)일본 대지진으로 일본 본토가 동쪽으로 2.5∼2.6m 움직였고 한반도 역시 동쪽으로 조금 이동했다고 한다.

▷동(東)일본	▷/SW+동/NNG+(/SS+東/SH+)/SS+일본/NNP
대지진으로	대/XPN+지진/NNG+으로/JKB
일본	일본/NNP
본토가	본토/NNG+가/JKS
동쪽으로	동쪽/NNG+으로/JKB
2.5∼2.6m	2/SN+./SP+5/SN+∼/SO+2/SN+./SP+6/SN+m/SW
움직였고	움직이/VV+었/EP+고/EC
한반도	한반도/NNP
역시	역시/MAG
조금	조금/MAG
이동했다고	이동/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.309.5.2
한국천문연구원은 서울이 2.1cm 이동한 것을 비롯해 울릉도와 독도 주변이 5.2cm가량 동쪽으로 옮겨졌다고 발표했다.

한국천문연구원은	한국천문연구원/NNP+은/JX
서울이	서울/NNP+이/JKS
2.1cm	2/SN+./SP+1/SN+cm/SW
이동한	이동/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
비롯해	비롯하/VV+아/EC
울릉도와	울릉도/NNP+와/JC
독도	독도/NNP
주변이	주변/NNG+이/JKS
5.2cm가량	5/SN+./SP+2/SN+cm/SW+가량/XSN
동쪽으로	동쪽/NNG+으로/JKB
옮겨졌다고	옮기/VV+어/EC+지/VX+었/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.309.5.3
한반도는 1년 평균 2∼3cm씩 이동하고 있다.

한반도는	한반도/NNP+는/JX
1년	1/SN+년/NNB
평균	평균/NNG
2∼3cm씩	2/SN+∼/SO+3/SN+cm/SW+씩/XSN
이동하고	이동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.309.5.4
이번 지진에 한반도마저 1, 2년에 걸쳐 움직일 거리를 단번에 이동했으니 얼마나 큰 지진이었는지 실감할 수 있다.

이번	이번/NNG
지진에	지진/NNG+에/JKB
한반도마저	한반도/NNP+마저/JX
1,	1/SN+,/SP
2년에	2/SN+년/NNB+에/JKB
걸쳐	걸치/VV+어/EC
움직일	움직이/VV+ㄹ/ETM
거리를	거리/NNG+를/JKO
단번에	단번에/MAG
이동했으니	이동/NNG+하/XSV+았/EP+으니/EC
얼마나	얼마나/MAG
큰	크/VA+ㄴ/ETM
지진이었는지	지진/NNG+이/VCP+었/EP+는지/EF
실감할	실감/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.309.5.5
이탈리아 지구물리학·화산연구소는 이번 지진으로 지구 자전축이 10cm가량 이동했다고 발표했다.

이탈리아	이탈리아/NNP
지구물리학·화산연구소는	지구/NNG+물리학/NNG+·/SP+화산/NNG+연구소/NNG+는/JX
이번	이번/NNG
지진으로	지진/NNG+으로/JKB
지구	지구/NNG
자전축이	자전축/NNG+이/JKS
10cm가량	10/SN+cm/SW+가량/XSN
이동했다고	이동/NNG+하/XSV+았/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.309.5.6
대륙을 이동시키고 자전축을 바꾸는 자연의 힘 앞에 인간의 나약함을 새삼 느낀다.

대륙을	대륙/NNG+을/JKO
이동시키고	이동/NNG+시키/XSV+고/EC
자전축을	자전축/NNG+을/JKO
바꾸는	바꾸/VV+는/ETM
자연의	자연/NNG+의/JKG
힘	힘/NNG
앞에	앞/NNG+에/JKB
인간의	인간/NNG+의/JKG
나약함을	나약/NNG+하/XSA+ㅁ/ETN+을/JKO
새삼	새삼/MAG
느낀다.	느끼/VV+ㄴ다/EF+./SF


