# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.224
metadata : {}


# id : NWRW1800000022.224.1.1
조국은 반드시 그대들을 찾는다;DMZ에 묻힌 6·25 전사자 내년부터 유해 발굴 작업

조국은	조국/NNG+은/JX
지도를	지도/NNG+를/JKO
펴낼	펴내/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.224.9.1
박신한 발굴단장은 "6·25 참전 세대들이 점차 나이가 들어가면서 점점 증언하기 어렵기 때문에 앞으로 5년 정도가 유해발굴사업의 성패를 좌우할 것"이라며 "이 기간에 노력을 집중하지 못한다면 수많은 호국의 얼이 땅속에 그냥 묻히고 말게 된다"고 지적했다.

박신한	박신한/NNP
발굴단장은	발굴단장/NNG+은/JX
"6·25	"/SS+6/SN+·/SP+25/SN
참전	참전/NNG
세대들이	세대/NNG+들/XSN+이/JKS
점차	점차/MAG
나이가	나이/NNG+가/JKS
들어가면서	들어가/VV+면서/EC
점점	점점/MAG
증언하기	증언/NNG+하/XSV+기/ETN
어렵기	어렵/VA+기/ETN
때문에	때문/NNB+에/JKB
앞으로	앞/NNG+으로/JKB
5년	5/SN+년/NNB
정도가	정도/NNG+가/JKS
유해발굴사업의	유해/NNG+발굴/NNG+사업/NNG+의/JKG
성패를	성패/NNG+를/JKO
좌우할	좌우/NNG+하/XSV+ㄹ/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"이	"/SS+이/MMD
기간에	기간/NNG+에/JKB
노력을	노력/NNG+을/JKO
집중하지	집중/NNG+하/XSV+지/EC
못한다면	못하/VX+ㄴ다면/EC
수많은	수많/VA+은/ETM
호국의	호국/NNG+의/JKG
얼이	얼/NNG+이/JKS
땅속에	땅속/NNG+에/JKB
그냥	그냥/MAG
묻히고	묻히/VV+고/EC
말게	말/VX+게/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.224.10.1
이상희 국방부 장관은 "한국군 13만명, 유엔군 5만8000여명 유해가 손길을 기다리고 있다"며 "그분들의 유해를 찾는 일은 이 시대 군복을 입고 있는 군인은 물론 국민 모두가 해야 할 범국가적 차원의 책무"라고 말했다.

이상희	이상희/NNP
국방부	국방부/NNG
장관은	장관/NNG+은/JX
"한국군	"/SS+한국군/NNG
13만명,	13/SN+만/NR+명/NNB+,/SP
유엔군	유엔군/NNG
5만8000여명	5/SN+만/NR+8000/SN+여/XSN+명/NNB
유해가	유해/NNG+가/JKS
손길을	손길/NNG+을/JKO
기다리고	기다리/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"그분들의	"/SS+그분/NP+들/XSN+의/JKG
유해를	유해/NNG+를/JKO
찾는	찾/VV+는/ETM
일은	일/NNG+은/JX
이	이/MMD
시대	시대/NNG
군복을	군복/NNG+을/JKO
입고	입/VV+고/EC
있는	있/VX+는/ETM
군인은	군인/NNG+은/JX
물론	물론/MAG
국민	국민/NNG
모두가	모두/NNG+가/JKS
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
범국가적	범/XPN+국가/NNG+적/XSN
차원의	차원/NNG+의/JKG
책무"라고	책무/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


