# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.426
metadata : {}


# id : NWRW1800000048.426.1.1
다시 선거철?…새누리, 포털 임원들 국감 불러내기

다시	다시/MAG
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.426.6.2
지난 4일 김무성 대표까지 나서 “포털사이트가 왜곡된 정보를 제공하는 것은 문제가 있다”고 밝힌 뒤, 당 차원에서 조직적인 움직임을 보이고 있다.

지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
김무성	김무성/NNP
대표까지	대표/NNG+까지/JX
나서	나서/VV+어/EC
“포털사이트가	“/SS+포털/NNG+사이트/NNG+가/JKS
왜곡된	왜곡/NNG+되/XSV+ㄴ/ETM
정보를	정보/NNG+를/JKO
제공하는	제공/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
문제가	문제/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
당	당/NNG
차원에서	차원/NNG+에서/JKB
조직적인	조직/NNG+적/XSN+이/VCP+ㄴ/ETM
움직임을	움직임/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.426.7.1
안행위의 경우, 새누리당은 선거운동 기간 중 인터넷 실명제 논란에 대한 포털 경영자의 견해를 듣겠다는 취지로 중앙선거관리위원회 국감에 김 의장과 이 의장의 증인 출석을 요구하다 여의치 않자, 다음달 8일 예정된 종합감사 때라도 부르겠다는 방침을 세웠다.

안행위의	안행위/NNG+의/JKG
경우,	경우/NNG+,/SP
새누리당은	새누리당/NNP+은/JX
선거운동	선거/NNG+운동/NNG
기간	기간/NNG
중	중/NNB
인터넷	인터넷/NNG
실명제	실명/NNG+제/XSN
논란에	논란/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
포털	포털/NNG
경영자의	경영자/NNG+의/JKG
견해를	견해/NNG+를/JKO
듣겠다는	듣/VV+겠/EP+다는/ETM
취지로	취지/NNG+로/JKB
중앙선거관리위원회	중앙/NNG+선거/NNG+관리/NNG+위원회/NNG
국감에	국감/NNG+에/JKB
김	김/NNP
의장과	의장/NNG+과/JC
이	이/NNP
의장의	의장/NNG+의/JKG
증인	증인/NNG
출석을	출석/NNG+을/JKO
요구하다	요구/NNG+하/XSV+다/EC
여의치	여의하/VA+지/EC
않자,	않/VX+자/EC+,/SP
다음달	다음/NNG+달/NNG
8일	8/SN+일/NNB
예정된	예정/NNG+되/XSV+ㄴ/ETM
종합감사	종합/NNG+감사/NNG
때라도	때/NNG+이/VCP+라도/EC
부르겠다는	부르/VV+겠/EP+다는/ETM
방침을	방침/NNG+을/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.426.7.2
포털을 담당하는 미방위 여당 의원들도 두 의장의 증인 채택을 요구하고 있다.

포털을	포털/NNG+을/JKO
담당하는	담당/NNG+하/XSV+는/ETM
미방위	미방위/NNG
여당	여당/NNG
의원들도	의원/NNG+들/XSN+도/JX
두	두/MMN
의장의	의장/NNG+의/JKG
증인	증인/NNG
채택을	채택/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.426.7.3
미방위 여당 간사인 박민식 새누리당 의원은 이날 <한겨레>와의 통화에서 “국감에서 포털사이트의 독과점 문제 등 을 따져봐야 한다.

미방위	미방위/NNG
여당	여당/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
박민식	박민식/NNP
새누리당	새누리당/NNP
의원은	의원/NNG+은/JX
이날	이날/NNG
<한겨레>와의	</SS+한겨레/NNP+>/SS+와/JKB+의/JKG
통화에서	통화/NNG+에서/JKB
“국감에서	“/SS+국감/NNG+에서/JKB
포털사이트의	포털/NNG+사이트/NNG+의/JKG
독과점	독과점/NNG
문제	문제/NNG
등	등/NNB
을	을/JKO
따져봐야	따지/VV+어/EC+보/VX+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000048.426.7.4
왜 야당은 삼성과 현대 등 대기업 총수는 증인으로 부르자면서 영향력이 큰 포털 대표는 방어에 나서는지 모르겠다”고 말했다.

왜	왜/MAG
야당은	야당/NNG+은/JX
삼성과	삼성/NNP+과/JC
현대	현대/NNP
등	등/NNB
대기업	대/XPN+기업/NNG
총수는	총수/NNG+는/JX
증인으로	증인/NNG+으로/JKB
부르자면서	부르/VV+자면서/EC
영향력이	영향력/NNG+이/JKS
큰	크/VA+ㄴ/ETM
포털	포털/NNG
대표는	대표/NNG+는/JX
방어에	방어/NNG+에/JKB
나서는지	나서/VV+는지/EF
모르겠다”고	모르/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.426.7.5
새정치민주연합도 애초 포털들이 유사언론들의 무책임한 기사 전달 창구 구실을 한다는 점 등에 대해 질의할 목적으로 김범수·이해진 의장을 증인으로 신청했다가 최근 이를 철회한 것으로 알려졌다.

새정치민주연합도	새정치민주연합/NNP+도/JX
애초	애초/NNG
포털들이	포털/NNG+들/XSN+이/JKS
유사언론들의	유사/NNG+언론/NNG+들/XSN+의/JKG
무책임한	무/XPN+책임/NNG+하/XSA+ㄴ/ETM
기사	기사/NNG
전달	전달/NNG
창구	창구/NNG
구실을	구실/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
점	점/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
질의할	질의/NNG+하/XSV+ㄹ/ETM
목적으로	목적/NNG+으로/JKB
김범수·이해진	김범수/NNP+·/SP+이해진/NNP
의장을	의장/NNG+을/JKO
증인으로	증인/NNG+으로/JKB
신청했다가	신청/NNG+하/XSV+았/EP+다가/EC
최근	최근/MAG
이를	이/NP+를/JKO
철회한	철회/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.426.7.6
교문위와 정무위에서도 새누리당은 두 의장에 대한 증인 신청을 요구하고 있다.

교문위와	교문위/NNG+와/JC
정무위에서도	정무위/NNG+에서/JKB+도/JX
새누리당은	새누리당/NNP+은/JX
두	두/MMN
의장에	의장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
증인	증인/NNG
신청을	신청/NNG+을/JKO
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.426.8.1
반면, 야당은 새누리당의 이런 증인 채택 요구가 총선을 앞두고 포털에 정치적 재갈을 물리려는 시도라는 점을 부각하는 데 주력하고 있다.

반면,	반면/NNG+,/SP
야당은	야당/NNG+은/JX
새누리당의	새누리당/NNP+의/JKG
이런	이런/MMD
증인	증인/NNG
채택	채택/NNG
요구가	요구/NNG+가/JKS
총선을	총선/NNG+을/JKO
앞두고	앞두/VV+고/EC
포털에	포털/NNG+에/JKB
정치적	정치/NNG+적/XSN
재갈을	재갈/NNG+을/JKO
물리려는	물리/VV+려는/ETM
시도라는	시도/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
부각하는	부각/NNG+하/XSV+는/ETM
데	데/NNB
주력하고	주력/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.426.8.2
오영식 새정치민주연합 최고위원은 이날 최고위원회에서 “새누리당은 경영권 문제로 민낯을 드러낸 재벌 총수를 증인으로 세우는 것에 대해선 그렇게 반대하면서 오너 아닌 전문경영인을 부르자고 하고, 유독 포털에 대해서만 대표 아닌 오너를 증인으로 부르려고 하는 이중적 행태를 보이고 있다”며 “인터넷산업 활성화 대선 공약을 하고, 창조경제 하겠다며 규제 철폐 외치다가 총선이 다가오자 포털 길들이기와 재갈 물리기를 시도하고 있는 것”이라고 비판했다.

오영식	오영식/NNP
새정치민주연합	새정치민주연합/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
이날	이날/NNG
최고위원회에서	최고/NNG+위원회/NNG+에서/JKB
“새누리당은	“/SS+새누리당/NNP+은/JX
경영권	경영/NNG+권/XSN
문제로	문제/NNG+로/JKB
민낯을	민낯/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
재벌	재벌/NNG
총수를	총수/NNG+를/JKO
증인으로	증인/NNG+으로/JKB
세우는	세우/VV+는/ETM
것에	것/NNB+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
그렇게	그렇/VA+게/EC
반대하면서	반대/NNG+하/XSV+면서/EC
오너	오너/NNG
아닌	아니/VCN+ㄴ/ETM
전문경영인을	전문/NNG+경영인/NNG+을/JKO
부르자고	부르/VV+자고/EC
하고,	하/VV+고/EC+,/SP
유독	유독/MAG
포털에	포털/NNG+에/JKB
대해서만	대하/VV+아서/EC+만/JX
대표	대표/NNG
오너를	오너/NNG+를/JKO
부르려고	부르/VV+려고/EC
하는	하/VX+는/ETM
이중적	이중/NNG+적/XSN
행태를	행태/NNG+를/JKO
보이고	보이/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“인터넷산업	“/SS+인터넷/NNG+산업/NNG
활성화	활성/NNG+화/XSN
대선	대선/NNG
공약을	공약/NNG+을/JKO
창조경제	창조/NNG+경제/NNG
하겠다며	하/VV+겠/EP+다며/EC
규제	규제/NNG
철폐	철폐/NNG
외치다가	외치/VV+다가/EC
총선이	총선/NNG+이/JKS
다가오자	다가오/VV+자/EC
포털	포털/NNG
길들이기와	길들이/VV+기/ETN+와/JC
재갈	재갈/NNG
물리기를	물리/VV+기/ETN+를/JKO
시도하고	시도/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


