# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.90
metadata : {}


# id : NWRW1800000041.90.1.1
[학생부종합전형 필승전략]서강대, 자소서에 본인 장점 기재할 수 있어…

[학생부종합전형	[/SS+학생부/NNG+종합/NNG+전형/NNG
입학처장1단계(서류평가)는	입학처장/NNG+1/SN+단계/NNG+(/SS+서류/NNG+평가/NNG+)/SS+는/JX
학교생활기록부,	학교생활/NNG+기록부/NNG+,/SP
자기소개서,	자기소개서/NNG+,/SP
교사추천서,	교사/NNG+추천서/NNG+,/SP
활동보충자료를	활동/NNG+보충/NNG+자료/NNG+를/JKO
토대로	토대/NNG+로/JKB
평가가	평가/NNG+가/JKS
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.90.4.2
평가 분야는 학업우수성, 학문적 발전 가능성, 학업 외 발전 가능성, 개인의 차별적 특성 등이다.

평가	평가/NNG
분야는	분야/NNG+는/JX
학업우수성,	학업/NNG+우수/NNG+성/XSN+,/SP
학문적	학문/NNG+적/XSN
발전	발전/NNG
가능성,	가능/NNG+성/XSN+,/SP
학업	학업/NNG
외	외/NNB
개인의	개인/NNG+의/JKG
차별적	차별/NNG+적/XSN
특성	특성/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.90.4.3
학업우수성은 단순히 점수를 수치에 의존하지 않고 심층적으로 해석해 평가할 예정이다.

학업우수성은	학업/NNG+우수/NNG+성/XSN+은/JX
단순히	단순히/MAG
점수를	점수/NNG+를/JKO
수치에	수치/NNG+에/JKB
의존하지	의존/NNG+하/XSV+지/EC
않고	않/VX+고/EC
심층적으로	심층/NNG+적/XSN+으로/JKB
해석해	해석/NNG+하/XSV+아/EC
평가할	평가/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.90.4.4
김 입학처장은 “각종 비교과활동, 특기, 체험활동, 수상경력을 통해 지원자의 발전 가능성을 평가할 것”이라고 밝혔다.

김	김/NNP
입학처장은	입학처장/NNG+은/JX
“각종	“/SS+각종/NNG
비교과활동,	비/XPN+교과/NNG+활동/NNG+,/SP
특기,	특기/NNG+,/SP
체험활동,	체험/NNG+활동/NNG+,/SP
수상경력을	수상/NNG+경력/NNG+을/JKO
통해	통하/VV+아/EC
지원자의	지원자/NNG+의/JKG
발전	발전/NNG
가능성을	가능/NNG+성/XSN+을/JKO
평가할	평가/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.90.5.1
자기소개서나 교사추천서에 공인어학성적, 수학, 과학, 외국어 교과에 대한 교외 수상실적, 대회 명칭에 수학이나 과학, 또는 외국어 교과명이 명시된 수상실적을 기재하면 0점 처리되므로 지원자는 유의해야 한다.

자기소개서나	자기소개서/NNG+나/JC
교사추천서에	교사/NNG+추천서/NNG+에/JKB
공인어학성적,	공인/NNG+어학/NNG+성적/NNG+,/SP
수학,	수학/NNG+,/SP
과학,	과학/NNG+,/SP
외국어	외국어/NNG
교과에	교과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
교외	교외/NNG
수상실적,	수상/NNG+실적/NNG+,/SP
대회	대회/NNG
명칭에	명칭/NNG+에/JKB
수학이나	수학/NNG+이나/JC
또는	또는/MAG
교과명이	교과/NNG+명/NNG+이/JKS
명시된	명시/NNG+되/XSV+ㄴ/ETM
수상실적을	수상/NNG+실적/NNG+을/JKO
기재하면	기재/NNG+하/XSV+면/EC
0점	0/SN+점/NNB
처리되므로	처리/NNG+되/XSV+므로/EC
지원자는	지원자/NNG+는/JX
유의해야	유의/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.90.6.1
자기소개서와 교사추천서는 한국대학교육협의회의 공통질문이 제시되고 자기소개서 4번 문항에 추가 질문 1개가 더 제시된다.

자기소개서와	자기소개서/NNG+와/JC
교사추천서는	교사/NNG+추천서/NNG+는/JX
한국대학교육협의회의	한국대학교육협의회/NNP+의/JKG
공통질문이	공통/NNG+질문/NNG+이/JKS
제시되고	제시/NNG+되/XSV+고/EC
자기소개서	자기소개서/NNG
4번	4/SN+번/NNB
문항에	문항/NNG+에/JKB
추가	추가/NNG
질문	질문/NNG
1개가	1/SN+개/NNB+가/JKS
더	더/MAG
제시된다.	제시/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.90.6.2
지원자는 이 문항에 본인의 장점을 드러내는 내용을 기재할 수 있다.

지원자는	지원자/NNG+는/JX
이	이/MMD
문항에	문항/NNG+에/JKB
본인의	본인/NNG+의/JKG
장점을	장점/NNG+을/JKO
드러내는	드러내/VV+는/ETM
내용을	내용/NNG+을/JKO
기재할	기재/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.90.6.3
특이점은 본인의 가능성을 잘 나타낼 수 있는 활동보충자료를 선택해 제출할 수 있다는 것.

특이점은	특이점/NNG+은/JX
본인의	본인/NNG+의/JKG
가능성을	가능/NNG+성/XSN+을/JKO
잘	잘/MAG
나타낼	나타내/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
활동보충자료를	활동/NNG+보충/NNG+자료/NNG+를/JKO
선택해	선택/NNG+하/XSV+아/EC
제출할	제출/NNG+하/XSV+ㄹ/ETM
있다는	있/VA+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000041.90.6.4
서류 5장 이내에 고교생활 중 학업을 비롯해 다양한 활동을 보다 심층적으로 제시할 수 있다.

서류	서류/NNG
5장	5/SN+장/NNB
이내에	이내/NNG+에/JKB
고교생활	고교/NNG+생활/NNG
중	중/NNB
학업을	학업/NNG+을/JKO
비롯해	비롯하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
활동을	활동/NNG+을/JKO
보다	보다/MAG
심층적으로	심층/NNG+적/XSN+으로/JKB
제시할	제시/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.90.6.5
활동보충자료는 학생부에 기재된 내용 중 지원자가 강조하고 싶은 부분을 자세히 기술할 수 있다는 점에서 의미를 가진다.

활동보충자료는	활동/NNG+보충/NNG+자료/NNG+는/JX
학생부에	학생부/NNG+에/JKB
기재된	기재/NNG+되/XSV+ㄴ/ETM
내용	내용/NNG
중	중/NNB
지원자가	지원자/NNG+가/JKS
강조하고	강조/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
부분을	부분/NNG+을/JKO
자세히	자세히/MAG
기술할	기술/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점에서	점/NNG+에서/JKB
의미를	의미/NNG+를/JKO
가진다.	가지/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.90.6.6
또 학생부에는 없는 부분 중 고교 생활 동안 활동했던 분야, 개인적 특성 등을 대학에 어필할 수 있는 자료도 된다.

또	또/MAG
학생부에는	학생부/NNG+에/JKB+는/JX
없는	없/VA+는/ETM
부분	부분/NNG
중	중/NNB
고교	고교/NNG
생활	생활/NNG
동안	동안/NNG
활동했던	활동/NNG+하/XSV+았/EP+던/ETM
분야,	분야/NNG+,/SP
개인적	개인/NNG+적/XSN
특성	특성/NNG
등을	등/NNB+을/JKO
대학에	대학/NNG+에/JKB
어필할	어필/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자료도	자료/NNG+도/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.90.7.1
2단계(면접평가)는 별도 문제를 제출하지 않고 1단계 서류를 토대로 이뤄진다.

2단계(면접평가)는	2/SN+단계/NNG+(/SS+면접/NNG+평가/NNG+)/SS+는/JX
별도	별도/NNG
문제를	문제/NNG+를/JKO
제출하지	제출/NNG+하/XSV+지/EC
않고	않/VX+고/EC
1단계	1/SN+단계/NNG
서류를	서류/NNG+를/JKO
토대로	토대/NNG+로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.90.7.2
서류에 기재된 지원자의 고교활동, 경험, 노력, 성장 등에 관한 질문이 제기될 예정이다.

서류에	서류/NNG+에/JKB
기재된	기재/NNG+되/XSV+ㄴ/ETM
지원자의	지원자/NNG+의/JKG
고교활동,	고교/NNG+활동/NNG+,/SP
경험,	경험/NNG+,/SP
노력,	노력/NNG+,/SP
성장	성장/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
질문이	질문/NNG+이/JKS
제기될	제기/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.90.8.1
김 입학처장은 “지원하는 학생이 전공과 본인의 특성을 반드시 연결하는 활동을 해야 한다고 생각하는 경우가 있다”며 “대학에서는 이름만 거창한 활동을 요구하지 않는다”고 조언했다.

김	김/NNP
입학처장은	입학처장/NNG+은/JX
“지원하는	“/SS+지원/NNG+하/XSV+는/ETM
학생이	학생/NNG+이/JKS
전공과	전공/NNG+과/JC
본인의	본인/NNG+의/JKG
특성을	특성/NNG+을/JKO
반드시	반드시/MAG
연결하는	연결/NNG+하/XSV+는/ETM
활동을	활동/NNG+을/JKO
해야	하/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
생각하는	생각/NNG+하/XSV+는/ETM
경우가	경우/NNG+가/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“대학에서는	“/SS+대학/NNG+에서/JKB+는/JX
이름만	이름/NNG+만/JX
거창한	거창하/VA+ㄴ/ETM
요구하지	요구/NNG+하/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.90.8.2
김 입학처장은 “오히려 입학 후 학문을 습득해 나갈 수 있는 가능성과 기본 역량을 보여주는 것이 더 중요하다”고 말했다.

김	김/NNP
입학처장은	입학처장/NNG+은/JX
“오히려	“/SS+오히려/MAG
입학	입학/NNG
후	후/NNG
학문을	학문/NNG+을/JKO
습득해	습득/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가능성과	가능/NNG+성/XSN+과/JC
기본	기본/NNG
역량을	역량/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
것이	것/NNB+이/JKS
더	더/MAG
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.90.9.1
문의는 전화(02-705-8621)로 하거나 홈페이지(admission.sogang.ac.kr)를 참조하면 된다.

문의는	문의/NNG+는/JX
전화(02-705-8621)로	전화/NNG+(/SS+02/SN+-/SO+705/SN+-/SO+8621/SN+)/SS+로/JKB
하거나	하/VV+거나/EC
홈페이지(admission.sogang.ac.kr)를	홈페이지/NNG+(/SS+admission/SL+./SP+sogang/SL+./SP+ac/SL+./SP+kr/SL+)/SS+를/JKO
참조하면	참조/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


