# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.421
metadata : {}


# id : NWRW1800000021.421.1.1
■ 혼자서도 개념이해 척척… 새 교육과정 맞춰 내용 혁신

■	■/SW
교육과정을	교육/NNG+과정/NNG+을/JKO
맞아	맞/VV+아/EC
변신을	변신/NNG+을/JKO
꾀하고	꾀하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.421.4.2
교과서를 충실하게 해설했던 기존 방향에 더해, 이번 개편에서는 깊이 있는 개념 학습이 이뤄지도록 학습 체제를 전면 재설계한 것이다.

교과서를	교과서/NNG+를/JKO
충실하게	충실/NNG+하/XSA+게/EC
해설했던	해설/NNG+하/XSV+았/EP+던/ETM
기존	기존/NNG
방향에	방향/NNG+에/JKB
더해,	더/MAG+하/XSV+아/EC+,/SP
이번	이번/NNG
개편에서는	개편/NNG+에서/JKB+는/JX
깊이	깊이/NNG
있는	있/VA+는/ETM
개념	개념/NNG
학습이	학습/NNG+이/JKS
이뤄지도록	이뤄지/VV+도록/EC
학습	학습/NNG
체제를	체제/NNG+를/JKO
전면	전면/NNG
재설계한	재/XPN+설계/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.421.4.3
또 기존의 책 크기보다 더 큰 판형으로 제작해 ‘비주얼 세대’인 요즘 초등학생들이 편하게 학습하도록 했다.

또	또/MAG
기존의	기존/NNG+의/JKG
책	책/NNG
크기보다	크기/NNG+보다/JKB
더	더/MAG
큰	크/VA+ㄴ/ETM
판형으로	판형/NNG+으로/JKB
제작해	제작/NNG+하/XSV+아/EC
‘비주얼	‘/SS+비주얼/NNG
세대’인	세대/NNG+’/SS+이/VCP+ㄴ/ETM
요즘	요즘/NNG
초등학생들이	초등학생/NNG+들/XSN+이/JKS
편하게	편하/VA+게/EC
학습하도록	학습/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.421.5.1
두산동아 홈페이지(www.doosandonga.com)에 회원가입을 하면 ‘e-동아전과’와 같은 각종 디지털 콘텐츠를 무료로 이용할 수 있다.

두산동아	두산동아/NNP
홈페이지(www.doosandonga.com)에	홈페이지/NNG+(/SS+www/SL+./SP+doosandonga/SL+./SP+com/SL+)/SS+에/JKB
회원가입을	회원/NNG+가입/NNG+을/JKO
하면	하/VV+면/EC
‘e-동아전과’와	‘/SS+e/SL+-/SO+동아전과/NNP+’/SS+와/JKB
같은	같/VA+은/ETM
각종	각종/NNG
디지털	디지털/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
무료로	무료/NNG+로/JKB
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.421.6.1
두산동아의 또 다른 히트작인 ‘백점맞는 시리즈’는 2007년 1학기 수학 출시 때부터 초등학생과 학부모로부터 “초등학교 수학공부는 이 한 권으로 되겠다”는 반응을 얻었다.

두산동아의	두산동아/NNP+의/JKG
또	또/MAG
다른	다른/MMD
히트작인	히트작/NNG+이/VCP+ㄴ/ETM
‘백점맞는	‘/SS+백/NR+점/NNB+맞/VV+는/ETM
시리즈’는	시리즈/NNG+’/SS+는/JX
2007년	2007/SN+년/NNB
1학기	1/SN+학기/NNG
수학	수학/NNG
출시	출시/NNG
때부터	때/NNG+부터/JX
초등학생과	초등학생/NNG+과/JC
학부모로부터	학부모/NNG+로부터/JKB
“초등학교	“/SS+초등학교/NNG
수학공부는	수학/NNG+공부/NNG+는/JX
이	이/MMD
한	한/MMN
권으로	권/NNB+으로/JKB
되겠다”는	되/VV+겠/EP+다/EF+”/SS+는/ETM
반응을	반응/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.421.6.2
이후 2학기에는 국어 사회 과학 시리즈를 선보였다.

이후	이후/NNG
2학기에는	2/SN+학기/NNG+에/JKB+는/JX
국어	국어/NNG
사회	사회/NNG
과학	과학/NNG
시리즈를	시리즈/NNG+를/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.421.7.1
두산동아가 참고서 제작에서 초점을 두는 부분은 바로 ‘핵심 개념’.

두산동아가	두산동아/NNP+가/JKS
참고서	참고서/NNG
제작에서	제작/NNG+에서/JKB
초점을	초점/NNG+을/JKO
두는	두/VV+는/ETM
부분은	부분/NNG+은/JX
바로	바로/MAG
‘핵심	‘/SS+핵심/NNG
개념’.	개념/NNG+’/SS+./SF


# id : NWRW1800000021.421.7.2
특히 ‘백점맞는 수학’은 교과서의 해당 단원에서 학습해야 할 핵심적 개념을 뽑아 제시한 뒤 문제를 풀도록 함으로써 문제해결력을 높이도록 설계됐다.

특히	특히/MAG
‘백점맞는	‘/SS+백/NR+점/NNB+맞/VV+는/ETM
수학’은	수학/NNG+’/SS+은/JX
교과서의	교과서/NNG+의/JKG
해당	해당/NNG
단원에서	단원/NNG+에서/JKB
학습해야	학습/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
핵심적	핵심/NNG+적/XSN
개념을	개념/NNG+을/JKO
뽑아	뽑/VV+아/EC
제시한	제시/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
문제를	문제/NNG+를/JKO
풀도록	풀/VV+도록/EC
함으로써	하/VX+ㅁ/ETN+으로써/JKB
문제해결력을	문제/NNG+해결력/NNG+을/JKO
높이도록	높이/VV+도록/EC
설계됐다.	설계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.421.7.3
단원마다 ‘기초→개념→유형→실력→경시’ 등 5단계로 나눠 순차적으로 학습할 수 있는 것.

단원마다	단원/NNG+마다/JX
‘기초→개념→유형→실력→경시’	‘/SS+기초/NNG+→/SW+개념/NNG+→/SW+유형/NNG+→/SW+실력/NNG+→/SW+경시/NNG+’/SS
등	등/NNB
5단계로	5/SN+단계/NNG+로/JKB
나눠	나누/VV+어/EC
순차적으로	순차/NNG+적/XSN+으로/JKB
학습할	학습/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000021.421.7.4
‘백점맞는 국어·사회·과학·슬기로운 생활·즐거운 생활·바른 생활’은 ‘진도 잡는 개념북’과 ‘시험 잡는 유형북’으로 책을 나눔으로써 학습목적에 따른 실용성을 높였다.

‘백점맞는	‘/SS+백/NR+점/NNB+맞/VV+는/ETM
국어·사회·과학·슬기로운	국어/NNG+·/SP+사회/NNG+·/SP+과학/NNG+·/SP+슬기/NNG+롭/XSA+ㄴ/ETM
생활·즐거운	생활/NNG+·/SP+즐겁/VA+ㄴ/ETM
생활·바른	생활/NNG+·/SP+바르/VA+ㄴ/ETM
생활’은	생활/NNG+’/SS+은/JX
‘진도	‘/SS+진도/NNG
잡는	잡/VV+는/ETM
개념북’과	개념/NNG+북/NNG+’/SS+과/JC
‘시험	‘/SS+시험/NNG
유형북’으로	유형/NNG+북/NNG+’/SS+으로/JKB
책을	책/NNG+을/JKO
나눔으로써	나누/VV+ㅁ/ETN+으로써/JKB
학습목적에	학습/NNG+목적/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
실용성을	실용/NNG+성/XSN+을/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.421.7.5
표준 진도에 따른 주말 평가와 유형별 요점 동영상 강의도 무료로 제공.

표준	표준/NNG
진도에	진도/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
주말	주말/NNG
평가와	평가/NNG+와/JC
유형별	유형/NNG+별/XSN
요점	요점/NNG
동영상	동영상/NNG
강의도	강의/NNG+도/JX
무료로	무료/NNG+로/JKB
제공.	제공/NNG+./SF


# id : NWRW1800000021.421.8.1
참고서를 통해 ‘단계별 학습’을 구현한다는 두산동아의 전략은 최근 초등 1∼6학년 대상 수학 수준별 전문 문제집인 ‘큐브수학’을 ‘기본-실력-심화’편으로 구분해 개편·발간하는 움직임으로 나타났다.

참고서를	참고서/NNG+를/JKO
통해	통하/VV+아/EC
‘단계별	‘/SS+단계/NNG+별/XSN
학습’을	학습/NNG+’/SS+을/JKO
구현한다는	구현/NNG+하/XSV+ㄴ다는/ETM
두산동아의	두산동아/NNP+의/JKG
전략은	전략/NNG+은/JX
최근	최근/MAG
초등	초등/NNG
1∼6학년	1/SN+∼/SO+6/SN+학년/NNG
대상	대상/NNG
수학	수학/NNG
수준별	수준/NNG+별/XSN
전문	전문/NNG
문제집인	문제집/NNG+이/VCP+ㄴ/ETM
‘큐브수학’을	‘/SS+큐브수학/NNP+’/SS+을/JKO
‘기본-실력-심화’편으로	‘/SS+기본/NNG+-/SO+실력/NNG+-/SO+심화/NNG+’/SS+편/NNB+으로/JKB
구분해	구분/NNG+하/XSV+아/EC
개편·발간하는	개편/NNG+·/SP+발간/NNG+하/XSV+는/ETM
움직임으로	움직임/NNG+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.421.8.2
‘기본편’은 삽화와 이야기 위주로 구성해 흥미롭게 개념을 익힐 수 있도록 했고, ‘실력편’은 유형별 학습으로 학교 시험을 대비할 수 있도록 문제 중심의 교재로 구성했다.

‘기본편’은	‘/SS+기본/NNG+편/NNB+’/SS+은/JX
삽화와	삽화/NNG+와/JC
이야기	이야기/NNG
위주로	위주/NNG+로/JKB
구성해	구성/NNG+하/XSV+아/EC
흥미롭게	흥미/NNG+롭/XSA+게/EC
개념을	개념/NNG+을/JKO
익힐	익히/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했고,	하/VX+았/EP+고/EC+,/SP
‘실력편’은	‘/SS+실력/NNG+편/NNB+’/SS+은/JX
유형별	유형/NNG+별/XSN
학습으로	학습/NNG+으로/JKB
학교	학교/NNG
시험을	시험/NNG+을/JKO
대비할	대비/NNG+하/XSV+ㄹ/ETM
문제	문제/NNG
중심의	중심/NNG+의/JKG
교재로	교재/NNG+로/JKB
구성했다.	구성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.421.8.3
‘심화편’에서는 고난도 학습으로 경시대회나 올림피아드처럼 수준 높은 수학을 경험하도록 했다.

‘심화편’에서는	‘/SS+심화/NNG+편/NNB+’/SS+에서/JKB+는/JX
고난도	고/XPN+난도/NNG
학습으로	학습/NNG+으로/JKB
경시대회나	경시대회/NNG+나/JC
올림피아드처럼	올림피아드/NNG+처럼/JKB
수준	수준/NNG
높은	높/VA+은/ETM
수학을	수학/NNG+을/JKO
경험하도록	경험/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.421.8.4
문의 02-3670-5000

문의	문의/NNG
02-3670-5000	02/SN+-/SO+3670/SN+-/SO+5000/SN


