# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.99
metadata : {}


# id : NWRW1800000041.99.1.1
LG하우시스, ‘지아벽지’ 아토피 개선효과 입증… 초고단열 유리로 이중창 굿바이!

LG하우시스,	LG하우시스/NNP+,/SP
디자인상을	디자인상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.99.5.2
같은 해 5월에는 지아벽지를 선보였다.

같은	같/VA+은/ETM
해	해/NNG
5월에는	5/SN+월/NNB+에/JKB+는/JX
지아벽지를	지아벽지/NNP+를/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.99.5.3
지아벽지는 순식물성원료(PLA)로 만들어 시공 후 12주 만에 아토피 피부염 증상이 개선되는 효과를 입증받았다.

지아벽지는	지아벽지/NNP+는/JX
순식물성원료(PLA)로	순/MMA+식물/NNG+성/XSN+원료/NNG+(/SS+PLA/SL+)/SS+로/JKB
만들어	만들/VV+어/EC
시공	시공/NNG
후	후/NNG
12주	12/SN+주/NNB
만에	만/NNB+에/JKB
아토피	아토피/NNG
피부염	피부염/NNG
증상이	증상/NNG+이/JKS
개선되는	개선/NNG+되/XSV+는/ETM
효과를	효과/NNG+를/JKO
입증받았다.	입증/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.99.6.1
건축자재 업계에서는 옥수수를 원료로 사용한 지아 제품군이 단순히 보기 좋게 집안을 꾸미는 인테리어 자재를 넘어 ‘건강하고 안전한 생활공간’이라는 새로운 가치를 창조해 내고 있다고 평가하고 있다.

건축자재	건축/NNG+자재/NNG
업계에서는	업계/NNG+에서/JKB+는/JX
옥수수를	옥수수/NNG+를/JKO
원료로	원료/NNG+로/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
지아	지아/NNP
제품군이	제품군/NNG+이/JKS
단순히	단순히/MAG
보기	보/VV+기/ETN
좋게	좋/VA+게/EC
집안을	집안/NNG+을/JKO
꾸미는	꾸미/VV+는/ETM
인테리어	인테리어/NNG
자재를	자재/NNG+를/JKO
넘어	넘/VV+어/EC
‘건강하고	‘/SS+건강/NNG+하/XSA+고/EC
안전한	안전/NNG+하/XSA+ㄴ/ETM
생활공간’이라는	생활/NNG+공간/NNG+’/SS+이/VCP+라는/ETM
새로운	새롭/VA+ㄴ/ETM
가치를	가치/NNG+를/JKO
창조해	창조/NNG+하/XSV+아/EC
내고	내/VX+고/EC
있다고	있/VX+다고/EC
평가하고	평가/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.99.7.1
LG하우시스의 기술력은 소비자들로부터 인정받고 있다.

LG하우시스의	LG하우시스/NNP+의/JKG
기술력은	기술력/NNG+은/JX
소비자들로부터	소비자/NNG+들/XSN+로부터/JKB
인정받고	인정/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.99.7.2
6월 한국녹색구매네트워크가 발표한 ‘소비자가 뽑은 2014 올해의 녹색상품’에 지아소리잠 바닥재와 지아벽지 등 3개 제품이 선정된 바 있다.

6월	6/SN+월/NNB
한국녹색구매네트워크가	한국녹색구매네트워크/NNP+가/JKS
발표한	발표/NNG+하/XSV+ㄴ/ETM
‘소비자가	‘/SS+소비자/NNG+가/JKS
뽑은	뽑/VV+은/ETM
2014	2014/SN
올해의	올해/NNG+의/JKG
녹색상품’에	녹색/NNG+상품/NNG+’/SS+에/JKB
지아소리잠	지아소리잠/NNP
바닥재와	바닥재/NNG+와/JC
지아벽지	지아벽지/NNP
등	등/NNB
3개	3/SN+개/NNB
제품이	제품/NNG+이/JKS
선정된	선정/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.99.8.1
이 회사는 에너지 절감 창호와 유리 공급으로 가정의 냉난방비를 줄이고 에너지난을 해소하는 데도 기여하고 있다.

이	이/MMD
회사는	회사/NNG+는/JX
에너지	에너지/NNG
절감	절감/NNG
창호와	창호/NNG+와/JC
유리	유리/NNG
공급으로	공급/NNG+으로/JKB
가정의	가정/NNG+의/JKG
냉난방비를	냉난방비/NNG+를/JKO
줄이고	줄이/VV+고/EC
에너지난을	에너지난/NNG+을/JKO
해소하는	해소/NNG+하/XSV+는/ETM
데도	데/NNB+도/JX
기여하고	기여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.99.8.2
창호와 유리는 건물 열손실의 40%가 발생하는 부분으로 건물 에너지 효율성에 미치는 영향이 크다.

창호와	창호/NNG+와/JC
유리는	유리/NNG+는/JX
건물	건물/NNG
열손실의	열/NNG+손실/NNG+의/JKG
40%가	40/SN+%/SW+가/JKS
발생하는	발생/NNG+하/XSV+는/ETM
부분으로	부분/NNG+으로/JKB
에너지	에너지/NNG
효율성에	효율/NNG+성/XSN+에/JKB
미치는	미치/VV+는/ETM
영향이	영향/NNG+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000041.99.9.1
LG하우시스의 대표 에너지절감 제품은 슈퍼로이와 슈퍼세이브창이다.

LG하우시스의	LG하우시스/NNP+의/JKG
대표	대표/NNG
에너지절감	에너지/NNG+절감/NNG
제품은	제품/NNG+은/JX
슈퍼로이와	슈퍼로이/NNP+와/JC
슈퍼세이브창이다.	슈퍼세이브창/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000041.99.9.2
슈퍼로이는 창호와 결합해 에너지소비효율 1등급을 구현한 초고단열 로이유리 제품.

슈퍼로이는	슈퍼로이/NNP+는/JX
창호와	창호/NNG+와/JKB
결합해	결합/NNG+하/XSV+아/EC
에너지소비효율	에너지/NNG+소비/NNG+효율/NNG
1등급을	1/SN+등급/NNG+을/JKO
구현한	구현/NNG+하/XSV+ㄴ/ETM
초고단열	초/XPN+고/XPN+단열/NNG
로이유리	로이/NNG+유리/NNG
제품.	제품/NNG+./SF


# id : NWRW1800000041.99.9.3
두 장의 유리가 모두 로이유리로 적용돼야 에너지소비효율 1등급이 가능했던 기존의 이중창과 달리 슈퍼로이는 단 한 장만으로 1등급 확보가 가능하다.

두	두/MMN
장의	장/NNB+의/JKG
유리가	유리/NNG+가/JKS
모두	모두/MAG
로이유리로	로이/NNG+유리/NNG+로/JKB
적용돼야	적용/NNG+되/XSV+어야/EC
에너지소비효율	에너지/NNG+소비/NNG+효율/NNG
1등급이	1/SN+등급/NNG+이/JKS
가능했던	가능/NNG+하/XSA+았/EP+던/ETM
기존의	기존/NNG+의/JKG
이중창과	이중창/NNG+과/JKB
달리	달리/MAG
슈퍼로이는	슈퍼로이/NNP+는/JX
단	단/MMA
한	한/MMN
장만으로	장/NNB+만/JX+으로/JKB
1등급	1/SN+등급/NNG
확보가	확보/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.99.10.1
슈퍼세이브창은 로이유리를 적용해 단열성능을 대폭 향상한 창호 제품이다.

슈퍼세이브창은	슈퍼세이브창/NNP+은/JX
로이유리를	로이/NNG+유리/NNG+를/JKO
적용해	적용/NNG+하/XSV+아/EC
단열성능을	단열/NNG+성능/NNG+을/JKO
대폭	대폭/MAG
향상한	향상/NNG+하/XSV+ㄴ/ETM
창호	창호/NNG
제품이다.	제품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.99.10.2
알루미늄 레일을 활용해 창을 열고 닫을 때 사용하기가 쉽다.

알루미늄	알루미늄/NNG
레일을	레일/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
창을	창/NNG+을/JKO
열고	열/VV+고/EC
닫을	닫/VV+을/ETM
때	때/NNG
사용하기가	사용/NNG+하/XSV+기/ETN+가/JKS
쉽다.	쉽/VA+다/EF+./SF


# id : NWRW1800000041.99.10.3
디자인 측면에서도 입체적인 창 프레임과 크롬 도금 손잡이를 적용해 인기를 끌고 있다.

디자인	디자인/NNG
측면에서도	측면/NNG+에서/JKB+도/JX
입체적인	입체/NNG+적/XSN+이/VCP+ㄴ/ETM
창	창/NNG
프레임과	프레임/NNG+과/JC
크롬	크롬/NNG
도금	도금/NNG
손잡이를	손잡이/NNG+를/JKO
적용해	적용/NNG+하/XSV+아/EC
인기를	인기/NNG+를/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


