# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.56
metadata : {}


# id : NWRW1800000040.56.1.1
“원전 단가, LNG보다 비싸다”

“원전	“/SS+원전/NNG
크게	크/VA+게/EC
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000040.56.6.2
그러나 여기에 사회·환경적 비용을 추가로 포함시키면 상황은 역전되는 것으로 분석됐다.

그러나	그러나/MAJ
여기에	여기/NP+에/JKB
사회·환경적	사회/NNG+·/SP+환경/NNG+적/XSN
비용을	비용/NNG+을/JKO
추가로	추가/NNG+로/JKB
포함시키면	포함/NNG+시키/XSV+면/EC
상황은	상황/NNG+은/JX
역전되는	역전/NNG+되/XSV+는/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.56.6.3
원전의 단가가 95~143원으로 껑충 뛰게 되고 석탄은 88~102원, 엘엔지의 경우엔 92~121원으로 바뀌는 가격 역전 현상이 벌어진 것이다.

원전의	원전/NNG+의/JKG
단가가	단가/NNG+가/JKS
95~143원으로	95/SN+~/SO+143/SN+원/NNB+으로/JKB
껑충	껑충/MAG
뛰게	뛰/VV+게/EC
되고	되/VV+고/EC
석탄은	석탄/NNG+은/JX
88~102원,	88/SN+~/SO+102/SN+원/NNB+,/SP
엘엔지의	엘엔지/NNG+의/JKG
경우엔	경우/NNG+에/JKB+ㄴ/JX
92~121원으로	92/SN+~/SO+121/SN+원/NNB+으로/JKB
바뀌는	바뀌/VV+는/ETM
가격	가격/NNG
역전	역전/NNG
현상이	현상/NNG+이/JKS
벌어진	벌어지/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.56.7.1
조 교수는 지난달 정부의 ‘2차 에너지기본계획’ 수립을 위한 정책 권고안을 낸 민관합동 워킹그룹에서 전력분과장을 맡은 바 있다.

조	조/NNP
교수는	교수/NNG+는/JX
지난달	지난달/NNG
정부의	정부/NNG+의/JKG
‘2차	‘/SS+2/SN+차/NNB
에너지기본계획’	에너지/NNG+기본/NNG+계획/NNG+’/SS
수립을	수립/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
정책	정책/NNG
권고안을	권고안/NNG+을/JKO
낸	내/VV+ㄴ/ETM
민관합동	민관/NNG+합동/NNG
워킹그룹에서	워킹/NNG+그룹/NNG+에서/JKB
전력분과장을	전력/NNG+분과장/NNG+을/JKO
맡은	맡/VV+은/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.56.7.2
당시 권고안에서 워킹그룹은 “유연탄(석탄)과 원전이 유발하는 사회적·환경적 비용을 세제개편과 전기요금 체계 개편에 충실히 반영해야 한다”고 밝혔다.

당시	당시/NNG
권고안에서	권고안/NNG+에서/JKB
워킹그룹은	워킹/NNG+그룹/NNG+은/JX
“유연탄(석탄)과	“/SS+유연탄/NNG+(/SS+석탄/NNG+)/SS+과/JC
원전이	원전/NNG+이/JKS
유발하는	유발/NNG+하/XSV+는/ETM
사회적·환경적	사회/NNG+적/XSN+·/SP+환경/NNG+적/XSN
비용을	비용/NNG+을/JKO
세제개편과	세제/NNG+개편/NNG+과/JC
전기요금	전기/NNG+요금/NNG
체계	체계/NNG
개편에	개편/NNG+에/JKB
충실히	충실히/MAG
반영해야	반영/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.56.7.3
상대적으로 온실가스 배출이 높은 유연탄에 대한 과세 신설과 원전에 대한 사고대응 경비 등의 합리적 재산정, 친환경 에너지원인 엘엔지에 대한 과세 완화 등이 과제로 제시됐다.

상대적으로	상대/NNG+적/XSN+으로/JKB
온실가스	온실가스/NNG
배출이	배출/NNG+이/JKS
높은	높/VA+은/ETM
유연탄에	유연탄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
과세	과세/NNG
신설과	신설/NNG+과/JC
원전에	원전/NNG+에/JKB
사고대응	사고/NNG+대응/NNG
경비	경비/NNG
등의	등/NNB+의/JKG
합리적	합리/NNG+적/XSN
재산정,	재/XPN+산정/NNG+,/SP
친환경	친/XPN+환경/NNG
에너지원인	에너지원/NNG+이/VCP+ㄴ/ETM
엘엔지에	엘엔지/NNG+에/JKB
완화	완화/NNG
등이	등/NNB+이/JKS
과제로	과제/NNG+로/JKB
제시됐다.	제시/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.56.8.1
이번에 나온 조 교수의 분석은 이런 권고안의 취지에 따라 시나리오별로 변수를 대입해 이루어졌다.

이번에	이번/NNG+에/JKB
나온	나오/VV+ㄴ/ETM
조	조/NNP
교수의	교수/NNG+의/JKG
분석은	분석/NNG+은/JX
이런	이런/MMD
권고안의	권고안/NNG+의/JKG
취지에	취지/NNG+에/JKB
따라	따르/VV+아/EC
시나리오별로	시나리오/NNG+별/XSN+로/JKB
변수를	변수/NNG+를/JKO
대입해	대입/NNG+하/XSV+아/EC
이루어졌다.	이루어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.56.8.2
우선 원전과 석탄에 대한 세금 부과와 대기오염 비용 등을 집어넣으면 원전과 석탄, 엘엔지는 각각 19.1원과 23.5원, 1.6원씩의 비용이 추가된다.

우선	우선/MAG
원전과	원전/NNG+과/JC
석탄에	석탄/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
세금	세금/NNG
부과와	부과/NNG+와/JC
대기오염	대기/NNG+오염/NNG
비용	비용/NNG
등을	등/NNB+을/JKO
집어넣으면	집어넣/VV+으면/EC
석탄,	석탄/NNG+,/SP
엘엔지는	엘엔지/NNG+는/JX
각각	각각/MAG
19.1원과	19/SN+./SP+1/SN+원/NNB+과/JC
23.5원,	23/SN+./SP+5/SN+원/NNB+,/SP
1.6원씩의	1/SN+./SP+6/SN+원/NNB+씩/XSN+의/JKG
비용이	비용/NNG+이/JKS
추가된다.	추가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.56.8.3
그동안 엘엔지에 대해서는 ㎏당 60원의 개별소비세와 24.2원의 수입부과금, 4.9원의 안전관리부담금 등이 부과된 반면에 원전과 석탄에 대해서는 기본적인 부가가치세와 전력산업기반기금 외에 별도의 세금이 부과되지 않아왔다.

그동안	그동안/NNG
엘엔지에	엘엔지/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
㎏당	㎏/SW+당/XSN
60원의	60/SN+원/NNB+의/JKG
개별소비세와	개별/NNG+소비세/NNG+와/JC
24.2원의	24/SN+./SP+2/SN+원/NNB+의/JKG
수입부과금,	수입/NNG+부과금/NNG+,/SP
4.9원의	4/SN+./SP+9/SN+원/NNB+의/JKG
안전관리부담금	안전/NNG+관리/NNG+부담금/NNG
등이	등/NNB+이/JKS
부과된	부과/NNG+되/XSV+ㄴ/ETM
반면에	반면/NNG+에/JKB
원전과	원전/NNG+과/JC
석탄에	석탄/NNG+에/JKB
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
부가가치세와	부가/NNG+가치세/NNG+와/JC
전력산업기반기금	전력/NNG+산업/NNG+기반/NNG+기금/NNG
외에	외/NNB+에/JKB
별도의	별도/NNG+의/JKG
세금이	세금/NNG+이/JKS
부과되지	부과/NNG+되/XSV+지/EC
않아왔다.	않/VX+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.56.8.4
이에 따라 현재 가스에 붙는 세금을 발전에 필요한 열량(㎉) 기준으로 환산해 원전과 석탄에 새롭게 부과할 과세 규모를 추산한 것이다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
현재	현재/MAG
가스에	가스/NNG+에/JKB
붙는	붙/VV+는/ETM
세금을	세금/NNG+을/JKO
발전에	발전/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
열량(㎉)	열량/NNG+(/SS+㎉/SW+)/SS
기준으로	기준/NNG+으로/JKB
환산해	환산/NNG+하/XSV+아/EC
원전과	원전/NNG+과/JC
석탄에	석탄/NNG+에/JKB
새롭게	새롭/VA+게/EC
부과할	부과/NNG+하/XSV+ㄹ/ETM
과세	과세/NNG
규모를	규모/NNG+를/JKO
추산한	추산/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.56.9.1
2019년 이후 가동될 원전의 송전망 계획이 제대로 이루어지지 않는 점을 고려해 지중화 비용도 포함시켰다.

2019년	2019/SN+년/NNB
이후	이후/NNG
가동될	가동/NNG+되/XSV+ㄹ/ETM
원전의	원전/NNG+의/JKG
송전망	송전망/NNG
계획이	계획/NNG+이/JKS
제대로	제대로/MAG
이루어지지	이루어지/VV+지/EC
않는	않/VX+는/ETM
점을	점/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
지중화	지중/NNG+화/XSN
비용도	비용/NNG+도/JX
포함시켰다.	포함/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.56.9.2
한국전력공사 자료를 활용한 비용 추가분을 보면, 원전과 석탄에 각각 16.2원씩이 더 들어간다.

한국전력공사	한국전력공사/NNP
자료를	자료/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
비용	비용/NNG
추가분을	추가/NNG+분/XSN+을/JKO
보면,	보/VV+면/EC+,/SP
원전과	원전/NNG+과/JC
석탄에	석탄/NNG+에/JKB
각각	각각/MAG
16.2원씩이	16/SN+./SP+2/SN+원/NNB+씩/XSN+이/JKS
더	더/MAG
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.56.10.1
여기에 원전의 사고위험 비용 등을 고려하면 원전의 가격 경쟁력은 더 떨어진다.

여기에	여기/NP+에/JKB
원전의	원전/NNG+의/JKG
사고위험	사고/NNG+위험/NNG
비용	비용/NNG
등을	등/NNB+을/JKO
고려하면	고려/NNG+하/XSV+면/EC
가격	가격/NNG
경쟁력은	경쟁력/NNG+은/JX
더	더/MAG
떨어진다.	떨어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.56.10.2
사고위험 비용은 우리나라의 원전에서 사고가 일어날 확률을 토대로 계산한 추정치에서 일본 후쿠시마 원전사고를 기준으로 한 손해배상비용을 기준으로 추정한 액수까지, 조건을 어떻게 설정하느냐에 따라 12.3~59.8원이 예상된다.

사고위험	사고/NNG+위험/NNG
비용은	비용/NNG+은/JX
우리나라의	우리나라/NNG+의/JKG
원전에서	원전/NNG+에서/JKB
사고가	사고/NNG+가/JKS
일어날	일어나/VV+ㄹ/ETM
확률을	확률/NNG+을/JKO
토대로	토대/NNG+로/JKB
계산한	계산/NNG+하/XSV+ㄴ/ETM
추정치에서	추정/NNG+치/XSN+에서/JKB
일본	일본/NNP
후쿠시마	후쿠시마/NNP
원전사고를	원전/NNG+사고/NNG+를/JKO
기준으로	기준/NNG+으로/JKB
한	하/VV+ㄴ/ETM
손해배상비용을	손해/NNG+배상/NNG+비용/NNG+을/JKO
추정한	추정/NNG+하/XSV+ㄴ/ETM
액수까지,	액수/NNG+까지/JX+,/SP
조건을	조건/NNG+을/JKO
어떻게	어떻/VA+게/EC
설정하느냐에	설정/NNG+하/XSV+느냐/EF+에/JKB
따라	따르/VV+아/EC
12.3~59.8원이	12/SN+./SP+3/SN+~/SO+59/SN+./SP+8/SN+원/NNB+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.56.10.3
59.8원은 우리나라 원전 주변에 사는 인구가 더 많다는 점이 감안된 액수이며, 한전 쪽에서는 이 비용을 21.7원 정도로 보고 있다.

59.8원은	59/SN+./SP+8/SN+원/NNB+은/JX
우리나라	우리나라/NNG
원전	원전/NNG
주변에	주변/NNG+에/JKB
사는	살/VV+는/ETM
인구가	인구/NNG+가/JKS
더	더/MAG
많다는	많/VA+다는/ETM
점이	점/NNG+이/JKS
감안된	감안/NNG+되/XSV+ㄴ/ETM
액수이며,	액수/NNG+이/VCP+며/EC+,/SP
한전	한전/NNP
쪽에서는	쪽/NNB+에서/JKB+는/JX
이	이/MMD
비용을	비용/NNG+을/JKO
21.7원	21/SN+./SP+7/SN+원/NNB
정도로	정도/NNG+로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.56.11.1
세제개편과 지중화 비용, 사고위험 비용뿐 아니라 셰일가스 생산량 증가에 따른 가스 수입 비용 25% 하락 등의 조건까지 모두 대입해 원가를 재산정해보면, 원전의 단가는 최저 95원에서 최대 143원까지 올라간다.

세제개편과	세제/NNG+개편/NNG+과/JC
지중화	지중/NNG+화/XSN
비용,	비용/NNG+,/SP
사고위험	사고/NNG+위험/NNG
비용뿐	비용/NNG+뿐/JX
아니라	아니/VCN+라/EC
셰일가스	셰일/NNG+가스/NNG
생산량	생산량/NNG
증가에	증가/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
가스	가스/NNG
수입	수입/NNG
비용	비용/NNG
25%	25/SN+%/SW
하락	하락/NNG
등의	등/NNB+의/JKG
조건까지	조건/NNG+까지/JX
모두	모두/MAG
대입해	대입/NNG+하/XSV+아/EC
원가를	원가/NNG+를/JKO
재산정해보면,	재/XPN+산정/NNG+하/XSV+아/EC+보/VX+면/EC+,/SP
원전의	원전/NNG+의/JKG
단가는	단가/NNG+는/JX
최저	최저/NNG
95원에서	95/SN+원/NNB+에서/JKB
최대	최대/NNG
143원까지	143/SN+원/NNB+까지/JX
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.56.11.2
석탄(88~102원)과 엘엔지(92~121원)에 견줘 훨씬 높은 수준이 되는 셈이다.

석탄(88~102원)과	석탄/NNG+(/SS+88/SN+~/SO+102/SN+원/NNB+)/SS+과/JC
엘엔지(92~121원)에	엘엔지/NNG+(/SS+92/SN+~/SO+121/SN+원/NNB+)/SS+에/JKB
견줘	견주/VV+어/EC
훨씬	훨씬/MAG
높은	높/VA+은/ETM
수준이	수준/NNG+이/JKC
되는	되/VV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.56.12.1
조 교수는 “공정한 세제와 원가 재평가로 가스의 경제성을 제고해야 한다.

조	조/NNP
교수는	교수/NNG+는/JX
“공정한	“/SS+공정/NNG+하/XSA+ㄴ/ETM
세제와	세제/NNG+와/JC
원가	원가/NNG
재평가로	재/XPN+평가/NNG+로/JKB
가스의	가스/NNG+의/JKG
경제성을	경제/NNG+성/XSN+을/JKO
제고해야	제고/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.56.12.2
가스 발전의 경쟁력을 높여 근거리 분산형 설비로 전환하는 것이 바람직하다”고 강조했다.

가스	가스/NNG
발전의	발전/NNG+의/JKG
경쟁력을	경쟁력/NNG+을/JKO
높여	높이/VV+어/EC
근거리	근거리/NNG
분산형	분산/NNG+형/XSN
설비로	설비/NNG+로/JKB
전환하는	전환/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
바람직하다”고	바람직하/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


