# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000042.10
metadata : {}


# id : NWRW1800000042.10.1.1
소치서 뭉친 中·러시아… 中 견제나선 美·日

소치서	소치/NNP+서/JKB
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000042.10.5.5
미군은 최근 최첨단 스텔스 전투기 F-22와 최신형 초계기 P-8의 오키나와 배치를 시작했다.

미군은	미군/NNG+은/JX
최근	최근/NNG
최첨단	최/XPN+첨단/NNG
스텔스	스텔스/NNG
전투기	전투기/NNG
F-22와	F/SL+-/SO+22/SN+와/JC
최신형	최신/NNG+형/XSN
초계기	초계기/NNG
P-8의	P/SL+-/SO+8/SN+의/JKG
오키나와	오키나와/NNP
배치를	배치/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000042.10.5.6
무인정찰기 글로벌호크도 조만간 일본에 배치한다.

무인정찰기	무인/NNG+정찰기/NNG
글로벌호크도	글로벌호크/NNG+도/JX
조만간	조만간/MAG
일본에	일본/NNP+에/JKB
배치한다.	배치/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000042.10.5.7
니혼게이자이는 "센카쿠에서 무력 충돌이 발생할 경우, 미군은 해병대뿐 아니라 괌에서 핵무기 탑재가 가능한 B-52폭격기도 동원하기로 자위대와 합의했다"고 전했다.

니혼게이자이는	니혼게이자이/NNP+는/JX
"센카쿠에서	"/SS+센카쿠/NNP+에서/JKB
무력	무력/NNG
충돌이	충돌/NNG+이/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
미군은	미군/NNG+은/JX
해병대뿐	해병대/NNG+뿐/JX
아니라	아니/VCN+라/EC
괌에서	괌/NNP+에서/JKB
핵무기	핵무기/NNG
탑재가	탑재/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
B-52폭격기도	B/SL+-/SO+52/SN+폭격기/NNG+도/JX
동원하기로	동원/NNG+하/XSV+기/ETN+로/JKB
자위대와	자위대/NNG+와/JKB
합의했다"고	합의/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


