# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.121
metadata : {}


# id : NWRW1800000026.121.1.1
[Why?가 간다] 요코하마 오삼바시;숨가빴던 일본의 근대를 만나다

[Why?가	[/SS+Why/SL+?/SF+가/JKS
되면	되/VV+면/EC
단순한	단순/NNG+하/XSA+ㄴ/ETM
부두는	부두/NNG+는/JX
넘어선다.	넘어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.20.1
야경도 유명하다.

야경도	야경/NNG+도/JX
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.121.20.2
시내쪽 미나토미라이 지구에 펼쳐져 있는 고층 건물이 빛의 축제를 만든다.

시내쪽	시내/NNG+쪽/NNB
미나토미라이	미나토미라이/NNP
지구에	지구/NNG+에/JKB
펼쳐져	펼쳐지/VV+어/EC
있는	있/VX+는/ETM
고층	고층/NNG
건물이	건물/NNG+이/JKS
빛의	빛/NNG+의/JKG
축제를	축제/NNG+를/JKO
만든다.	만들/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.20.3
여름에는 일본 각지에서 일본인들이 하나비(花火)라고 부르는 불꽃놀이가 펼쳐지는데 이 부근에서 벌어지는 불꽃놀이도 유명하다.

여름에는	여름/NNG+에/JKB+는/JX
일본	일본/NNP
각지에서	각지/NNG+에서/JKB
일본인들이	일본인/NNG+들/XSN+이/JKS
하나비(花火)라고	하나비/NNG+(/SS+花火/SH+)/SS+이/VCP+라고/EC
부르는	부르/VV+는/ETM
불꽃놀이가	불꽃놀이/NNG+가/JKS
펼쳐지는데	펼쳐지/VV+는데/EC
이	이/MMD
부근에서	부근/NNG+에서/JKB
벌어지는	벌어지/VV+는/ETM
불꽃놀이도	불꽃놀이/NNG+도/JX
유명하다.	유명/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000026.121.21.1
가장 호화롭게 불꽃놀이를 즐기는 방법은 오삼바시에서 출발하는 배를 타고 바다에 떠서 보는 것이다.

가장	가장/MAG
호화롭게	호화/NNG+롭/XSA+게/EC
불꽃놀이를	불꽃놀이/NNG+를/JKO
즐기는	즐기/VV+는/ETM
방법은	방법/NNG+은/JX
오삼바시에서	오삼바시/NNP+에서/JKB
출발하는	출발/NNG+하/XSV+는/ETM
배를	배/NNG+를/JKO
타고	타/VV+고/EC
바다에	바다/NNG+에/JKB
떠서	뜨/VV+어서/EC
보는	보/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.21.2
인원이 한정되므로 편하게 볼 수 있는 장점이 있기 때문에 상당히 비싼 값에 표가 팔린다.

인원이	인원/NNG+이/JKS
한정되므로	한정/NNG+되/XSV+므로/EC
편하게	편하/VA+게/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
장점이	장점/NNG+이/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
상당히	상당히/MAG
비싼	비싸/VA+ㄴ/ETM
값에	값/NNG+에/JKB
표가	표/NNG+가/JKS
팔린다.	팔리/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.121.22.1
시내에는 개항의 역사를 말해주듯 서양에 온 듯한 느낌을 주는 수십년 된 서양식 건물들이 많다.

시내에는	시내/NNG+에/JKB+는/JX
개항의	개항/NNG+의/JKG
역사를	역사/NNG+를/JKO
말해주듯	말/NNG+하/XSV+아/EC+주/VX+듯/EC
서양에	서양/NNG+에/JKB
온	오/VV+ㄴ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
주는	주/VV+는/ETM
수십년	수십/NR+년/NNB
된	되/VV+ㄴ/ETM
서양식	서양식/NNG
건물들이	건물/NNG+들/XSN+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.121.22.2
GHQ가 들어 있던 호텔뉴그랜드도 그런 건물 중의 하나다.

GHQ가	GHQ/SL+가/JKS
들어	들/VV+어/EC
있던	있/VX+던/ETM
호텔뉴그랜드도	호텔뉴그랜드/NNP+도/JX
그런	그런/MMD
건물	건물/NNG
중의	중/NNB+의/JKG
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000026.121.22.3
지방정부의 청사들도 약간 흩어져 있는데 얼핏 보면 유럽식 건물 같다.

지방정부의	지방/NNG+정부/NNG+의/JKG
청사들도	청사/NNG+들/XSN+도/JX
약간	약간/MAG
흩어져	흩어지/VV+어/EC
있는데	있/VX+는데/EC
얼핏	얼핏/MAG
보면	보/VV+면/EC
유럽식	유럽식/NNG
건물	건물/NNG
같다.	같/VA+다/EF+./SF


# id : NWRW1800000026.121.23.1
근처에 바다를 따라 있는 야마시타(山下)공원은 1930년에 만들어졌다.

근처에	근처/NNG+에/JKB
바다를	바다/NNG+를/JKO
