# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.333
metadata : {}


# id : NWRW1800000041.333.1.1
새누리 7·14전대 서청원-김무성 공방 가열

새누리	새누리/NNP
사심	사심/NNG
없는	없/VA+는/ETM
사람이	사람/NNG+이/JKS
당	당/NNG
대표를	대표/NNG+를/JKO
해야	하/VV+아야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
의견을	의견/NNG+을/JKO
냈다고	내/VV+었/EP+다고/EC
서	서/NNP
의원	의원/NNG
측이	측/NNB+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.333.4.3
서 의원 측 관계자는 “서 의원이 전날 합동연설회에서 ‘김 의원이 대권 포기를 선언하면 (나도) 중대 결단을 할 것’이라고 발언한 배경을 설명하고 의견을 구하는 자리였다”고 설명했다.

서	서/NNP
의원	의원/NNG
측	측/NNB
관계자는	관계자/NNG+는/JX
“서	“/SS+서/NNP
의원이	의원/NNG+이/JKS
전날	전날/NNG
합동연설회에서	합동/NNG+연설회/NNG+에서/JKB
‘김	‘/SS+김/NNP
대권	대권/NNG
포기를	포기/NNG+를/JKO
선언하면	선언/NNG+하/XSV+면/EC
(나도)	(/SS+나/NP+도/JX+)/SS
중대	중대/NNG
결단을	결단/NNG+을/JKO
할	하/VV+ㄹ/ETM
것’이라고	것/NNB+’/SS+이라고/JKQ
발언한	발언/NNG+하/XSV+ㄴ/ETM
배경을	배경/NNG+을/JKO
설명하고	설명/NNG+하/XSV+고/EC
의견을	의견/NNG+을/JKO
구하는	구하/VV+는/ETM
자리였다”고	자리/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.333.5.1
모임에는 친박(친박근혜) 실세인 최경환 경제부총리 겸 기획재정부 장관 후보자도 잠시 들렀다.

모임에는	모임/NNG+에/JKB+는/JX
친박(친박근혜)	친/XPN+박/NNP+(/SS+친/XPN+박근혜/NNP+)/SS
실세인	실세/NNG+이/VCP+ㄴ/ETM
최경환	최경환/NNP
경제부총리	경제/NNG+부총리/NNG
겸	겸/NNB
기획재정부	기획/NNG+재정부/NNG
장관	장관/NNG
후보자도	후보자/NNG+도/JX
잠시	잠시/MAG
들렀다.	들르/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.333.5.2
최 후보자는 통화에서 “다른 모임에 참석차 갔다가 우연히 만나서 잠깐 인사하고 나온 것이 전부”라고 해명했다.

최	최/NNP
후보자는	후보자/NNG+는/JX
통화에서	통화/NNG+에서/JKB
“다른	“/SS+다른/MMD
모임에	모임/NNG+에/JKB
참석차	참석차/NNG
갔다가	가/VV+았/EP+다가/EC
우연히	우연히/MAG
만나서	만나/VV+아서/EC
잠깐	잠깐/MAG
인사하고	인사/NNG+하/XSV+고/EC
나온	나오/VV+ㄴ/ETM
것이	것/NNB+이/JKS
전부”라고	전부/NNG+”/SS+라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.333.6.1
김 의원 측은 이날 조찬회동과 관련해 서 의원을 당 선거관리위원회에 고발했다.

김	김/NNP
의원	의원/NNG
측은	측/NNB+은/JX
이날	이날/NNG
조찬회동과	조찬/NNG+회동/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
서	서/NNP
의원을	의원/NNG+을/JKO
당	당/NNG
선거관리위원회에	선거/NNG+관리/NNG+위원회/NNG+에/JKB
고발했다.	고발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.333.6.2
허숭 캠프 대변인은 논평을 통해 “줄 세우기, 세(勢) 과시 등 위법 행위와 구태를 즉각 중단하라”고 촉구했다.

허숭	허숭/NNP
캠프	캠프/NNG
대변인은	대변인/NNG+은/JX
논평을	논평/NNG+을/JKO
통해	통하/VV+아/EC
“줄	“/SS+줄/NNG
세우기,	세우/VV+기/ETN+,/SP
세(勢)	세/NNG+(/SS+勢/SH+)/SS
과시	과시/NNG
등	등/NNB
위법	위법/NNG
행위와	행위/NNG+와/JC
구태를	구태/NNG+를/JKO
즉각	즉각/MAG
중단하라”고	중단/NNG+하/XSV+라/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.333.6.3
김 의원 측은 “오늘 조찬회동은 당 선관위 규칙상 금지되는 행위로 예시되는 후보자 지지 선언과 후보자 세 과시 행사 참여에 모두 해당하는 것”이라고 비판했다.

김	김/NNP
의원	의원/NNG
측은	측/NNB+은/JX
“오늘	“/SS+오늘/MAG
조찬회동은	조찬/NNG+회동/NNG+은/JX
당	당/NNG
선관위	선관위/NNG
규칙상	규칙/NNG+상/XSN
금지되는	금지/NNG+되/XSV+는/ETM
행위로	행위/NNG+로/JKB
예시되는	예시/NNG+되/XSV+는/ETM
후보자	후보자/NNG
지지	지지/NNG
선언과	선언/NNG+과/JC
세	세/NNG
과시	과시/NNG
행사	행사/NNG
참여에	참여/NNG+에/JKB
모두	모두/MAG
해당하는	해당/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.333.7.1
한 캠프 관계자는 “서 의원의 조찬에 참석한 일부 인사들은 ‘대권 욕심이 있는 사람은 대표가 돼서는 안 된다는 합의가 있었다’는 서 의원 측의 발표 내용에 동의하지 않는다고 전해 왔다”고 주장했다.

한	한/MMN
캠프	캠프/NNG
관계자는	관계자/NNG+는/JX
“서	“/SS+서/NNP
의원의	의원/NNG+의/JKG
조찬에	조찬/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
일부	일부/NNG
인사들은	인사/NNG+들/XSN+은/JX
‘대권	‘/SS+대권/NNG
욕심이	욕심/NNG+이/JKS
있는	있/VA+는/ETM
사람은	사람/NNG+은/JX
대표가	대표/NNG+가/JKC
돼서는	되/VV+어서/EC+는/JX
안	안/MAG
된다는	되/VV+ㄴ다는/ETM
합의가	합의/NNG+가/JKS
있었다’는	있/VA+었/EP+다/EF+’/SS+는/ETM
서	서/NNP
의원	의원/NNG
측의	측/NNB+의/JKG
발표	발표/NNG
내용에	내용/NNG+에/JKB
동의하지	동의/NNG+하/XSV+지/EC
않는다고	않/VX+는다고/EC
전해	전하/VV+아/EC
왔다”고	오/VX+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.333.8.1
이날 오후 열린 마지막 TV토론회에서도 서 의원과 김 의원은 대권 포기 이슈를 놓고 날카롭게 맞섰다.

이날	이날/NNG
오후	오후/NNG
열린	열리/VV+ㄴ/ETM
마지막	마지막/NNG
TV토론회에서도	TV/SL+토론회/NNG+에서/JKB+도/JX
서	서/NNP
의원과	의원/NNG+과/JC
김	김/NNP
의원은	의원/NNG+은/JX
대권	대권/NNG
포기	포기/NNG
이슈를	이슈/NNG+를/JKO
놓고	놓/VV+고/EC
날카롭게	날카롭/VA+게/EC
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.333.8.2
김 의원이 “중대 결단이 무엇인지 말을 해야 나의 입장을 밝힐 수 있다”고 묻자, 서 의원은 “먼저 제기했던 대권 포기에 대한 말을 확실히 하기 전엔 (중대 결단의 내용을) 말할 수 없다”고 받아쳤다.

김	김/NNP
의원이	의원/NNG+이/JKS
“중대	“/SS+중대/NNG
결단이	결단/NNG+이/JKS
무엇인지	무엇/NP+이/VCP+ㄴ지/EC
말을	말/NNG+을/JKO
해야	하/VV+아야/EC
나의	나/NP+의/JKG
입장을	입장/NNG+을/JKO
밝힐	밝히/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
묻자,	묻/VV+자/EC+,/SP
서	서/NNP
의원은	의원/NNG+은/JX
“먼저	“/SS+먼저/MAG
제기했던	제기/NNG+하/XSV+았/EP+던/ETM
대권	대권/NNG
포기에	포기/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
확실히	확실히/MAG
하기	하/VV+기/ETN
전엔	전/NNG+에/JKB+ㄴ/JX
(중대	(/SS+중대/NNG
결단의	결단/NNG+의/JKG
내용을)	내용/NNG+을/JKO+)/SS
말할	말/NNG+하/XSV+ㄹ/ETM
없다”고	없/VA+다/EF+”/SS+고/JKQ
받아쳤다.	받아치/VV+었/EP+다/EF+./SF


