# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.179
metadata : {}


# id : NWRW1800000024.179.1.1
주춤대는 증시, 올 것이 왔나

주춤대는	주춤대/VV+는/ETM
기준금리와,	기준/NNG+금리/NNG+와/JC+,/SP
채권시장안정펀드	채권/NNG+시장/NNG+안정/NNG+펀드/NNG
조성과	조성/NNG+과/JKB
같은	같/VA+은/ETM
정부의	정부/NNG+의/JKG
시장	시장/NNG
금리	금리/NNG
인하	인하/NNG
노력에	노력/NNG+에/JKB
힘입어	힘입/VV+어/EC
시중	시중/NNG
부동자금은	부동/NNG+자금/NNG+은/JX
최근	최근/NNG
800조원을	800/SN+조/NR+원/NNB+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.179.5.4
이러한 부동자금은 증시로 흘러들거나, 주변에 머무르면서 증시를 이끌어왔다.

이러한	이러하/VA+ㄴ/ETM
부동자금은	부동/NNG+자금/NNG+은/JX
증시로	증시/NNG+로/JKB
흘러들거나,	흘러들/VV+거나/EC+,/SP
주변에	주변/NNG+에/JKB
머무르면서	머무르/VV+면서/EC
증시를	증시/NNG+를/JKO
이끌어왔다.	이끌/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.179.5.5
실제 개인 투자자들이 4월 이후 2조9천억원어치나 순매수한 것은 저금리의 힘을 방증한다.

실제	실제/MAG
개인	개인/NNG
투자자들이	투자자/NNG+들/XSN+이/JKS
4월	4/SN+월/NNB
이후	이후/NNG
2조9천억원어치나	2/SN+조/NR+9/SN+천억/NR+원/NNB+어치/XSN+나/JX
순매수한	순/MMA+매수/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
저금리의	저/XPN+금리/NNG+의/JKG
힘을	힘/NNG+을/JKO
방증한다.	방증/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.179.6.1
지난 3월부터 시작된 경기 바닥론 논쟁에서 보듯이 확산된 경기 회복 기대감도 빼놓을 수 없다.

지난	지나/VV+ㄴ/ETM
3월부터	3/SN+월/NNB+부터/JX
시작된	시작/NNG+되/XSV+ㄴ/ETM
경기	경기/NNG
바닥론	바닥/NNG+론/XSN
논쟁에서	논쟁/NNG+에서/JKB
보듯이	보/VV+듯이/EC
확산된	확산/NNG+되/XSV+ㄴ/ETM
회복	회복/NNG
기대감도	기대감/NNG+도/JX
빼놓을	빼놓/VV+을/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000024.179.6.2
실탄이 충분하더라도 경기 전망이 어둡다면 섣불리 위험 자산인 주식에 투자하기 어렵기 때문이다.

실탄이	실탄/NNG+이/JKS
충분하더라도	충분하/VA+더라도/EC
경기	경기/NNG
전망이	전망/NNG+이/JKS
어둡다면	어둡/VA+다면/EC
섣불리	섣불리/MAG
위험	위험/NNG
자산인	자산/NNG+이/VCP+ㄴ/ETM
주식에	주식/NNG+에/JKB
투자하기	투자/NNG+하/XSV+기/ETN
어렵기	어렵/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.179.6.3
특히 서브프라임(미국 비우량 주택담보대출) 위기에 직접 노출되지 않은 신흥시장이 다른 선진국 시장보다 더 빠르게 회복세에 돌아설 것이라는 국내외 전문가들의 분석이 쏟아지면서 부분적으로나마 존재하던 한국 경제에 대한 신중론마저도 낙관론에 쉽게 가려졌다.

특히	특히/MAG
서브프라임(미국	서브프라임/NNG+(/SS+미국/NNP
비우량	비/XPN+우량/NNG
주택담보대출)	주택/NNG+담보/NNG+대출/NNG+)/SS
위기에	위기/NNG+에/JKB
직접	직접/MAG
노출되지	노출/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
신흥시장이	신흥/NNG+시장/NNG+이/JKS
다른	다른/MMD
선진국	선진국/NNG
시장보다	시장/NNG+보다/JKB
더	더/MAG
빠르게	빠르/VA+게/EC
회복세에	회복세/NNG+에/JKB
돌아설	돌아서/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
국내외	국내외/NNG
전문가들의	전문가/NNG+들/XSN+의/JKG
분석이	분석/NNG+이/JKS
쏟아지면서	쏟아지/VV+면서/EC
부분적으로나마	부분/NNG+적/XSN+으로/JKB+나마/JX
존재하던	존재/NNG+하/XSV+던/ETM
한국	한국/NNP
경제에	경제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신중론마저도	신중/NNG+론/XSN+마저/JX+도/JX
낙관론에	낙관/NNG+론/XSN+에/JKB
쉽게	쉽/VA+게/EC
가려졌다.	가려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.179.7.1
결국 최근 증시 하락세는 그간 상승세가 기업 실적 회복이 뒷받침되지 않은 상황에서 유동성과 경기 회복 기대에만 과도하게 의존한 것에 대한 경계감이 커졌기 때문이라고 볼 수 있다.

결국	결국/MAG
최근	최근/NNG
증시	증시/NNG
하락세는	하락세/NNG+는/JX
그간	그/NP+간/XSN
상승세가	상승세/NNG+가/JKS
기업	기업/NNG
실적	실적/NNG
회복이	회복/NNG+이/JKS
뒷받침되지	뒷받침/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
상황에서	상황/NNG+에서/JKB
유동성과	유동/NNG+성/XSN+과/JC
경기	경기/NNG
회복	회복/NNG
기대에만	기대/NNG+에/JKB+만/JX
과도하게	과도/NNG+하/XSA+게/EC
의존한	의존/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
경계감이	경계감/NNG+이/JKS
커졌기	커지/VV+었/EP+기/ETN
때문이라고	때문/NNB+이/VCP+라고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.179.7.2
현재와 미래의 우리 경제에 대한 소비자들의 종합적인 심리를 나타내는 소비자심리 지수(CSI) 5월치가 1년여 만에 최고치를 기록하는 등 크게 개선된 심리 지표가 26일 발표됐음에도 당일 코스피지수가 20 이상 내린 데서도 이런 사정이 잘 드러난다.

현재와	현재/NNG+와/JC
미래의	미래/NNG+의/JKG
우리	우리/NP
경제에	경제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소비자들의	소비자/NNG+들/XSN+의/JKG
종합적인	종합/NNG+적/XSN+이/VCP+ㄴ/ETM
심리를	심리/NNG+를/JKO
나타내는	나타내/VV+는/ETM
소비자심리	소비자/NNG+심리/NNG
지수(CSI)	지수/NNG+(/SS+CSI/SL+)/SS
5월치가	5/SN+월/NNB+치/XSN+가/JKS
1년여	1/SN+년/NNB+여/XSN
만에	만/NNB+에/JKB
최고치를	최고/NNG+치/XSN+를/JKO
기록하는	기록/NNG+하/XSV+는/ETM
등	등/NNB
크게	크/VA+게/EC
개선된	개선/NNG+되/XSV+ㄴ/ETM
심리	심리/NNG
지표가	지표/NNG+가/JKS
26일	26/SN+일/NNB
발표됐음에도	발표/NNG+되/XSV+었/EP+음/ETN+에/JKB+도/JX
당일	당일/NNG
코스피지수가	코스피/NNP+지수/NNG+가/JKS
20	20/SN
이상	이상/NNG
내린	내리/VV+ㄴ/ETM
데서도	데/NNB+서/JKB+도/JX
이런	이런/MMD
사정이	사정/NNG+이/JKS
잘	잘/MAG
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.179.8.1
증시 분석가들 사이에서도 최근 들어 속도 조절, 추세 반전 등의 목소리가 부쩍 늘어나고 있다.

증시	증시/NNG
분석가들	분석가/NNG+들/XSN
사이에서도	사이/NNG+에서/JKB+도/JX
최근	최근/NNG
들어	들/VV+어/EC
속도	속도/NNG
조절,	조절/NNG+,/SP
추세	추세/NNG
반전	반전/NNG
등의	등/NNB+의/JKG
목소리가	목소리/NNG+가/JKS
부쩍	부쩍/MAG
늘어나고	늘어나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.179.8.2
김세중 신영증권 투자전략팀장은 “추세 상승을 위해선 기업 구조조정을 통한 생산성 향상과 이익의 효율화가 필요하다”며 “심리 지표에 고무되어 더 이상 낙관의 액셀을 밟기엔 현실 경기의 무게가 버겁다”고 밝혔다.

김세중	김세중/NNP
신영증권	신영증권/NNP
투자전략팀장은	투자/NNG+전략/NNG+팀장/NNG+은/JX
“추세	“/SS+추세/NNG
상승을	상승/NNG+을/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
기업	기업/NNG
구조조정을	구조/NNG+조정/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
생산성	생산/NNG+성/XSN
향상과	향상/NNG+과/JC
이익의	이익/NNG+의/JKG
효율화가	효율/NNG+화/XSN+가/JKS
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
“심리	“/SS+심리/NNG
지표에	지표/NNG+에/JKB
고무되어	고무/NNG+되/XSV+어/EC
더	더/MAG
이상	이상/NNG
낙관의	낙관/NNG+의/JKG
액셀을	액셀/NNG+을/JKO
밟기엔	밟/VV+기/ETN+에/JKB+ㄴ/JX
현실	현실/NNG
경기의	경기/NNG+의/JKG
무게가	무게/NNG+가/JKS
버겁다”고	버겁/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.179.8.3
임정석 엔에이치(NH)투자증권 투자전략가도 “경기 흐름에 대한 과도한 기대는 일정 부분 조정이 필요하다”고 말했다.

임정석	임정석/NNP
엔에이치(NH)투자증권	엔에이치/NNP+(/SS+NH/SL+)/SS+투자/NNG+증권/NNG
투자전략가도	투자/NNG+전략가/NNG+도/JX
“경기	“/SS+경기/NNG
흐름에	흐름/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
과도한	과도/NNG+하/XSA+ㄴ/ETM
기대는	기대/NNG+는/JX
일정	일정/NNG
부분	부분/NNG
조정이	조정/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.179.8.4
지금까지는 경기 회복에 대한 ‘기대감’에 기대어 증시에 돈이 몰리고 주가가 올랐다면, 앞으로는 ‘기대’를 ‘확신’으로 바꿀 수 있도록 기업 실적이 뒷받침되거나, 과도한 기대 자체를 줄여야 한다는 것이다.

지금까지는	지금/NNG+까지/JX+는/JX
경기	경기/NNG
회복에	회복/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘기대감’에	‘/SS+기대감/NNG+’/SS+에/JKB
기대어	기대/VV+어/EC
증시에	증시/NNG+에/JKB
돈이	돈/NNG+이/JKS
몰리고	몰리/VV+고/EC
주가가	주가/NNG+가/JKS
올랐다면,	오르/VV+았/EP+다면/EC+,/SP
앞으로는	앞/NNG+으로/JKB+는/JX
‘기대’를	‘/SS+기대/NNG+’/SS+를/JKO
‘확신’으로	‘/SS+확신/NNG+’/SS+으로/JKB
바꿀	바꾸/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
기업	기업/NNG
실적이	실적/NNG+이/JKS
뒷받침되거나,	뒷받침/NNG+되/XSV+거나/EC+,/SP
과도한	과도/NNG+하/XSA+ㄴ/ETM
기대	기대/NNG
자체를	자체/NNG+를/JKO
줄여야	줄이/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


