# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.270
metadata : {}


# id : NWRW1800000040.270.1.1
부산 특수학교, 학생 성폭행 의혹도

부산	부산/NNP
의혹을	의혹/NNG+을/JKO
쪽이	쪽/NNB+이/JKS
교육청에	교육청/NNG+에/JKB
보고하지	보고/NNG+하/XSV+지/EC
않고	않/VX+고/EC
은폐했다는	은폐/NNG+하/XSV+았/EP+다는/ETM
지적이	지적/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
뒤였다.	뒤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.270.8.3
부산시교육청은 다음날 학교를 방문해 조사했으나 성폭행 혐의를 밝혀내지 못했다.

부산시교육청은	부산시교육청/NNP+은/JX
다음날	다음날/NNG
학교를	학교/NNG+를/JKO
방문해	방문/NNG+하/XSV+아/EC
조사했으나	조사/NNG+하/XSV+았/EP+으나/EC
성폭행	성폭행/NNG
혐의를	혐의/NNG+를/JKO
밝혀내지	밝혀내/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.270.9.1
여학생은 이달 초 학교 쪽이 벌인 추가 조사에서 ‘성폭행과 성추행을 당했다’고 새롭게 진술했다.

여학생은	여학생/NNG+은/JX
이달	이달/NNG
초	초/NNB
학교	학교/NNG
쪽이	쪽/NNB+이/JKS
벌인	벌이/VV+ㄴ/ETM
추가	추가/NNG
조사에서	조사/NNG+에서/JKB
‘성폭행과	‘/SS+성폭행/NNG+과/JC
성추행을	성추행/NNG+을/JKO
당했다’고	당하/VV+았/EP+다/EF+’/SS+고/JKQ
새롭게	새롭/VA+게/EC
진술했다.	진술/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.270.9.2
경찰관·학부모 등으로 꾸려진 학교폭력대책 자치위원회는 지난 5일 남학생한테 전학 조처와 함께 출석 정지를 결정했다.

경찰관·학부모	경찰관/NNG+·/SP+학부모/NNG
등으로	등/NNB+으로/JKB
꾸려진	꾸리/VV+어/EC+지/VX+ㄴ/ETM
학교폭력대책	학교/NNG+폭력/NNG+대책/NNG
자치위원회는	자치/NNG+위원회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
남학생한테	남학생/NNG+한테/JKB
전학	전학/NNG
조처와	조처/NNG+와/JKB
함께	함께/MAG
출석	출석/NNG
정지를	정지/NNG+를/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.270.9.3
성추행만 했다는 남학생의 주장은 받아들여지지 않았다.

성추행만	성추행/NNG+만/JX
했다는	하/VV+았/EP+다는/ETM
남학생의	남학생/NNG+의/JKG
주장은	주장/NNG+은/JX
받아들여지지	받아들이/VV+어/EC+지/VX+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.270.10.1
남학생의 부모는 11일 부산시교육청에 재심을 요구했다.

남학생의	남학생/NNG+의/JKG
부모는	부모/NNG+는/JX
11일	11/SN+일/NNB
부산시교육청에	부산시교육청/NNP+에/JKB
재심을	재심/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.270.10.2
교사는 “처음 조사했을 때 여학생이 부인해 성폭행 등을 당하지 않은 것으로 판단했다.

교사는	교사/NNG+는/JX
“처음	“/SS+처음/NNG
조사했을	조사/NNG+하/XSV+았/EP+을/ETM
때	때/NNG
여학생이	여학생/NNG+이/JKS
부인해	부인/NNG+하/XSV+아/EC
성폭행	성폭행/NNG
등을	등/NNB+을/JKO
당하지	당하/VV+지/EC
않은	않/VX+은/ETM
것으로	것/NNB+으로/JKB
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.270.10.3
상급 기관에 일부러 보고하지 않은 것은 아니다”라고 말했다.

상급	상급/NNG
기관에	기관/NNG+에/JKB
일부러	일부러/MAG
보고하지	보고/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.270.10.4
부산시교육청 관계자는 “올해 성폭행을 포함한 학교폭력 예방교육을 수차례 했지만 학교 쪽에서 정확히 숙지하지 않은 것 같다”고 말했다.

부산시교육청	부산시교육청/NNP
관계자는	관계자/NNG+는/JX
“올해	“/SS+올해/NNG
성폭행을	성폭행/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
학교폭력	학교/NNG+폭력/NNG
예방교육을	예방/NNG+교육/NNG+을/JKO
수차례	수차례/NNG
했지만	하/VV+았/EP+지만/EC
학교	학교/NNG
쪽에서	쪽/NNB+에서/JKB
정확히	정확히/MAG
숙지하지	숙지/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


