# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.234
metadata : {}


# id : NWRW1800000032.234.1.1
반값 등록금 대신 ‘선별 장학금’

반값	반값/NNG
Ⅰ유형’은	Ⅰ/SL+유형/NNG+’/SS+은/JX
기초생활수급	기초/NNG+생활/NNG+수급/NNG
대상자와	대상자/NNG+와/JC
소득	소득/NNG
하위	하위/NNG
3분위	3/SN+분위/NNG
이하의	이하/NNG+의/JKG
학생에게	학생/NNG+에게/JKB
장학금을	장학금/NNG+을/JKO
차등	차등/NNG
지급하는	지급/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.234.6.1
나머지 7500억원을 지원하는 ‘국가장학금 Ⅱ유형’은 기초생활수급 대상자부터 소득 하위 7분위까지의 학생들을 대상으로 하며, 대학의 자구노력에 따라 차등 지원된다.

나머지	나머지/NNG
7500억원을	7500/SN+억/NR+원/NNB+을/JKO
지원하는	지원/NNG+하/XSV+는/ETM
‘국가장학금	‘/SS+국가/NNG+장학금/NNG
Ⅱ유형’은	Ⅱ/SL+유형/NNG+’/SS+은/JX
기초생활수급	기초/NNG+생활/NNG+수급/NNG
대상자부터	대상자/NNG+부터/JX
소득	소득/NNG
하위	하위/NNG
7분위까지의	7/SN+분위/NNG+까지/JX+의/JKG
학생들을	학생/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
하며,	하/VV+며/EC+,/SP
대학의	대학/NNG+의/JKG
자구노력에	자구/NNG+노력/NNG+에/JKB
따라	따르/VV+아/EC
차등	차등/NNG
지원된다.	지원/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.234.7.1
이런 방안은 한나라당이 지난 6월23일 발표한 대책보다 후퇴한 것이다.

이런	이런/MMD
방안은	방안/NNG+은/JX
한나라당이	한나라당/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
6월23일	6/SN+월/NNB+23/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
대책보다	대책/NNG+보다/JKB
후퇴한	후퇴/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.234.7.2
한나라당은 당시 정부 등록금 예산 1조5000억원 가운데 1조3000억원을 고지서상 명목 등록금 인하에 투입하겠다고 발표한 바 있다.

한나라당은	한나라당/NNP+은/JX
당시	당시/NNG
정부	정부/NNG
등록금	등록금/NNG
예산	예산/NNG
1조5000억원	1/SN+조/NR+5000/SN+억/NR+원/NNB
가운데	가운데/NNG
1조3000억원을	1/SN+조/NR+3000/SN+억/NR+원/NNB+을/JKO
고지서상	고지서/NNG+상/XSN
명목	명목/NNG
인하에	인하/NNG+에/JKB
투입하겠다고	투입/NNG+하/XSV+겠/EP+다고/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.234.7.3
임희성 한국대학교육연구소 연구원은 “고지서상 명목 등록금 인하가 이뤄지지 않았고, 등록금 대책이 안착할 수 있도록 국가가 매년 예산을 자동 교부하는 고등교육재정교부금, 등록금 액수 상한제 등도 빠졌다”며 “애초 ‘반값 등록금’ 주장이 나온 근본 원인이었던 등록금 고액화를 막을 수 있는 제도적인 접근이 아니다”라고 지적했다.

임희성	임희성/NNP
한국대학교육연구소	한국대학교육연구소/NNP
연구원은	연구원/NNG+은/JX
“고지서상	“/SS+고지서/NNG+상/XSN
명목	명목/NNG
등록금	등록금/NNG
인하가	인하/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
대책이	대책/NNG+이/JKS
안착할	안착/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
국가가	국가/NNG+가/JKS
매년	매년/MAG
예산을	예산/NNG+을/JKO
자동	자동/NNG
교부하는	교부/NNG+하/XSV+는/ETM
고등교육재정교부금,	고등/NNG+교육/NNG+재정/NNG+교부금/NNG+,/SP
액수	액수/NNG
상한제	상한/NNG+제/XSN
등도	등/NNB+도/JX
빠졌다”며	빠지/VV+었/EP+다/EF+”/SS+며/EC
“애초	“/SS+애초/NNG
‘반값	‘/SS+반값/NNG
등록금’	등록금/NNG+’/SS
주장이	주장/NNG+이/JKS
나온	나오/VV+ㄴ/ETM
근본	근본/NNG
원인이었던	원인/NNG+이/VCP+었/EP+던/ETM
고액화를	고액/NNG+화/XSN+를/JKO
막을	막/VV+을/ETM
있는	있/VA+는/ETM
제도적인	제도/NNG+적/XSN+이/VCP+ㄴ/ETM
접근이	접근/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


