# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.202
metadata : {}


# id : NWRW1800000037.202.1.1
법원 “상여금은 통상임금 아니다”

법원	법원/NNG
“상여금은	“/SS+상여금/NNG+은/JX
근무일수와	근무일/NNG+수/NNG+와/JC
성적에	성적/NNG+에/JKB
의해	의하/VV+아/EC
지급액이나	지급액/NNG+이나/JC
지급	지급/NNG
여부가	여부/NNG+가/JKS
달라져	달라지/VV+어/EC
통상임금으로	통상/NNG+임금/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
없다”는	없/VA+다/EF+”/SS+는/ETM
판결을	판결/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.202.4.1
인천지법 민사합의11부(부장판사 김범준)는 수도권 광역버스를 운영하는 삼화고속 전현직 근로자들이 “통상임금에 근속수당과 식대수당, 상여금 등 수당을 포함시켜 달라”며 회사 측을 상대로 낸 소송에서 “상여금은 포함되지 않고 근속수당과 식대는 포함된다”고 9일 원고 일부 승소 판결했다.

인천지법	인천지법/NNP
민사합의11부(부장판사	민사/NNG+합의/NNG+11/SN+부/NNG+(/SS+부장/NNG+판사/NNG
김범준)는	김범준/NNP+)/SS+는/JX
수도권	수도/NNG+권/XSN
광역버스를	광역/NNG+버스/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
삼화고속	삼화고속/NNP
전현직	전현직/NNG
근로자들이	근로자/NNG+들/XSN+이/JKS
“통상임금에	“/SS+통상/NNG+임금/NNG+에/JKB
근속수당과	근속/NNG+수당/NNG+과/JC
식대수당,	식대/NNG+수당/NNG+,/SP
상여금	상여금/NNG
등	등/NNB
수당을	수당/NNG+을/JKO
포함시켜	포함/NNG+시키/XSV+어/EC
달라”며	달/VX+라/EF+”/SS+며/EC
회사	회사/NNG
측을	측/NNB+을/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
소송에서	소송/NNG+에서/JKB
“상여금은	“/SS+상여금/NNG+은/JX
포함되지	포함/NNG+되/XSV+지/EC
않고	않/VX+고/EC
식대는	식대/NNG+는/JX
포함된다”고	포함/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
9일	9/SN+일/NNB
원고	원고/NNG
일부	일부/NNG
승소	승소/NNG
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.202.4.2
재판부는 상여금을 포함시키지 않은 이유에 대해 “상여금이 연 6회 정기적으로 지급되긴 했지만 근로자가 상여금 산정기간 동안 근무한 기간 등에 따라 지급 여부와 액수가 달라지므로 비고정적인 임금에 해당된다”고 설명했다.

재판부는	재판부/NNG+는/JX
상여금을	상여금/NNG+을/JKO
포함시키지	포함/NNG+시키/XSV+지/EC
않은	않/VX+은/ETM
이유에	이유/NNG+에/JKB
대해	대하/VV+아/EC
“상여금이	“/SS+상여금/NNG+이/JKS
연	연/NNG
6회	6/SN+회/NNB
정기적으로	정기/NNG+적/XSN+으로/JKB
지급되긴	지급/NNG+되/XSV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
근로자가	근로자/NNG+가/JKS
상여금	상여금/NNG
산정기간	산정/NNG+기간/NNG
동안	동안/NNG
근무한	근무/NNG+하/XSV+ㄴ/ETM
기간	기간/NNG
등에	등/NNB+에/JKB
따라	따르/VV+아/EC
지급	지급/NNG
여부와	여부/NNG+와/JC
액수가	액수/NNG+가/JKS
달라지므로	달라지/VV+므로/EC
비고정적인	비/XPN+고정/NNG+적/XSN+이/VCP+ㄴ/ETM
임금에	임금/NNG+에/JKB
해당된다”고	해당/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.202.5.1
반면 재판부는 “근속수당과 식대수당은 정기적 일률적으로 지급된 고정적인 임금이므로 통상임금에 포함된다”며 “사측은 미지급된 수당 4억2200여만 원을 근로자 측에 지급하라”고 판결했다.

반면	반면/NNG
재판부는	재판부/NNG+는/JX
“근속수당과	“/SS+근속/NNG+수당/NNG+과/JC
식대수당은	식대/NNG+수당/NNG+은/JX
정기적	정기/NNG+적/XSN
일률적으로	일률/NNG+적/XSN+으로/JKB
지급된	지급/NNG+되/XSV+ㄴ/ETM
고정적인	고정/NNG+적/XSN+이/VCP+ㄴ/ETM
임금이므로	임금/NNG+이/VCP+므로/EC
통상임금에	통상/NNG+임금/NNG+에/JKB
포함된다”며	포함/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“사측은	“/SS+사측/NNG+은/JX
미지급된	미/XPN+지급/NNG+되/XSV+ㄴ/ETM
수당	수당/NNG
4억2200여만	4/SN+억/NR+2200/SN+여/XSN+만/NR
원을	원/NNB+을/JKO
근로자	근로자/NNG
측에	측/NNB+에/JKB
지급하라”고	지급/NNG+하/XSV+라/EF+”/SS+고/JKQ
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.202.6.1
그러나 재판부는 사측이 “통상임금에 대한 법적 정의가 명확하지 않다”며 낸 위헌법률심판제청 신청은 기각했다.

그러나	그러나/MAJ
재판부는	재판부/NNG+는/JX
사측이	사측/NNG+이/JKS
“통상임금에	“/SS+통상/NNG+임금/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
법적	법/NNG+적/XSN
정의가	정의/NNG+가/JKS
명확하지	명확하/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
낸	내/VV+ㄴ/ETM
위헌법률심판제청	위헌/NNG+법률/NNG+심판/NNG+제청/NNG
신청은	신청/NNG+은/JX
기각했다.	기각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.202.6.2
재판부는 “‘통상’이라는 뜻은 ‘일상적으로’라는 뜻과 같아 정기적 일률적으로 지급하는 고정임금이라고 충분히 해석할 수 있어 명확성의 원칙에 위배된다고 보기 어렵다”고 설명했다.

재판부는	재판부/NNG+는/JX
“‘통상’이라는	“/SS+‘/SS+통상/NNG+’/SS+이/VCP+라는/ETM
뜻은	뜻/NNG+은/JX
‘일상적으로’라는	‘/SS+일상/NNG+적/XSN+으로/JKB+’/SS+이/VCP+라는/ETM
뜻과	뜻/NNG+과/JKB
같아	같/VA+아/EC
정기적	정기/NNG+적/XSN
일률적으로	일률/NNG+적/XSN+으로/JKB
지급하는	지급/NNG+하/XSV+는/ETM
고정임금이라고	고정/NNG+임금/NNG+이/VCP+라고/EC
충분히	충분히/MAG
해석할	해석/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
명확성의	명확성/NNG+의/JKG
원칙에	원칙/NNG+에/JKB
위배된다고	위배/NNG+되/XSV+ㄴ다고/EC
보기	보/VV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.202.7.1
그동안 통상임금에 상여금이 포함되는지 법에 명확한 규정이 없어 정부와 법원의 판단이 엇갈려 왔다.

그동안	그동안/NNG
통상임금에	통상/NNG+임금/NNG+에/JKB
상여금이	상여금/NNG+이/JKS
포함되는지	포함/NNG+되/XSV+는지/EC
법에	법/NNG+에/JKB
명확한	명확하/VA+ㄴ/ETM
규정이	규정/NNG+이/JKS
없어	없/VA+어/EC
정부와	정부/NNG+와/JC
법원의	법원/NNG+의/JKG
판단이	판단/NNG+이/JKS
엇갈려	엇갈리/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.202.7.2
특히 지난해 3월 처음으로 대법원에서 “상여금을 통상임금에 포함시킬 수 있다”는 취지의 판결이 나오자 현대·기아자동차, 한국GM 등 대기업을 비롯해 중소기업 노조가 최근 3년 치의 상여금을 통상임금에 포함시켜 법정수당을 다시 계산해달라는 소송을 잇달아 제기했다.

특히	특히/MAG
지난해	지난해/NNG
3월	3/SN+월/NNB
처음으로	처음/NNG+으로/JKB
대법원에서	대/XPN+법원/NNG+에서/JKB
“상여금을	“/SS+상여금/NNG+을/JKO
통상임금에	통상/NNG+임금/NNG+에/JKB
포함시킬	포함/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있다”는	있/VA+다/EF+”/SS+는/ETM
취지의	취지/NNG+의/JKG
판결이	판결/NNG+이/JKS
나오자	나오/VV+자/EC
현대·기아자동차,	현대/NNP+·/SP+기아자동차/NNP+,/SP
한국GM	한국GM/NNP
등	등/NNB
대기업을	대/XPN+기업/NNG+을/JKO
비롯해	비롯하/VV+아/EC
중소기업	중소기업/NNG
노조가	노조/NNG+가/JKS
최근	최근/MAG
3년	3/SN+년/NNB
치의	치/NNB+의/JKG
상여금을	상여금/NNG+을/JKO
포함시켜	포함/NNG+시키/XSV+어/EC
법정수당을	법정/NNG+수당/NNG+을/JKO
다시	다시/MAG
계산해달라는	계산/NNG+하/XSV+아/EC+달/VX+라는/ETM
소송을	소송/NNG+을/JKO
잇달아	잇달/VV+아/EC
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.202.8.1
한편 삼화고속 노조 측은 임금 체불에 항의하며 13일부터 이틀간 경고 파업에 들어간다.

한편	한편/MAG
삼화고속	삼화고속/NNP
노조	노조/NNG
측은	측/NNB+은/JX
임금	임금/NNG
체불에	체불/NNG+에/JKB
항의하며	항의/NNG+하/XSV+며/EC
13일부터	13/SN+일/NNB+부터/JX
이틀간	이틀/NNG+간/XSN
경고	경고/NNG
파업에	파업/NNG+에/JKB
들어간다.	들어가/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.202.8.2
12일 삼화고속에 따르면 이 회사 민주노총 소속 노조원 300여 명은 13일 첫 버스가 출발하는 오전 5시부터 15일 오전 1시까지 버스 운행을 전면 중단하기로 했다.

12일	12/SN+일/NNB
삼화고속에	삼화고속/NNP+에/JKB
따르면	따르/VV+면/EC
이	이/MMD
회사	회사/NNG
민주노총	민주노총/NNP
소속	소속/NNG
노조원	노조원/NNG
300여	300/SN+여/XSN
명은	명/NNB+은/JX
13일	13/SN+일/NNB
첫	첫/MMN
버스가	버스/NNG+가/JKS
출발하는	출발/NNG+하/XSV+는/ETM
오전	오전/NNG
5시부터	5/SN+시/NNB+부터/JX
15일	15/SN+일/NNB
1시까지	1/SN+시/NNB+까지/JX
버스	버스/NNG
운행을	운행/NNG+을/JKO
전면	전면/NNG
중단하기로	중단/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


