# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.142
metadata : {}


# id : NWRW1800000041.142.1.1
[이새샘 기자의 고양이끼고 드라마]일본의 AV산업 치부 걷어내기

[이새샘	[/SS+이새샘/NNP
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.142.3.5
일본 와우와우TV의 최근 방영작이다.

일본	일본/NNP
와우와우TV의	와우와우TV/NNP+의/JKG
최근	최근/NNG
방영작이다.	방영작/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.142.4.1
5년간 일하던 회사를 관두고 도쿄에서 고향으로 돌아온 쓰네마쓰(나가야마 겐토)는 마을 경제를 되살렸다는 ‘갤럭시즈’라는 회사에 재취업한다.

5년간	5/SN+년/NNB+간/XSN
일하던	일/NNG+하/XSV+던/ETM
회사를	회사/NNG+를/JKO
관두고	관두/VV+고/EC
도쿄에서	도쿄/NNP+에서/JKB
고향으로	고향/NNG+으로/JKB
돌아온	돌아오/VV+ㄴ/ETM
쓰네마쓰(나가야마	쓰네마쓰/NNP+(/SS+나가야마/NNP
겐토)는	겐토/NNP+)/SS+는/JX
마을	마을/NNG
경제를	경제/NNG+를/JKO
되살렸다는	되살리/VV+었/EP+다는/ETM
‘갤럭시즈’라는	‘/SS+갤럭시즈/NNP+’/SS+이/VCP+라는/ETM
회사에	회사/NNG+에/JKB
재취업한다.	재/XPN+취업/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.142.4.2
그런데 이 회사, 알고 보니 성인비디오를 제작 판매하는 기업이다.

그런데	그런데/MAJ
이	이/MMD
회사,	회사/NNG+,/SP
알고	알/VV+고/EC
보니	보/VX+니/EC
성인비디오를	성인/NNG+비디오/NNG+를/JKO
제작	제작/NNG
판매하는	판매/NNG+하/XSV+는/ETM
기업이다.	기업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.142.4.3
마을도 사람들도 변했다.

마을도	마을/NNG+도/JX
사람들도	사람/NNG+들/XSN+도/JX
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.142.4.4
마을 전체가 성인물 촬영 세트장이 돼 버렸다.

마을	마을/NNG
전체가	전체/NNG+가/JKS
성인물	성인물/NNG
촬영	촬영/NNG
세트장이	세트장/NNG+이/JKC
돼	되/VV+어/EC
버렸다.	버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.142.4.5
어린 시절 학교 선생님은 에로 배우가, 친구는 성인물 감독이 됐으며, 마을 노인들은 민망한 장면을 모자이크 처리하는 ‘모자이크 장인’으로 일한다.

어린	어리/VA+ㄴ/ETM
시절	시절/NNG
학교	학교/NNG
선생님은	선생/NNG+님/XSN+은/JX
에로	에로/NNG
배우가,	배우/NNG+가/JKS+,/SP
친구는	친구/NNG+는/JX
성인물	성인물/NNG
감독이	감독/NNG+이/JKC
됐으며,	되/VV+었/EP+으며/EC+,/SP
마을	마을/NNG
노인들은	노인/NNG+들/XSN+은/JX
민망한	민망하/VA+ㄴ/ETM
장면을	장면/NNG+을/JKO
모자이크	모자이크/NNG
처리하는	처리/NNG+하/XSV+는/ETM
‘모자이크	‘/SS+모자이크/NNG
장인’으로	장인/NNG+’/SS+으로/JKB
일한다.	일/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.142.4.6
고지식한 성격에 혼란스러워하던 쓰네마쓰는 갤럭시즈의 괴짜 사장 구이 요시아키로부터 법망을 피해 ‘노모물’(모자이크를 치지 않은 성인물)을 몰래 제작하는 자회사 ‘무수정’의 사장으로 일해 달라는 갑작스러운 제안을 받는다.

고지식한	고지식하/VA+ㄴ/ETM
성격에	성격/NNG+에/JKB
혼란스러워하던	혼란/NNG+스럽/XSA+어/EC+하/VX+던/ETM
쓰네마쓰는	쓰네마쓰/NNP+는/JX
갤럭시즈의	갤럭시즈/NNP+의/JKG
괴짜	괴짜/NNG
사장	사장/NNG
구이	구이/NNP
요시아키로부터	요시아키/NNP+로부터/JKB
법망을	법망/NNG+을/JKO
피해	피하/VV+아/EC
‘노모물’(모자이크를	‘/SS+노모물/NNG+’/SS+(/SS+모자이크/NNG+를/JKO
치지	치/VV+지/EC
않은	않/VX+은/ETM
성인물)을	성인물/NNG+)/SS+을/JKO
몰래	몰래/MAG
제작하는	제작/NNG+하/XSV+는/ETM
자회사	자회사/NNG
‘무수정’의	‘/SS+무수정/NNP+’/SS+의/JKG
사장으로	사장/NNG+으로/JKB
일해	일/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
갑작스러운	갑작스럽/VA+ㄴ/ETM
제안을	제안/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000041.142.5.1
줄거리는 가볍다 못해 황당하지만 대사들은 꽤 묵직하다.

줄거리는	줄거리/NNG+는/JX
가볍다	가볍/VA+다/EC
못해	못하/VX+아/EC
황당하지만	황당하/VA+지만/EC
대사들은	대사/NNG+들/XSN+은/JX
꽤	꽤/MAG
묵직하다.	묵직하/VA+다/EF+./SF


# id : NWRW1800000041.142.5.2
드라마 도입부 구이 사장은 쓰네마쓰에게 성관계를 촬영해 판매하는 행위는 금지하면서도 중요 부위에 모자이크만 치면 허용해주는 일본의 법체계를 꼬집는다.

드라마	드라마/NNG
도입부	도입부/NNG
구이	구이/NNP
사장은	사장/NNG+은/JX
쓰네마쓰에게	쓰네마쓰/NNP+에게/JKB
성관계를	성관계/NNG+를/JKO
촬영해	촬영/NNG+하/XSV+아/EC
판매하는	판매/NNG+하/XSV+는/ETM
행위는	행위/NNG+는/JX
금지하면서도	금지/NNG+하/XSV+면서/EC+도/JX
중요	중요/NNG
부위에	부위/NNG+에/JKB
모자이크만	모자이크/NNG+만/JX
치면	치/VV+면/EC
허용해주는	허용/NNG+하/XSV+아/EC+주/VX+는/ETM
일본의	일본/NNP+의/JKG
법체계를	법체계/NNG+를/JKO
꼬집는다.	꼬집/VV+는다/EF+./SF


# id : NWRW1800000041.142.5.3
“매춘은 불법이지만 소프랜드(욕조가 있는 방에서 매춘이 이뤄지는 윤락업소)는 된다.

“매춘은	“/SS+매춘/NNG+은/JX
불법이지만	불법/NNG+이/VCP+지만/EC
소프랜드(욕조가	소프랜드/NNG+(/SS+욕조/NNG+가/JKS
있는	있/VA+는/ETM
방에서	방/NNG+에서/JKB
매춘이	매춘/NNG+이/JKS
이뤄지는	이뤄지/VV+는/ETM
윤락업소)는	윤락업소/NNG+)/SS+는/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.142.5.4
도박은 안 되지만 빠찡꼬는 돼.

도박은	도박/NNG+은/JX
안	안/MAG
되지만	되/VV+지만/EC
빠찡꼬는	빠찡꼬/NNG+는/JX
돼.	되/VV+어/EF+./SF


# id : NWRW1800000041.142.5.5
다들 그런 식으로 하고 있다는 거야.”

다들	다/MAG+들/XSN
그런	그런/MMD
식으로	식/NNB+으로/JKB
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
거야.”	거/NNB+이/VCP+야/EF+./SF+”/SS


# id : NWRW1800000041.142.6.1
드라마는 시종일관 “어서오세요.

드라마는	드라마/NNG+는/JX
시종일관	시종일관/NNG
“어서오세요.	“/SS+어서/MAG+오/VV+시/EP+어요/EF+./SF


# id : NWRW1800000041.142.6.2
자랑스러운 일본의 성인비디오 업계로” “여러분 이것이 아름다운 모자이크 저편의 나라 일본입니다” 같은 내레이션을 쏟아내며 곪고 썩은 속내를 예의와 범절로 ‘모자이크 처리’하는 일본의 이중적인 모습을 비꼰다.

자랑스러운	자랑/NNG+스럽/XSA+ㄴ/ETM
일본의	일본/NNP+의/JKG
성인비디오	성인/NNG+비디오/NNG
업계로”	업계/NNG+로/JKB+”/SS
“여러분	“/SS+여러분/NP
이것이	이것/NP+이/JKS
아름다운	아름답/VA+ㄴ/ETM
모자이크	모자이크/NNG
저편의	저편/NP+의/JKG
나라	나라/NNG
일본입니다”	일본/NNP+이/VCP+ㅂ니다/EF+”/SS
같은	같/VA+은/ETM
내레이션을	내레이션/NNG+을/JKO
쏟아내며	쏟/VV+아/EC+내/VX+며/EC
곪고	곪/VV+고/EC
썩은	썩/VV+은/ETM
속내를	속내/NNG+를/JKO
예의와	예의/NNG+와/JC
범절로	범절/NNG+로/JKB
‘모자이크	‘/SS+모자이크/NNG
처리’하는	처리/NNG+’/SS+하/XSV+는/ETM
이중적인	이중/NNG+적/XSN+이/VCP+ㄴ/ETM
모습을	모습/NNG+을/JKO
비꼰다.	비꼬/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.142.7.1
결국 갤럭시즈는 법망에 걸리고 마을은 초토화된다.

결국	결국/MAG
갤럭시즈는	갤럭시즈/NNP+는/JX
법망에	법망/NNG+에/JKB
걸리고	걸리/VV+고/EC
마을은	마을/NNG+은/JX
초토화된다.	초토/NNG+화/XSN+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.142.7.2
하지만 갤럭시즈의 뒤를 봐주며 뇌물과 접대를 받던 권력자는 별다른 처벌을 받지 않는다.

하지만	하지만/MAJ
갤럭시즈의	갤럭시즈/NNP+의/JKG
뒤를	뒤/NNG+를/JKO
봐주며	봐주/VV+며/EC
뇌물과	뇌물/NNG+과/JC
접대를	접대/NNG+를/JKO
받던	받/VV+던/ETM
권력자는	권력자/NNG+는/JX
별다른	별다르/VA+ㄴ/ETM
처벌을	처벌/NNG+을/JKO
받지	받/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000041.142.7.3
오히려 그를 고발하려던 쓰네마쓰는 세상이 온통 모자이크 처리되는 환상을 보며 고통스러워한다.

오히려	오히려/MAG
그를	그/NP+를/JKO
고발하려던	고발/NNG+하/XSV+려던/ETM
쓰네마쓰는	쓰네마쓰/NNP+는/JX
세상이	세상/NNG+이/JKS
온통	온통/MAG
모자이크	모자이크/NNG
처리되는	처리/NNG+되/XSV+는/ETM
환상을	환상/NNG+을/JKO
보며	보/VV+며/EC
고통스러워한다.	고통/NNG+스럽/XSA+어/EC+하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.142.7.4
아무것도 모르는 순진한 모습으로 “너는 모자이크 같은 인간”이라는 비난을 받았던 쓰네마쓰는 과연 모자이크를 걷어내고 진실을 드러낼 수 있을까.

아무것도	아무것/NNG+도/JX
모르는	모르/VV+는/ETM
순진한	순진/NNG+하/XSA+ㄴ/ETM
모습으로	모습/NNG+으로/JKB
“너는	“/SS+너/NP+는/JX
모자이크	모자이크/NNG
같은	같/VA+은/ETM
인간”이라는	인간/NNG+”/SS+이/VCP+라는/ETM
비난을	비난/NNG+을/JKO
받았던	받/VV+았/EP+던/ETM
쓰네마쓰는	쓰네마쓰/NNP+는/JX
과연	과연/MAG
모자이크를	모자이크/NNG+를/JKO
걷어내고	걷/VV+어/EC+내/VX+고/EC
진실을	진실/NNG+을/JKO
드러낼	드러내/VV+ㄹ/ETM
수	수/NNB
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000041.142.7.5
드라마는 모자이크를 없애는 것이 시청자들의 몫이라는 듯, 명확한 결말을 알려주지 않은 채 끝난다.

드라마는	드라마/NNG+는/JX
모자이크를	모자이크/NNG+를/JKO
없애는	없애/VV+는/ETM
것이	것/NNB+이/JKS
시청자들의	시청자/NNG+들/XSN+의/JKG
몫이라는	몫/NNG+이/VCP+라는/ETM
듯,	듯/NNB+,/SP
명확한	명확하/VA+ㄴ/ETM
결말을	결말/NNG+을/JKO
알려주지	알리/VV+어/EC+주/VX+지/EC
않은	않/VX+은/ETM
채	채/NNB
끝난다.	끝나/VV+ㄴ다/EF+./SF


