# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.128
metadata : {}


# id : NWRW1800000033.128.1.1
“시청률 높으면… 관객 많으면…” 연예계 ‘공약’ 봇물

“시청률	“/SS+시청/NNG+률/XSN
이정진)에게	이정진/NNP+)/SS+에게/JKB
주겠다”고	주/VV+겠/EP+다/EF+”/SS+고/JKQ
공약했다.	공약/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.128.3.2
피에타는 지난 주말 관객 50만 명을 돌파해 이 약속이 실현될지에 눈길이 쏠리고 있다.

피에타는	피에타/NNP+는/JX
지난	지나/VV+ㄴ/ETM
주말	주말/NNG
관객	관객/NNG
50만	50/SN+만/NR
명을	명/NNB+을/JKO
돌파해	돌파/NNG+하/XSV+아/EC
이	이/MMD
약속이	약속/NNG+이/JKS
실현될지에	실현/NNG+되/XSV+ㄹ지/EC+에/JKB
눈길이	눈길/NNG+이/JKS
쏠리고	쏠리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.128.3.3
김 감독은 24일 공개한 감사의 글에서 “저의 한없이 부족한 영화 ‘피에타’가 관객 50만을 넘었다.

김	김/NNP
감독은	감독/NNG+은/JX
24일	24/SN+일/NNB
공개한	공개/NNG+하/XSV+ㄴ/ETM
감사의	감사/NNG+의/JKG
글에서	글/NNG+에서/JKB
“저의	“/SS+저/NP+의/JKG
한없이	한없이/MAG
부족한	부족/NNG+하/XSA+ㄴ/ETM
영화	영화/NNG
‘피에타’가	‘/SS+피에타/NNP+’/SS+가/JKS
관객	관객/NNG
50만을	50/SN+만/NR+을/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.128.3.4
저에게는 500만이 넘은 영화와 다름없다”며 작은 영화에 기회를 주기 위해 다음 달 3일까지만 상영하겠다고 밝혔다.

저에게는	저/NP+에게/JKB+는/JX
500만이	500/SN+만/NR+이/JKS
넘은	넘/VV+은/ETM
영화와	영화/NNG+와/JKB
다름없다”며	다름없/VA+다/EF+”/SS+며/EC
작은	작/VA+은/ETM
영화에	영화/NNG+에/JKB
기회를	기회/NNG+를/JKO
주기	주/VV+기/ETN
위해	위하/VV+아/EC
다음	다음/NNG
달	달/NNG
3일까지만	3/SN+일/NNB+까지/JX+만/JX
상영하겠다고	상영/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.128.4.1
‘터치(접촉)’ 약속은 즐겨 사용하는 공약이다.

‘터치(접촉)’	‘/SS+터치/NNG+(/SS+접촉/NNG+)/SS+’/SS
약속은	약속/NNG+은/JX
즐겨	즐기/VV+어/EC
사용하는	사용/NNG+하/XSV+는/ETM
공약이다.	공약/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.128.4.2
‘이웃사람’에 출연한 마동석 김성균 등 배우들은 “관객 300만 명을 돌파하면 프리허그를 하겠다”고 약속했다.

‘이웃사람’에	‘/SS+이웃/NNG+사람/NNG+’/SS+에/JKB
출연한	출연/NNG+하/XSV+ㄴ/ETM
마동석	마동석/NNP
김성균	김성균/NNP
등	등/NNB
배우들은	배우/NNG+들/XSN+은/JX
“관객	“/SS+관객/NNG
300만	300/SN+만/NR
명을	명/NNB+을/JKO
돌파하면	돌파/NNG+하/XSV+면/EC
프리허그를	프리/NNG+허그/NNG+를/JKO
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.128.4.3
영화 ‘도둑들’의 배우 김수현은 관객 1000만 명을 돌파하자 약속대로 여중생 관객을 업어줬다.

영화	영화/NNG
‘도둑들’의	‘/SS+도둑/NNG+들/XSN+’/SS+의/JKG
배우	배우/NNG
김수현은	김수현/NNP+은/JX
관객	관객/NNG
1000만	1000/SN+만/NR
명을	명/NNB+을/JKO
돌파하자	돌파/NNG+하/XSV+자/EC
약속대로	약속/NNG+대로/JX
여중생	여중/NNG+생/XSN
관객을	관객/NNG+을/JKO
업어줬다.	업/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.128.5.1
‘물귀신’ 작전으로 공약을 실현하는 사례도 있다.

‘물귀신’	‘/SS+물귀신/NNG+’/SS
작전으로	작전/NNG+으로/JKB
공약을	공약/NNG+을/JKO
실현하는	실현/NNG+하/XSV+는/ETM
사례도	사례/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.128.5.2
지난해 ‘백상예술대상에서 수상하면 국토대장정을 하겠다’고 공언한 배우 하정우는 ‘황해’로 최우수연기상을 받자 공효진과 신인 배우 16명을 끌어들여 국토대장정에 올랐고 이 과정을 영화 ‘577프로젝트’에 담았다.

지난해	지난해/NNG
‘백상예술대상에서	‘/SS+백상/NNP+예술/NNG+대상/NNG+에서/JKB
수상하면	수상/NNG+하/XSV+면/EC
국토대장정을	국토/NNG+대/XPN+장정/NNG+을/JKO
하겠다’고	하/VV+겠/EP+다/EF+’/SS+고/JKQ
공언한	공언/NNG+하/XSV+ㄴ/ETM
배우	배우/NNG
하정우는	하정우/NNP+는/JX
‘황해’로	‘/SS+황해/NNP+’/SS+로/JKB
최우수연기상을	최/XPN+우수/NNG+연기/NNG+상/NNG+을/JKO
받자	받/VV+자/EC
공효진과	공효진/NNP+과/JC
신인	신인/NNG
16명을	16/SN+명/NNB+을/JKO
끌어들여	끌어들이/VV+어/EC
국토대장정에	국토/NNG+대/XPN+장정/NNG+에/JKB
올랐고	오르/VV+았/EP+고/EC
이	이/MMD
과정을	과정/NNG+을/JKO
영화	영화/NNG
‘577프로젝트’에	‘/SS+577/SN+프로젝트/NNG+’/SS+에/JKB
담았다.	담/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.128.6.1
드라마에서는 시청률을 내건 공약이 난무한다.

드라마에서는	드라마/NNG+에서/JKB+는/JX
시청률을	시청/NNG+률/XSN+을/JKO
내건	내걸/VV+ㄴ/ETM
공약이	공약/NNG+이/JKS
난무한다.	난무/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.128.6.2
KBS2 수목극 ‘착한남자’의 문채원은 20일 드라마 시청률이 동시간대 1위를 기록하자 약속대로 말춤을 추는 사진을 공개했다.

KBS2	KBS/SL+2/SN
수목극	수목극/NNG
‘착한남자’의	‘/SS+착하/VA+ㄴ/ETM+남자/NNG+’/SS+의/JKG
문채원은	문채원/NNP+은/JX
20일	20/SN+일/NNB
드라마	드라마/NNG
시청률이	시청/NNG+률/XSN+이/JKS
동시간대	동/MMD+시간대/NNG
1위를	1/SN+위/NNB+를/JKO
기록하자	기록/NNG+하/XSV+자/EC
약속대로	약속/NNG+대로/JX
말춤을	말춤/NNG+을/JKO
추는	추/VV+는/ETM
사진을	사진/NNG+을/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.128.6.3
MBC 주말극 ‘아들녀석들’에 출연하는 서인국은 평균시청률이 27%가 넘으면 영화 ‘드림걸즈’의 비욘세 분장을 하겠다고 선언한 상태다.

MBC	MBC/SL
주말극	주말극/NNG
‘아들녀석들’에	‘/SS+아들/NNG+녀석/NNB+들/XSN+’/SS+에/JKB
출연하는	출연/NNG+하/XSV+는/ETM
서인국은	서인국/NNP+은/JX
평균시청률이	평균/NNG+시청/NNG+률/XSN+이/JKS
27%가	27/SN+%/SW+가/JKS
넘으면	넘/VV+으면/EC
영화	영화/NNG
‘드림걸즈’의	‘/SS+드림걸즈/NNG+’/SS+의/JKG
비욘세	비욘세/NNP
분장을	분장/NNG+을/JKO
하겠다고	하/VV+겠/EP+다고/EC
선언한	선언/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.128.6.4
KBS2 주말극 ‘내 딸 서영이’의 이보영과 이상윤은 시청률 40%를 넘기면 함께 봉사활동을 하겠다고 약속했다.

KBS2	KBS/SL+2/SN
주말극	주말극/NNG
‘내	‘/SS+나/NP+의/JKG
딸	딸/NNG
서영이’의	서영이/NNP+’/SS+의/JKG
이보영과	이보영/NNP+과/JC
이상윤은	이상윤/NNP+은/JX
시청률	시청/NNG+률/XSN
40%를	40/SN+%/SW+를/JKO
넘기면	넘기/VV+면/EC
함께	함께/MAG
봉사활동을	봉사/NNG+활동/NNG+을/JKO
하겠다고	하/VV+겠/EP+다고/EC
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.128.6.5
요즘 시청률 40%는 ‘꿈의 시청률’에 해당한다.

요즘	요즘/NNG
시청률	시청/NNG+률/XSN
40%는	40/SN+%/SW+는/JX
‘꿈의	‘/SS+꿈/NNG+의/JKG
시청률’에	시청/NNG+률/XSN+’/SS+에/JKB
해당한다.	해당/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.128.7.1
예능 프로그램 진행자들은 ‘망가지는’ 공약을 주로 내건다.

예능	예능/NNG
프로그램	프로그램/NNG
진행자들은	진행자/NNG+들/XSN+은/JX
‘망가지는’	‘/SS+망가지/VV+는/ETM+’/SS
공약을	공약/NNG+을/JKO
주로	주로/MAG
내건다.	내걸/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.128.7.2
SBS ‘한밤의 TV연예’ 진행자 윤도현은 5일 포털 사이트 검색어 순위에서 프로그램이 1위를 차지하자 약속대로 일주일 후 방송에서 소녀시대 분장을 선보였다.

SBS	SBS/SL
‘한밤의	‘/SS+한/XPN+밤/NNG+의/JKG
TV연예’	TV/SL+연예/NNG+’/SS
진행자	진행자/NNG
윤도현은	윤도현/NNP+은/JX
5일	5/SN+일/NNB
포털	포털/NNG
사이트	사이트/NNG
검색어	검색어/NNG
순위에서	순위/NNG+에서/JKB
프로그램이	프로그램/NNG+이/JKS
1위를	1/SN+위/NNB+를/JKO
차지하자	차지/NNG+하/XSV+자/EC
약속대로	약속/NNG+대로/JX
일주일	일주일/NNG
후	후/NNG
방송에서	방송/NNG+에서/JKB
소녀시대	소녀시대/NNP
분장을	분장/NNG+을/JKO
선보였다.	선보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.128.7.3
방송인 김성주도 슈퍼스타K4 지원자가 100만 명을 넘기자 빨간 드레스를 입어 보였다.

방송인	방송인/NNG
김성주도	김성주/NNP+도/JX
슈퍼스타K4	슈퍼스타/NNG+K/SL+4/SN
지원자가	지원자/NNG+가/JKS
100만	100/SN+만/NR
명을	명/NNB+을/JKO
넘기자	넘기/VV+자/EC
빨간	빨갛/VA+ㄴ/ETM
드레스를	드레스/NNG+를/JKO
입어	입/VV+어/EC
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.128.8.1
이렇듯 연예계 공약이 난무하면서 팬이나 언론이 “(흥행 등이 성공하면) 공약이 무엇이냐”고 먼저 묻는 경우도 많다.

이렇듯	이렇/VA+듯/EC
연예계	연예/NNG+계/XSN
공약이	공약/NNG+이/JKS
난무하면서	난무/NNG+하/XSV+면서/EC
팬이나	팬/NNG+이나/JC
언론이	언론/NNG+이/JKS
“(흥행	“/SS+(/SS+흥행/NNG
등이	등/NNB+이/JKS
성공하면)	성공/NNG+하/XSV+면/EC+)/SS
무엇이냐”고	무엇/NP+이/VCP+냐/EF+”/SS+고/JKQ
먼저	먼저/MAG
묻는	묻/VV+는/ETM
경우도	경우/NNG+도/JX
많다.	많/VA+다/EF+./SF


# id : NWRW1800000033.128.8.2
‘피에타’에 출연한 이정진은 공약을 묻는 질문에 “공약은 나랏일 하는 분들이 말씀하시고 잘 지키셨으면 좋겠다”고 답했다.

‘피에타’에	‘/SS+피에타/NNP+’/SS+에/JKB
출연한	출연/NNG+하/XSV+ㄴ/ETM
이정진은	이정진/NNP+은/JX
공약을	공약/NNG+을/JKO
묻는	묻/VV+는/ETM
질문에	질문/NNG+에/JKB
“공약은	“/SS+공약/NNG+은/JX
나랏일	나랏일/NNG
하는	하/VV+는/ETM
분들이	분/NNB+들/XSN+이/JKS
말씀하시고	말씀/NNG+하/XSV+시/EP+고/EC
잘	잘/MAG
지키셨으면	지키/VV+시/EP+었/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.128.8.3
영화 ‘터치’의 배우 유준상도 “대선 후보들께서 좋은 공약을 내걸어 주길 바란다”며 공약 발표 요청을 거절했다.

영화	영화/NNG
‘터치’의	‘/SS+터치/NNG+’/SS+의/JKG
배우	배우/NNG
유준상도	유준상/NNP+도/JX
“대선	“/SS+대선/NNG
후보들께서	후보/NNG+들/XSN+께서/JKS
좋은	좋/VA+은/ETM
공약을	공약/NNG+을/JKO
내걸어	내걸/VV+어/EC
주길	주/VX+기/ETN+ㄹ/JKO
바란다”며	바라/VV+ㄴ다/EF+”/SS+며/EC
공약	공약/NNG
발표	발표/NNG
요청을	요청/NNG+을/JKO
거절했다.	거절/NNG+하/XSV+았/EP+다/EF+./SF


