# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.390
metadata : {}


# id : NWRW1800000054.390.1.1
한달새 10명이나… 뜸하던 北귀순자, 지난달부터 급증

한달새	한/MMN+달/NNB+새/NNG
보내	보내/VV+어/EC
남자	남자/NNG
4명과	4/SN+명/NNB+과/JC
여자	여자/NNG
1명이	1/SN+명/NNB+이/JKS
타고	타/VV+고/EC
있던	있/VX+던/ETM
남쪽으로	남쪽/NNG+으로/JKB
유도한	유도/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.390.3.3
당시 배에 타고 있던 북한 주민들은 모두 귀순 의사를 표명한 것으로 알려졌다.

당시	당시/NNG
배에	배/NNG+에/JKB
타고	타/VV+고/EC
있던	있/VX+던/ETM
북한	북한/NNP
주민들은	주민/NNG+들/XSN+은/JX
모두	모두/MAG
귀순	귀순/NNG
의사를	의사/NNG+를/JKO
표명한	표명/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.390.4.1
통일부 당국자는 "북한 주민들이 귀순 의사를 밝혔다고 하지만 과거의 전례로 봤을 때 정부 합동조사단에서 추가로 확인이 필요하다"고 설명했다.

통일부	통일부/NNG
당국자는	당국자/NNG+는/JX
"북한	"/SS+북한/NNP
주민들이	주민/NNG+들/XSN+이/JKS
귀순	귀순/NNG
의사를	의사/NNG+를/JKO
밝혔다고	밝히/VV+었/EP+다고/EC
하지만	하/VV+지만/EC
과거의	과거/NNG+의/JKG
전례로	전례/NNG+로/JKB
봤을	보/VV+았/EP+을/ETM
때	때/NNG
정부	정부/NNG
합동조사단에서	합동/NNG+조사단/NNG+에서/JKB
추가로	추가/NNG+로/JKB
확인이	확인/NNG+이/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.390.4.2
과거의 전례란 한배를 타고 온 북한 주민들의 경우에도 귀순을 목적하고 승선한 주민도 있지만 귀순과 무관하게 단순 고기잡이를 위해 승선했다가 표류·구조돼 북한으로 돌아간 경우를 말한다.

과거의	과거/NNG+의/JKG
전례란	전례/NNG+란/JX
한배를	한배/NNG+를/JKO
타고	타/VV+고/EC
온	오/VV+ㄴ/ETM
북한	북한/NNP
주민들의	주민/NNG+들/XSN+의/JKG
경우에도	경우/NNG+에/JKB+도/JX
귀순을	귀순/NNG+을/JKO
목적하고	목적/NNG+하/XSV+고/EC
승선한	승선/NNG+하/XSV+ㄴ/ETM
주민도	주민/NNG+도/JX
있지만	있/VA+지만/EC
귀순과	귀순/NNG+과/JKB
무관하게	무관하/VA+게/EC
단순	단순/NNG
고기잡이를	고기잡이/NNG+를/JKO
위해	위하/VV+아/EC
승선했다가	승선/NNG+하/XSV+았/EP+다가/EC
표류·구조돼	표류/NNG+·/SP+구조/NNG+되/XSV+어/EC
북한으로	북한/NNP+으로/JKB
돌아간	돌아가/VV+ㄴ/ETM
경우를	경우/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.390.5.1
조만간 정부의 조사 결과에 따라 귀순자의 정확한 숫자가 확인될 예정인 가운데 한동안 뜸하던 귀순자가 지난달부터 급증하는 배경에 관심이 모아지고 있다.

조만간	조만간/MAG
정부의	정부/NNG+의/JKG
조사	조사/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
귀순자의	귀순자/NNG+의/JKG
정확한	정확/NNG+하/XSA+ㄴ/ETM
숫자가	숫자/NNG+가/JKS
확인될	확인/NNG+되/XSV+ㄹ/ETM
예정인	예정/NNG+이/VCP+ㄴ/ETM
가운데	가운데/NNG
한동안	한/XPN+동안/NNG
뜸하던	뜸하/VA+던/ETM
귀순자가	귀순자/NNG+가/JKS
지난달부터	지난달/NNG+부터/JX
급증하는	급증/NNG+하/XSV+는/ETM
배경에	배경/NNG+에/JKB
관심이	관심/NNG+이/JKS
모아지고	모으/VV+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.390.5.2
지난달 초 동해에서 표류하다 구조된 북한 선원 4명 중 2명이 귀순한 것을 시작으로, 북한군 병사가 지난 13일과 23일 잇따라 중부전선에서 MDL(군사분계선)을 넘어 우리 군 GP(최전방 감시초소)로 귀순해 왔고, 18일에는 20대 북한 남성이 한강을 헤엄쳐 김포로 귀순했다.

지난달	지난달/NNG
초	초/NNB
동해에서	동해/NNP+에서/JKB
표류하다	표류/NNG+하/XSV+다/EC
구조된	구조/NNG+되/XSV+ㄴ/ETM
북한	북한/NNP
선원	선원/NNG
4명	4/SN+명/NNB
중	중/NNB
2명이	2/SN+명/NNB+이/JKS
귀순한	귀순/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
시작으로,	시작/NNG+으로/JKB+,/SP
북한군	북한군/NNG
병사가	병사/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
13일과	13/SN+일/NNB+과/JC
23일	23/SN+일/NNB
잇따라	잇따르/VV+아/EC
중부전선에서	중부/NNG+전선/NNG+에서/JKB
MDL(군사분계선)을	MDL/SL+(/SS+군사/NNG+분계선/NNG+)/SS+을/JKO
넘어	넘/VV+어/EC
우리	우리/NP
군	군/NNG
GP(최전방	GP/SL+(/SS+최/XPN+전방/NNG
감시초소)로	감시/NNG+초소/NNG+)/SS+로/JKB
귀순해	귀순/NNG+하/XSV+아/EC
왔고,	오/VX+았/EP+고/EC+,/SP
18일에는	18/SN+일/NNB+에/JKB+는/JX
20대	20/SN+대/NNB
남성이	남성/NNG+이/JKS
한강을	한강/NNP+을/JKO
헤엄쳐	헤엄치/VV+어/EC
김포로	김포/NNP+로/JKB
귀순했다.	귀순/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.390.6.1
안보부서 관계자는 "최근 이렇게 귀순이 집중된 건 유례가 없다"며 "김정은의 물고기 대풍 마련 지시로 어민들이 무리하게 어로작업과 생산물 독촉에 시달리고, 특히 6월은 북한에서 보릿고개를 겪는 시기여서 경제·식량 상황이 나빠진 것도 탈북의 원인으로 보인다"고 했다.

안보부서	안보/NNG+부서/NNG
관계자는	관계자/NNG+는/JX
"최근	"/SS+최근/NNG
이렇게	이렇/VA+게/EC
귀순이	귀순/NNG+이/JKS
집중된	집중/NNG+되/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
유례가	유례/NNG+가/JKS
없다"며	없/VA+다/EF+"/SS+며/EC
"김정은의	"/SS+김정은/NNP+의/JKG
물고기	물고기/NNG
대풍	대풍/NNG
마련	마련/NNG
지시로	지시/NNG+로/JKB
어민들이	어민/NNG+들/XSN+이/JKS
무리하게	무리/NNG+하/XSA+게/EC
어로작업과	어로/NNG+작업/NNG+과/JC
생산물	생산물/NNG
독촉에	독촉/NNG+에/JKB
시달리고,	시달리/VV+고/EC+,/SP
특히	특히/MAG
6월은	6/SN+월/NNB+은/JX
북한에서	북한/NNP+에서/JKB
보릿고개를	보릿고개/NNG+를/JKO
겪는	겪/VV+는/ETM
시기여서	시기/NNG+이/VCP+어서/EC
경제·식량	경제/NNG+·/SP+식량/NNG
상황이	상황/NNG+이/JKS
나빠진	나빠지/VV+ㄴ/ETM
것도	것/NNB+도/JX
탈북의	탈북/NNG+의/JKG
원인으로	원인/NNG+으로/JKB
보인다"고	보이/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.390.7.1
또 김정은이 최근 핵·미사일 개발과 관련 전략군 부대에만 관심을 집중하면서 일반 군인들에 대한 대우가 부실해지고 군 기강이 해이해졌다는 분석도 있다.

또	또/MAG
김정은이	김정은/NNP+이/JKS
최근	최근/MAG
핵·미사일	핵/NNG+·/SP+미사일/NNG
개발과	개발/NNG+과/JKB
관련	관련/NNG
전략군	전략/NNG+군/NNG
부대에만	부대/NNG+에/JKB+만/JX
관심을	관심/NNG+을/JKO
집중하면서	집중/NNG+하/XSV+면서/EC
일반	일반/NNG
군인들에	군인/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
대우가	대우/NNG+가/JKS
부실해지고	부실/NNG+하/XSA+아/EC+지/VX+고/EC
군	군/NNG
기강이	기강/NNG+이/JKS
해이해졌다는	해이/NNG+하/XSA+아/EC+지/VX+었/EP+다는/ETM
분석도	분석/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.390.7.2
정부 관계자는 "우리 군이 작년 1월 북한의 4차 핵실험 직후부터 최전방 지역에서 가동 중인 대북 확성기 방송이 신세대 북한군인들의 심리에 영향을 주는 것 같다"고 했다.

정부	정부/NNG
관계자는	관계자/NNG+는/JX
"우리	"/SS+우리/NP
군이	군/NNG+이/JKS
작년	작년/NNG
1월	1/SN+월/NNB
북한의	북한/NNP+의/JKG
4차	4/SN+차/NNB
핵실험	핵/NNG+실험/NNG
직후부터	직후/NNG+부터/JX
최전방	최/XPN+전방/NNG
지역에서	지역/NNG+에서/JKB
가동	가동/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
대북	대북/NNG
확성기	확성기/NNG
방송이	방송/NNG+이/JKS
신세대	신/XPN+세대/NNG
북한군인들의	북한/NNP+군인/NNG+들/XSN+의/JKG
심리에	심리/NNG+에/JKB
영향을	영향/NNG+을/JKO
주는	주/VV+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


