# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.86
metadata : {}


# id : NWRW1800000054.86.1.1
"옛말투성이 낡은 古典번역, 과감하게 쉬운 말로 바꾸자"

"옛말투성이	"/SS+옛말/NNG+투성이/XSN
'정매(庭梅)'를	'/SS+정매/NNP+(/SS+庭梅/SH+)/SS+'/SS+를/JKO
예로	예/NNG+로/JKB
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.86.8.2
'응대서행만리인(應待西行萬里人)'이란 구절을 '서방에 땅 손질하는 만리 사람을 기다리고 있으리'로 옮겼는데, 당시엔 최광유의 인물 정보가 불명확했다.

'응대서행만리인(應待西行萬里人)'이란	'/SS+응대서행만리인/NNG+(/SS+應待西行萬里人/SH+)/SS+'/SS+이/VCP+란/ETM
구절을	구절/NNG+을/JKO
'서방에	'/SS+서방/NNG+에/JKB
땅	땅/NNG
손질하는	손질/NNG+하/XSV+는/ETM
만리	만리/NNG
사람을	사람/NNG+을/JKO
기다리고	기다리/VV+고/EC
있으리'로	있/VX+으리/EC+'/SS+로/JKB
옮겼는데,	옮기/VV+었/EP+는데/EC+,/SP
당시엔	당시/NNG+에/JKB+ㄴ/JX
최광유의	최광유/NNP+의/JKG
인물	인물/NNG
정보가	정보/NNG+가/JKS
불명확했다.	불명확하/VA+았/EP+다/EF+./SF


# id : NWRW1800000054.86.8.3
그러나 지금은 그가 당나라에 유학하던 시절에 매화를 보고 고향을 생각하며 지은 시라는 것을 알 수 있으므로, 고향에 있는 매화나무가 당나라 유학생인 자신을 기다린다는 의미로 번역해야 한다는 것이다.

그러나	그러나/MAJ
지금은	지금/NNG+은/JX
그가	그/NP+가/JKS
당나라에	당나라/NNP+에/JKB
유학하던	유학/NNG+하/XSV+던/ETM
시절에	시절/NNG+에/JKB
매화를	매화/NNG+를/JKO
보고	보/VV+고/EC
고향을	고향/NNG+을/JKO
생각하며	생각/NNG+하/XSV+며/EC
지은	짓/VV+은/ETM
시라는	시/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있으므로,	있/VA+으므로/EC+,/SP
고향에	고향/NNG+에/JKB
있는	있/VA+는/ETM
매화나무가	매화나무/NNG+가/JKS
당나라	당나라/NNP
유학생인	유학/NNG+생/XSN+이/VCP+ㄴ/ETM
자신을	자신/NNG+을/JKO
기다린다는	기다리/VV+ㄴ다는/ETM
의미로	의미/NNG+로/JKB
번역해야	번역/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.86.9.1
'고전국역의 전승과 재번역의 과제'를 발표하는 이상하 한국고전번역원 교수는 "독자가 읽어서 쉽게 알 수 있게 하려면 구문과 글자의 체면을 굳이 살리지 않고 과감하게 쉬운 말로 번역해야 한다"고 했다.

'고전국역의	'/SS+고전/NNG+국역/NNG+의/JKG
전승과	전승/NNG+과/JC
재번역의	재/XPN+번역/NNG+의/JKG
과제'를	과제/NNG+'/SS+를/JKO
발표하는	발표/NNG+하/XSV+는/ETM
이상하	이상하/NNP
한국고전번역원	한국고전번역원/NNP
교수는	교수/NNG+는/JX
"독자가	"/SS+독자/NNG+가/JKS
읽어서	읽/VV+어서/EC
쉽게	쉽/VA+게/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
하려면	하/VX+려면/EC
구문과	구문/NNG+과/JC
글자의	글자/NNG+의/JKG
체면을	체면/NNG+을/JKO
굳이	굳이/MAG
살리지	살리/VV+지/EC
않고	않/VX+고/EC
과감하게	과감하/VA+게/EC
쉬운	쉽/VA+ㄴ/ETM
말로	말/NNG+로/JKB
번역해야	번역/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.86.10.1
신승운 한국고전번역원장은 "고전 번역 반세기가 지났으니 과거의 작업을 돌아볼 수 있는 여유가 생긴 셈"이라며 "앞으로 초역에 쏟을 역량이 줄어들지 않도록 중요한 책 위주로 재번역 대상을 정할 것"이라고 말했다.

신승운	신승운/NNP
한국고전번역원장은	한국고전번역원장/NNG+은/JX
"고전	"/SS+고전/NNG
번역	번역/NNG
반세기가	반세기/NNG+가/JKS
지났으니	지나/VV+았/EP+으니/EC
과거의	과거/NNG+의/JKG
작업을	작업/NNG+을/JKO
돌아볼	돌아보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
여유가	여유/NNG+가/JKS
생긴	생기/VV+ㄴ/ETM
셈"이라며	셈/NNB+"/SS+이/VCP+라며/EC
"앞으로	"/SS+앞/NNG+으로/JKB
초역에	초역/NNG+에/JKB
쏟을	쏟/VV+을/ETM
역량이	역량/NNG+이/JKS
줄어들지	줄어들/VV+지/EC
않도록	않/VX+도록/EC
중요한	중요/NNG+하/XSA+ㄴ/ETM
책	책/NNG
위주로	위주/NNG+로/JKB
재번역	재/XPN+번역/NNG
대상을	대상/NNG+을/JKO
정할	정하/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


