# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.389
metadata : {}


# id : NWRW1800000022.389.1.1
아파트냐 아파트냐<br>공동주택도 국내외 유명 건축가 참여 '작가주의' 바람

아파트냐	아파트/NNG+이/VCP+냐/EF
분양한	분양/NNG+하/XSV+ㄴ/ETM
'권선	'/SS+권선/NNP
아이파크'는	아이파크/NNP+'/SS+는/JX
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
건축가	건축가/NNG
벤	벤/NNP
판	판/NNP
베르켈(UN스튜디오)과	베르켈/NNP+(/SS+UN스튜디오/NNP+)/SS+과/JC
네덜란드의	네덜란드/NNP+의/JKG
대표적	대표/NNG+적/XSN
조경설계가인	조경/NNG+설계가/NNG+이/VCP+ㄴ/ETM
로드베이크	로드베이크/NNP
발리옹이	발리옹/NNP+이/JKS
설계했다는	설계/NNG+하/XSV+았/EP+다는/ETM
점을	점/NNG+을/JKO
전면	전면/NNG
내세웠다.	내세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.389.6.4
현장에 설치된 모델하우스 역시 벤 판 베르켈이 직접 설계해 '모델하우스가 미술관 못지않다'는 평가를 들었다.

현장에	현장/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
모델하우스	모델하우스/NNG
역시	역시/MAG
벤	벤/NNP
판	판/NNP
베르켈이	베르켈/NNP+이/JKS
직접	직접/MAG
설계해	설계/NNG+하/XSV+아/EC
'모델하우스가	'/SS+모델하우스/NNG+가/JKS
미술관	미술관/NNG
못지않다'는	못지않/VA+다/EF+'/SS+는/ETM
평가를	평가/NNG+를/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.389.6.5
업계에서는 이 아파트의 분양이 '작가주의 마케팅' 덕을 톡톡히 봤다고 보고 있다.

업계에서는	업계/NNG+에서/JKB+는/JX
이	이/MMD
아파트의	아파트/NNG+의/JKG
분양이	분양/NNG+이/JKS
'작가주의	'/SS+작가주의/NNG
마케팅'	마케팅/NNG+'/SS
덕을	덕/NNG+을/JKO
톡톡히	톡톡히/MAG
봤다고	보/VV+았/EP+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.389.7.1
◆주상복합 아파트에 해외 유명 건축가 참여 많아

◆주상복합	◆/SW+주상/NNG+복합/NNG
아파트에	아파트/NNG+에/JKB
해외	해외/NNG
유명	유명/NNG
건축가	건축가/NNG
참여	참여/NNG
많아	많/VA+아/EF


# id : NWRW1800000022.389.8.1
최근 일반적인 공공주택인 아파트에도 '디자인 바람'이 불면서 유명 건축가들이 대거 참여하고 있다.

최근	최근/NNG
일반적인	일반/NNG+적/XSN+이/VCP+ㄴ/ETM
공공주택인	공공/NNG+주택/NNG+이/VCP+ㄴ/ETM
아파트에도	아파트/NNG+에/JKB+도/JX
'디자인	'/SS+디자인/NNG
바람'이	바람/NNG+'/SS+이/JKS
불면서	불/VV+면서/EC
유명	유명/NNG
건축가들이	건축가/NNG+들/XSN+이/JKS
대거	대거/MAG
참여하고	참여/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.389.8.2
대림산업이 경기도 광교에서 분양하는 '광교 e-편한세상'( 1970가구)은 헤이리 마을 커뮤니티센터를 설계한 건축가 김준성 교수가 참여했다.

대림산업이	대림산업/NNP+이/JKS
경기도	경기도/NNP
광교에서	광교/NNP+에서/JKB
분양하는	분양/NNG+하/XSV+는/ETM
'광교	'/SS+광교/NNP
e-편한세상'(	e-편한세상/NNP+'/SS+(/SS
1970가구)은	1970/SN+가구/NNG+)/SS+은/JX
헤이리	헤이리/NNP
마을	마을/NNG
커뮤니티센터를	커뮤니티/NNG+센터/NNG+를/JKO
설계한	설계/NNG+하/XSV+ㄴ/ETM
건축가	건축가/NNG
김준성	김준성/NNP
교수가	교수/NNG+가/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.389.8.3
건축사무소 ' hANd' 소장인 김준성 교수는 건국대 건축전문대학원에 재직하면서 열린책들 사옥, 아트레온 등을 설계했다.

건축사무소	건축/NNG+사무소/NNG
'	'/SS
hANd'	hANd/SL+'/SS
소장인	소장/NNG+이/VCP+ㄴ/ETM
김준성	김준성/NNP
교수는	교수/NNG+는/JX
건국대	건국대/NNP
건축전문대학원에	건축/NNG+전문/NNG+대학원/NNG+에/JKB
재직하면서	재직/NNG+하/XSV+면서/EC
열린책들	열린책들/NNP
사옥,	사옥/NNG+,/SP
아트레온	아트레온/NNP
등을	등/NNB+을/JKO
설계했다.	설계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.389.9.1
아파트 중에서도 비교적 가격이 비싼 편인 주상복합 아파트는 일반 아파트보다 건축가의 참여가 활발하다.

아파트	아파트/NNG
중에서도	중/NNB+에서/JKB+도/JX
비교적	비교/NNG+적/XSN
가격이	가격/NNG+이/JKS
비싼	비싸/VA+ㄴ/ETM
편인	편/NNB+이/VCP+ㄴ/ETM
주상복합	주상/NNG+복합/NNG
아파트는	아파트/NNG+는/JX
일반	일반/NNG
아파트보다	아파트/NNG+보다/JKB
건축가의	건축가/NNG+의/JKG
참여가	참여/NNG+가/JKS
활발하다.	활발하/VA+다/EF+./SF


# id : NWRW1800000022.389.9.2
서울 뚝섬에서 한화건설이 분양 중인 주상복합 아파트 '갤러리아 포레'의 실내 인테리어 설계에 프랑스 건축 디자이너 장 누벨(Jean Nouvel)이 참여했다.

서울	서울/NNP
뚝섬에서	뚝섬/NNP+에서/JKB
한화건설이	한화건설/NNP+이/JKS
분양	분양/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
주상복합	주상/NNG+복합/NNG
아파트	아파트/NNG
'갤러리아	'/SS+갤러리아/NNP
포레'의	포레/NNP+'/SS+의/JKG
실내	실내/NNG
인테리어	인테리어/NNG
설계에	설계/NNG+에/JKB
프랑스	프랑스/NNP
건축	건축/NNG
디자이너	디자이너/NNG
장	장/NNP
누벨(Jean	누벨/NNP+(/SS+Jean/SL
Nouvel)이	Nouvel/SL+)/SS+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.389.9.3
이 밖에도 부산 해운대 마린시티 바닷가에 조성하는 '해운대 아이파크'는 미국 뉴욕 세계무역센터 재건축 설계 공모 당선자인 다니엘 리베스킨트가 설계를 맡았다.

이	이/NP
밖에도	밖/NNG+에/JKB+도/JX
부산	부산/NNP
해운대	해운대/NNP
마린시티	마린시티/NNP
바닷가에	바닷가/NNG+에/JKB
조성하는	조성/NNG+하/XSV+는/ETM
'해운대	'/SS+해운대/NNP
아이파크'는	아이파크/NNP+'/SS+는/JX
미국	미국/NNP
뉴욕	뉴욕/NNP
세계무역센터	세계무역센터/NNP
재건축	재/XPN+건축/NNG
설계	설계/NNG
공모	공모/NNG
당선자인	당선자/NNG+이/VCP+ㄴ/ETM
다니엘	다니엘/NNP
리베스킨트가	리베스킨트/NNP+가/JKS
설계를	설계/NNG+를/JKO
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.389.10.1
◆고가 주택엔 작가의 건축 철학 반영

◆고가	◆/SW+고가/NNG
주택엔	주택/NNG+에/JKB+ㄴ/JX
작가의	작가/NNG+의/JKG
건축	건축/NNG
철학	철학/NNG
반영	반영/NNG


# id : NWRW1800000022.389.11.1
건축가들의 참여가 가장 두드러지는 분야는 타운하우스 등 고급 주택 분야.

건축가들의	건축가/NNG+들/XSN+의/JKG
참여가	참여/NNG+가/JKS
가장	가장/MAG
두드러지는	두드러지/VV+는/ETM
분야는	분야/NNG+는/JX
타운하우스	타운하우스/NNG
등	등/NNB
고급	고급/NNG
주택	주택/NNG
분야.	분야/NNG+./SF


# id : NWRW1800000022.389.11.2
고가 단독형 주택은 아파트보다 설계를 다양하게 적용할 수 있어 건축가들의 참여가 활발하다.

고가	고가/NNG
단독형	단독/NNG+형/XSN
주택은	주택/NNG+은/JX
아파트보다	아파트/NNG+보다/JKB
설계를	설계/NNG+를/JKO
다양하게	다양/NNG+하/XSA+게/EC
적용할	적용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
건축가들의	건축가/NNG+들/XSN+의/JKG
참여가	참여/NNG+가/JKS
활발하다.	활발하/VA+다/EF+./SF


# id : NWRW1800000022.389.11.3
효성이 분당 이매동에 시공하는 고급 단독주택단지 '아델라모스' 건축 설계에는 승효상씨 등 국내 유명 건축가 5명이 참여했다.

효성이	효성/NNP+이/JKS
분당	분당/NNP
이매동에	이매동/NNP+에/JKB
시공하는	시공/NNG+하/XSV+는/ETM
고급	고급/NNG
단독주택단지	단독/NNG+주택/NNG+단지/NNG
'아델라모스'	'/SS+아델라모스/NNG+'/SS
건축	건축/NNG
설계에는	설계/NNG+에/JKB+는/JX
승효상씨	승효상/NNP+씨/NNB
등	등/NNB
국내	국내/NNG
유명	유명/NNG
건축가	건축가/NNG
5명이	5/SN+명/NNB+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.389.11.4
승효상씨가 '빛'을 주제로 설계한 주택에서 눈에 가장 띄는 것은 화장실.

승효상씨가	승효상/NNP+씨/NNB+가/JKS
'빛'을	'/SS+빛/NNG+'/SS+을/JKO
주제로	주제/NNG+로/JKB
설계한	설계/NNG+하/XSV+ㄴ/ETM
주택에서	주택/NNG+에서/JKB
눈에	눈/NNG+에/JKB
가장	가장/MAG
띄는	띄/VV+는/ETM
것은	것/NNB+은/JX
화장실.	화장실/NNG+./SF


# id : NWRW1800000022.389.11.5
'사색의 공간'으로 설계한 1층 화장실에 자연광이 들어올 수 있도록 2층까지 천장을 뚫어놓았다.

'사색의	'/SS+사색/NNG+의/JKG
공간'으로	공간/NNG+'/SS+으로/JKB
설계한	설계/NNG+하/XSV+ㄴ/ETM
1층	1/SN+층/NNG
화장실에	화장실/NNG+에/JKB
자연광이	자연광/NNG+이/JKS
들어올	들어오/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
2층까지	2/SN+층/NNG+까지/JX
천장을	천장/NNG+을/JKO
뚫어놓았다.	뚫/VV+어/EC+놓/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.389.11.6
아델라모스 관계자는 "주택 디자인에 대한 소비자들의 관심이 높아지면서 유명 작가가 설계했다는 점은 주택 마케팅에서 주요한 포인트"라고 말했다.

아델라모스	아델라모스/NNG
관계자는	관계자/NNG+는/JX
"주택	"/SS+주택/NNG
디자인에	디자인/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
소비자들의	소비자/NNG+들/XSN+의/JKG
관심이	관심/NNG+이/JKS
높아지면서	높아지/VV+면서/EC
유명	유명/NNG
작가가	작가/NNG+가/JKS
설계했다는	설계/NNG+하/XSV+았/EP+다는/ETM
점은	점/NNG+은/JX
주택	주택/NNG
마케팅에서	마케팅/NNG+에서/JKB
주요한	주요/NNG+하/XSA+ㄴ/ETM
포인트"라고	포인트/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.389.12.1
쌍용건설이 서울 종로구 평창동에 분양 중인 도심형 타운하우스 '오보에 힐스'(Oboe Hills·18가구)는 재일교포 건축가 이타미 준(伊丹潤)이 설계했다.

쌍용건설이	쌍용건설/NNP+이/JKS
서울	서울/NNP
종로구	종로구/NNP
평창동에	평창동/NNP+에/JKB
분양	분양/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
도심형	도심/NNG+형/XSN
타운하우스	타운하우스/NNG
'오보에	'/SS+오보에/NNP
힐스'(Oboe	힐스/NNP+'/SS+(/SS+Oboe/SL
Hills·18가구)는	Hills/SL+·/SP+18/SN+가구/NNG+)/SS+는/JX
재일교포	재일/NNG+교포/NNG
건축가	건축가/NNG
이타미	이타미/NNP
준(伊丹潤)이	준/NNP+(/SS+伊丹潤/SH+)/SS+이/JKS
설계했다.	설계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.389.12.2
이타미 준은 프랑스 예술문화훈장을 받았고, 국내에선 제주도 포도호텔 등을 설계했다.

이타미	이타미/NNP
준은	준/NNP+은/JX
프랑스	프랑스/NNP
예술문화훈장을	예술/NNG+문화/NNG+훈장/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
국내에선	국내/NNG+에서/JKB+ㄴ/JX
제주도	제주도/NNP
포도호텔	포도호텔/NNP
등을	등/NNB+을/JKO
설계했다.	설계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.389.12.3
이 주택은 경사지에 들어서는 주택의 입지 여건을 활용해 조망권을 최대한 확보하도록 설계됐고, 욕실에서 밖을 내다볼 수 있도록 설계된 것이 특징이다.

이	이/MMD
주택은	주택/NNG+은/JX
경사지에	경사지/NNG+에/JKB
들어서는	들어서/VV+는/ETM
주택의	주택/NNG+의/JKG
입지	입지/NNG
여건을	여건/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
조망권을	조망/NNG+권/XSN+을/JKO
최대한	최대한/MAG
확보하도록	확보/NNG+하/XSV+도록/EC
설계됐고,	설계/NNG+되/XSV+었/EP+고/EC+,/SP
욕실에서	욕실/NNG+에서/JKB
밖을	밖/NNG+을/JKO
내다볼	내다보/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
설계된	설계/NNG+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.389.13.1
GS건설 관계자는 "아직은 분양가격이 비싸거나 대단지 아파트에서만 유명 건축가들이 참여하고 있지만 주택문화가 다양화되면 소형 아파트 단지에서도 개성이 강한 주택이 많이 등장할 것으로 기대한다"고 말했다.

GS건설	GS건설/NNP
관계자는	관계자/NNG+는/JX
"아직은	"/SS+아직/MAG+은/JX
분양가격이	분양/NNG+가격/NNG+이/JKS
비싸거나	비싸/VA+거나/EC
대단지	대/XPN+단지/NNG
아파트에서만	아파트/NNG+에서/JKB+만/JX
유명	유명/NNG
건축가들이	건축가/NNG+들/XSN+이/JKS
참여하고	참여/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
주택문화가	주택/NNG+문화/NNG+가/JKS
다양화되면	다양/NNG+화/XSN+되/XSV+면/EC
소형	소형/NNG
아파트	아파트/NNG
단지에서도	단지/NNG+에서/JKB+도/JX
개성이	개성/NNG+이/JKS
강한	강하/VA+ㄴ/ETM
주택이	주택/NNG+이/JKS
많이	많이/MAG
등장할	등장/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


