# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.390
metadata : {}


# id : NWRW1800000029.390.1.1
“납북자 - 국군포로 송환에 西獨방식 고려”

“납북자	“/SS+납북자/NNG
그는 또 겨레말큰사전 사업과 만월대(滿月臺) 발굴사업을 위한 남북접촉을 승인할 계획이라고 밝혔다.

그는	그/NP+는/JX
또	또/MAG
겨레말큰사전	겨레말큰사전/NNP
사업과	사업/NNG+과/JC
만월대(滿月臺)	만월대/NNP+(/SS+滿月臺/SH+)/SS
발굴사업을	발굴/NNG+사업/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
남북접촉을	남북/NNP+접촉/NNG+을/JKO
승인할	승인/NNG+하/XSV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.390.4.2
두 사업은 각각 2005년과 2007년부터 진행됐으나 천안함 폭침 이후 정부의 ‘5·24조치’에 따라 전면 중단됐다.

두	두/MMN
사업은	사업/NNG+은/JX
각각	각각/MAG
2005년과	2005/SN+년/NNB+과/JC
2007년부터	2007/SN+년/NNB+부터/JX
진행됐으나	진행/NNG+되/XSV+었/EP+으나/EC
천안함	천안함/NNP
폭침	폭침/NNG
이후	이후/NNG
정부의	정부/NNG+의/JKG
‘5·24조치’에	‘/SS+5/SN+·/SP+24/SN+조치/NNG+’/SS+에/JKB
따라	따르/VV+아/EC
전면	전면/NNG
중단됐다.	중단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.390.4.3
겨레말큰사전 남북공동편찬은 남북한은 물론 재외동포 사용언어까지 하나로 종합·정리하는 사업.

겨레말큰사전	겨레말큰사전/NNP
남북공동편찬은	남북/NNP+공동/NNG+편찬/NNG+은/JX
남북한은	남북한/NNP+은/JX
물론	물론/MAG
재외동포	재외/NNG+동포/NNG
사용언어까지	사용/NNG+언어/NNG+까지/JX
하나로	하나/NR+로/JKB
종합·정리하는	종합/NNG+·/SP+정리/NNG+하/XSV+는/ETM
사업.	사업/NNG+./SF


# id : NWRW1800000029.390.4.4
만월대는 개성 송악산 남쪽에 위치한 고려왕궁터로 남측의 남북역사학자협의회와 북측의 민족화해협의회를 중심으로 공동발굴작업을 진행했었다.

만월대는	만월대/NNP+는/JX
개성	개성/NNP
송악산	송악산/NNP
남쪽에	남쪽/NNG+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
고려왕궁터로	고려/NNP+왕궁터/NNG+로/JKB
남측의	남측/NNG+의/JKG
남북역사학자협의회와	남북역사학자협의회/NNP+와/JC
북측의	북측/NNG+의/JKG
민족화해협의회를	민족화해협의회/NNP+를/JKO
중심으로	중심/NNG+으로/JKB
공동발굴작업을	공동/NNG+발굴/NNG+작업/NNG+을/JKO
진행했었다.	진행/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000029.390.5.1
류 장관은 납북자와 국군포로 송환을 위한 범정부 태스크포스(TF) 구성이 논의되고 있으며 ‘프라이카우프’를 응용한 형태도 송환 방안 중에 포함될 수 있을 것이라고 말했다.

류	류/NNP
장관은	장관/NNG+은/JX
납북자와	납북자/NNG+와/JC
국군포로	국군/NNG+포로/NNG
송환을	송환/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
범정부	범/XPN+정부/NNG
태스크포스(TF)	태스크포스/NNG+(/SS+TF/SL+)/SS
구성이	구성/NNG+이/JKS
논의되고	논의/NNG+되/XSV+고/EC
있으며	있/VX+으며/EC
‘프라이카우프’를	‘/SS+프라이카우프/NNG+’/SS+를/JKO
응용한	응용/NNG+하/XSV+ㄴ/ETM
형태도	형태/NNG+도/JX
송환	송환/NNG
방안	방안/NNG
중에	중/NNB+에/JKB
포함될	포함/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.390.6.1
하지만 5·24조치를 당장 완화할 뜻은 없다는 점을 분명히 했다.

하지만	하지만/MAJ
5·24조치를	5/SN+·/SP+24/SN+조치/NNG+를/JKO
당장	당장/NNG
완화할	완화/NNG+하/XSV+ㄹ/ETM
뜻은	뜻/NNG+은/JX
없다는	없/VA+다는/ETM
점을	점/NNG+을/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.390.6.2
류 장관은 “결자해지 차원에서 원인제공 측이 책임 있는 조치를 하고 재발방지를 약속하기 전까지는 지켜나갈 생각”이라고 말했다.

류	류/NNP
장관은	장관/NNG+은/JX
“결자해지	“/SS+결자해지/NNG
차원에서	차원/NNG+에서/JKB
원인제공	원인/NNG+제공/NNG
측이	측/NNB+이/JKS
책임	책임/NNG
있는	있/VA+는/ETM
조치를	조치/NNG+를/JKO
하고	하/VV+고/EC
재발방지를	재발/NNG+방지/NNG+를/JKO
약속하기	약속/NNG+하/XSV+기/ETN
전까지는	전/NNG+까지/JX+는/JX
지켜나갈	지키/VV+어/EC+나가/VX+ㄹ/ETM
생각”이라고	생각/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.390.6.3
금강산관광과 관련해서도 “현재 남북 기업간 실무회담이 이뤄지고 있으나 우리 국민의 신변안전이 보장되기 전에는 재개되기 어렵다”며 “그것이 보장되면 고 박왕자 씨 사건을 어떻게 설명하느냐 등은 부수적인 것”이라고 말했다.

금강산관광과	금강산/NNP+관광/NNG+과/JKB
관련해서도	관련/NNG+하/XSV+아서/EC+도/JX
“현재	“/SS+현재/MAG
남북	남북/NNP
기업간	기업/NNG+간/NNB
실무회담이	실무/NNG+회담/NNG+이/JKS
이뤄지고	이뤄지/VV+고/EC
있으나	있/VX+으나/EC
우리	우리/NP
국민의	국민/NNG+의/JKG
신변안전이	신변/NNG+안전/NNG+이/JKS
보장되기	보장/NNG+되/XSV+기/ETN
전에는	전/NNG+에/JKB+는/JX
재개되기	재개/NNG+되/XSV+기/ETN
어렵다”며	어렵/VA+다/EF+”/SS+며/EC
“그것이	“/SS+그것/NP+이/JKS
보장되면	보장/NNG+되/XSV+면/EC
고	고/MMA
박왕자	박왕자/NNP
씨	씨/NNB
사건을	사건/NNG+을/JKO
어떻게	어떻/VA+게/EC
설명하느냐	설명/NNG+하/XSV+느냐/EF
등은	등/NNB+은/JX
부수적인	부수/NNG+적/XSN+이/VCP+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.390.7.1
류 장관은 통일재원 마련과 관련해 “부처 간 논의가 마무리돼 가고 있다”며 “조만간 통일재원 마련을 위한 항아리를 만들겠다”고 말했다.

류	류/NNP
장관은	장관/NNG+은/JX
통일재원	통일/NNG+재원/NNG
마련과	마련/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“부처	“/SS+부처/NNG
간	간/NNB
논의가	논의/NNG+가/JKS
마무리돼	마무리/NNG+되/XSV+어/EC
가고	가/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“조만간	“/SS+조만간/MAG
마련을	마련/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
항아리를	항아리/NNG+를/JKO
만들겠다”고	만들/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.390.7.2
통일부 관계자는 “이명박 대통령이 광복절 경축사에서 언급한 ‘통일세’는 조세저항 때문에 사실상 어렵다”며 “남북협력기금 별도계정 등을 활용해 상징적인 액수로 재원 마련을 시작하게 될 것”이라고 말했다.

통일부	통일부/NNG
관계자는	관계자/NNG+는/JX
“이명박	“/SS+이명박/NNP
대통령이	대통령/NNG+이/JKS
광복절	광복절/NNG
경축사에서	경축사/NNG+에서/JKB
언급한	언급/NNG+하/XSV+ㄴ/ETM
‘통일세’는	‘/SS+통일세/NNG+’/SS+는/JX
조세저항	조세/NNG+저항/NNG
때문에	때문/NNB+에/JKB
사실상	사실/NNG+상/XSN
어렵다”며	어렵/VA+다/EF+”/SS+며/EC
“남북협력기금	“/SS+남북협력기금/NNP
별도계정	별도/NNG+계정/NNG
등을	등/NNB+을/JKO
활용해	활용/NNG+하/XSV+아/EC
상징적인	상징/NNG+적/XSN+이/VCP+ㄴ/ETM
액수로	액수/NNG+로/JKB
재원	재원/NNG
마련을	마련/NNG+을/JKO
시작하게	시작/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.390.7.3
류 장관은 남북정상회담에 대해 “이 대통령이 정상회담에 집착하지도, 하지 않겠다고 배제하지도 않는 점은 통일부 장관으로서 가진 큰 자산”이라며 “타 부처와도 적극 소통해 속도에 대한 이견이 없도록 하겠다”고 말했다.

류	류/NNP
장관은	장관/NNG+은/JX
남북정상회담에	남북/NNP+정상/NNG+회담/NNG+에/JKB
대해	대하/VV+아/EC
“이	“/SS+이/NNP
대통령이	대통령/NNG+이/JKS
정상회담에	정상/NNG+회담/NNG+에/JKB
집착하지도,	집착/NNG+하/XSV+지/EC+도/JX+,/SP
하지	하/VV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
배제하지도	배제/NNG+하/XSV+지/EC+도/JX
않는	않/VX+는/ETM
점은	점/NNG+은/JX
통일부	통일부/NNG
장관으로서	장관/NNG+으로서/JKB
가진	가지/VV+ㄴ/ETM
큰	크/VA+ㄴ/ETM
자산”이라며	자산/NNG+”/SS+이/VCP+라며/EC
“타	“/SS+타/MMD
부처와도	부처/NNG+와/JKB+도/JX
적극	적극/NNG
소통해	소통/NNG+하/XSV+아/EC
속도에	속도/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이견이	이견/NNG+이/JKS
없도록	없/VA+도록/EC
하겠다”고	하/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.390.8.1
:: 프라이카우프(Freikauf) ::

::	:/SP+:/SP
프라이카우프(Freikauf)	프라이카우프/NNG+(/SS+Freikauf/SL+)/SS


# id : NWRW1800000029.390.9.1
자유를 산다는 의미로, 통독 전 서독이 동독 내 정치범을 서독으로 데려오기 위해 활용한 방식.

자유를	자유/NNG+를/JKO
산다는	사/VV+ㄴ다는/ETM
의미로,	의미/NNG+로/JKB+,/SP
통독	통독/NNG
전	전/NNG
서독이	서독/NNP+이/JKS
동독	동독/NNP
내	내/NNB
정치범을	정치범/NNG+을/JKO
서독으로	서독/NNP+으로/JKB
데려오기	데려오/VV+기/ETN
위해	위하/VV+아/EC
활용한	활용/NNG+하/XSV+ㄴ/ETM
방식.	방식/NNG+./SF


# id : NWRW1800000029.390.9.2
1인당 평균 10만 마르크(당시 환율 기준 약 5300만 원)의 현물을 동독 정권에 제공하고 3만3000여 명을 데려왔다.

1인당	1/SN+인/NNG+당/XSN
평균	평균/NNG
10만	10/SN+만/NR
마르크(당시	마르크/NNB+(/SS+당시/NNG
환율	환율/NNG
기준	기준/NNG
약	약/MMA
5300만	5300/SN+만/NR
원)의	원/NNB+)/SS+의/JKG
현물을	현물/NNG+을/JKO
동독	동독/NNP
정권에	정권/NNG+에/JKB
제공하고	제공/NNG+하/XSV+고/EC
3만3000여	3/SN+만/NR+3000/SN+여/XSN
명을	명/NNB+을/JKO
데려왔다.	데려오/VV+았/EP+다/EF+./SF


