# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.22
metadata : {}


# id : NWRW1800000040.22.1.1
새마음금고 중앙회장 세무조사

새마음금고	새마음금고/NNP
탈세	탈세/NNG
혐의자	혐의자/NNG
100여명을	100/SN+여/XSN+명/NNB+을/JKO
상대로	상대/NNG+로/JKB
4월	4/SN+월/NNB
초부터	초/NNB+부터/JX
전국적으로	전국/NNG+적/XSN+으로/JKB
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
세무조사를	세무/NNG+조사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.22.4.2
신 회장의 탈세 혐의도 이 과정에서 포착된 것으로 보인다.

신	신/NNP
회장의	회장/NNG+의/JKG
탈세	탈세/NNG
혐의도	혐의/NNG+도/JX
이	이/MMD
과정에서	과정/NNG+에서/JKB
포착된	포착/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.22.4.3
국세청 관계자는 “불법 사채업자는 금융기관 종사자 등 다른 사람 이름을 빌려 사채업을 영위하는 사례가 많다. 이런 명의위장 사채업에 대해서는 관련자 금융거래 내역을 모두 추적조사해 실제 자금을 댄 전주를 끝까지 찾아내고 탈루 소득을 세금으로 환수할 계획이다”라고 말했다.

국세청	국세청/NNG
관계자는	관계자/NNG+는/JX
“불법	“/SS+불법/NNG
사채업자는	사채업자/NNG+는/JX
금융기관	금융/NNG+기관/NNG
종사자	종사자/NNG
등	등/NNB
다른	다른/MMD
사람	사람/NNG
이름을	이름/NNG+을/JKO
빌려	빌리/VV+어/EC
사채업을	사채업/NNG+을/JKO
영위하는	영위/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
많다.	많/VA+다/EF+./SF
이런	이런/MMD
명의위장	명의/NNG+위장/NNG
사채업에	사채업/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
관련자	관련자/NNG
금융거래	금융/NNG+거래/NNG
내역을	내역/NNG+을/JKO
모두	모두/MAG
추적조사해	추적/NNG+조사/NNG+하/XSV+아/EC
실제	실제/NNG
자금을	자금/NNG+을/JKO
댄	대/VV+ㄴ/ETM
전주를	전주/NNG+를/JKO
끝까지	끝/NNG+까지/JX
찾아내고	찾아내/VV+고/EC
탈루	탈루/NNG
소득을	소득/NNG+을/JKO
세금으로	세금/NNG+으로/JKB
환수할	환수/NNG+하/XSV+ㄹ/ETM
계획이다”라고	계획/NNG+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.22.5.1
이에 대해 새마을금고중앙회 관계자는 “신 회장이 4월 중순 국세청으로부터 자료 요청을 받아 제출한 것은 맞지만, 사채와 연관돼서 수십억원을 불법 탈루하는 등 부당한 행위를 했다는 의혹은 전면 부인하고 있다”고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
새마을금고중앙회	새마을금고중앙회/NNP
관계자는	관계자/NNG+는/JX
“신	“/SS+신/NNP
회장이	회장/NNG+이/JKS
4월	4/SN+월/NNB
중순	중순/NNG
국세청으로부터	국세청/NNG+으로부터/JKB
자료	자료/NNG
요청을	요청/NNG+을/JKO
받아	받/VV+아/EC
제출한	제출/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
맞지만,	맞/VV+지만/EC+,/SP
사채와	사채/NNG+와/JKB
연관돼서	연관/NNG+되/XSV+어서/EC
수십억원을	수십억/NR+원/NNB+을/JKO
불법	불법/NNG
탈루하는	탈루/NNG+하/XSV+는/ETM
등	등/NNB
부당한	부당/NNG+하/XSA+ㄴ/ETM
행위를	행위/NNG+를/JKO
했다는	하/VV+았/EP+다는/ETM
의혹은	의혹/NNG+은/JX
전면	전면/NNG
부인하고	부인/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


