# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.205
metadata : {}


# id : NWRW1800000022.205.1.1
[울산]'울산 조선해양의 날' 26~28일 기념행사

[울산]'울산	[/SS+울산/NNP+]/SS+'/SS+울산/NNP
이 가운데 조선해양의 날은 현대중공업이 1974년 6월 28일 국내 처음으로 26만t급 초대형 원유운반선을 명명한 것을 기념해 정했다.

이	이/MMD
가운데	가운데/NNG
조선해양의	조선/NNG+해양/NNG+의/JKG
날은	날/NNG+은/JX
현대중공업이	현대중공업/NNP+이/JKS
1974년	1974/SN+년/NNB
6월	6/SN+월/NNB
28일	28/SN+일/NNB
국내	국내/NNG
처음으로	처음/NNG+으로/JKB
26만t급	26/SN+만/NR+t/SW+급/NNG
초대형	초/XPN+대형/NNG
원유운반선을	원유/NNG+운반선/NNG+을/JKO
명명한	명명/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
기념해	기념/NNG+하/XSV+아/EC
정했다.	정하/VV+았/EP+다/EF+./SF


