# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.387
metadata : {}


# id : NWRW1800000026.387.1.1
[한류 중심 고양] 시민 응원 안고 '고향 고양' 알린다;고양 대표팀 KB국민은행축구단·대교 여자축구단

[한류	[/SS+한류/NNG
KB국민은행 축구단장을 맡고 있는 김옥찬 부행장은 "축구단을 매개로 고객과 더불어 지역사회의 발전을 위해 협력하는 성공모델로 발전시키기 위해 노력하고 있다"고 말했다.

KB국민은행	KB국민은행/NNP
축구단장을	축구단장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
김옥찬	김옥찬/NNP
부행장은	부행장/NNG+은/JX
"축구단을	"/SS+축구단/NNG+을/JKO
매개로	매개/NNG+로/JKB
고객과	고객/NNG+과/JKB
더불어	더불/VV+어/EC
지역사회의	지역/NNG+사회/NNG+의/JKG
발전을	발전/NNG+을/JKO
위해	위하/VV+아/EC
협력하는	협력/NNG+하/XSV+는/ETM
성공모델로	성공/NNG+모델/NNG+로/JKB
발전시키기	발전/NNG+시키/XSV+기/ETN
노력하고	노력/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.387.7.1
◆대교 눈높이 여자축구단

◆대교	◆/SW+대교/NNP
눈높이	눈높이/NNP
여자축구단	여자/NNG+축구단/NNG


# id : NWRW1800000026.387.8.1
2002년에 창단한 대교 여자축구단(감독 박남열)은 올해 1월 고양시와 연고지 협정을 맺었다.

2002년에	2002/SN+년/NNB+에/JKB
창단한	창단/NNG+하/XSV+ㄴ/ETM
대교	대교/NNP
여자축구단(감독	여자/NNG+축구단/NNG+(/SS+감독/NNG
박남열)은	박남열/NNP+)/SS+은/JX
올해	올해/NNG
1월	1/SN+월/NNB
고양시와	고양시/NNP+와/JKB
연고지	연고지/NNG
협정을	협정/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.387.8.2
작년 출범한 'WK-리그' 소속 구단 가운데 첫 사례였다.

작년	작년/NNG
출범한	출범/NNG+하/XSV+ㄴ/ETM
'WK-리그'	'/SS+WK/SL+-/SO+리그/NNG+'/SS
소속	소속/NNG
구단	구단/NNG
가운데	가운데/NNG
첫	첫/MMN
사례였다.	사례/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.387.8.3
대교 여자축구단은 원년 챔피언에 이어 올해는 3위를 기록했다.

대교	대교/NNP
여자축구단은	여자/NNG+축구단/NNG+은/JX
원년	원년/NNG
챔피언에	챔피언/NNG+에/JKB
이어	잇/VV+어/EC
올해는	올해/NNG+는/JX
3위를	3/SN+위/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.387.8.4
아시안게임 국가대표로도 전민경, 류지은, 박희영, 이장미, 홍경숙, 이은미 등 6명이 포함됐다.

아시안게임	아시안/NNP+게임/NNG
국가대표로도	국가/NNG+대표/NNG+로/JKB+도/JX
전민경,	전민경/NNP+,/SP
류지은,	류지은/NNP+,/SP
박희영,	박희영/NNP+,/SP
이장미,	이장미/NNP+,/SP
홍경숙,	홍경숙/NNP+,/SP
이은미	이은미/NNP
등	등/NNB
6명이	6/SN+명/NNB+이/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.387.8.5
박희영 선수는 중국과의 3·4위전에서 첫골을 넣고, 전민경 선수는 주전 골키퍼로 활약하며 동메달 획득을 이끌었다.

박희영	박희영/NNP
선수는	선수/NNG+는/JX
중국과의	중국/NNP+과/JKB+의/JKG
3·4위전에서	3/SN+·/SP+4/SN+위전/NNB+에서/JKB
첫골을	첫/MMN+골/NNG+을/JKO
넣고,	넣/VV+고/EC+,/SP
전민경	전민경/NNP
주전	주전/NNG
골키퍼로	골키퍼/NNG+로/JKB
활약하며	활약/NNG+하/XSV+며/EC
동메달	동메달/NNG
획득을	획득/NNG+을/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.387.9.1
대교 축구단은 올해 어린이 등 약 300명을 서포터즈로 모집, 홈경기마다 각종 이벤트를 펼쳤다.

대교	대교/NNP
축구단은	축구단/NNG+은/JX
올해	올해/NNG
어린이	어린이/NNG
등	등/NNB
약	약/MMA
300명을	300/SN+명/NNB+을/JKO
서포터즈로	서포터즈/NNG+로/JKB
모집,	모집/NNG+,/SP
홈경기마다	홈경기/NNG+마다/JX
각종	각종/NNG
이벤트를	이벤트/NNG+를/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.387.9.2
지난 6월에는 고양종합운동장에서 열린 월드컵 한국·그리스전의 거리응원에 선수들이 직접 참여해 사인볼을 증정하기도 했다.

지난	지나/VV+ㄴ/ETM
6월에는	6/SN+월/NNB+에/JKB+는/JX
고양종합운동장에서	고양종합운동장/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
월드컵	월드컵/NNG
한국·그리스전의	한국/NNP+·/SP+그리스전/NNG+의/JKG
거리응원에	거리/NNG+응원/NNG+에/JKB
선수들이	선수/NNG+들/XSN+이/JKS
직접	직접/MAG
참여해	참여/NNG+하/XSV+아/EC
사인볼을	사인볼/NNG+을/JKO
증정하기도	증정/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.387.9.3
서포터즈를 초청해 여름캠프, 후원의 날 행사도 열고 있다.

서포터즈를	서포터즈/NNG+를/JKO
초청해	초청/NNG+하/XSV+아/EC
여름캠프,	여름/NNG+캠프/NNG+,/SP
후원의	후원/NNG+의/JKG
날	날/NNG
행사도	행사/NNG+도/JX
열고	열/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.387.9.4
대교스포츠단 서명원 단장(그룹 비서실장)은 "고양시와의 성공적인 제휴가 최근 세계대회에서 좋은 성적을 내면서 각광을 받고 있는 우리 여자축구의 발전 방향을 제시했으면 한다"고 말했다.

대교스포츠단	대교스포츠단/NNP
서명원	서명원/NNP
단장(그룹	단장/NNG+(/SS+그룹/NNG
비서실장)은	비서실장/NNG+)/SS+은/JX
"고양시와의	"/SS+고양시/NNP+와/JKB+의/JKG
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
제휴가	제휴/NNG+가/JKS
최근	최근/NNG
세계대회에서	세계/NNG+대회/NNG+에서/JKB
좋은	좋/VA+은/ETM
성적을	성적/NNG+을/JKO
내면서	내/VV+면서/EC
각광을	각광/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
우리	우리/NP
여자축구의	여자/NNG+축구/NNG+의/JKG
발전	발전/NNG
방향을	방향/NNG+을/JKO
제시했으면	제시/NNG+하/XSV+았/EP+으면/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.387.10.1
한편 고양시는 내년 10월에 열리는 제92회 전국체전도 유치했다.

한편	한편/MAG
고양시는	고양시/NNP+는/JX
내년	내년/NNG
10월에	10/SN+월/NNB+에/JKB
열리는	열리/VV+는/ETM
제92회	제/XPN+92/SN+회/NNB
전국체전도	전국/NNG+체전/NNG+도/JX
유치했다.	유치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.387.10.2
또 체육 인프라 구축에도 열심이다.

또	또/MAG
체육	체육/NNG
인프라	인프라/NNG
구축에도	구축/NNG+에/JKB+도/JX
열심이다.	열심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.387.10.3
일산서구 대화동 종합운동장 일대에는 내년 6월까지 실내체육관, 야구장, 인공암벽경기장이 새로 들어선다.

일산서구	일산서구/NNP
대화동	대화동/NNP
종합운동장	종합/NNG+운동장/NNG
일대에는	일대/NNG+에/JKB+는/JX
내년	내년/NNG
6월까지	6/SN+월/NNB+까지/JX
실내체육관,	실내/NNG+체육관/NNG+,/SP
야구장,	야구장/NNG+,/SP
인공암벽경기장이	인공/NNG+암벽/NNG+경기장/NNG+이/JKS
새로	새로/MAG
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.387.10.4
실내체육관은 경기장 2면, 국제규격의 50m 레인 10개를 갖춘 수영장, 다이빙장은 물론 스쿼시, 라켓볼, 에어로빅장, 헬스장 등을 두루 갖춰 시민들의 체육공간으로 활용될 예정이다.

실내체육관은	실내/NNG+체육관/NNG+은/JX
경기장	경기장/NNG
2면,	2/SN+면/NNG+,/SP
국제규격의	국제/NNG+규격/NNG+의/JKG
50m	50/SN+m/SW
레인	레인/NNG
10개를	10/SN+개/NNB+를/JKO
갖춘	갖추/VV+ㄴ/ETM
수영장,	수영장/NNG+,/SP
다이빙장은	다이빙장/NNG+은/JX
물론	물론/MAG
스쿼시,	스쿼시/NNG+,/SP
라켓볼,	라켓볼/NNG+,/SP
에어로빅장,	에어로빅장/NNG+,/SP
헬스장	헬스장/NNG
등을	등/NNB+을/JKO
두루	두루/MAG
갖춰	갖추/VV+어/EC
시민들의	시민/NNG+들/XSN+의/JKG
체육공간으로	체육/NNG+공간/NNG+으로/JKB
활용될	활용/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


