# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.4
metadata : {}


# id : NWRW1800000022.4.1.1
한국증시는 지금 '외국인 장세';5일 연속 순매수… 초단기 투자 아닌 중장기 펀드

한국증시는	한국/NNP+증시/NNG+는/JX
작년 12월부터 지난 5일까지 유가증권시장에서 외국인들이 가장 많이 산 종목은 삼성전자(4168억원)였다.

작년	작년/NNG
12월부터	12/SN+월/NNB+부터/JX
지난	지나/VV+ㄴ/ETM
5일까지	5/SN+일/NNB+까지/JX
유가증권시장에서	유가/NNG+증권/NNG+시장/NNG+에서/JKB
외국인들이	외국인/NNG+들/XSN+이/JKS
가장	가장/MAG
많이	많이/MAG
산	살/VV+ㄴ/ETM
종목은	종목/NNG+은/JX
삼성전자(4168억원)였다.	삼성전자/NNP+(/SS+4168/SN+억/NR+원/NNB+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.4.5.2
외국인들은 삼성전자 외에도 POSCO(4154억원)도 많이 사들이면서 한국을 대표할 수 있는 종목들에 많이 투자하는 모습을 보였다.

외국인들은	외국인/NNG+들/XSN+은/JX
삼성전자	삼성전자/NNP
외에도	외/NNB+에/JKB+도/JX
POSCO(4154억원)도	POSCO/SL+(/SS+4154/SN+억/NR+원/NNB+)/SS+도/JX
많이	많이/MAG
사들이면서	사들이/VV+면서/EC
한국을	한국/NNP+을/JKO
대표할	대표/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
종목들에	종목/NNG+들/XSN+에/JKB
투자하는	투자/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.4.5.3
이외 한국전력(1079억원)·신세계(839억원) 등 불황에도 꾸준한 매출이 일어나는 경기방어주에도 관심을 보였다.

이외	이외/NNG
한국전력(1079억원)·신세계(839억원)	한국전력/NNP+(/SS+1079/SN+억/NR+원/NNB+)/SS+·/SP+신세계/NNP+(/SS+839/SN+억/NR+원/NNB+)/SS
등	등/NNB
불황에도	불황/NNG+에/JKB+도/JX
꾸준한	꾸준하/VA+ㄴ/ETM
매출이	매출/NNG+이/JKS
일어나는	일어나/VV+는/ETM
경기방어주에도	경기/NNG+방어주/NNG+에/JKB+도/JX
관심을	관심/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.4.5.4
현대중공업(773억원)·삼성중공업(766억원) 등은 공매도(주식을 빌려 비쌀 때 팔고 값이 떨어진 후 되사서 갚는 것)했다가 주가가 오르자 손절매하기 위해 외국인들이 많이 되산 것으로 분석됐다.

현대중공업(773억원)·삼성중공업(766억원)	현대중공업/NNP+(/SS+773/SN+억/NR+원/NNB+)/SS+·/SP+삼성중공업/NNP+(/SS+766/SN+억/NR+원/NNB+)/SS
등은	등/NNB+은/JX
공매도(주식을	공매도/NNG+(/SS+주식/NNG+을/JKO
빌려	빌리/VV+어/EC
비쌀	비싸/VA+ㄹ/ETM
때	때/NNG
팔고	팔/VV+고/EC
값이	값/NNG+이/JKS
떨어진	떨어지/VV+ㄴ/ETM
후	후/NNG
되사서	되사/VV+아서/EC
갚는	갚/VV+는/ETM
것)했다가	것/NNB+)/SS+하/VV+았/EP+다가/EC
주가가	주가/NNG+가/JKS
오르자	오르/VV+자/EC
손절매하기	손절매/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
외국인들이	외국인/NNG+들/XSN+이/JKS
많이	많이/MAG
되산	되사/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.4.6.1
◆우리만 들어오나?

◆우리만	◆/SW+우리/NP+만/JX
들어오나?	들어오/VV+나/EF+?/SF


# id : NWRW1800000022.4.7.1
다른 신흥국 증시도 많이 떨어진 상태이기 때문에 외국인들이 한국만 노리고 들어오는 것은 아니라는 의견이 많았다.

다른	다른/MMD
신흥국	신흥국/NNG
증시도	증시/NNG+도/JX
많이	많이/MAG
떨어진	떨어지/VV+ㄴ/ETM
상태이기	상태/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
외국인들이	외국인/NNG+들/XSN+이/JKS
한국만	한국/NNP+만/JX
노리고	노리/VV+고/EC
들어오는	들어오/VV+는/ETM
것은	것/NNB+은/JX
아니라는	아니/VCN+라는/ETM
의견이	의견/NNG+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.4.7.2
작년 러시아(-72.4%)·중국(-65.4%)·인도(-52.4%)·홍콩(-48.3%) 등 주요 신흥국가들 주가가 한국(-40%)보다 많이 떨어졌다.

작년	작년/NNG
러시아(-72.4%)·중국(-65.4%)·인도(-52.4%)·홍콩(-48.3%)	러시아/NNP+(/SS+-/SO+72/SN+./SP+4/SN+%/SW+)/SS+·/SP+중국/NNP+(/SS+-/SO+65/SN+./SP+4/SN+%/SW+)/SS+·/SP+인도/NNP+(/SS+-/SO+52/SN+./SP+4/SN+%/SW+)/SS+·/SP+홍콩/NNP+(/SS+-/SO+48/SN+./SP+3/SN+%/SW+)/SS
등	등/NNB
주요	주요/NNG
신흥국가들	신흥/NNG+국가/NNG+들/XSN
주가가	주가/NNG+가/JKS
한국(-40%)보다	한국/NNP+(/SS+-/SO+40/SN+%/SW+)/SS+보다/JKB
많이	많이/MAG
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.4.7.3
대우증권에 따르면 12월 이후 지난 2일까지 외국인들은 한국에서 6억8190억달러를 순매수했지만 대만(4억9390억달러)·인도(3억5140억달러)·인도네시아(7540억달러) 등 다른 신흥국가에서도 '사자'에 나선 것으로 나타났다.

대우증권에	대우증권/NNP+에/JKB
따르면	따르/VV+면/EC
12월	12/SN+월/NNB
이후	이후/NNG
지난	지나/VV+ㄴ/ETM
2일까지	2/SN+일/NNB+까지/JX
외국인들은	외국인/NNG+들/XSN+은/JX
한국에서	한국/NNP+에서/JKB
6억8190억달러를	6/SN+억/NR+8190/SN+억/NR+달러/NNB+를/JKO
순매수했지만	순/MMA+매수/NNG+하/XSV+았/EP+지만/EC
대만(4억9390억달러)·인도(3억5140억달러)·인도네시아(7540억달러)	대만/NNP+(/SS+4/SN+억/NR+9390/SN+억/NR+달러/NNB+)/SS+·/SP+인도/NNP+(/SS+3/SN+억/NR+5140/SN+억/NR+달러/NNB+)/SS+·/SP+인도네시아/NNP+(/SS+7540/SN+억/NR+달러/NNB+)/SS
등	등/NNB
다른	다른/MMD
신흥국가에서도	신흥/NNG+국가/NNG+에서/JKB+도/JX
'사자'에	'/SS+사/VV+자/EC+'/SS+에/JKB
나선	나서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.4.7.4
다만 우리나라 주식을 작년에 많이 팔았던 만큼 상대적으로 매수세도 강했다.

다만	다만/MAG
우리나라	우리나라/NNG
주식을	주식/NNG+을/JKO
작년에	작년/NNG+에/JKB
많이	많이/MAG
팔았던	팔/VV+았/EP+던/ETM
만큼	만큼/NNB
상대적으로	상대/NNG+적/XSN+으로/JKB
매수세도	매수세/NNG+도/JX
강했다.	강하/VA+았/EP+다/EF+./SF


# id : NWRW1800000022.4.8.1
강재준 프랭클린템플턴투신운용 이사는 "외국인들이 작년 전반적으로 많이 팔았던 신흥시장 비중을 높이는 과정에서 한국도 포함된 것이지 한국만 사는 것은 아니다"고 말했다.

강재준	강재준/NNP
프랭클린템플턴투신운용	프랭클린템플턴투신운용/NNP
이사는	이사/NNG+는/JX
"외국인들이	"/SS+외국인/NNG+들/XSN+이/JKS
작년	작년/NNG
전반적으로	전반/NNG+적/XSN+으로/JKB
많이	많이/MAG
팔았던	팔/VV+았/EP+던/ETM
신흥시장	신흥/NNG+시장/NNG
비중을	비중/NNG+을/JKO
높이는	높이/VV+는/ETM
과정에서	과정/NNG+에서/JKB
한국도	한국/NNP+도/JX
포함된	포함/NNG+되/XSV+ㄴ/ETM
것이지	것/NNB+이/VCP+지/EC
한국만	한국/NNP+만/JX
사는	살/VV+는/ETM
것은	것/NNB+은/JX
아니다"고	아니/VCN+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.4.9.1
◆다시 나갈 가능성 있나?

◆다시	◆/SW+다시/MAG
나갈	나가/VV+ㄹ/ETM
가능성	가능/NNG+성/XSN
있나?	있/VA+나/EF+?/SF


# id : NWRW1800000022.4.10.1
들어오는 외국인 자금의 정체가 중장기적인 뮤추얼펀드이긴 하지만 예전처럼 2~3년 동안 오래 머물 성격은 아니라는 평가였다.

들어오는	들어오/VV+는/ETM
외국인	외국인/NNG
자금의	자금/NNG+의/JKG
정체가	정체/NNG+가/JKS
중장기적인	중장기/NNG+적/XSN+이/VCP+ㄴ/ETM
뮤추얼펀드이긴	뮤추얼/NNG+펀드/NNG+이/VCP+기/ETN+ㄴ/JX
하지만	하/VX+지만/EC
예전처럼	예전/NNG+처럼/JKB
2~3년	2/SN+~/SO+3/SN+년/NNB
동안	동안/NNG
오래	오래/MAG
머물	머물/VV+ㄹ/ETM
성격은	성격/NNG+은/JX
아니라는	아니/VCN+라는/ETM
평가였다.	평가/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.4.10.2
JP모간 관계자는 "우리는 투자기간 1년 내외인 뮤추얼펀드가 많다"고 말했다.

JP모간	JP모간/NNP
관계자는	관계자/NNG+는/JX
"우리는	"/SS+우리/NP+는/JX
투자기간	투자/NNG+기간/NNG
1년	1/SN+년/NNB
내외인	내외/NNG+이/VCP+ㄴ/ETM
뮤추얼펀드가	뮤추얼/NNG+펀드/NNG+가/JKS
많다"고	많/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.4.11.1
특히 1분기에 발표될 작년 4분기 기업실적이 어떻게 나오느냐에 따라 외국인 자금의 향후 움직임이 결정될 것으로 전망했다.

특히	특히/MAG
1분기에	1/SN+분기/NNG+에/JKB
발표될	발표/NNG+되/XSV+ㄹ/ETM
작년	작년/NNG
4분기	4/SN+분기/NNG
기업실적이	기업/NNG+실적/NNG+이/JKS
어떻게	어떻/VA+게/EC
나오느냐에	나오/VV+느냐/EF+에/JKB
따라	따르/VV+아/EC
외국인	외국인/NNG
자금의	자금/NNG+의/JKG
향후	향후/NNG
움직임이	움직임/NNG+이/JKS
결정될	결정/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.4.11.2
안승원 UBS증권 전무는 "현재 거래량이 많지 않은 상태에서 주가가 오르는데 이는 근본적으로 전망이 좋아서 들어온다기보다는 기대감에 기댄 저가매수 때문이다"며 "작년 4분기 기업실적이 나와봐야 외국인들도 방향을 잡을 것이다"고 말했다.

안승원	안승원/NNP
UBS증권	UBS증권/NNP
전무는	전무/NNG+는/JX
"현재	"/SS+현재/MAG
거래량이	거래량/NNG+이/JKS
많지	많/VA+지/EC
않은	않/VX+은/ETM
상태에서	상태/NNG+에서/JKB
주가가	주가/NNG+가/JKS
오르는데	오르/VV+는데/EC
이는	이/NP+는/JX
근본적으로	근본/NNG+적/XSN+으로/JKB
전망이	전망/NNG+이/JKS
좋아서	좋/VA+아서/EC
들어온다기보다는	들어오/VV+ㄴ다기/ETN+보다/JKB+는/JX
기대감에	기대감/NNG+에/JKB
기댄	기대/VV+ㄴ/ETM
저가매수	저가/NNG+매수/NNG
때문이다"며	때문/NNB+이/VCP+다/EF+"/SS+며/EC
"작년	"/SS+작년/NNG
4분기	4/SN+분기/NNG
기업실적이	기업/NNG+실적/NNG+이/JKS
나와봐야	나오/VV+아/EC+보/VX+아야/EC
외국인들도	외국인/NNG+들/XSN+도/JX
방향을	방향/NNG+을/JKO
잡을	잡/VV+을/ETM
것이다"고	것/NNB+이/VCP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


