# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.102
metadata : {}


# id : NWRW1800000036.102.1.1
‘반전·복지’ 미 자유주의 정치인의 상징

‘반전·복지’	‘/SS+반전/NNG+·/SP+복지/NNG+’/SS
닉슨	닉슨/NNP
공화당	공화당/NNP
후보가	후보/NNG+가/JKS
나머지	나머지/NNG
주에서	주/NNG+에서/JKB
520명의	520/SN+명/NNB+의/JKG
확보하면서	확보/NNG+하/XSV+면서/EC
미국	미국/NNP
대선	대선/NNG
사상	사상/NNG
최악의	최악/NNG+의/JKG
패배를	패배/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.102.6.1
그는 대학 재학 중 2차대전에 참전해 전폭기 조종사로 30차례나 출격하며 유럽 전선의 아드리아해에 추락하고도 살아온 전쟁영웅이었다.

그는	그/NP+는/JX
대학	대학/NNG
재학	재학/NNG
중	중/NNB
2차대전에	2/SN+차/NNB+대전/NNG+에/JKB
참전해	참전/NNG+하/XSV+아/EC
전폭기	전폭기/NNG
조종사로	조종사/NNG+로/JKB
30차례나	30/SN+차례/NNG+나/JX
출격하며	출격/NNG+하/XSV+며/EC
유럽	유럽/NNP
전선의	전선/NNG+의/JKG
아드리아해에	아드리아해/NNP+에/JKB
추락하고도	추락/NNG+하/XSV+고/EC+도/JX
살아온	살아오/VV+ㄴ/ETM
전쟁영웅이었다.	전쟁/NNG+영웅/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000036.102.6.2
종전 뒤 노스웨스턴대에서 역사학 박사학위를 받고 모교인 다코타웨슬리언대에서 교수로 지냈다.

종전	종전/NNG
뒤	뒤/NNG
노스웨스턴대에서	노스웨스턴대/NNP+에서/JKB
역사학	역사학/NNG
박사학위를	박사/NNG+학위/NNG+를/JKO
받고	받/VV+고/EC
모교인	모교/NNG+이/VCP+ㄴ/ETM
다코타웨슬리언대에서	다코타웨슬리언대/NNP+에서/JKB
교수로	교수/NNG+로/JKB
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.102.7.1
그는 공화당 텃밭인 고향에서 민주당 지구당 사무총장으로 일하며 혈혈단신으로 표밭을 가꿔, 56년 민주당 후보로는 20년 만에 연방 하원의원으로 당선됐다.

그는	그/NP+는/JX
공화당	공화당/NNP
텃밭인	텃밭/NNG+이/VCP+ㄴ/ETM
고향에서	고향/NNG+에서/JKB
민주당	민주당/NNP
지구당	지구당/NNG
사무총장으로	사무총장/NNG+으로/JKB
일하며	일/NNG+하/XSV+며/EC
혈혈단신으로	혈혈단신/NNG+으로/JKB
표밭을	표밭/NNG+을/JKO
가꿔,	가꾸/VV+어/EC+,/SP
56년	56/SN+년/NNB
후보로는	후보/NNG+로/JKB+는/JX
20년	20/SN+년/NNB
만에	만/NNB+에/JKB
연방	연방/NNG
하원의원으로	하원/NNG+의원/NNG+으로/JKB
당선됐다.	당선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.102.7.2
그는 68년 민주당 대선후보 경선 도중 진보파인 로버트 케네디 의원이 암살당하자 그 대타로 경선에 참여했다.

그는	그/NP+는/JX
68년	68/SN+년/NNB
민주당	민주당/NNP
대선후보	대선/NNG+후보/NNG
경선	경선/NNG
도중	도중/NNG
진보파인	진보파/NNG+이/VCP+ㄴ/ETM
로버트	로버트/NNP
케네디	케네디/NNP
의원이	의원/NNG+이/JKS
암살당하자	암살/NNG+당하/XSV+자/EC
그	그/MMD
대타로	대타/NNG+로/JKB
경선에	경선/NNG+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.102.8.1
72년 당시 거세지는 베트남전 반대운동 속에서 맥거번은 반전세대들의 적극적인 선거운동과 지지로 민주당 대선 후보로 당선됐지만, 민주당 지지자들의 분열 등으로 본선에선 닉슨에게 완패했다.

72년	72/SN+년/NNB
당시	당시/NNG
거세지는	거세지/VV+는/ETM
베트남전	베트남전/NNG
반대운동	반대/NNG+운동/NNG
속에서	속/NNG+에서/JKB
맥거번은	맥거번/NNP+은/JX
반전세대들의	반전/NNG+세대/NNG+들/XSN+의/JKG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
선거운동과	선거/NNG+운동/NNG+과/JC
지지로	지지/NNG+로/JKB
민주당	민주당/NNP
대선	대선/NNG
후보로	후보/NNG+로/JKB
당선됐지만,	당선/NNG+되/XSV+었/EP+지만/EC+,/SP
지지자들의	지지자/NNG+들/XSN+의/JKG
분열	분열/NNG
등으로	등/NNB+으로/JKB
본선에선	본선/NNG+에서/JKB+ㄴ/JX
닉슨에게	닉슨/NNP+에게/JKB
완패했다.	완패/NNG+하/XSV+았/EP+다/EF+./SF


