# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.6
metadata : {}


# id : NWRW1800000036.6.1.1
현대오일뱅크, 윤활기유 사업 진출

현대오일뱅크,	현대오일뱅크/NNP+,/SP
윤활기유는 원유를 정제하는 과정에서 휘발유·경유 등이 나온 뒤 남는 잔사유(남는 기름)를 재처리해 만드는 것으로, 자동차·선박·산업설비에 쓰이는 윤활유의 기초원료가 된다.

윤활기유는	윤활기유/NNG+는/JX
원유를	원유/NNG+를/JKO
정제하는	정제/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
휘발유·경유	휘발유/NNG+·/SP+경유/NNG
등이	등/NNB+이/JKS
나온	나오/VV+ㄴ/ETM
뒤	뒤/NNG
남는	남/VV+는/ETM
잔사유(남는	잔사유/NNG+(/SS+남/VV+는/ETM
기름)를	기름/NNG+)/SS+를/JKO
재처리해	재/XPN+처리/NNG+하/XSV+아/EC
만드는	만들/VV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
자동차·선박·산업설비에	자동차/NNG+·/SP+선박/NNG+·/SP+산업/NNG+설비/NNG+에/JKB
쓰이는	쓰이/VV+는/ETM
윤활유의	윤활유/NNG+의/JKG
기초원료가	기초/NNG+원료/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.6.7.2
최근 세계적인 수요 증가로 고수익 사업으로 꼽히고 있다.

최근	최근/MAG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
수요	수요/NNG
증가로	증가/NNG+로/JKB
고수익	고/XPN+수익/NNG
사업으로	사업/NNG+으로/JKB
꼽히고	꼽히/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.6.7.3
에스케이(SK)루브리컨츠, 지에스(GS)칼텍스, 에쓰오일(S-OIL) 등 국내 3개 정유업체는 이미 윤활유 사업에 뛰어들었다.

에스케이(SK)루브리컨츠,	에스케이/NNP+(/SS+SK/SL+)/SS+루브리컨츠/NNP+,/SP
지에스(GS)칼텍스,	지에스/NNP+(/SS+GS/SL+)/SS+칼텍스/NNP+,/SP
에쓰오일(S-OIL)	에쓰오일/NNP+(/SS+S/SL+-/SO+OIL/SL+)/SS
등	등/NNB
국내	국내/NNG
3개	3/SN+개/NNB
정유업체는	정유업체/NNG+는/JX
이미	이미/MAG
윤활유	윤활유/NNG
사업에	사업/NNG+에/JKB
뛰어들었다.	뛰어들/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.6.8.1
윤활기유 사업 진출은 종합에너지기업으로 올라서려는 현대오일뱅크의 행보 가운데 하나다.

윤활기유	윤활기유/NNG
사업	사업/NNG
진출은	진출/NNG+은/JX
종합에너지기업으로	종합/NNG+에너지/NNG+기업/NNG+으로/JKB
올라서려는	올라서/VV+려는/ETM
현대오일뱅크의	현대오일뱅크/NNP+의/JKG
행보	행보/NNG
가운데	가운데/NNG
하나다.	하나/NR+이/VCP+다/EF+./SF


# id : NWRW1800000036.6.8.2
현대오일뱅크는 2010년 7월 현대중공업에 인수된 뒤 원유정제 분야에 치우쳤던 사업 구조를 다각화하는 데 힘을 쏟아왔다.

현대오일뱅크는	현대오일뱅크/NNP+는/JX
2010년	2010/SN+년/NNB
7월	7/SN+월/NNB
현대중공업에	현대중공업/NNP+에/JKB
인수된	인수/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
원유정제	원유/NNG+정제/NNG
분야에	분야/NNG+에/JKB
치우쳤던	치우치/VV+었/EP+던/ETM
사업	사업/NNG
구조를	구조/NNG+를/JKO
다각화하는	다각/NNG+화/XSN+하/XSV+는/ETM
데	데/NNB
힘을	힘/NNG+을/JKO
쏟아왔다.	쏟/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.6.8.3
지난해 원유를 정제해 고부가 제품으로 만드는 제2고도화설비를 상업가동했고, 일본 코스모오일과 손잡고 플라스틱 용기나 화학섬유·합성세제 등의 원료로 사용되는 비티엑스(BTX·벤젠, 톨루엔, 자일렌) 공장도 건설중이다.

지난해	지난해/NNG
원유를	원유/NNG+를/JKO
정제해	정제/NNG+하/XSV+아/EC
고부가	고/XPN+부가/NNG
제품으로	제품/NNG+으로/JKB
만드는	만들/VV+는/ETM
제2고도화설비를	제/XPN+2/SN+고도/NNG+화/XSN+설비/NNG+를/JKO
상업가동했고,	상업/NNG+가동/NNG+하/XSV+았/EP+고/EC+,/SP
일본	일본/NNP
코스모오일과	코스모오일/NNP+과/JKB
손잡고	손잡/VV+고/EC
플라스틱	플라스틱/NNG
용기나	용기/NNG+나/JC
화학섬유·합성세제	화학/NNG+섬유/NNG+·/SP+합성/NNG+세제/NNG
등의	등/NNB+의/JKG
원료로	원료/NNG+로/JKB
사용되는	사용/NNG+되/XSV+는/ETM
비티엑스(BTX·벤젠,	비티엑스/NNG+(/SS+BTX/SL+·/SP+벤젠/NNG+,/SP
톨루엔,	톨루엔/NNG+,/SP
자일렌)	자일렌/NNG+)/SS
공장도	공장/NNG+도/JX
건설중이다.	건설/NNG+중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.6.8.4
울산신항에는 30만㎘ 규모의 저유소(유류저장 시설)를 짓고 있다.

울산신항에는	울산신항/NNP+에/JKB+는/JX
30만㎘	30/SN+만/NR+㎘/SW
규모의	규모/NNG+의/JKG
저유소(유류저장	저유소/NNG+(/SS+유류/NNG+저장/NNG
시설)를	시설/NNG+)/SS+를/JKO
짓고	짓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.6.8.5
또 현대오일뱅크는 올 상반기 주식시장 상장도 추진하고 있다.

또	또/MAG
현대오일뱅크는	현대오일뱅크/NNP+는/JX
올	올/NNG
상반기	상반기/NNG
주식시장	주식/NNG+시장/NNG
상장도	상장/NNG+도/JX
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.6.9.1
권오갑 현대오일뱅크 사장은 “현대중공업 편입 이후, 석유정제에 편중된 사업구조를 혁신하고, 안정적인 수익기반을 창출하는 데 노력해왔다”며 “윤활기유 사업 진출은 현대오일뱅크가 명실공히 종합에너지기업으로서 도약하는 데 큰 밑거름이 될 것”이라고 말했다.

권오갑	권오갑/NNP
현대오일뱅크	현대오일뱅크/NNP
사장은	사장/NNG+은/JX
“현대중공업	“/SS+현대중공업/NNP
편입	편입/NNG
이후,	이후/NNG+,/SP
석유정제에	석유/NNG+정제/NNG+에/JKB
편중된	편중/NNG+되/XSV+ㄴ/ETM
사업구조를	사업/NNG+구조/NNG+를/JKO
혁신하고,	혁신/NNG+하/XSV+고/EC+,/SP
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
수익기반을	수익/NNG+기반/NNG+을/JKO
창출하는	창출/NNG+하/XSV+는/ETM
데	데/NNB
노력해왔다”며	노력/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+”/SS+며/EC
“윤활기유	“/SS+윤활기유/NNG
사업	사업/NNG
진출은	진출/NNG+은/JX
현대오일뱅크가	현대오일뱅크/NNP+가/JKS
명실공히	명실공히/MAG
종합에너지기업으로서	종합/NNG+에너지/NNG+기업/NNG+으로서/JKB
도약하는	도약/NNG+하/XSV+는/ETM
큰	크/VA+ㄴ/ETM
밑거름이	밑거름/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


