# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.224
metadata : {}


# id : NWRW1800000046.224.1.1
인생도 야구도 이호준처럼

인생도	인생/NNG+도/JX
시즌	시즌/NNG
최다	최다/NNG
홈런은	홈런/NNG+은/JX
36개(2003년	36/SN+개/NNB+(/SS+2003/SN+년/NNB
SK),	SK/SL+)/SS+,/SP
타점은	타점/NNG+은/JX
112개(2004년	112/SN+개/NNB+(/SS+2004/SN+년/NNB
SK)였다.	SK/SL+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.224.6.4
현재 페이스라면 이승엽(삼성)이 2003년 기록한 한 시즌 최다 타점(144점) 기록 경신도 욕심낼 만하다.

현재	현재/MAG
페이스라면	페이스/NNG+이/VCP+라면/EC
이승엽(삼성)이	이승엽/NNP+(/SS+삼성/NNP+)/SS+이/JKS
2003년	2003/SN+년/NNB
기록한	기록/NNG+하/XSV+ㄴ/ETM
한	한/MMN
시즌	시즌/NNG
최다	최다/NNG
타점(144점)	타점/NNG+(/SS+144/SN+점/NNB+)/SS
기록	기록/NNG
경신도	경신/NNG+도/JX
욕심낼	욕심내/VV+ㄹ/ETM
만하다.	만/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000046.224.6.5
이호준이 갖고 있는 유일한 개인 타이틀은 2004년 타점왕(112점)이다.

이호준이	이호준/NNP+이/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
개인	개인/NNG
타이틀은	타이틀/NNG+은/JX
2004년	2004/SN+년/NNB
타점왕(112점)이다.	타점왕/NNG+(/SS+112/SN+점/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.224.7.1
야구계에서 '야구는 양준혁처럼, 인생은 이호준처럼'이란 말이 있다.

야구계에서	야구/NNG+계/XSN+에서/JKB
'야구는	'/SS+야구/NNG+는/JX
양준혁처럼,	양준혁/NNP+처럼/JKB+,/SP
인생은	인생/NNG+은/JX
이호준처럼'이란	이호준/NNP+처럼/JKB+'/SS+이/VCP+란/ETM
말이	말/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.224.7.2
거포 능력을 지녔음에도 성적에 기복이 심한 이호준이 유독 FA를 앞두고는 좋은 활약을 펼쳐 두 차례나 대박 계약을 성사시킨 데다가 프로 야구계에서 소문난 미인 아내와 결혼한 점을 두고, 야구 선수로 좋은 성적을 냈지만 아직 미혼인 양준혁(은퇴)과 비교해 팬들이 만들어낸 말이다.

거포	거포/NNG
능력을	능력/NNG+을/JKO
지녔음에도	지니/VV+었/EP+음/ETN+에/JKB+도/JX
성적에	성적/NNG+에/JKB
기복이	기복/NNG+이/JKS
심한	심하/VA+ㄴ/ETM
이호준이	이호준/NNP+이/JKS
유독	유독/MAG
FA를	FA/SL+를/JKO
앞두고는	앞두/VV+고/EC+는/JX
좋은	좋/VA+은/ETM
활약을	활약/NNG+을/JKO
펼쳐	펼치/VV+어/EC
두	두/MMN
차례나	차례/NNG+나/JX
대박	대/XPN+박/NNG
계약을	계약/NNG+을/JKO
성사시킨	성사/NNG+시키/XSV+ㄴ/ETM
데다가	데/NNB+다가/JX
프로	프로/NNG
야구계에서	야구/NNG+계/XSN+에서/JKB
소문난	소문나/VV+ㄴ/ETM
미인	미인/NNG
아내와	아내/NNG+와/JKB
결혼한	결혼/NNG+하/XSV+ㄴ/ETM
점을	점/NNG+을/JKO
두고,	두/VV+고/EC+,/SP
야구	야구/NNG
선수로	선수/NNG+로/JKB
성적을	성적/NNG+을/JKO
냈지만	내/VV+었/EP+지만/EC
아직	아직/MAG
미혼인	미혼/NNG+이/VCP+ㄴ/ETM
양준혁(은퇴)과	양준혁/NNP+(/SS+은퇴/NNG+)/SS+과/JKB
비교해	비교/NNG+하/XSV+아/EC
팬들이	팬/NNG+들/XSN+이/JKS
만들어낸	만들/VV+어/EC+내/VX+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.224.8.1
이호준은 NC 이적 후 두 시즌 동안 꾸준한 활약을 펼치고, 팀의 정신적 리더 역할도 훌륭하게 해내면서 '인생은 이호준처럼'이란 말의 부정적인 이미지를 스스로 씻어냈다.

이호준은	이호준/NNP+은/JX
NC	NC/SL
이적	이적/NNG
후	후/NNG
두	두/MMN
시즌	시즌/NNG
동안	동안/NNG
꾸준한	꾸준하/VA+ㄴ/ETM
활약을	활약/NNG+을/JKO
펼치고,	펼치/VV+고/EC+,/SP
팀의	팀/NNG+의/JKG
정신적	정신/NNG+적/XSN
리더	리더/NNG
역할도	역할/NNG+도/JX
훌륭하게	훌륭하/VA+게/EC
해내면서	해내/VV+면서/EC
'인생은	'/SS+인생/NNG+은/JX
이호준처럼'이란	이호준/NNP+처럼/JKB+'/SS+이/VCP+란/ETM
말의	말/NNG+의/JKG
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
이미지를	이미지/NNG+를/JKO
스스로	스스로/MAG
씻어냈다.	씻/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.224.8.2
이 때문인지 김택진 NC 구단주가 "이호준 선수가 다시 한 번 FA에 도전할 수 있도록 올해도 잘해줬으면 좋겠다"는 당부를 신년 메시지에 담기도 했다.

이	이/MMD
때문인지	때문/NNB+이/VCP+ㄴ지/EC
김택진	김택진/NNP
NC	NC/SL
구단주가	구단주/NNG+가/JKS
"이호준	"/SS+이호준/NNP
선수가	선수/NNG+가/JKS
다시	다시/MAG
한	한/MMN
번	번/NNB
FA에	FA/SL+에/JKB
도전할	도전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
올해도	올해/NNG+도/JX
잘해줬으면	잘/MAG+하/XSV+아/EC+주/VX+었/EP+으면/EC
좋겠다"는	좋/VA+겠/EP+다/EF+"/SS+는/ETM
당부를	당부/NNG+를/JKO
신년	신년/NNG
메시지에	메시지/NNG+에/JKB
담기도	담/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.224.8.3
이호준은 2017년 세 번째 FA 계약에 도전할 수 있다.

이호준은	이호준/NNP+은/JX
2017년	2017/SN+년/NNB
세	세/MMN
번째	번/NNB+째/XSN
FA	FA/SL
계약에	계약/NNG+에/JKB
도전할	도전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


