# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.400
metadata : {}


# id : NWRW1800000038.400.1.1
[朴정부 2기 청와대 출범] 외교관 출신 정무수석 파격… 與 "대체 누구야?"

[朴정부	[/SS+朴/SH+정부/NNG
"정무수석으로서	"/SS+정무/NNG+수석/NNG+으로서/JKB
새로운	새롭/VA+ㄴ/ETM
시각과	시각/NNG+과/JC
역할을	역할/NNG+을/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.400.4.4
그는 한·일(韓日) 과거사 문제 등 민감한 협상에서 정무적 능력을 인정받아왔다.

그는	그/NP+는/JX
한·일(韓日)	한/NNP+·/SP+일/NNP+(/SS+韓日/SH+)/SS
과거사	과거사/NNG
문제	문제/NNG
등	등/NNB
민감한	민감/NNG+하/XSA+ㄴ/ETM
협상에서	협상/NNG+에서/JKB
정무적	정무/NNG+적/XSN
능력을	능력/NNG+을/JKO
인정받아왔다.	인정/NNG+받/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.400.4.5
장관 특보 때 '반기문 유엔 사무총장' 아이디어를 내고 추진하기도 했다.

장관	장관/NNG
특보	특보/NNG
때	때/NNG
'반기문	'/SS+반기문/NNP
유엔	유엔/NNP
사무총장'	사무총장/NNG+'/SS
아이디어를	아이디어/NNG+를/JKO
내고	내/VV+고/EC
추진하기도	추진/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.400.5.1
박 대통령의 다른 참모는 "대통령은 정치권에 국제적 시각을 접목하는 일종의 '실험'을 해보려는 것 같다"며 "정치 사안을 당파적 시각에서 해석하지도 않을 것이고, 과거의 정치적 은원(恩怨) 때문에 왜곡하지도 않을 것이란 장점을 대통령이 기대하는 것"이라고 했다.

박	박/NNP
대통령의	대통령/NNG+의/JKG
다른	다른/MMD
참모는	참모/NNG+는/JX
"대통령은	"/SS+대통령/NNG+은/JX
정치권에	정치/NNG+권/XSN+에/JKB
국제적	국제/NNG+적/XSN
시각을	시각/NNG+을/JKO
접목하는	접목/NNG+하/XSV+는/ETM
일종의	일종/NNG+의/JKG
'실험'을	'/SS+실험/NNG+'/SS+을/JKO
해보려는	하/VV+아/EC+보/VX+려는/ETM
것	것/NNB
같다"며	같/VA+다/EF+"/SS+며/EC
"정치	"/SS+정치/NNG
사안을	사안/NNG+을/JKO
당파적	당파/NNG+적/XSN
시각에서	시각/NNG+에서/JKB
해석하지도	해석/NNG+하/XSV+지/EC+도/JX
않을	않/VX+을/ETM
것이고,	것/NNB+이/VCP+고/EC+,/SP
과거의	과거/NNG+의/JKG
정치적	정치/NNG+적/XSN
은원(恩怨)	은원/NNG+(/SS+恩怨/SH+)/SS
때문에	때문/NNB+에/JKB
왜곡하지도	왜곡/NNG+하/XSV+지/EC+도/JX
것이란	것/NNB+이/VCP+란/ETM
장점을	장점/NNG+을/JKO
대통령이	대통령/NNG+이/JKS
기대하는	기대/NNG+하/XSV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.400.5.2
박 대통령이 처음부터 외교관 기용을 의도했던 건 아닌 듯하다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
처음부터	처음/NNG+부터/JX
외교관	외교관/NNG
기용을	기용/NNG+을/JKO
의도했던	의도/NNG+하/XSV+았/EP+던/ETM
건	거/NNB+ㄴ/JX
아닌	아니/VCN+ㄴ/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000038.400.5.3
적절한 정치인 출신 후보자가 보이지 않자 법조인과 언론인 출신도 한때 찾았던 것으로 알려졌다.

적절한	적절하/VA+ㄴ/ETM
정치인	정치인/NNG
출신	출신/NNG
후보자가	후보자/NNG+가/JKS
보이지	보이/VV+지/EC
않자	않/VX+자/EC
법조인과	법조인/NNG+과/JC
언론인	언론인/NNG
출신도	출신/NNG+도/JX
한때	한때/MAG
찾았던	찾/VV+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.400.6.1
이런 실험이 정치권에선 통하지 않을 수도 있다.

이런	이런/MMD
실험이	실험/NNG+이/JKS
정치권에선	정치/NNG+권/XSN+에서/JKB+ㄴ/JX
통하지	통하/VV+지/EC
않을	않/VX+을/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.400.6.2
박 대통령도 그에 대비한 일종의 '안전장치'로 3선 의원 출신인 김기춘 비서실장과 여야 인맥이 넓은 이정현 홍보수석을 활용할 것으로 보인다.

박	박/NNP
대통령도	대통령/NNG+도/JX
그에	그/NP+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
일종의	일종/NNG+의/JKG
'안전장치'로	'/SS+안전장치/NNG+'/SS+로/JKB
3선	3/SN+선/NNB
의원	의원/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
김기춘	김기춘/NNP
비서실장과	비서실장/NNG+과/JC
여야	여야/NNG
인맥이	인맥/NNG+이/JKS
넓은	넓/VA+은/ETM
이정현	이정현/NNP
홍보수석을	홍보/NNG+수석/NNG+을/JKO
활용할	활용/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.400.6.3
민주당 김관영 대변인은 박 수석에 대해 "야당과 벌이는 협상을 조율할 능력과 자질을 갖추었는지 우려스럽다"며 "박 대통령의 복심이라고 일컫는 이정현 홍보수석이 실질적으로 정무수석 역할까지 장악하려는 것 아닌지 의심스럽다"고 했다.

민주당	민주당/NNP
김관영	김관영/NNP
대변인은	대변인/NNG+은/JX
박	박/NNP
수석에	수석/NNG+에/JKB
대해	대하/VV+아/EC
"야당과	"/SS+야당/NNG+과/JKB
벌이는	벌이/VV+는/ETM
협상을	협상/NNG+을/JKO
조율할	조율/NNG+하/XSV+ㄹ/ETM
능력과	능력/NNG+과/JC
자질을	자질/NNG+을/JKO
갖추었는지	갖추/VV+었/EP+는지/EC
우려스럽다"며	우려/NNG+스럽/XSA+다/EF+"/SS+며/EC
"박	"/SS+박/NNP
대통령의	대통령/NNG+의/JKG
복심이라고	복심/NNG+이/VCP+라고/EC
일컫는	일컫/VV+는/ETM
이정현	이정현/NNP
홍보수석이	홍보/NNG+수석/NNG+이/JKS
실질적으로	실질/NNG+적/XSN+으로/JKB
정무수석	정무/NNG+수석/NNG
역할까지	역할/NNG+까지/JX
장악하려는	장악/NNG+하/XSV+려는/ETM
것	것/NNB
아닌지	아니/VCN+ㄴ지/EC
의심스럽다"고	의심/NNG+스럽/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.400.7.1
박 수석은 서울 중동고와 서울대 법대를 나와 외시(12회)에 합격했다.

박	박/NNP
수석은	수석/NNG+은/JX
서울	서울/NNP
중동고와	중동고/NNP+와/JC
서울대	서울대/NNP
법대를	법대/NNG+를/JKO
나와	나오/VV+아/EC
외시(12회)에	외시/NNG+(/SS+12/SN+회/NNB+)/SS+에/JKB
합격했다.	합격/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.400.7.2
미국·중국·일본 등에서 주로 근무했고, 외교부 기획관리실장, EU(유럽연합) 대사 등을 거쳤다.

미국·중국·일본	미국/NNP+·/SP+중국/NNP+·/SP+일본/NNP
등에서	등/NNB+에서/JKB
주로	주로/MAG
근무했고,	근무/NNG+하/XSV+았/EP+고/EC+,/SP
외교부	외교부/NNG
기획관리실장,	기획/NNG+관리실장/NNG+,/SP
EU(유럽연합)	EU/SL+(/SS+유럽연합/NNP+)/SS
대사	대사/NNG
등을	등/NNB+을/JKO
거쳤다.	거치/VV+었/EP+다/EF+./SF


