# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.117
metadata : {}


# id : NWRW1800000052.117.1.1
영혼 뒤바뀐 두 여자의 뜨거운 연대

영혼	영혼/NNG
# id : NWRW1800000052.117.7.2
그러나 이 작품은 다른 삶을 사는 다른 두 여성이 상대의 처지에서 생각하고 체험하게 되면서 삶의 의미를 새로 깨닫게 되는 장치로 쓰고 있다는 점이 특징이다.

그러나	그러나/MAJ
이	이/MMD
작품은	작품/NNG+은/JX
다른	다른/MMD
삶을	삶/NNG+을/JKO
사는	살/VV+는/ETM
두	두/MMN
여성이	여성/NNG+이/JKS
상대의	상대/NNG+의/JKG
처지에서	처지/NNG+에서/JKB
생각하고	생각/NNG+하/XSV+고/EC
체험하게	체험/NNG+하/XSV+게/EC
되면서	되/VV+면서/EC
삶의	삶/NNG+의/JKG
의미를	의미/NNG+를/JKO
새로	새로/MAG
깨닫게	깨닫/VV+게/EC
되는	되/VV+는/ETM
장치로	장치/NNG+로/JKB
쓰고	쓰/VV+고/EC
있다는	있/VX+다는/ETM
점이	점/NNG+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.117.7.3
힘든 처지에 놓인 두 여자는 서로를 이해하고 연대하게 된다.

힘든	힘들/VA+ㄴ/ETM
처지에	처지/NNG+에/JKB
놓인	놓이/VV+ㄴ/ETM
두	두/MMN
여자는	여자/NNG+는/JX
서로를	서로/NNG+를/JKO
이해하고	이해/NNG+하/XSV+고/EC
연대하게	연대/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.117.7.4
평범하게 살고 싶다, 비데가 따뜻하게 안아준다, 우리 함께 낳아 키우자 등 뭉클한 대사도 등장한다.

평범하게	평범하/VA+게/EC
살고	살/VV+고/EC
싶다,	싶/VX+다/EF+,/SP
비데가	비데/NNG+가/JKS
따뜻하게	따뜻하/VA+게/EC
안아준다,	안/VV+아/EC+주/VX+ㄴ다/EF+,/SP
우리	우리/NP
함께	함께/MAG
낳아	낳/VV+아/EC
키우자	키우/VV+자/EF
등	등/NNB
뭉클한	뭉클/MAG+하/XSA+ㄴ/ETM
대사도	대사/NNG+도/JX
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.117.7.5
무대배경도 플라스틱 소쿠리를 청사초롱처럼 꾸미는 등 생활 속 소품들을 들여와 거품을 뺐다.

무대배경도	무대/NNG+배경/NNG+도/JX
플라스틱	플라스틱/NNG
소쿠리를	소쿠리/NNG+를/JKO
청사초롱처럼	청사초롱/NNG+처럼/JKB
꾸미는	꾸미/VV+는/ETM
등	등/NNB
생활	생활/NNG
속	속/NNG
소품들을	소품/NNG+들/XSN+을/JKO
들여와	들여오/VV+아/EC
거품을	거품/NNG+을/JKO
뺐다.	빼/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.117.8.1
다만, 초연 무대로 극 전개가 조금 더 다듬어져야 하고, 안무와 노래에도 좀더 노력이 필요하다고 느낄 관객도 있을 것이다.

다만,	다만/MAG+,/SP
초연	초연/NNG
무대로	무대/NNG+로/JKB
극	극/NNG
전개가	전개/NNG+가/JKS
조금	조금/MAG
더	더/MAG
다듬어져야	다듬어지/VV+어야/EC
하고,	하/VX+고/EC+,/SP
안무와	안무/NNG+와/JC
노래에도	노래/NNG+에/JKB+도/JX
좀더	좀/MAG+더/MAG
노력이	노력/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
느낄	느끼/VV+ㄹ/ETM
관객도	관객/NNG+도/JX
있을	있/VA+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.117.8.2
가출소녀이 가정폭력과 조건만남 등 사회의 폭력에 노출돼 있다는 설정은 사실성을 획득하고 있지만, 일부 대목에선 어려운 문제에 정면대응 하기보다는 살짝 피하는 듯한 인상도 준다.

가출소녀이	가출/NNG+소녀/NNG+이/JKS
가정폭력과	가정/NNG+폭력/NNG+과/JC
조건만남	조건/NNG+만남/NNG
등	등/NNB
사회의	사회/NNG+의/JKG
폭력에	폭력/NNG+에/JKB
노출돼	노출/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
설정은	설정/NNG+은/JX
사실성을	사실/NNG+성/XSN+을/JKO
획득하고	획득/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
일부	일부/NNG
대목에선	대목/NNG+에서/JKB+ㄴ/JX
어려운	어렵/VA+ㄴ/ETM
문제에	문제/NNG+에/JKB
정면대응	정면/NNG+대응/NNG
하기보다는	하/VV+기/ETN+보다/JKB+는/JX
살짝	살짝/MAG
피하는	피하/VV+는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
인상도	인상/NNG+도/JX
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.117.8.3
문예위 창작공연지원을 받아 1~3월 잇달아 무대에 오르는 5편 중 두번째 작품이다.

문예위	문예위/NNP
창작공연지원을	창작/NNG+공연/NNG+지원/NNG+을/JKO
받아	받/VV+아/EC
1~3월	1/SN+~/SO+3/SN+월/NNB
잇달아	잇달/VV+아/EC
무대에	무대/NNG+에/JKB
오르는	오르/VV+는/ETM
5편	5/SN+편/NNB
중	중/NNB
두번째	두/MMN+번/NNB+째/XSN
작품이다.	작품/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.117.8.4
오는 14일까지 서울 대학로 동숭아트센터 동숭홀에서 이어진다.

오는	오/VV+는/ETM
14일까지	14/SN+일/NNB+까지/JX
서울	서울/NNP
대학로	대학로/NNP
동숭아트센터	동숭아트센터/NNP
동숭홀에서	동숭홀/NNP+에서/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.117.8.5
아르(R)석 5만원.

아르(R)석	아르/NNG+(/SS+R/SL+)/SS+석/NNB
5만원.	5/SN+만/NR+원/NNB+./SF


# id : NWRW1800000052.117.8.6
문의 (02)2278-5741.

문의	문의/NNG
(02)2278-5741.	(/SS+02/SN+)/SS+2278/SN+-/SO+5741/SN+./SF


