# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.371
metadata : {}


# id : NWRW1800000052.371.1.1
법원 “김무성 전 대표, 콜트악기 노조에 공개 사과해라”

법원	법원/NNG
새누리당	새누리당/NNP
당사	당사/NNG
앞에서	앞/NNG+에서/JKB
15일	15/SN+일/NNB
기준	기준/NNG
316일째	316/SN+일/NNB+째/XSN
농성을	농성/NNG+을/JKO
있다.	있/VX+다/EF+./SF


