# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.321
metadata : {}


# id : NWRW1800000046.321.1.1
"박상옥(대법관 후보자) 청문회 빨리 열어달라"

"박상옥(대법관	"/SS+박상옥/NNP+(/SS+대/XPN+법관/NNG
"사법부에서	"/SS+사법부/NNG+에서/JKB
청문회를	청문회/NNG+를/JKO
요청했는데,	요청/NNG+하/XSV+았/EP+는데/EC+,/SP
국회가	국회/NNG+가/JKS
해서	하/VV+아서/EC
결과를	결과/NNG+를/JKO
통보하는	통보/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
예의를	예의/NNG+를/JKO
갖추는	갖추/VV+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"가능하면	"/SS+가능/NNG+하/XSA+면/EC
3월	3/SN+월/NNB
초	초/NNB
'원포인트'	'/SS+원/NNG+포인트/NNG+'/SS
본회의를	본회의/NNG+를/JKO
의결하고,	의결/NNG+하/XSV+고/EC+,/SP
최악의	최악/NNG+의/JKG
경우에는	경우/NNG+에/JKB+는/JX
4월	4/SN+월/NNB
첫주쯤	첫/MMN+주/NNG+쯤/XSN
마무리하는	마무리/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
예의"라고	예의/NNG+"/SS+라고/JKQ
대답했다.	대답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.321.6.1
앞서 2일 양 대법원장은 대법원을 예방한 이완구 총리에게도 "(박 후보자) 청문회 절차가 총리에 이어서 바로 됐어야 했는데, 아직 국회에서 확실한 대답을 하지 않고 있다"며 청문회가 빨리 열릴 수 있게 도와달라고 당부했다.

앞서	앞서/MAG
2일	2/SN+일/NNB
양	양/NNP
대법원장은	대법원장/NNG+은/JX
대법원을	대/XPN+법원/NNG+을/JKO
예방한	예방/NNG+하/XSV+ㄴ/ETM
이완구	이완구/NNP
총리에게도	총리/NNG+에게/JKB+도/JX
"(박	"/SS+(/SS+박/NNP
후보자)	후보자/NNG+)/SS
청문회	청문회/NNG
절차가	절차/NNG+가/JKS
총리에	총리/NNG+에/JKB
이어서	잇/VV+어서/EC
바로	바로/MAG
됐어야	되/VV+었/EP+어야/EC
했는데,	하/VX+았/EP+는데/EC+,/SP
아직	아직/MAG
국회에서	국회/NNG+에서/JKB
확실한	확실하/VA+ㄴ/ETM
대답을	대답/NNG+을/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
청문회가	청문회/NNG+가/JKS
빨리	빨리/MAG
열릴	열리/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
도와달라고	돕/VV+아/EC+달/VX+라고/EC
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.321.7.1
박 후보자는 지난 2월 17일 퇴임한 신영철 전 대법관 후임으로 1월 21일 임명 제청됐다.

박	박/NNP
후보자는	후보자/NNG+는/JX
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
17일	17/SN+일/NNB
퇴임한	퇴임/NNG+하/XSV+ㄴ/ETM
신영철	신영철/NNP
전	전/MMD
대법관	대/XPN+법관/NNG
후임으로	후임/NNG+으로/JKB
1월	1/SN+월/NNB
21일	21/SN+일/NNB
임명	임명/NNG
제청됐다.	제청/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.321.7.2
하지만 초임 검사 시절 고(故) 박종철군 고문치사 사건을 은폐하는 데 가담했다며 야당이 청문회 개최를 거부하고 있다.

하지만	하지만/MAJ
초임	초임/NNG
검사	검사/NNG
시절	시절/NNG
고(故)	고/MMA+(/SS+故/SH+)/SS
박종철군	박종철/NNP+군/NNB
고문치사	고문치사/NNG
사건을	사건/NNG+을/JKO
은폐하는	은폐/NNG+하/XSV+는/ETM
데	데/NNB
가담했다며	가담/NNG+하/XSV+았/EP+다며/EC
야당이	야당/NNG+이/JKS
청문회	청문회/NNG
개최를	개최/NNG+를/JKO
거부하고	거부/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


