# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.91
metadata : {}


# id : NWRW1800000030.91.1.1
'천사 청년' 하늘에서 졸업장 받다

'천사	'/SS+천사/NNG
"(사망한	"/SS+(/SS+사망/NNG+하/XSV+ㄴ/ETM
이씨를)	이/NNP+씨/NNB+를/JKO+)/SS
자주	자주/MAG
봐야	보/VV+아야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
유치원과	유치원/NNG+과/JC
병원	병원/NNG
예정지	예정지/NNG
사이에	사이/NNG+에/JKB
그를	그/NP+를/JKO
묻고,	묻/VV+고/EC+,/SP
그가	그/NP+가/JKS
설계해	설계/NNG+하/XSV+아/EC
만든	만들/VV+ㄴ/ETM
초등학교	초등학교/NNG
식당에서	식당/NNG+에서/JKB
이씨	이/NNP+씨/NNB
가족과	가족/NNG+과/JKB
장례를	장례/NNG+를/JKO
치렀다.	치르/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.91.6.1
서울대 건축학과는 이씨가 국가를 위해 공헌했다고 판단, 살아 있었다면 곧 졸업할 그를 명예졸업자로 추천했다.

서울대	서울대/NNP
건축학과는	건축학과/NNG+는/JX
이씨가	이/NNP+씨/NNB+가/JKS
국가를	국가/NNG+를/JKO
위해	위하/VV+아/EC
공헌했다고	공헌/NNG+하/XSV+았/EP+다고/EC
판단,	판단/NNG+,/SP
살아	살/VV+아/EC
있었다면	있/VX+었/EP+다면/EC
곧	곧/MAG
졸업할	졸업/NNG+하/XSV+ㄹ/ETM
그를	그/NP+를/JKO
명예졸업자로	명예/NNG+졸업자/NNG+로/JKB
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.91.6.2
건축학과 박소현 교수는 "떠나간 제자를 위해 학교가 해줄 수 있는 마지막 배려라고 생각한다"며 "명예졸업장이 부모님에게 작은 위안이 됐으면 한다"고 말했다.

건축학과	건축학과/NNG
박소현	박소현/NNP
교수는	교수/NNG+는/JX
"떠나간	"/SS+떠나가/VV+ㄴ/ETM
제자를	제자/NNG+를/JKO
위해	위하/VV+아/EC
학교가	학교/NNG+가/JKS
해줄	하/VV+아/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
마지막	마지막/NNG
배려라고	배려/NNG+이/VCP+라고/EC
생각한다"며	생각/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"명예졸업장이	"/SS+명예/NNG+졸업장/NNG+이/JKS
부모님에게	부모/NNG+님/XSN+에게/JKB
작은	작/VA+은/ETM
위안이	위안/NNG+이/JKC
됐으면	되/VV+었/EP+으면/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.91.6.3
명예졸업장은 다음 달 25일 서울대 졸업식에서 수여된다.

명예졸업장은	명예/NNG+졸업장/NNG+은/JX
다음	다음/NNG
달	달/NNG
25일	25/SN+일/NNB
서울대	서울대/NNP
졸업식에서	졸업식/NNG+에서/JKB
수여된다.	수여/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.91.7.1
이씨 동생 지은(23·한동대4)씨는 "평소 좋은 일을 많이 한 오빠가 명예졸업장을 받는다니 자랑스럽다"고 했다.

이씨	이/NNP+씨/NNB
동생	동생/NNG
지은(23·한동대4)씨는	지은/NNP+(/SS+23/SN+·/SP+한동대/NNP+4/SN+)/SS+씨/NNB+는/JX
"평소	"/SS+평소/NNG
좋은	좋/VA+은/ETM
일을	일/NNG+을/JKO
많이	많이/MAG
한	하/VV+ㄴ/ETM
오빠가	오빠/NNG+가/JKS
명예졸업장을	명예/NNG+졸업장/NNG+을/JKO
받는다니	받/VV+는다니/EC
자랑스럽다"고	자랑/NNG+스럽/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.91.8.1
아버지 이철원(55)씨는 "아들 생각에 여전히 많이 힘들다"며 "(아들이 묻힌) 탄자니아에 한번 가야 하는데…"라며 말을 잇지 못했다.

아버지	아버지/NNG
이철원(55)씨는	이철원/NNP+(/SS+55/SN+)/SS+씨/NNB+는/JX
"아들	"/SS+아들/NNG
생각에	생각/NNG+에/JKB
여전히	여전히/MAG
많이	많이/MAG
힘들다"며	힘들/VA+다/EF+"/SS+며/EC
"(아들이	"/SS+(/SS+아들/NNG+이/JKS
묻힌)	묻히/VV+ㄴ/ETM+)/SS
탄자니아에	탄자니아/NNP+에/JKB
한번	한번/MAG
가야	가/VV+아야/EC
하는데…"라며	하/VX+는데/EC+…/SE+"/SS+이/VCP+라며/EC
말을	말/NNG+을/JKO
잇지	잇/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.91.8.2
교육과학기술부는 지난해 10월 이씨의 봉사정신을 기려 '대한민국 인재상' 수상자로 선정하기도 했다.

교육과학기술부는	교육/NNG+과학/NNG+기술부/NNG+는/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
이씨의	이/NNP+씨/NNB+의/JKG
봉사정신을	봉사/NNG+정신/NNG+을/JKO
기려	기리/VV+어/EC
'대한민국	'/SS+대한민국/NNP
인재상'	인재/NNG+상/NNG+'/SS
수상자로	수상자/NNG+로/JKB
선정하기도	선정/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


