# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.355
metadata : {}


# id : NWRW1800000028.355.1.1
재벌총수 지분율 떨어져도 /계열사 장악력은 그대로

재벌총수	재벌/NNG+총수/NNG
0.02%포인트와	0/SN+./SP+02/SN+%포인트/NNG+와/JC
0.19%포인트	0/SN+./SP+19/SN+%포인트/NNG
감소한	감소/NNG+하/XSV+ㄴ/ETM
2.01%와	2/SN+./SP+01/SN+%/SW+와/JC
4.34%였다.	4/SN+./SP+34/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.355.3.2
반면에 총수가 실질적 지배력을 행사하는 내부지분율(총수일가·계열사 지분 등을 합친 것)은 50.46%로 그룹에 대한 장악력은 여전했다.

반면에	반면/NNG+에/JKB
총수가	총수/NNG+가/JKS
실질적	실질/NNG+적/XSN
지배력을	지배력/NNG+을/JKO
행사하는	행사/NNG+하/XSV+는/ETM
내부지분율(총수일가·계열사	내부/NNG+지분/NNG+율/XSN+(/SS+총수/NNG+일가/NNG+·/SP+계열사/NNG
지분	지분/NNG
등을	등/NNB+을/JKO
합친	합치/VV+ㄴ/ETM
것)은	것/NNB+)/SS+은/JX
50.46%로	50/SN+./SP+46/SN+%/SW+로/JKB
그룹에	그룹/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
장악력은	장악력/NNG+은/JX
여전했다.	여전하/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.355.3.3
이런 내부지분율은 지난해보다 2.40%포인트가 낮아진 것이지만, 워크아웃(기업개선작업)에 들어간 금호아시아나를 제외하고 보면 감소 폭이 0.52%포인트로 줄어든다.

이런	이런/MMD
내부지분율은	내부/NNG+지분/NNG+율/XSN+은/JX
지난해보다	지난해/NNG+보다/JKB
2.40%포인트가	2/SN+./SP+40/SN+%포인트/NNG+가/JKS
낮아진	낮/VA+아/EC+지/VX+ㄴ/ETM
것이지만,	것/NNB+이/VCP+지만/EC+,/SP
워크아웃(기업개선작업)에	워크아웃/NNG+(/SS+기업/NNG+개선/NNG+작업/NNG+)/SS+에/JKB
들어간	들어가/VV+ㄴ/ETM
금호아시아나를	금호아시아나/NNP+를/JKO
제외하고	제외/NNG+하/XSV+고/EC
보면	보/VX+면/EC
감소	감소/NNG
폭이	폭/NNG+이/JKS
0.52%포인트로	0/SN+./SP+52/SN+%포인트/NNG+로/JKB
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.355.4.1
연속 지정된 31개 그룹 가운데 총수일가가 100% 소유하고 있는 계열사는 26개사로 지난해보다 2곳이 더 늘었다.

연속	연속/NNG
지정된	지정/NNG+되/XSV+ㄴ/ETM
31개	31/SN+개/NNB
그룹	그룹/NNG
가운데	가운데/NNG
총수일가가	총수/NNG+일가/NNG+가/JKS
100%	100/SN+%/SW
소유하고	소유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
계열사는	계열사/NNG+는/JX
26개사로	26/SN+개사/NNB+로/JKB
지난해보다	지난해/NNG+보다/JKB
2곳이	2/SN+곳/NNG+이/JKS
더	더/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.355.4.2
사이버스카이(한진)와 동현엔지니어링(두산), 경서티앤알(웅진) 등이 추가됐다.

사이버스카이(한진)와	사이버스카이/NNP+(/SS+한진/NNP+)/SS+와/JC
동현엔지니어링(두산),	동현엔지니어링/NNP+(/SS+두산/NNP+)/SS+,/SP
경서티앤알(웅진)	경서티앤알/NNP+(/SS+웅진/NNP+)/SS
등이	등/NNB+이/JKS
추가됐다.	추가/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.355.4.3
대기업의 ‘물량 몰아주기’가 대부분 총수 일가의 지분이 다른 계열사에 비해 두드러지게 높은 기업을 대상으로 이루어진다는 점을 고려하면, 우려스러운 대목이라는 평가가 나온다.

대기업의	대/XPN+기업/NNG+의/JKG
‘물량	‘/SS+물량/NNG
몰아주기’가	몰아주기/NNG+’/SS+가/JKS
대부분	대/XPN+부분/NNG
총수	총수/NNG
일가의	일가/NNG+의/JKG
지분이	지분/NNG+이/JKS
다른	다른/MMD
계열사에	계열사/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
두드러지게	두드러지/VV+게/EC
높은	높/VA+은/ETM
기업을	기업/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
이루어진다는	이루어지/VV+ㄴ다는/ETM
점을	점/NNG+을/JKO
고려하면,	고려/NNG+하/XSV+면/EC+,/SP
우려스러운	우려/NNG+스럽/XSA+ㄴ/ETM
대목이라는	대목/NNG+이/VCP+라는/ETM
평가가	평가/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.355.4.4
김상조 경제개혁연대 소장(한성대 교수)은 “총수일가가 50% 이상 소유하고 있는 계열사로 집계하면 그 수는 훨씬 많아진다”며 “계열사 물량을 몰아줘 이익을 키워줌으로써, 부와 경영권의 신종 승계 방식으로 활용되고 있다”고 말했다.

김상조	김상조/NNP
경제개혁연대	경제/NNG+개혁/NNG+연대/NNG
소장(한성대	소장/NNG+(/SS+한성대/NNP
교수)은	교수/NNG+)/SS+은/JX
“총수일가가	“/SS+총수/NNG+일가/NNG+가/JKS
50%	50/SN+%/SW
이상	이상/NNG
소유하고	소유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
계열사로	계열사/NNG+로/JKB
집계하면	집계/NNG+하/XSV+면/EC
그	그/MMD
수는	수/NNG+는/JX
훨씬	훨씬/MAG
많아진다”며	많아지/VV+ㄴ다/EF+”/SS+며/EC
“계열사	“/SS+계열사/NNG
물량을	물량/NNG+을/JKO
몰아줘	몰아주/VV+어/EC
이익을	이익/NNG+을/JKO
키워줌으로써,	키우/VV+어/EC+주/VX+ㅁ/ETN+으로써/JKB+,/SP
부와	부/NNG+와/JC
경영권의	경영/NNG+권/XSN+의/JKG
신종	신종/NNG
승계	승계/NNG
방식으로	방식/NNG+으로/JKB
활용되고	활용/NNG+되/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.355.5.1
또 지주회사로 전환한 엘지(LG)와 에스케이(SK), 두산 등 12개 그룹의 내부지분율은 54.63%로 일반 대기업집단(48.72%)보다 5.91%포인트가 더 높았다.

또	또/MAG
지주회사로	지주/NNG+회사/NNG+로/JKB
전환한	전환/NNG+하/XSV+ㄴ/ETM
엘지(LG)와	엘지/NNP+(/SS+LG/SL+)/SS+와/JC
에스케이(SK),	에스케이/NNP+(/SS+SK/SL+)/SS+,/SP
두산	두산/NNP
등	등/NNB
12개	12/SN+개/NNB
그룹의	그룹/NNG+의/JKG
내부지분율은	내부/NNG+지분/NNG+율/XSN+은/JX
54.63%로	54/SN+./SP+63/SN+%/SW+로/JKB
일반	일반/NNG
대기업집단(48.72%)보다	대/XPN+기업/NNG+집단/NNG+(/SS+48/SN+./SP+72/SN+%/SW+)/SS+보다/JKB
5.91%포인트가	5/SN+./SP+91/SN+%포인트/NNG+가/JKS
더	더/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000028.355.5.2
이들 지주회사 대기업집단은 총수일가 지분율과 계열회사 지분율도 각각 일반 대기업에 견줘 1.83%포인트와 2.38%포인트가 높은 5.68%와 45.24%였다.

이들	이/NP+들/XSN
지주회사	지주/NNG+회사/NNG
대기업집단은	대/XPN+기업/NNG+집단/NNG+은/JX
총수일가	총수/NNG+일가/NNG
지분율과	지분/NNG+율/XSN+과/JC
계열회사	계열/NNG+회사/NNG
지분율도	지분/NNG+율/XSN+도/JX
각각	각각/MAG
일반	일반/NNG
대기업에	대/XPN+기업/NNG+에/JKB
견줘	견주/VV+어/EC
1.83%포인트와	1/SN+./SP+83/SN+%포인트/NNG+와/JC
2.38%포인트가	2/SN+./SP+38/SN+%포인트/NNG+가/JKS
높은	높/VA+은/ETM
5.68%와	5/SN+./SP+68/SN+%/SW+와/JC
45.24%였다.	45/SN+./SP+24/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.355.6.1
아울러 배우자와 직계가족 지분이 총수 지분보다 많은 그룹은 롯데와 금호아시아나 등 9곳이었다.

아울러	아울러/MAG
배우자와	배우자/NNG+와/JC
직계가족	직계/NNG+가족/NNG
지분이	지분/NNG+이/JKS
총수	총수/NNG
지분보다	지분/NNG+보다/JKB
많은	많/VA+은/ETM
그룹은	그룹/NNG+은/JX
롯데와	롯데/NNP+와/JC
금호아시아나	금호아시아나/NNP
등	등/NNB
9곳이었다.	9/SN+곳/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.355.6.2
신세계와 엘지를 제외한 7곳은 자녀 지분이 총수보다 높아, 총수일가의 승계가 본격화하고 있음을 보여줬다.

신세계와	신세계/NNP+와/JC
엘지를	엘지/NNP+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
7곳은	7/SN+곳/NNG+은/JX
자녀	자녀/NNG
지분이	지분/NNG+이/JKS
총수보다	총수/NNG+보다/JKB
높아,	높/VA+아/EC+,/SP
총수일가의	총수/NNG+일가/NNG+의/JKG
승계가	승계/NNG+가/JKS
본격화하고	본격/NNG+화/XSN+하/XSV+고/EC
있음을	있/VX+음/ETN+을/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.355.6.3
연속 지정된 31개 그룹 중에서 금융보험사의 비금융계열 출자규모는 지난해보다 643억원이 줄어든 3359억원으로 나타났다.

연속	연속/NNG
지정된	지정/NNG+되/XSV+ㄴ/ETM
31개	31/SN+개/NNB
그룹	그룹/NNG
중에서	중/NNB+에서/JKB
금융보험사의	금융/NNG+보험사/NNG+의/JKG
비금융계열	비/XPN+금융/NNG+계열/NNG
출자규모는	출자/NNG+규모/NNG+는/JX
지난해보다	지난해/NNG+보다/JKB
643억원이	643/SN+억/NR+원/NNB+이/JKS
줄어든	줄어들/VV+ㄴ/ETM
3359억원으로	3359/SN+억/NR+원/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.355.6.4
소속 금융보험사의 계열사 출자가 가장 많이 늘어난 그룹은 현대자동차(444억원)와 한국투자금융(358억원), 동부(86억원) 등의 차례였다.

소속	소속/NNG
금융보험사의	금융/NNG+보험사/NNG+의/JKG
계열사	계열사/NNG
출자가	출자/NNG+가/JKS
가장	가장/MAG
많이	많이/MAG
늘어난	늘어나/VV+ㄴ/ETM
그룹은	그룹/NNG+은/JX
현대자동차(444억원)와	현대자동차/NNP+(/SS+444/SN+억/NR+원/NNB+)/SS+와/JC
한국투자금융(358억원),	한국투자금융/NNP+(/SS+358/SN+억/NR+원/NNB+)/SS+,/SP
동부(86억원)	동부/NNP+(/SS+86/SN+억/NR+원/NNB+)/SS
등의	등/NNB+의/JKG
차례였다.	차례/NNG+이/VCP+었/EP+다/EF+./SF


