# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.30
metadata : {}


# id : NWRW1800000049.30.1.1
수출첫걸음 종합대전, 현장계약만 20건 성과

수출첫걸음	수출/NNG+첫걸음/NNG
이날 행사는 내수기업의 신규 수출을 지원하기 위한 것으로, 올해 들어 두 번째로 열렸다.

이날	이날/NNG
행사는	행사/NNG+는/JX
내수기업의	내수/NNG+기업/NNG+의/JKG
신규	신규/NNG
수출을	수출/NNG+을/JKO
지원하기	지원/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
올해	올해/NNG
들어	들/VV+어/EC
두	두/MMN
번째로	번/NNB+째/XSN+로/JKB
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.30.6.2
내수기업 600여 개사가 참여해 전 세계 50개국에서 온 200여 개사의 바이어와 만나 총 1500건의 상담을 했다.

내수기업	내수/NNG+기업/NNG
600여	600/SN+여/XSN
개사가	개사/NNB+가/JKS
참여해	참여/NNG+하/XSV+아/EC
전	전/MMN
세계	세계/NNG
50개국에서	50/SN+개국/NNB+에서/JKB
온	오/VV+ㄴ/ETM
200여	200/SN+여/XSN
개사의	개사/NNB+의/JKG
바이어와	바이어/NNG+와/JKB
만나	만나/VV+아/EC
총	총/MMA
1500건의	1500/SN+건/NNB+의/JKG
상담을	상담/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.30.6.3
KOTRA 측은 “기업들의 반응이 좋아 지난해 한 번 개최했던 것과 달리 올해엔 상·하반기 두 차례 개최했다”고 설명했다.

KOTRA	KOTRA/SL
측은	측/NNB+은/JX
“기업들의	“/SS+기업/NNG+들/XSN+의/JKG
반응이	반응/NNG+이/JKS
좋아	좋/VA+아/EC
지난해	지난해/NNG
한	한/MMN
번	번/NNB
개최했던	개최/NNG+하/XSV+았/EP+던/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
올해엔	올해/NNG+에/JKB+ㄴ/JX
상·하반기	상·하반기/NNG
두	두/MMN
차례	차례/NNG
개최했다”고	개최/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.30.7.1
김재홍 KOTRA 사장은 “중소·중견기업의 수출이 올 상반기(1∼6월) 37.4%로 늘어났지만 여전히 경제협력개발기구(OECD) 국가의 평균(39.0%)에 비하면 낮다”며 “수출 전문위원 1인당 지원기업 수를 올해 25개에서 내년 20개로 줄이는 등 내실 있는 지원을 계속하겠다”고 밝혔다.

김재홍	김재홍/NNP
KOTRA	KOTRA/SL
사장은	사장/NNG+은/JX
“중소·중견기업의	“/SS+중소/NNG+·/SP+중견/NNG+기업/NNG+의/JKG
수출이	수출/NNG+이/JKS
올	올/NNG
상반기(1∼6월)	상반기/NNG+(/SS+1/SN+∼/SO+6/SN+월/NNB+)/SS
37.4%로	37/SN+./SP+4/SN+%/SW+로/JKB
늘어났지만	늘어나/VV+았/EP+지만/EC
여전히	여전히/MAG
경제협력개발기구(OECD)	경제협력개발기구/NNP+(/SS+OECD/SL+)/SS
국가의	국가/NNG+의/JKG
평균(39.0%)에	평균/NNG+(/SS+39/SN+./SP+0/SN+%/SW+)/SS+에/JKB
비하면	비/NNG+하/XSV+면/EC
낮다”며	낮/VA+다/EF+”/SS+며/EC
“수출	“/SS+수출/NNG
전문위원	전문/NNG+위원/NNG
1인당	1/SN+인/NNG+당/XSN
지원기업	지원/NNG+기업/NNG
수를	수/NNG+를/JKO
올해	올해/NNG
25개에서	25/SN+개/NNB+에서/JKB
내년	내년/NNG
20개로	20/SN+개/NNB+로/JKB
줄이는	줄이/VV+는/ETM
등	등/NNB
내실	내실/NNG
있는	있/VA+는/ETM
지원을	지원/NNG+을/JKO
계속하겠다”고	계속/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


