# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.147
metadata : {}


# id : NWRW1800000041.147.1.1
중국내 한국영화 불법 이용률 41%… 태국선 무려 95% 달해

중국내	중국/NNP+내/NNB
한류	한류/NNG
인기	인기/NNG
국가의	국가/NNG+의/JKG
콘텐츠	콘텐츠/NNG
이용실태를	이용/NNG+실태/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
중국	중국/NNP
내	내/NNB
온라인에서	온라인/NNG+에서/JKB
한국	한국/NNP
영화의	영화/NNG+의/JKG
불법이용	불법/NNG+이용/NNG
비율은	비율/NNG+은/JX
41%나	41/SN+%/SW+나/JX
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.147.5.2
한류 콘텐츠를 즐기는 열 명 중 네 명꼴로 한국 영화를 불법적 경로로 본다는 뜻이다.

한류	한류/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
즐기는	즐기/VV+는/ETM
열	열/NR
명	명/NNB
중	중/NNB
네	네/MMN
명꼴로	명/NNB+꼴/XSN+로/JKB
한국	한국/NNP
영화를	영화/NNG+를/JKO
불법적	불법/NNG+적/XSN
경로로	경로/NNG+로/JKB
본다는	보/VV+ㄴ다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.147.5.3
음악은 불법이용 비율이 무려 88%에 달했다.

음악은	음악/NNG+은/JX
불법이용	불법/NNG+이용/NNG
비율이	비율/NNG+이/JKS
무려	무려/MAG
88%에	88/SN+%/SW+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.147.5.4
(표 참조)

(표	(/SS+표/NNG
참조)	참조/NNG+)/SS


# id : NWRW1800000041.147.6.1
엄청난 인기를 끈 드라마 ‘별에서 온 그대(별그대)’는 중국 동영상 사이트에서 방영되면서 40억 건의 조회수를 기록했지만 이 드라마 제작사의 중국 판권 수익은 약 6억 원에 그쳤다.

엄청난	엄청나/VA+ㄴ/ETM
인기를	인기/NNG+를/JKO
끈	끌/VV+ㄴ/ETM
드라마	드라마/NNG
‘별에서	‘/SS+별/NNG+에서/JKB
온	오/VV+ㄴ/ETM
그대(별그대)’는	그대/NP+(/SS+별그대/NNG+)/SS+’/SS+는/JX
중국	중국/NNP
동영상	동영상/NNG
사이트에서	사이트/NNG+에서/JKB
방영되면서	방영/NNG+되/XSV+면서/EC
40억	40/SN+억/NR
건의	건/NNB+의/JKG
조회수를	조회/NNG+수/NNG+를/JKO
기록했지만	기록/NNG+하/XSV+았/EP+지만/EC
이	이/MMD
제작사의	제작사/NNG+의/JKG
판권	판권/NNG
수익은	수익/NNG+은/JX
약	약/MMA
6억	6/SN+억/NR
원에	원/NNB+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.147.7.1
또 3월에는 ‘런닝맨’ 등 한국 예능프로그램의 판권을 사들인 중국 온라인 사이트 측에서 이 콘텐츠를 중국 내에서만 이용할 수 있도록 한 ‘지역 제한’ 조건을 위반해 문제가 되기도 했다.

또	또/MAG
3월에는	3/SN+월/NNB+에/JKB+는/JX
‘런닝맨’	‘/SS+런닝맨/NNG+’/SS
등	등/NNB
한국	한국/NNP
예능프로그램의	예능/NNG+프로그램/NNG+의/JKG
판권을	판권/NNG+을/JKO
사들인	사들이/VV+ㄴ/ETM
중국	중국/NNP
온라인	온라인/NNG
사이트	사이트/NNG
측에서	측/NNB+에서/JKB
이	이/MMD
콘텐츠를	콘텐츠/NNG+를/JKO
내에서만	내/NNB+에서/JKB+만/JX
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
한	하/VV+ㄴ/ETM
‘지역	‘/SS+지역/NNG
제한’	제한/NNG+’/SS
조건을	조건/NNG+을/JKO
위반해	위반/NNG+하/XSV+아/EC
문제가	문제/NNG+가/JKC
되기도	되/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.147.8.1
동남아의 상황은 더욱 심각해서 태국 내에서 인터넷을 통한 한국 TV프로그램(예능 포함) 이용의 99.9%가 불법이었다.

동남아의	동남아/NNP+의/JKG
상황은	상황/NNG+은/JX
더욱	더욱/MAG
심각해서	심각하/VA+아서/EC
태국	태국/NNP
내에서	내/NNB+에서/JKB
인터넷을	인터넷/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
한국	한국/NNP
TV프로그램(예능	TV/SL+프로그램/NNG+(/SS+예능/NNG
포함)	포함/NNG+)/SS
이용의	이용/NNG+의/JKG
99.9%가	99/SN+./SP+9/SN+%/SW+가/JKS
불법이었다.	불법/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.147.8.2
사실상 돈을 내고 한류 콘텐츠를 즐기는 사람이 없는 셈이다.

사실상	사실/NNG+상/XSN
돈을	돈/NNG+을/JKO
내고	내/VV+고/EC
한류	한류/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
즐기는	즐기/VV+는/ETM
사람이	사람/NNG+이/JKS
없는	없/VA+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.147.8.3
말레이시아는 49.4%, 인도는 56.0%가 불법이었다.

말레이시아는	말레이시아/NNP+는/JX
49.4%,	49/SN+./SP+4/SN+%/SW+,/SP
인도는	인도/NNP+는/JX
56.0%가	56/SN+./SP+0/SN+%/SW+가/JKS
불법이었다.	불법/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000041.147.8.4
(표 참조)

(표	(/SS+표/NNG
참조)	참조/NNG+)/SS


# id : NWRW1800000041.147.9.1
중국 동남아 등에서 주로 온라인 동영상 사이트를 통해 저작권이 침해된다면 미국 일본 유럽 등 선진국에서는 국내처럼 토렌트를 이용한 다운로드 방식으로 한류 콘텐츠 저작권 침해가 자주 일어난다.

중국	중국/NNP
동남아	동남아/NNP
등에서	등/NNB+에서/JKB
주로	주로/MAG
온라인	온라인/NNG
동영상	동영상/NNG
사이트를	사이트/NNG+를/JKO
통해	통하/VV+아/EC
저작권이	저작/NNG+권/XSN+이/JKS
침해된다면	침해/NNG+되/XSV+ㄴ다면/EC
미국	미국/NNP
일본	일본/NNP
유럽	유럽/NNP
등	등/NNB
선진국에서는	선진국/NNG+에서/JKB+는/JX
국내처럼	국내/NNG+처럼/JKB
토렌트를	토렌트/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
다운로드	다운로드/NNG
방식으로	방식/NNG+으로/JKB
한류	한류/NNG
콘텐츠	콘텐츠/NNG
저작권	저작/NNG+권/XSN
침해가	침해/NNG+가/JKS
자주	자주/MAG
일어난다.	일어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.147.10.1
국내 제작사들은 자칫 한류 저작물이 공짜 콘텐츠란 인식이 생길 수 있다는 점을 우려하고 있다.

국내	국내/NNG
제작사들은	제작사/NNG+들/XSN+은/JX
자칫	자칫/MAG
한류	한류/NNG
저작물이	저작물/NNG+이/JKS
공짜	공짜/NNG
콘텐츠란	콘텐츠/NNG+이/VCP+란/ETM
인식이	인식/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.147.10.2
‘별그대’를 제작한 HB엔터테인먼트 윤현보 본부장은 “제작사들은 인력도 적고 콘텐츠 만들기에 바빠서 해외 저작권을 챙기기 어렵다”며 “국가 차원에서 한류 저작권 보호에 적극 나서주면 좋겠다”고 말했다.

‘별그대’를	‘/SS+별그대/NNG+’/SS+를/JKO
제작한	제작/NNG+하/XSV+ㄴ/ETM
HB엔터테인먼트	HB/SL+엔터테인먼트/NNG
윤현보	윤현보/NNP
본부장은	본부장/NNG+은/JX
“제작사들은	“/SS+제작사/NNG+들/XSN+은/JX
인력도	인력/NNG+도/JX
적고	적/VA+고/EC
콘텐츠	콘텐츠/NNG
만들기에	만들/VV+기/ETN+에/JKB
바빠서	바쁘/VA+아서/EC
해외	해외/NNG
저작권을	저작/NNG+권/XSN+을/JKO
챙기기	챙기/VV+기/ETN
어렵다”며	어렵/VA+다/EF+”/SS+며/EC
“국가	“/SS+국가/NNG
차원에서	차원/NNG+에서/JKB
한류	한류/NNG
저작권	저작/NNG+권/XSN
보호에	보호/NNG+에/JKB
적극	적극/NNG
나서주면	나서/VV+어/EC+주/VX+면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.147.11.1
문화체육관광부 김장호 저작권정책과장은 “나라마다 저작권 관련 제도나 법이 다르기 때문에 중국 동남아는 물론 선진국에서 한류 콘텐츠 저작권 침해가 일어나도 대응하기가 쉽지 않다”며 “결국 해당 국가 정부와 긴밀히 협력해 대응해야 하는데 그러려면 한국 내에서 타국 콘텐츠의 저작권을 솔선수범해 보호하는 모습을 보여줘야 한다”고 말했다.

문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
김장호	김장호/NNP
저작권정책과장은	저작/NNG+권/XSN+정책과장/NNG+은/JX
“나라마다	“/SS+나라/NNG+마다/JX
저작권	저작/NNG+권/XSN
관련	관련/NNG
제도나	제도/NNG+나/JC
법이	법/NNG+이/JKS
다르기	다르/VA+기/ETN
때문에	때문/NNB+에/JKB
중국	중국/NNP
동남아는	동남아/NNP+는/JX
물론	물론/MAG
선진국에서	선진국/NNG+에서/JKB
한류	한류/NNG
콘텐츠	콘텐츠/NNG
침해가	침해/NNG+가/JKS
일어나도	일어나/VV+아도/EC
대응하기가	대응/NNG+하/XSV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
“결국	“/SS+결국/MAG
해당	해당/NNG
국가	국가/NNG
정부와	정부/NNG+와/JKB
긴밀히	긴밀히/MAG
협력해	협력/NNG+하/XSV+아/EC
대응해야	대응/NNG+하/XSV+아야/EC
하는데	하/VX+는데/EC
그러려면	그러/VV+려면/EC
한국	한국/NNP
내에서	내/NNB+에서/JKB
타국	타국/NNG
콘텐츠의	콘텐츠/NNG+의/JKG
저작권을	저작/NNG+권/XSN+을/JKO
솔선수범해	솔선수범/NNG+하/XSV+아/EC
보호하는	보호/NNG+하/XSV+는/ETM
모습을	모습/NNG+을/JKO
보여줘야	보이/VV+어/EC+주/VX+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


