# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.138
metadata : {}


# id : NWRW1800000041.138.1.1
한편의 다큐처럼 vs 한편의 연극처럼

한편의	한/MMN+편/NNB+의/JKG
떨어지고,	떨어지/VV+고/EC+,/SP
몸집이	몸집/NNG+이/JKS
거인처럼	거인/NNG+처럼/JKB
부푼	부풀/VV+ㄴ/ETM
남자는	남자/NNG+는/JX
금세	금세/MAG
울음을	울음/NNG+을/JKO
터뜨릴	터뜨리/VV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000041.138.13.2
희로애락, 4개의 얼굴을 가진 이들은 다리가 꽁꽁 묶인 채 어디론가 걷고 있다.

희로애락,	희로애락/NNG+,/SP
4개의	4/SN+개/NNB+의/JKG
얼굴을	얼굴/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
이들은	이/NNB+들/XSN+은/JX
다리가	다리/NNG+가/JKS
꽁꽁	꽁꽁/MAG
묶인	묶이/VV+ㄴ/ETM
채	채/NNB
어디론가	어디/NP+로/JKB+이/VCP+ㄴ가/EF
걷고	걷/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.138.13.3
박천남 학예실장은 “작가는 픽션을 통해 인간 사회의 기본 조건과 본질적 가치를 특유의 상상력으로 환기시킨다”며 “짧지만 플롯이 분명하고 탄탄한 단편소설을 보는 듯하다”고 설명했다.

박천남	박천남/NNP
학예실장은	학예실장/NNG+은/JX
“작가는	“/SS+작가/NNG+는/JX
픽션을	픽션/NNG+을/JKO
통해	통하/VV+아/EC
인간	인간/NNG
사회의	사회/NNG+의/JKG
기본	기본/NNG
조건과	조건/NNG+과/JC
본질적	본질/NNG+적/XSN
가치를	가치/NNG+를/JKO
특유의	특유/NNG+의/JKG
상상력으로	상상력/NNG+으로/JKB
환기시킨다”며	환기/NNG+시키/XSV+ㄴ다/EF+”/SS+며/EC
“짧지만	“/SS+짧/VA+지만/EC
플롯이	플롯/NNG+이/JKS
분명하고	분명/MAG+하/XSA+고/EC
탄탄한	탄탄하/VA+ㄴ/ETM
단편소설을	단편/NNG+소설/NNG+을/JKO
보는	보/VV+는/ETM
듯하다”고	듯/NNB+하/XSA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.138.13.4
토막 난 이야기를 조합하고 재해석하는 것은 관객의 몫이다.

토막	토막/NNG
난	나/VV+ㄴ/ETM
이야기를	이야기/NNG+를/JKO
조합하고	조합/NNG+하/XSV+고/EC
재해석하는	재/XPN+해석/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
관객의	관객/NNG+의/JKG
몫이다.	몫/NNG+이/VCP+다/EF+./SF


