# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.273
metadata : {}


# id : NWRW1800000022.273.1.1
포스코, 멕시코에 '철강의 꽃' 피운다;해외 첫 車강판 공장 준공… "북중미 시장 공략"

포스코,	포스코/NNP+,/SP
에르난데스	에르난데스/NNP
플로레스	플로레스/NNP
타마울리파스	타마울리파스/NNP
주지사	주지사/NNG
등	등/NNB
정부	정부/NNG
인사와	인사/NNG+와/JC
정준양	정준양/NNP
회장	회장/NNG
포스코	포스코/NNP
관계자	관계자/NNG
300여명이	300/SN+여/XSN+명/NNB+이/JKS
참석한	참석/NNG+하/XSV+ㄴ/ETM
가운데	가운데/NNG
자동차용	자동차/NNG+용/XSN
고급강판	고급/NNG+강판/NNG
소재인	소재/NNG+이/VCP+ㄴ/ETM
CGL(연속용융아연	CGL/SL+(/SS+연속/NNG+용융/NNG+아연/NNG
도금강판)	도금/NNG+강판/NNG+)/SS
공장	공장/NNG
준공식을	준공식/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.273.3.2
이는 포스코가 해외에 건설한 첫 자동차강판 전문 공장이다.

이는	이/NP+는/JX
포스코가	포스코/NNP+가/JKS
해외에	해외/NNG+에/JKB
건설한	건설/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
자동차강판	자동차/NNG+강판/NNG
전문	전문/NNG
공장이다.	공장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.273.4.1
정준양 회장은 "멕시코의 자동차강판 공장은 북미 시장을 겨냥한 교두보이자 '글로벌 포스코'의 첫 작품이 될 것"이라고 말했다.

정준양	정준양/NNP
회장은	회장/NNG+은/JX
"멕시코의	"/SS+멕시코/NNP+의/JKG
자동차강판	자동차/NNG+강판/NNG
공장은	공장/NNG+은/JX
북미	북미/NNP
시장을	시장/NNG+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
교두보이자	교두보/NNG+이/VCP+자/EC
'글로벌	'/SS+글로벌/NNG
포스코'의	포스코/NNP+'/SS+의/JKG
첫	첫/MMN
작품이	작품/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.273.5.1
◆자동차시장 최고 격전지로 뛰어들다

◆자동차시장	◆/SW+자동차/NNG+시장/NNG
최고	최고/NNG
격전지로	격전지/NNG+로/JKB
뛰어들다	뛰어들/VV+다/EC


# id : NWRW1800000022.273.6.1
이날 준공한 포스코 CGL공장은 연산(年産) 40만t 규모로, 아연도금강판과 아연도금합금강판 등 가전·자동차용 고급강판을 생산한다.

이날	이날/NNG
준공한	준공/NNG+하/XSV+ㄴ/ETM
포스코	포스코/NNP
CGL공장은	CGL/SL+공장/NNG+은/JX
연산(年産)	연산/NNG+(/SS+年産/SH+)/SS
40만t	40/SN+만/NR+t/SW
규모로,	규모/NNG+로/JKB+,/SP
아연도금강판과	아연/NNG+도금/NNG+강판/NNG+과/JC
아연도금합금강판	아연/NNG+도금/NNG+합금/NNG+강판/NNG
등	등/NNB
가전·자동차용	가전/NNG+·/SP+자동차/NNG+용/XSN
고급강판을	고급/NNG+강판/NNG+을/JKO
생산한다.	생산/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.273.6.2
전체 28만㎡ 부지에 4만㎡를 차지하고 들어선 공장은 지난 6월부터 시범 생산을 시작한 뒤, 이날 칼데론 대통령과 정준양 회장이 함께 스위치를 누르며 본격 가동에 들어갔다.

전체	전체/NNG
28만㎡	28/SN+만/NR+㎡/SW
부지에	부지/NNG+에/JKB
4만㎡를	4/SN+만/NR+㎡/SW+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
들어선	들어서/VV+ㄴ/ETM
공장은	공장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
6월부터	6/SN+월/NNB+부터/JX
시범	시범/NNG
생산을	생산/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
이날	이날/NNG
칼데론	칼데론/NNP
대통령과	대통령/NNG+과/JC
정준양	정준양/NNP
회장이	회장/NNG+이/JKS
함께	함께/MAG
스위치를	스위치/NNG+를/JKO
누르며	누르/VV+며/EC
본격	본격/NNG
가동에	가동/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.273.7.1
총 길이 375m에 달하는 생산라인에서는 한국에서 수입해온 철강재료를 열처리한 뒤 아연도금을 입히고 강판의 형상과 표면 거칠기를 조정하는 공정을 순서대로 거치며 자동차강판을 생산하는 작업이 한창이었다.

총	총/MMA
길이	길이/NNG
375m에	375/SN+m/SW+에/JKB
달하는	달하/VV+는/ETM
생산라인에서는	생산/NNG+라인/NNG+에서/JKB+는/JX
한국에서	한국/NNP+에서/JKB
수입해온	수입/NNG+하/XSV+아/EC+오/VV+ㄴ/ETM
철강재료를	철강/NNG+재료/NNG+를/JKO
열처리한	열처리/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
아연도금을	아연/NNG+도금/NNG+을/JKO
입히고	입히/VV+고/EC
강판의	강판/NNG+의/JKG
형상과	형상/NNG+과/JC
표면	표면/NNG
거칠기를	거칠기/NNG+를/JKO
조정하는	조정/NNG+하/XSV+는/ETM
공정을	공정/NNG+을/JKO
순서대로	순서/NNG+대로/JX
거치며	거치/VV+며/EC
자동차강판을	자동차/NNG+강판/NNG+을/JKO
생산하는	생산/NNG+하/XSV+는/ETM
작업이	작업/NNG+이/JKS
한창이었다.	한창/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.273.7.2
완성된 강판을 둥글게 감아놓은 제품 라벨에는 'Posco Mexico Works'(포스코 멕시코공장)가 선명하게 찍혀 있었다.

완성된	완성/NNG+되/XSV+ㄴ/ETM
강판을	강판/NNG+을/JKO
둥글게	둥글/VA+게/EC
감아놓은	감/VV+아/EC+놓/VX+은/ETM
제품	제품/NNG
라벨에는	라벨/NNG+에/JKB+는/JX
'Posco	'/SS+Posco/SL
Mexico	Mexico/SL
Works'(포스코	Works/SL+'/SS+(/SS+포스코/NNP
멕시코공장)가	멕시코/NNP+공장/NNG+)/SS+가/JKS
선명하게	선명/NNG+하/XSA+게/EC
찍혀	찍히/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.273.7.3
생산제품의 70%는 미국 등으로 수출할 예정이고, 30%는 멕시코 현지 업체들에 판매할 계획이다.

생산제품의	생산/NNG+제품/NNG+의/JKG
70%는	70/SN+%/SW+는/JX
미국	미국/NNP
등으로	등/NNB+으로/JKB
수출할	수출/NNG+하/XSV+ㄹ/ETM
예정이고,	예정/NNG+이/VCP+고/EC+,/SP
30%는	30/SN+%/SW+는/JX
멕시코	멕시코/NNP
현지	현지/NNG
업체들에	업체/NNG+들/XSN+에/JKB
판매할	판매/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.273.8.1
정준양 회장은 "미국의 자동차산업이 쇠퇴하고 있다지만 생산기지는 지리적으로 북부에서 동남부로 이동하는 추세"라며 "포스코-멕시코 CGL이 위치한 지역은 멕시코의 자동차시장뿐 아니라 미국과, 장기적으로 중남미 자동차시장까지 겨냥할 수 있는 전략적 요충지"라고 말했다.

정준양	정준양/NNP
회장은	회장/NNG+은/JX
"미국의	"/SS+미국/NNP+의/JKG
자동차산업이	자동차/NNG+산업/NNG+이/JKS
쇠퇴하고	쇠퇴/NNG+하/XSV+고/EC
있다지만	있/VX+다지만/EC
생산기지는	생산/NNG+기지/NNG+는/JX
지리적으로	지리/NNG+적/XSN+으로/JKB
북부에서	북부/NNG+에서/JKB
동남부로	동남부/NNG+로/JKB
이동하는	이동/NNG+하/XSV+는/ETM
추세"라며	추세/NNG+"/SS+이/VCP+라며/EC
"포스코-멕시코	"/SS+포스코/NNP+-/SO+멕시코/NNP
CGL이	CGL/SL+이/JKS
위치한	위치/NNG+하/XSV+ㄴ/ETM
지역은	지역/NNG+은/JX
멕시코의	멕시코/NNP+의/JKG
자동차시장뿐	자동차/NNG+시장/NNG+뿐/JX
아니라	아니/VCN+라/EC
미국과,	미국/NNP+과/JC+,/SP
장기적으로	장기/NNG+적/XSN+으로/JKB
중남미	중남미/NNP
자동차시장까지	자동차/NNG+시장/NNG+까지/JX
겨냥할	겨냥/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
전략적	전략/NNG+적/XSN
요충지"라고	요충지/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.273.9.1
자동차업체들은 '저스트 인 타임'(just in time·적기공급) 납기체제를 요구하는데 지리적으로 그런 조건을 충족하는 요충지를 포스코가 선점했다는 것이다.

자동차업체들은	자동차/NNG+업체/NNG+들/XSN+은/JX
'저스트	'/SS+저스트/NNG
인	인/NNG
타임'(just	타임/NNG+'/SS+(/SS+just/SL
in	in/SL
time·적기공급)	time/SL+·/SP+적기/NNG+공급/NNG+)/SS
납기체제를	납기/NNG+체제/NNG+를/JKO
요구하는데	요구/NNG+하/XSV+는데/EC
지리적으로	지리/NNG+적/XSN+으로/JKB
그런	그런/MMD
조건을	조건/NNG+을/JKO
충족하는	충족/NNG+하/XSV+는/ETM
요충지를	요충지/NNG+를/JKO
포스코가	포스코/NNP+가/JKS
선점했다는	선점/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.273.10.1
실제로 현대·기아차뿐 아니라 글로벌 자동차사들은 최근 미국의 앨라배마와 조지아 등 미국 동남부에 자동차공장을 건설하고 있으며, 멕시코에는 폴크스바겐·크라이슬러·GM 등 자동차업체와 오토텍·벤틀러 등 1000여개 부품업체가 밀집해 있다.

실제로	실제로/MAG
현대·기아차뿐	현대/NNP+·/SP+기아차/NNP+뿐/JX
아니라	아니/VCN+라/EC
글로벌	글로벌/NNG
자동차사들은	자동차사/NNG+들/XSN+은/JX
최근	최근/NNG
미국의	미국/NNP+의/JKG
앨라배마와	앨라배마/NNP+와/JC
조지아	조지아/NNP
등	등/NNB
미국	미국/NNP
동남부에	동남부/NNG+에/JKB
자동차공장을	자동차/NNG+공장/NNG+을/JKO
건설하고	건설/NNG+하/XSV+고/EC
있으며,	있/VX+으며/EC+,/SP
멕시코에는	멕시코/NNP+에/JKB+는/JX
폴크스바겐·크라이슬러·GM	폴크스바겐/NNP+·/SP+크라이슬러/NNP+·/SP+GM/SL
자동차업체와	자동차/NNG+업체/NNG+와/JC
오토텍·벤틀러	오토텍/NNP+·/SP+벤틀러/NNP
1000여개	1000/SN+여/XSN+개/NNB
부품업체가	부품업체/NNG+가/JKS
밀집해	밀집/NNG+하/XSV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.273.11.1
멕시코 정부의 지원도 전폭적이었다.

멕시코	멕시코/NNP
정부의	정부/NNG+의/JKG
지원도	지원/NNG+도/JX
전폭적이었다.	전폭/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.273.11.2
공장 건설 과정에서 도입한 설비·기자재에 대한 수입 관세(11~17%)를 면제했고, 수출용으로 가공·생산하기 위해 도입하는 소재에 대해서도 관세를 면제해주기로 했다.

공장	공장/NNG
건설	건설/NNG
과정에서	과정/NNG+에서/JKB
도입한	도입/NNG+하/XSV+ㄴ/ETM
설비·기자재에	설비/NNG+·/SP+기자재/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
수입	수입/NNG
관세(11~17%)를	관세/NNG+(/SS+11/SN+~/SO+17/SN+%/SW+)/SS+를/JKO
면제했고,	면제/NNG+하/XSV+았/EP+고/EC+,/SP
수출용으로	수출/NNG+용/XSN+으로/JKB
가공·생산하기	가공/NNG+·/SP+생산/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
도입하는	도입/NNG+하/XSV+는/ETM
소재에	소재/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
관세를	관세/NNG+를/JKO
면제해주기로	면제/NNG+하/XSV+아/EC+주/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.273.11.3
칼데론 대통령은 "포스코의 투자로 멕시코의 경제와 철강산업이 강화되고 타마울리파스주 주민들이 경제적 혜택을 입을 것"이라며 "포스코의 투자가 옳은 선택이었다는 것을 확신시켜드리겠다"고 말했다.

칼데론	칼데론/NNP
대통령은	대통령/NNG+은/JX
"포스코의	"/SS+포스코/NNP+의/JKG
투자로	투자/NNG+로/JKB
멕시코의	멕시코/NNP+의/JKG
경제와	경제/NNG+와/JC
철강산업이	철강/NNG+산업/NNG+이/JKS
강화되고	강화/NNG+되/XSV+고/EC
타마울리파스주	타마울리파스주/NNP
주민들이	주민/NNG+들/XSN+이/JKS
경제적	경제/NNG+적/XSN
혜택을	혜택/NNG+을/JKO
입을	입/VV+을/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
투자가	투자/NNG+가/JKS
옳은	옳/VA+은/ETM
선택이었다는	선택/NNG+이/VCP+었/EP+다는/ETM
것을	것/NNB+을/JKO
확신시켜드리겠다"고	확신/NNG+시키/XSV+어/EC+드리/VX+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.273.12.1
◆철강 기술을 선도하는 글로벌 철강사 비전 가동

◆철강	◆/SW+철강/NNG
기술을	기술/NNG+을/JKO
선도하는	선도/NNG+하/XSV+는/ETM
글로벌	글로벌/NNG
철강사	철강사/NNG
비전	비전/NNG
가동	가동/NNG


# id : NWRW1800000022.273.13.1
포스코는 이번 멕시코 CGL공장 준공을 계기로 '철강의 꽃'으로 불리는 자동차강판 사업을 계속 확대하고, 관련 기술을 선도하는 글로벌 철강사로 도약하겠다는 비전을 뚜렷이 했다.

포스코는	포스코/NNP+는/JX
이번	이번/NNG
멕시코	멕시코/NNP
CGL공장	CGL/SL+공장/NNG
준공을	준공/NNG+을/JKO
계기로	계기/NNG+로/JKB
'철강의	'/SS+철강/NNG+의/JKG
꽃'으로	꽃/NNG+'/SS+으로/JKB
불리는	불리/VV+는/ETM
자동차강판	자동차/NNG+강판/NNG
사업을	사업/NNG+을/JKO
계속	계속/MAG
확대하고,	확대/NNG+하/XSV+고/EC+,/SP
관련	관련/NNG
기술을	기술/NNG+을/JKO
선도하는	선도/NNG+하/XSV+는/ETM
글로벌	글로벌/NNG
철강사로	철강사/NNG+로/JKB
도약하겠다는	도약/NNG+하/XSV+겠/EP+다는/ETM
비전을	비전/NNG+을/JKO
뚜렷이	뚜렷이/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.273.14.1
정 회장은 "멕시코에는 이미 두 개의 서비스센터와 물류기지를 운영하고 있고 미국 동남부에 서비스센터를 추가로 건설해 CGL공장을 거점으로 자동차강판 사업을 계속 확장할 생각"이라며 "2010년에서 2012년 사이에는 800만t의 자동차강판을 개발·생산해 명실공히 기술을 리드하는 글로벌 철강사로 발돋움하겠다"고 말했다.

정	정/NNP
회장은	회장/NNG+은/JX
"멕시코에는	"/SS+멕시코/NNP+에/JKB+는/JX
이미	이미/MAG
두	두/MMN
개의	개/NNB+의/JKG
서비스센터와	서비스/NNG+센터/NNG+와/JC
물류기지를	물류/NNG+기지/NNG+를/JKO
운영하고	운영/NNG+하/XSV+고/EC
있고	있/VX+고/EC
미국	미국/NNP
동남부에	동남부/NNG+에/JKB
서비스센터를	서비스/NNG+센터/NNG+를/JKO
추가로	추가/NNG+로/JKB
건설해	건설/NNG+하/XSV+아/EC
CGL공장을	CGL/SL+공장/NNG+을/JKO
거점으로	거점/NNG+으로/JKB
자동차강판	자동차/NNG+강판/NNG
사업을	사업/NNG+을/JKO
계속	계속/MAG
확장할	확장/NNG+하/XSV+ㄹ/ETM
생각"이라며	생각/NNG+"/SS+이/VCP+라며/EC
"2010년에서	"/SS+2010/SN+년/NNB+에서/JKB
2012년	2012/SN+년/NNB
사이에는	사이/NNG+에/JKB+는/JX
800만t의	800/SN+만/NR+t/SW+의/JKG
자동차강판을	자동차/NNG+강판/NNG+을/JKO
개발·생산해	개발/NNG+·/SP+생산/NNG+하/XSV+아/EC
명실공히	명실공히/MAG
기술을	기술/NNG+을/JKO
리드하는	리드/NNG+하/XSV+는/ETM
글로벌	글로벌/NNG
철강사로	철강사/NNG+로/JKB
발돋움하겠다"고	발돋움/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.273.15.1
첨단 자동차강판 기술 개발도 속속 성과를 내고 있다.

첨단	첨단/NNG
자동차강판	자동차/NNG+강판/NNG
기술	기술/NNG
개발도	개발/NNG+도/JX
속속	속속/MAG
성과를	성과/NNG+를/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.273.15.2
가장 대표적인 것이 포스코가 원천기술을 확보하면서 개발한 트윕강(TWIP)과 트립강(TRIP).

가장	가장/MAG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
것이	것/NNB+이/JKS
포스코가	포스코/NNP+가/JKS
원천기술을	원천/NNG+기술/NNG+을/JKO
확보하면서	확보/NNG+하/XSV+면서/EC
개발한	개발/NNG+하/XSV+ㄴ/ETM
트윕강(TWIP)과	트윕강/NNG+(/SS+TWIP/SL+)/SS+과/JC
트립강(TRIP).	트립강/NNG+(/SS+TRIP/SL+)/SS+./SF


# id : NWRW1800000022.273.15.3
일반적으로 강판은 강도가 높으면 가공성이 떨어지지만, 트윕강과 트립강은 망간이나 실리콘·탄소 등을 첨가해 강도와 가공성을 동시에 높인 강종이다.

일반적으로	일반/NNG+적/XSN+으로/JKB
강판은	강판/NNG+은/JX
강도가	강도/NNG+가/JKS
높으면	높/VA+으면/EC
가공성이	가공/NNG+성/XSN+이/JKS
떨어지지만,	떨어지/VV+지만/EC+,/SP
트윕강과	트윕강/NNG+과/JC
트립강은	트립강/NNG+은/JX
망간이나	망간/NNG+이나/JC
실리콘·탄소	실리콘/NNG+·/SP+탄소/NNG
등을	등/NNB+을/JKO
첨가해	첨가/NNG+하/XSV+아/EC
강도와	강도/NNG+와/JC
가공성을	가공/NNG+성/XSN+을/JKO
동시에	동시/NNG+에/JKB
높인	높이/VV+ㄴ/ETM
강종이다.	강종/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.273.15.4
물리학의 일반법칙을 배반한 기술인 것이다.

물리학의	물리학/NNG+의/JKG
일반법칙을	일반/NNG+법칙/NNG+을/JKO
배반한	배반/NNG+하/XSV+ㄴ/ETM
기술인	기술/NNG+이/VCP+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.273.15.5
이런 기술력이 바탕이 돼 최근 가장 공급조건이 까다롭다고 알려진 도요타에 강판을 공급하는 데 성공한 것이다.

이런	이런/MMD
기술력이	기술력/NNG+이/JKS
바탕이	바탕/NNG+이/JKC
돼	되/VV+어/EC
최근	최근/NNG
가장	가장/MAG
공급조건이	공급/NNG+조건/NNG+이/JKS
까다롭다고	까다롭/VA+다고/EC
알려진	알려지/VV+ㄴ/ETM
도요타에	도요타/NNP+에/JKB
강판을	강판/NNG+을/JKO
공급하는	공급/NNG+하/XSV+는/ETM
데	데/NNB
성공한	성공/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.273.16.1
정 회장은 "우리는 유럽·일본 철강사가 30~50년에 걸쳐서 해온 일을 지난 10년간 압축적으로 해왔다"며 "현재는 세계 메이저 자동차업체 15개사에 모두 자동차강판 소재를 공급하는 유일의 철강사로 성장했다"고 말했다.

정	정/NNP
회장은	회장/NNG+은/JX
"우리는	"/SS+우리/NP+는/JX
유럽·일본	유럽/NNP+·/SP+일본/NNP
철강사가	철강사/NNG+가/JKS
30~50년에	30/SN+~/SO+50/SN+년/NNB+에/JKB
걸쳐서	걸치/VV+어서/EC
해온	하/VV+아/EC+오/VX+ㄴ/ETM
일을	일/NNG+을/JKO
지난	지나/VV+ㄴ/ETM
10년간	10/SN+년/NNB+간/XSN
압축적으로	압축/NNG+적/XSN+으로/JKB
해왔다"며	하/VV+아/EC+오/VX+았/EP+다/EF+"/SS+며/EC
"현재는	"/SS+현재/NNG+는/JX
세계	세계/NNG
메이저	메이저/NNG
자동차업체	자동차/NNG+업체/NNG
15개사에	15/SN+개사/NNB+에/JKB
모두	모두/MAG
자동차강판	자동차/NNG+강판/NNG
소재를	소재/NNG+를/JKO
공급하는	공급/NNG+하/XSV+는/ETM
유일의	유일/NNG+의/JKG
철강사로	철강사/NNG+로/JKB
성장했다"고	성장/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


