# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.275
metadata : {}


# id : NWRW1800000049.275.1.1
[정성희의 사회탐구]굿 보스, 배드 보스

[정성희의	[/SS+정성희/NNP+의/JKG
마음에	마음/NNG+에/JKB
들지	들/VV+지/EC
않는	않/VX+는/ETM
보고서를	보고서/NNG+를/JKO
구겨서	구기/VV+어서/EC
내던지며	내던지/VV+며/EC
종종	종종/MAG
폭력도	폭력/NNG+도/JX
행사했다고	행사/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.275.5.3
이런 행위가 업무와 관련한 것이었으면 그나마 낫겠는데 ‘2차’를 할 방을 마련하지 못했다거나 메뉴가 마음에 안 든다는 것이었다고 하니 어이가 없다.

이런	이런/MMD
행위가	행위/NNG+가/JKS
업무와	업무/NNG+와/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
것이었으면	것/NNB+이/VCP+었/EP+으면/EC
그나마	그나마/MAG
낫겠는데	낫/VA+겠/EP+는데/EC
‘2차’를	‘/SS+2/SN+차/NNB+’/SS+를/JKO
할	하/VV+ㄹ/ETM
방을	방/NNG+을/JKO
마련하지	마련/NNG+하/XSV+지/EC
못했다거나	못하/VX+았/EP+다거나/EC
메뉴가	메뉴/NNG+가/JKS
마음에	마음/NNG+에/JKB
안	안/MAG
든다는	들/VV+ㄴ다는/ETM
것이었다고	것/NNB+이/VCP+었/EP+다고/EC
하니	하/VV+니/EC
어이가	어이/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.275.5.4
부하 직원에게 이렇게 했을 때는 피의자들에게는 어쨌을까 하는 우려가 나오는 게 당연하다.

부하	부하/NNG
직원에게	직원/NNG+에게/JKB
이렇게	이렇/VA+게/EC
했을	하/VV+았/EP+을/ETM
때는	때/NNG+는/JX
피의자들에게는	피의자/NNG+들/XSN+에게/JKB+는/JX
어쨌을까	어찌/MAG+하/XSV+았/EP+을까/EF
하는	하/VV+는/ETM
우려가	우려/NNG+가/JKS
나오는	나오/VV+는/ETM
게	거/NNB+이/JKS
당연하다.	당연/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000049.275.6.1
“저 진짜 조직을 위해 개처럼 살았습니다.”

“저	“/SS+저/MMD
진짜	진짜/MAG
조직을	조직/NNG+을/JKO
위해	위하/VV+아/EC
개처럼	개/NNG+처럼/JKB
살았습니다.”	살/VV+았/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000049.275.6.2
영화 ‘내부자들’에 나온 검사의 대사가 시사하듯 검찰 같은 조직은 때로 맹목적 충성을 요구하며 악역을 필요로 하기도 한다.

영화	영화/NNG
‘내부자들’에	‘/SS+내부자/NNG+들/XSN+’/SS+에/JKB
나온	나오/VV+ㄴ/ETM
검사의	검사/NNG+의/JKG
대사가	대사/NNG+가/JKS
시사하듯	시사/NNG+하/XSV+듯/EC
검찰	검찰/NNG
같은	같/VA+은/ETM
조직은	조직/NNG+은/JX
때로	때로/MAG
맹목적	맹목/NNG+적/XSN
충성을	충성/NNG+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
악역을	악역/NNG+을/JKO
필요로	필요/NNG+로/JKB
하기도	하/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000049.275.6.3
군기반장이 하나 있으면 조직이 잘 돌아가기 때문이다.

군기반장이	군기/NNG+반장/NNG+이/JKS
하나	하나/NR
있으면	있/VA+으면/EC
조직이	조직/NNG+이/JKS
잘	잘/MAG
돌아가기	돌아가/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.275.6.4
그러나 상관으로서 기강을 세우는 것과 직위를 이용해 부하들에게 폭압적 권력을 휘두르는 것은 엄연히 다르다.

그러나	그러나/MAJ
상관으로서	상관/NNG+으로서/JKB
기강을	기강/NNG+을/JKO
세우는	세우/VV+는/ETM
것과	것/NNB+과/JC
직위를	직위/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
부하들에게	부하/NNG+들/XSN+에게/JKB
폭압적	폭압/NNG+적/XSN
권력을	권력/NNG+을/JKO
휘두르는	휘두르/VV+는/ETM
것은	것/NNB+은/JX
엄연히	엄연히/MAG
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000049.275.7.1
‘또라이’가 승승장구하는 조직엔 미래가 없다.

‘또라이’가	‘/SS+또라이/NNG+’/SS+가/JKS
승승장구하는	승승장구/NNG+하/XSV+는/ETM
조직엔	조직/NNG+에/JKB+ㄴ/JX
미래가	미래/NNG+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000049.275.7.2
견디지 못하는 구성원들이 조직을 떠나고 남아 있는 사람들의 사기는 밑바닥으로 떨어진다.

견디지	견디/VV+지/EC
못하는	못하/VX+는/ETM
구성원들이	구성원/NNG+들/XSN+이/JKS
조직을	조직/NNG+을/JKO
떠나고	떠나/VV+고/EC
남아	남/VV+아/EC
있는	있/VX+는/ETM
사람들의	사람/NNG+들/XSN+의/JKG
사기는	사기/NNG+는/JX
밑바닥으로	밑바닥/NNG+으로/JKB
떨어진다.	떨어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.275.7.3
매킨지가 ‘문제적 상사’에 관한 ‘총또라이비용(TCJ·Total Cost of Jerks)’을 조사한 결과가 흥미롭다.

매킨지가	매킨지/NNP+가/JKS
‘문제적	‘/SS+문제/NNG+적/XSN
상사’에	상사/NNG+’/SS+에/JKB
관한	관하/VV+ㄴ/ETM
‘총또라이비용(TCJ·Total	‘/SS+총/MMA+또라이/NNG+비용/NNG+(/SS+TCJ/SL+·/SP+Total/SL
Cost	Cost/SL
of	of/SL
Jerks)’을	Jerks/SL+)/SS+’/SS+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과가	결과/NNG+가/JKS
흥미롭다.	흥미/NNG+롭/XSA+다/EF+./SF


# id : NWRW1800000049.275.7.4
실리콘밸리에 있는 한 회사가 ‘성질 더러운’ 직원 한 명으로 인해 추가적으로 발생하는 비용을 계산해 본 결과 연간 1억4500만 원이었다고 한다.

실리콘밸리에	실리콘밸리/NNP+에/JKB
있는	있/VA+는/ETM
한	한/MMN
회사가	회사/NNG+가/JKS
‘성질	‘/SS+성질/NNG
더러운’	더럽/VA+ㄴ/ETM+’/SS
직원	직원/NNG
명으로	명/NNB+으로/JKB
인해	인/NNG+하/XSV+아/EC
추가적으로	추가/NNG+적/XSN+으로/JKB
발생하는	발생/NNG+하/XSV+는/ETM
비용을	비용/NNG+을/JKO
계산해	계산/NNG+하/XSV+아/EC
본	보/VX+ㄴ/ETM
결과	결과/NNG
연간	연간/NNG
1억4500만	1/SN+억/NR+4500/SN+만/NR
원이었다고	원/NNB+이/VCP+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.275.7.5
비용의 문제가 아니다.

비용의	비용/NNG+의/JKG
문제가	문제/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.275.7.6
나쁜 상사는 부하의 영혼을 갉아먹고 조직을 죽인다.

나쁜	나쁘/VA+ㄴ/ETM
상사는	상사/NNG+는/JX
부하의	부하/NNG+의/JKG
영혼을	영혼/NNG+을/JKO
갉아먹고	갉아먹/VV+고/EC
조직을	조직/NNG+을/JKO
죽인다.	죽이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.275.8.1
실제로 젊은 직장인이 조직을 떠나려는 이유는 보수가 적어서 혹은 일이 마음에 안 들어서가 아니다.

실제로	실제로/MAG
젊은	젊/VA+은/ETM
직장인이	직장인/NNG+이/JKS
조직을	조직/NNG+을/JKO
떠나려는	떠나/VV+려는/ETM
이유는	이유/NNG+는/JX
보수가	보수/NNG+가/JKS
적어서	적/VA+어서/EC
혹은	혹은/MAG
일이	일/NNG+이/JKS
마음에	마음/NNG+에/JKB
안	안/MAG
들어서가	들/VV+어서/EC+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000049.275.8.2
황당한 지시나 성희롱 등 무례한 행동, 변덕스러운 의사결정, 부하직원들의 공 가로채기, 윗사람에 대한 아첨과 아랫사람에 대한 고압적 태도 등 상사에 대한 불만 때문일 경우가 가장 많다.

황당한	황당하/VA+ㄴ/ETM
지시나	지시/NNG+나/JC
성희롱	성희롱/NNG
등	등/NNB
무례한	무례/NNG+하/XSA+ㄴ/ETM
행동,	행동/NNG+,/SP
변덕스러운	변덕/NNG+스럽/XSA+ㄴ/ETM
의사결정,	의사/NNG+결정/NNG+,/SP
부하직원들의	부하/NNG+직원/NNG+들/XSN+의/JKG
공	공/NNG
가로채기,	가로채기/NNG+,/SP
윗사람에	윗사람/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
아첨과	아첨/NNG+과/JC
아랫사람에	아랫사람/NNG+에/JKB
고압적	고압/NNG+적/XSN
태도	태도/NNG
상사에	상사/NNG+에/JKB
불만	불만/NNG
때문일	때문/NNB+이/VCP+ㄹ/ETM
경우가	경우/NNG+가/JKS
가장	가장/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000049.275.9.1
나쁜 상사는 전염성이 강하다

나쁜	나쁘/VA+ㄴ/ETM
상사는	상사/NNG+는/JX
전염성이	전염/NNG+성/XSN+이/JKS
강하다	강하/VA+다/EF


# id : NWRW1800000049.275.10.1
나쁜 보스는 왜 조직에 해악을 끼칠까.

나쁜	나쁘/VA+ㄴ/ETM
보스는	보스/NNG+는/JX
왜	왜/MAG
조직에	조직/NNG+에/JKB
해악을	해악/NNG+을/JKO
끼칠까.	끼치/VV+ㄹ까/EF+./SF


# id : NWRW1800000049.275.10.2
전염성이 강해서다.

전염성이	전염/NNG+성/XSN+이/JKS
강해서다.	강하/VA+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000049.275.10.3
나쁜 보스의 ‘또라이’ 행동을 보고 배운 부하들이 그 위치에 올라가게 되면 상관의 행동을 따라 하며 그래도 된다고 정당화한다.

나쁜	나쁘/VA+ㄴ/ETM
보스의	보스/NNG+의/JKG
‘또라이’	‘/SS+또라이/NNG+’/SS
행동을	행동/NNG+을/JKO
보고	보/VV+고/EC
배운	배우/VV+ㄴ/ETM
부하들이	부하/NNG+들/XSN+이/JKS
그	그/MMD
위치에	위치/NNG+에/JKB
올라가게	올라가/VV+게/EC
되면	되/VV+면/EC
상관의	상관/NNG+의/JKG
따라	따르/VV+아/EC
하며	하/VV+며/EC
그래도	그러/VV+어도/EC
된다고	되/VV+ㄴ다고/EC
정당화한다.	정당화/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.275.10.4
조직이 건강한가를 알려면 나쁜 상사가 있는지, 없는지를 보면 된다.

조직이	조직/NNG+이/JKS
건강한가를	건강/NNG+하/XSA+ㄴ가/EF+를/JKO
알려면	알/VV+려면/EC
나쁜	나쁘/VA+ㄴ/ETM
상사가	상사/NNG+가/JKS
있는지,	있/VA+는지/EF+,/SP
없는지를	없/VA+는지/EF+를/JKO
보면	보/VV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


