# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.189
metadata : {}


# id : NWRW1800000053.189.1.1
[단독]중앙지검 ‘면세점 비리’ 수사, 특수1부에서 2부로 넘겨

[단독]중앙지검	[/SS+단독/NNG+]/SS+중앙지검/NNP
특수1부는 감사원에서 조사 기록을 넘겨받은 뒤 지난달 24일 김낙회 전 관세청장(58)을 소환하는 등 수사를 벌여 왔다.

특수1부는	특수/NNG+1/SN+부/NNG+는/JX
감사원에서	감사원/NNG+에서/JKB
조사	조사/NNG
기록을	기록/NNG+을/JKO
넘겨받은	넘겨받/VV+은/ETM
뒤	뒤/NNG
지난달	지난달/NNG
24일	24/SN+일/NNB
김낙회	김낙회/NNP
전	전/MMD
관세청장(58)을	관세청장/NNG+(/SS+58/SN+)/SS+을/JKO
소환하는	소환/NNG+하/XSV+는/ETM
등	등/NNB
수사를	수사/NNG+를/JKO
벌여	벌이/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000053.189.5.2
특수2부에 관세청 사건을 재배당한 것은 박영수 특별검사팀에서 넘겨받은 ‘캐비닛 문건’ 조사를 특수1부에 맡기기 위해서인 것으로 알려졌다.

특수2부에	특수/NNG+2/SN+부/NNG+에/JKB
관세청	관세청/NNG
사건을	사건/NNG+을/JKO
재배당한	재/XPN+배당/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
박영수	박영수/NNP
특별검사팀에서	특별/NNG+검사/NNG+팀/NNG+에서/JKB
넘겨받은	넘겨받/VV+은/ETM
‘캐비닛	‘/SS+캐비닛/NNG
문건’	문건/NNG+’/SS
조사를	조사/NNG+를/JKO
특수1부에	특수/NNG+1/SN+부/NNG+에/JKB
맡기기	맡기/VV+기/ETN
위해서인	위하/VV+아서/EC+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.189.5.3
이로써 박근혜 정부의 보수단체 지원 의혹, 이른바 ‘화이트 리스트’ 사건을 수사 중인 특수3부(부장 양석조)와 국정 농단 사건 특별공판팀인 특수4부(부장 김창진)까지 서울중앙지검의 특수부 4곳이 모두 국정 농단 사건에 투입됐다.

이로써	이/NP+로써/JKB
박근혜	박근혜/NNP
정부의	정부/NNG+의/JKG
보수단체	보수/NNG+단체/NNG
지원	지원/NNG
의혹,	의혹/NNG+,/SP
이른바	이른바/MAG
‘화이트	‘/SS+화이트/NNG
리스트’	리스트/NNG+’/SS
사건을	사건/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
특수3부(부장	특수/NNG+3/SN+부/NNG+(/SS+부장/NNG
양석조)와	양석조/NNP+)/SS+와/JC
국정	국정/NNG
농단	농단/NNG
사건	사건/NNG
특별공판팀인	특별/NNG+공판/NNG+팀/NNG+이/VCP+ㄴ/ETM
특수4부(부장	특수/NNG+4/SN+부/NNG+(/SS+부장/NNG
김창진)까지	김창진/NNP+)/SS+까지/JX
서울중앙지검의	서울중앙지검/NNP+의/JKG
특수부	특수부/NNG
4곳이	4/SN+곳/NNG+이/JKS
모두	모두/MAG
사건에	사건/NNG+에/JKB
투입됐다.	투입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.189.6.1
검찰은 관세청 전·현직 관계자들이 면세점 사업자 선정 과정에서 평가점수를 조작하는 데 박근혜 전 대통령(65·구속 기소) 등 청와대의 지시가 있었는지, 최순실 씨(61·구속 기소)의 개입이 있었는지 밝히는 데 주력할 방침이다.

검찰은	검찰/NNG+은/JX
관세청	관세청/NNG
전·현직	전·현직/NNG
관계자들이	관계자/NNG+들/XSN+이/JKS
면세점	면세점/NNG
사업자	사업자/NNG
선정	선정/NNG
과정에서	과정/NNG+에서/JKB
평가점수를	평가/NNG+점수/NNG+를/JKO
조작하는	조작/NNG+하/XSV+는/ETM
데	데/NNB
박근혜	박근혜/NNP
전	전/MMD
대통령(65·구속	대통령/NNG+(/SS+65/SN+·/SP+구속/NNG
기소)	기소/NNG+)/SS
등	등/NNB
청와대의	청와대/NNP+의/JKG
지시가	지시/NNG+가/JKS
있었는지,	있/VA+었/EP+는지/EF+,/SP
최순실	최순실/NNP
씨(61·구속	씨/NNB+(/SS+61/SN+·/SP+구속/NNG
기소)의	기소/NNG+)/SS+의/JKG
개입이	개입/NNG+이/JKS
있었는지	있/VA+었/EP+는지/EF
밝히는	밝히/VV+는/ETM
주력할	주력/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.189.7.1
이재용 삼성전자 부회장(49·구속 기소)의 1심 재판이 끝남에 따라 검찰은 최 씨의 딸 정유라 씨(21)의 형사 처벌 여부도 조만간 결정할 방침이다.

이재용	이재용/NNP
삼성전자	삼성전자/NNP
부회장(49·구속	부회장/NNG+(/SS+49/SN+·/SP+구속/NNG
기소)의	기소/NNG+)/SS+의/JKG
1심	1심/NNG
재판이	재판/NNG+이/JKS
끝남에	끝나/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
검찰은	검찰/NNG+은/JX
최	최/NNP
씨의	씨/NNB+의/JKG
딸	딸/NNG
정유라	정유라/NNP
씨(21)의	씨/NNB+(/SS+21/SN+)/SS+의/JKG
형사	형사/NNG
처벌	처벌/NNG
여부도	여부/NNG+도/JX
조만간	조만간/MAG
결정할	결정/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.189.7.2
이 부회장 사건 1심 재판부는 삼성이 최 씨 모녀의 독일 승마훈련을 지원한 일을 뇌물로 판단해 유죄를 선고했다.

이	이/NNP
부회장	부회장/NNG
사건	사건/NNG
1심	1심/NNG
재판부는	재판부/NNG+는/JX
삼성이	삼성/NNP+이/JKS
최	최/NNP
씨	씨/NNB
모녀의	모녀/NNG+의/JKG
독일	독일/NNP
승마훈련을	승마/NNG+훈련/NNG+을/JKO
지원한	지원/NNG+하/XSV+ㄴ/ETM
일을	일/NNG+을/JKO
뇌물로	뇌물/NNG+로/JKB
판단해	판단/NNG+하/XSV+아/EC
유죄를	유죄/NNG+를/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.189.7.3
정 씨는 삼성 승마 지원의 수혜자이기 때문에, 검찰은 정 씨를 법정에 세워야 할지 고심 중이다.

정	정/NNP
씨는	씨/NNB+는/JX
삼성	삼성/NNP
승마	승마/NNG
지원의	지원/NNG+의/JKG
수혜자이기	수혜자/NNG+이/VCP+기/ETN
때문에,	때문/NNB+에/JKB+,/SP
검찰은	검찰/NNG+은/JX
씨를	씨/NNB+를/JKO
법정에	법정/NNG+에/JKB
세워야	세우/VV+어야/EC
할지	하/VX+ㄹ지/EF
고심	고심/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.189.7.4
검찰은 정 씨가 지난달 12일 이 부회장 재판에 증인으로 출석했던 점을 감안해 정 씨에 대해 다시 구속영장을 청구하지는 않을 것으로 전해졌다.

검찰은	검찰/NNG+은/JX
정	정/NNP
씨가	씨/NNB+가/JKS
지난달	지난달/NNG
12일	12/SN+일/NNB
이	이/NNP
부회장	부회장/NNG
재판에	재판/NNG+에/JKB
증인으로	증인/NNG+으로/JKB
출석했던	출석/NNG+하/XSV+았/EP+던/ETM
점을	점/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
씨에	씨/NNB+에/JKB
대해	대하/VV+아/EC
다시	다시/MAG
구속영장을	구속/NNG+영장/NNG+을/JKO
청구하지는	청구/NNG+하/XSV+지/EC+는/JX
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


