# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.393
metadata : {}


# id : NWRW1800000036.393.1.1
이석기·김재연 의원 자격심사 합의

이석기·김재연	이석기/NNP+·/SP+김재연/NNP
점에서	점/NNG+에서/JKB
논란이	논란/NNG+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.393.5.1
심사안은 국회 윤리특별위원회 심사를 거쳐 본회의에 상정되고, 재적 의원 3분의 2(200명) 이상이 부적격하다고 의결하면 두 의원은 국회에서 제명돼 의원직을 잃는다.

심사안은	심사/NNG+안/NNG+은/JX
국회	국회/NNG
윤리특별위원회	윤리/NNG+특별/NNG+위원회/NNG
심사를	심사/NNG+를/JKO
거쳐	거치/VV+어/EC
본회의에	본회의/NNG+에/JKB
상정되고,	상정/NNG+되/XSV+고/EC+,/SP
재적	재적/NNG
의원	의원/NNG
3분의	3/SN+분/XSN+의/JKG
2(200명)	2/SN+(/SS+200/SN+명/NNB+)/SS
이상이	이상/NNG+이/JKS
부적격하다고	부/XPN+적격/NNG+하/XSA+다고/EC
의결하면	의결/NNG+하/XSV+면/EC
두	두/MMN
의원은	의원/NNG+은/JX
국회에서	국회/NNG+에서/JKB
제명돼	제명/NNG+되/XSV+어/EC
의원직을	의원직/NNG+을/JKO
잃는다.	잃/VV+는다/EF+./SF


# id : NWRW1800000036.393.5.2
이날 통합진보당 중앙당기위원회는 두 의원을 제명(출당)하기로 결정했다.

이날	이날/NNG
통합진보당	통합진보당/NNP
중앙당기위원회는	중앙/NNG+당기/NNG+위원회/NNG+는/JX
두	두/MMN
의원을	의원/NNG+을/JKO
제명(출당)하기로	제명/NNG+(/SS+출당/NNG+)/SS+하/VV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.393.5.3
이들의 최종적인 출당 여부는 조만간 열릴 의원총회에서 판가름난다.

이들의	이/NP+들/XSN+의/JKG
최종적인	최종/NNG+적/XSN+이/VCP+ㄴ/ETM
출당	출당/NNG
여부는	여부/NNG+는/JX
조만간	조만간/MAG
열릴	열리/VV+ㄹ/ETM
의원총회에서	의원/NNG+총회/NNG+에서/JKB
판가름난다.	판가름/NNG+나/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.393.6.1
여야는 문화방송 파업 사태와 관련해 ‘8월 초 구성되는 문화방송 대주주 방송문화진흥회 새 이사회가 방송의 공적 책임과 노사관계에 대한 신속한 정상화를 위해 합리적인 경영판단과 법 상식, 순리에 따라 처리되도록 협조한다’고 합의했다.

여야는	여야/NNG+는/JX
문화방송	문화방송/NNP
파업	파업/NNG
사태와	사태/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
‘8월	‘/SS+8/SN+월/NNB
초	초/NNB
구성되는	구성/NNG+되/XSV+는/ETM
대주주	대/XPN+주주/NNG
방송문화진흥회	방송/NNG+문화/NNG+진흥회/NNG
새	새/MMA
이사회가	이사회/NNG+가/JKS
방송의	방송/NNG+의/JKG
공적	공/NNG+적/XSN
책임과	책임/NNG+과/JC
노사관계에	노사/NNG+관계/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신속한	신속/NNG+하/XSA+ㄴ/ETM
정상화를	정상/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
합리적인	합리/NNG+적/XSN+이/VCP+ㄴ/ETM
경영판단과	경영/NNG+판단/NNG+과/JC
법	법/NNG
상식,	상식/NNG+,/SP
순리에	순리/NNG+에/JKB
따라	따르/VV+아/EC
처리되도록	처리/NNG+되/XSV+도록/EC
협조한다’고	협조/NNG+하/XSV+ㄴ다/EF+’/SS+고/JKQ
합의했다.	합의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.393.6.2
9명으로 꾸려지는 방문진 이사회는 문화방송 사장 선임권이 있으며 대통령과 여·야가 각각 3명씩 추천한다.

9명으로	9/SN+명/NNB+으로/JKB
꾸려지는	꾸리/VV+어/EC+지/VX+는/ETM
방문진	방문진/NNG
이사회는	이사회/NNG+는/JX
문화방송	문화방송/NNP
사장	사장/NNG
선임권이	선임/NNG+권/XSN+이/JKS
있으며	있/VA+으며/EC
대통령과	대통령/NNG+과/JC
여·야가	여/NNG+·/SP+야/NNG+가/JKS
각각	각각/MAG
3명씩	3/SN+명/NNB+씩/XSN
추천한다.	추천/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.393.6.3
이한구 새누리당 원내대표는 “(이번 합의사항이) 사장 퇴진 문제로 흘러선 안 된다”고 말했지만, 다른 새누리당 핵심 당직자는 “이사회가 새로 구성되면 김재철 사장이 교체될 가능성이 있다”고 말했다.

이한구	이한구/NNP
새누리당	새누리당/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“(이번	“/SS+(/SS+이번/NNG
합의사항이)	합의/NNG+사항/NNG+이/JKS+)/SS
사장	사장/NNG
퇴진	퇴진/NNG
문제로	문제/NNG+로/JKB
흘러선	흐르/VV+어서/EC+ㄴ/JX
안	안/MAG
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했지만,	말/NNG+하/XSV+았/EP+지만/EC+,/SP
다른	다른/MMD
핵심	핵심/NNG
당직자는	당직자/NNG+는/JX
“이사회가	“/SS+이사회/NNG+가/JKS
새로	새로/MAG
구성되면	구성/NNG+되/XSV+면/EC
김재철	김재철/NNP
사장이	사장/NNG+이/JKS
교체될	교체/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.393.6.4
여야가 방문진 재구성을 통해 김 사장을 교체하기로 사실상 의견 접근을 봤다는 관측이 나온다.

여야가	여야/NNG+가/JKS
방문진	방문진/NNG
재구성을	재/XPN+구성/NNG+을/JKO
통해	통하/VV+아/EC
김	김/NNP
사장을	사장/NNG+을/JKO
교체하기로	교체/NNG+하/XSV+기/ETN+로/JKB
사실상	사실/NNG+상/XSN
의견	의견/NNG
접근을	접근/NNG+을/JKO
봤다는	보/VV+았/EP+다는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


