# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.401
metadata : {}


# id : NWRW1800000049.401.1.1
서울~원주 54분… 동해안 가까워진다

서울~원주	서울/NNP+~/SO+원주/NNP
대부분	대/XPN+부분/NNG
완료됐고	완료/NNG+되/XSV+었/EP+고/EC
전광판	전광판/NNG
및	및/MAG
가드레일,	가드레일/NNG+,/SP
조경	조경/NNG
등	등/NNB
마무리	마무리/NNG
작업이	작업/NNG+이/JKS
한창이다.	한창/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.401.5.1
제2영동고속도로는 1일 평균 통행량이 기존 영동고속도로와 비슷한 5만8000대 수준으로 예측되고 있어 수도권에서 강원도로 가는 차량을 분산시켜 특히 주말이나 피서철 동해안으로 가는 시간을 크게 줄여줄 것으로 전망된다.

제2영동고속도로는	제2영동고속도로/NNP+는/JX
1일	1/SN+일/NNB
평균	평균/NNG
통행량이	통행량/NNG+이/JKS
기존	기존/NNG
영동고속도로와	영동고속도로/NNP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
5만8000대	5/SN+만/NR+8000/SN+대/NNB
수준으로	수준/NNG+으로/JKB
예측되고	예측/NNG+되/XSV+고/EC
있어	있/VX+어/EC
수도권에서	수도/NNG+권/XSN+에서/JKB
강원도로	강원도/NNP+로/JKB
가는	가/VV+는/ETM
차량을	차량/NNG+을/JKO
분산시켜	분산/NNG+시키/XSV+어/EC
특히	특히/MAG
주말이나	주말/NNG+이나/JC
피서철	피서/NNG+철/NNG
동해안으로	동해안/NNP+으로/JKB
시간을	시간/NNG+을/JKO
크게	크/VA+게/EC
줄여줄	줄이/VV+어/EC+주/VX+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.401.5.2
또 제2영동고속도로는 수도권 남동지역과 강원권 발전을 위한 도로망을 제공하고 평창 겨울올림픽 주 접근로로서의 기능을 할 것으로 보인다.

또	또/MAG
제2영동고속도로는	제2영동고속도로/NNP+는/JX
수도권	수도/NNG+권/XSN
남동지역과	남동/NNG+지역/NNG+과/JC
강원권	강원/NNP+권/XSN
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
도로망을	도로망/NNG+을/JKO
제공하고	제공/NNG+하/XSV+고/EC
평창	평창/NNP
겨울올림픽	겨울/NNG+올림픽/NNG
주	주/MMA
접근로로서의	접근로/NNG+로서/JKB+의/JKG
기능을	기능/NNG+을/JKO
할	하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.401.5.3
원주와 서울을 1시간 이내로 연결해 원주의 ‘수도권 편입 효과’도 기대된다.

원주와	원주/NNP+와/JC
서울을	서울/NNP+을/JKO
1시간	1/SN+시간/NNB
이내로	이내/NNG+로/JKB
연결해	연결/NNG+하/XSV+아/EC
원주의	원주/NNP+의/JKG
‘수도권	‘/SS+수도/NNG+권/XSN
편입	편입/NNG
효과’도	효과/NNG+’/SS+도/JX
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.401.5.4
인구 증가는 물론이고 기업과 관광객 유치에도 파란불이다.

인구	인구/NNG
증가는	증가/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
기업과	기업/NNG+과/JC
관광객	관광객/NNG
유치에도	유치/NNG+에/JKB+도/JX
파란불이다.	파란불/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.401.6.1
실제로 원주는 최근 부동산 가격이 지속적으로 상승해 제2영동고속도로 개통에 대한 기대감이 경제 효과로 이어지고 있다.

실제로	실제로/MAG
원주는	원주/NNP+는/JX
최근	최근/MAG
부동산	부동산/NNG
가격이	가격/NNG+이/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
상승해	상승/NNG+하/XSV+아/EC
제2영동고속도로	제2영동고속도로/NNP
개통에	개통/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기대감이	기대감/NNG+이/JKS
경제	경제/NNG
효과로	효과/NNG+로/JKB
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.401.6.2
원주의 혁신도시 및 기업도시 조성, 2018 평창 겨울올림픽 배후도시라는 점 등 호재가 있기는 하지만 제2영동고속도로를 비롯한 교통망 확충의 영향도 작지 않다.

원주의	원주/NNP+의/JKG
혁신도시	혁신/NNG+도시/NNG
및	및/MAG
기업도시	기업/NNG+도시/NNG
조성,	조성/NNG+,/SP
2018	2018/SN
평창	평창/NNP
겨울올림픽	겨울/NNG+올림픽/NNG
배후도시라는	배후/NNG+도시/NNG+이/VCP+라는/ETM
점	점/NNG
등	등/NNB
호재가	호재/NNG+가/JKS
있기는	있/VA+기/ETN+는/JX
하지만	하/VX+지만/EC
제2영동고속도로를	제2영동고속도로/NNP+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
교통망	교통망/NNG
확충의	확충/NNG+의/JKG
영향도	영향/NNG+도/JX
작지	작/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.401.6.3
원주의 지난해 땅값 상승률은 3.26%로 강원도 내 18개 시군 가운데 가장 높았다.

원주의	원주/NNP+의/JKG
지난해	지난해/NNG
땅값	땅값/NNG
상승률은	상승/NNG+률/XSN+은/JX
3.26%로	3/SN+./SP+26/SN+%/SW+로/JKB
강원도	강원도/NNP
내	내/NNB
18개	18/SN+개/NNB
시군	시군/NNG
가운데	가운데/NNG
가장	가장/MAG
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.401.6.4
전국 평균 2.40%에 비해서도 0.86%포인트나 높았다.

전국	전국/NNG
평균	평균/NNG
2.40%에	2/SN+./SP+40/SN+%/SW+에/JKB
비해서도	비/NNG+하/XSV+아서/EC+도/JX
0.86%포인트나	0/SN+./SP+86/SN+%포인트/NNG+나/JX
높았다.	높/VA+았/EP+다/EF+./SF


# id : NWRW1800000049.401.7.1
그러나 제2영동고속도로가 지방 중소도시 기능이 수도권에 흡수되는 빨대 효과(straw effect)를 가져올 수 있다는 우려의 목소리도 있다.

그러나	그러나/MAJ
제2영동고속도로가	제2영동고속도로/NNP+가/JKS
지방	지방/NNG
중소도시	중소/NNG+도시/NNG
기능이	기능/NNG+이/JKS
수도권에	수도/NNG+권/XSN+에/JKB
흡수되는	흡수/NNG+되/XSV+는/ETM
빨대	빨대/NNG
효과(straw	효과/NNG+(/SS+straw/SL
effect)를	effect/SL+)/SS+를/JKO
가져올	가져오/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려의	우려/NNG+의/JKG
목소리도	목소리/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000049.401.7.2
서울 강남의 백화점으로 원정 쇼핑을 가고 지역 대학생들은 통학으로 전환해 대학가 공동화 현상도 나타날 수 있다는 지적이다.

서울	서울/NNP
강남의	강남/NNP+의/JKG
백화점으로	백화점/NNG+으로/JKB
원정	원정/NNG
쇼핑을	쇼핑/NNG+을/JKO
가고	가/VV+고/EC
지역	지역/NNG
대학생들은	대학/NNG+생/XSN+들/XSN+은/JX
통학으로	통학/NNG+으로/JKB
전환해	전환/NNG+하/XSV+아/EC
대학가	대학가/NNG
공동화	공동/NNG+화/XSN
현상도	현상/NNG+도/JX
나타날	나타나/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.401.7.3
실제 원주 혁신도시에 입주한 공기업 직원의 20∼30%가 수도권에서 출퇴근하고 있다.

실제	실제/MAG
원주	원주/NNP
혁신도시에	혁신/NNG+도시/NNG+에/JKB
입주한	입주/NNG+하/XSV+ㄴ/ETM
공기업	공기업/NNG
직원의	직원/NNG+의/JKG
20∼30%가	20/SN+∼/SO+30/SN+%/SW+가/JKS
수도권에서	수도/NNG+권/XSN+에서/JKB
출퇴근하고	출퇴근/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.401.8.1
제2영동고속도로는 2003년 민간업체의 제안으로 시작돼 각종 인허가 절차를 거쳐 2011년 11월 11일 착공됐다.

제2영동고속도로는	제2영동고속도로/NNP+는/JX
2003년	2003/SN+년/NNB
민간업체의	민간/NNG+업체/NNG+의/JKG
제안으로	제안/NNG+으로/JKB
시작돼	시작/NNG+되/XSV+어/EC
각종	각종/NNG
인허가	인허가/NNG
절차를	절차/NNG+를/JKO
거쳐	거치/VV+어/EC
2011년	2011/SN+년/NNB
11월	11/SN+월/NNB
11일	11/SN+일/NNB
착공됐다.	착공/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000049.401.8.2
16개 민간투자사 컨소시엄인 제이영동고속도로㈜가 BTO(Build Transfer Operate)로 건설 중이다.

16개	16/SN+개/NNB
민간투자사	민간/NNG+투자사/NNG
컨소시엄인	컨소시엄/NNG+이/VCP+ㄴ/ETM
제이영동고속도로㈜가	제이영동고속도로/NNP+㈜/SW+가/JKS
BTO(Build	BTO/SL+(/SS+Build/SL
Transfer	Transfer/SL
Operate)로	Operate/SL+)/SS+로/JKB
건설	건설/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.401.8.3
BTO는 준공 시 소유권은 국가에 귀속되지만 업체가 일정 기간(30년) 운영하는 방식이다.

BTO는	BTO/SL+는/JX
준공	준공/NNG
시	시/NNB
소유권은	소유/NNG+권/XSN+은/JX
국가에	국가/NNG+에/JKB
귀속되지만	귀속/NNG+되/XSV+지만/EC
업체가	업체/NNG+가/JKS
일정	일정/NNG
기간(30년)	기간/NNG+(/SS+30/SN+년/NNB+)/SS
운영하는	운영/NNG+하/XSV+는/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


