# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.79
metadata : {}


# id : NWRW1800000049.79.1.1
[기업人]트레인공조, 3400USRT급 대용량 칠러 공급… 공조시장 공략

[기업人]트레인공조,	[/SS+기업/NNG+人/SH+]/SS+트레인공조/NNP+,/SP
1년 동안 각 상업·산업현장에서 냉동 공조기기를 작동하는 데 적게는 수백만 원에서 많게는 억 단위의 차이가 남에 따라 경제성 측면에서 꼭 따져봐야 한다는 조언이다.

1년	1/SN+년/NNB
동안	동안/NNG
각	각/MMD
상업·산업현장에서	상업/NNG+·/SP+산업/NNG+현장/NNG+에서/JKB
냉동	냉동/NNG
공조기기를	공조/NNG+기기/NNG+를/JKO
작동하는	작동/NNG+하/XSV+는/ETM
데	데/NNB
적게는	적/VA+게/EC+는/JX
수백만	수백만/NR
원에서	원/NNB+에서/JKB
많게는	많/VA+게/EC+는/JX
억	억/NR
단위의	단위/NNG+의/JKG
차이가	차이/NNG+가/JKS
남에	나/VV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
경제성	경제/NNG+성/XSN
측면에서	측면/NNG+에서/JKB
꼭	꼭/MAG
따져봐야	따지/VV+어/EC+보/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
조언이다.	조언/NNG+이/VCP+다/EF+./SF


