# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.309
metadata : {}


# id : NWRW1800000046.309.1.1
[통일이 미래다] [北 변화의 길] (2) 대외硏·서울대 '北경제 성공 시나리오'

[통일이	[/SS+통일/NNG+이/JKS
실패할	실패/NNG+하/XSV+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
사실상	사실/NNG+상/XSN
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.309.3.3
북한이 체제 전환에 나선다면 급속한 경제성장으로 이어지면서 현재와 같은 빈곤과 고립에서 탈피할 수 있다는 얘기다.

북한이	북한/NNP+이/JKS
체제	체제/NNG
전환에	전환/NNG+에/JKB
나선다면	나서/VV+ㄴ다면/EC
급속한	급속/NNG+하/XSA+ㄴ/ETM
경제성장으로	경제/NNG+성장/NNG+으로/JKB
이어지면서	이어지/VV+면서/EC
현재와	현재/NNG+와/JKB
같은	같/VA+은/ETM
빈곤과	빈곤/NNG+과/JC
고립에서	고립/NNG+에서/JKB
탈피할	탈피/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.309.4.1
◇중국·베트남 방식 모두 성공 가능

◇중국·베트남	◇/SW+중국/NNP+·/SP+베트남/NNP
방식	방식/NNG
모두	모두/MAG
성공	성공/NNG
가능	가능/NNG


# id : NWRW1800000046.309.5.1
조선일보는 대외경제정책연구원에 의뢰해 북한이 중국과 베트남 방식에 따라 체제 전환에 나섰을 경우 북한의 향후 10년과 20년 후 경제 상황에 대해 분석·예측했다.

조선일보는	조선일보/NNP+는/JX
대외경제정책연구원에	대외/NNG+경제/NNG+정책/NNG+연구원/NNG+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
북한이	북한/NNP+이/JKS
중국과	중국/NNP+과/JC
베트남	베트남/NNP
방식에	방식/NNG+에/JKB
따라	따르/VV+아/EC
체제	체제/NNG
전환에	전환/NNG+에/JKB
나섰을	나서/VV+었/EP+을/ETM
경우	경우/NNG
북한의	북한/NNP+의/JKG
향후	향후/NNG
10년과	10/SN+년/NNB+과/JC
20년	20/SN+년/NNB
후	후/NNG
경제	경제/NNG
상황에	상황/NNG+에/JKB
대해	대하/VV+아/EC
분석·예측했다.	분석/NNG+·/SP+예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.309.5.2
먼저 북한이 중국식 개혁개방을 추진할 경우 10년 후인 2024년에는 경제 규모가 2013년의 2.4배(751억달러)로 높아지고, 20년 후인 2034년에는 7.4배(2274억달러)로 급증할 것으로 예상된다.

먼저	먼저/MAG
북한이	북한/NNP+이/JKS
중국식	중국식/NNG
개혁개방을	개혁/NNG+개방/NNG+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
10년	10/SN+년/NNB
후인	후/NNG+이/VCP+ㄴ/ETM
2024년에는	2024/SN+년/NNB+에/JKB+는/JX
경제	경제/NNG
규모가	규모/NNG+가/JKS
2013년의	2013/SN+년/NNB+의/JKG
2.4배(751억달러)로	2/SN+./SP+4/SN+배/NNG+(/SS+751/SN+억/NR+달러/NNB+)/SS+로/JKB
높아지고,	높아지/VV+고/EC+,/SP
20년	20/SN+년/NNB
2034년에는	2034/SN+년/NNB+에/JKB+는/JX
7.4배(2274억달러)로	7/SN+./SP+4/SN+배/NNG+(/SS+2274/SN+억/NR+달러/NNB+)/SS+로/JKB
급증할	급증/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.309.5.3
중국은 1870년대 말부터 중앙 정치 체제(주석 중심 집단지도체제)는 그대로 유지하면서 경제특구를 중심으로 외자 유치와 시장경제 체제를 도입하는 체제 전환을 추진했다.

중국은	중국/NNP+은/JX
1870년대	1870/SN+년대/NNB
말부터	말/NNB+부터/JX
중앙	중앙/NNG
정치	정치/NNG
체제(주석	체제/NNG+(/SS+주석/NNG
중심	중심/NNG
집단지도체제)는	집단/NNG+지도/NNG+체제/NNG+)/SS+는/JX
그대로	그대로/MAG
유지하면서	유지/NNG+하/XSV+면서/EC
경제특구를	경제특구/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
외자	외자/NNG
유치와	유치/NNG+와/JC
시장경제	시장/NNG+경제/NNG
체제를	체제/NNG+를/JKO
도입하는	도입/NNG+하/XSV+는/ETM
체제	체제/NNG
전환을	전환/NNG+을/JKO
추진했다.	추진/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.309.5.4
현재 북한이 시도하려는 경제특구·개발구 중심의 개혁개방 정책과 유사한 점이 많다.

현재	현재/MAG
북한이	북한/NNP+이/JKS
시도하려는	시도/NNG+하/XSV+려는/ETM
경제특구·개발구	경제특구/NNG+·/SP+개발구/NNG
중심의	중심/NNG+의/JKG
개혁개방	개혁/NNG+개방/NNG
정책과	정책/NNG+과/JKB
유사한	유사/NNG+하/XSA+ㄴ/ETM
점이	점/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000046.309.5.5
이럴 경우 북한의 1인당 GDP는 2034년 8640~1만1195달러로 2013년(1252달러)에 비해 6.9~8.9배로 급증할 것으로 예상된다.

이럴	이렇/VA+ㄹ/ETM
경우	경우/NNG
북한의	북한/NNP+의/JKG
1인당	1/SN+인/NNG+당/XSN
GDP는	GDP/SL+는/JX
2034년	2034/SN+년/NNB
8640~1만1195달러로	8640/SN+~/SO+1/SN+만/NR+1195/SN+달러/NNB+로/JKB
2013년(1252달러)에	2013/SN+년/NNB+(/SS+1252/SN+달러/NNB+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
6.9~8.9배로	6/SN+./SP+9/SN+~/SO+8/SN+./SP+9/SN+배/NNG+로/JKB
급증할	급증/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.309.5.6
수출 규모도 2013년 37억달러에서 2034년에는 849억달러로 25배나 늘어나게 된다.

수출	수출/NNG
규모도	규모/NNG+도/JX
2013년	2013/SN+년/NNB
37억달러에서	37/SN+억/NR+달러/NNB+에서/JKB
2034년에는	2034/SN+년/NNB+에/JKB+는/JX
849억달러로	849/SN+억/NR+달러/NNB+로/JKB
25배나	25/SN+배/NNG+나/JX
늘어나게	늘어나/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.309.5.7
국제적 고립에서 벗어나 베트남과 필리핀을 넘어서는 아시아의 신흥 개발국으로 부상하게 되는 것이다.

국제적	국제/NNG+적/XSN
고립에서	고립/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
베트남과	베트남/NNP+과/JC
필리핀을	필리핀/NNP+을/JKO
넘어서는	넘어서/VV+는/ETM
아시아의	아시아/NNP+의/JKG
신흥	신흥/NNG
개발국으로	개발국/NNG+으로/JKB
부상하게	부상/NNG+하/XSV+게/EC
되는	되/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.309.5.8
조봉현 IBK기업은행연구소 수석연구위원은 "북한이 핵·경제 병진(竝進) 노선을 포기하고 국제투자와 남북경협이 활성화된다면 수출기업 급성장과 자원개발 확대 등으로 1인당 GDP가 1만달러까지 올라가는 데 오랜 시간이 걸리지 않을 것"이라고 했다.

조봉현	조봉현/NNP
IBK기업은행연구소	IBK/SL+기업은행연구소/NNP
수석연구위원은	수석/NNG+연구/NNG+위원/NNG+은/JX
"북한이	"/SS+북한/NNP+이/JKS
핵·경제	핵/NNG+·/SP+경제/NNG
병진(竝進)	병진/NNG+(/SS+竝進/SH+)/SS
노선을	노선/NNG+을/JKO
포기하고	포기/NNG+하/XSV+고/EC
국제투자와	국제/NNG+투자/NNG+와/JC
남북경협이	남북/NNP+경협/NNG+이/JKS
활성화된다면	활성/NNG+화/XSN+되/XSV+ㄴ다면/EC
수출기업	수출/NNG+기업/NNG
급성장과	급성장/NNG+과/JC
자원개발	자원/NNG+개발/NNG
확대	확대/NNG
등으로	등/NNB+으로/JKB
1인당	1/SN+인/NNG+당/XSN
GDP가	GDP/SL+가/JKS
1만달러까지	1/SN+만/NR+달러/NNB+까지/JX
올라가는	올라가/VV+는/ETM
데	데/NNB
오랜	오랜/MMA
시간이	시간/NNG+이/JKS
걸리지	걸리/VV+지/EC
않을	않/VX+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.309.6.1
북한이 베트남식 체제 전환을 하더라도 비슷한 경제적 도약을 하게 될 것으로 예상된다.

북한이	북한/NNP+이/JKS
베트남식	베트남식/NNG
체제	체제/NNG
전환을	전환/NNG+을/JKO
하더라도	하/VV+더라도/EC
비슷한	비슷하/VA+ㄴ/ETM
경제적	경제/NNG+적/XSN
도약을	도약/NNG+을/JKO
하게	하/VV+게/EC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.309.6.2
베트남은 1986년 '도이모이(쇄신이라는 의미의 개혁·개방 정책)'를 추진하면서 집단농장을 개인농으로 전환하고 외국 자본을 대규모로 유치했다.

베트남은	베트남/NNP+은/JX
1986년	1986/SN+년/NNB
'도이모이(쇄신이라는	'/SS+도이모이/NNG+(/SS+쇄신/NNG+이/VCP+라는/ETM
의미의	의미/NNG+의/JKG
개혁·개방	개혁/NNG+·/SP+개방/NNG
정책)'를	정책/NNG+)/SS+'/SS+를/JKO
추진하면서	추진/NNG+하/XSV+면서/EC
집단농장을	집단/NNG+농장/NNG+을/JKO
개인농으로	개인농/NNG+으로/JKB
전환하고	전환/NNG+하/XSV+고/EC
외국	외국/NNG
자본을	자본/NNG+을/JKO
대규모로	대/XPN+규모/NNG+로/JKB
유치했다.	유치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.309.6.3
중국식 특구보다는 전면적인 시장 개혁과 대외 개방을 한 것이다.

중국식	중국식/NNG
특구보다는	특구/NNG+보다/JKB+는/JX
전면적인	전면/NNG+적/XSN+이/VCP+ㄴ/ETM
시장	시장/NNG
개혁과	개혁/NNG+과/JC
대외	대외/NNG
개방을	개방/NNG+을/JKO
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.309.6.4
대외경제정책연구원은 북한이 베트남식으로 개혁·개방을 할 경우 GDP가 2024년 660억달러, 2034년 1217억달러로 늘어날 것으로 예상했다.

대외경제정책연구원은	대외/NNG+경제/NNG+정책/NNG+연구원/NNG+은/JX
북한이	북한/NNP+이/JKS
베트남식으로	베트남식/NNG+으로/JKB
개혁·개방을	개혁/NNG+·/SP+개방/NNG+을/JKO
할	하/VV+ㄹ/ETM
경우	경우/NNG
GDP가	GDP/SL+가/JKS
2024년	2024/SN+년/NNB
660억달러,	660/SN+억/NR+달러/NNB+,/SP
2034년	2034/SN+년/NNB
1217억달러로	1217/SN+억/NR+달러/NNB+로/JKB
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.309.6.5
1인당 GDP도 2024년 2575달러, 2034년 4625달러로 4배 가까이 늘어날 것으로 보인다.

1인당	1/SN+인/NNG+당/XSN
GDP도	GDP/SL+도/JX
2024년	2024/SN+년/NNB
2575달러,	2575/SN+달러/NNB+,/SP
2034년	2034/SN+년/NNB
4625달러로	4625/SN+달러/NNB+로/JKB
4배	4/SN+배/NNG
가까이	가까이/MAG
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.309.6.6
중국식 개혁·개방보다는 성장 및 소득 상승 속도가 다소 느리지만 상당히 만족할 만한 성과라는 평가다.

중국식	중국식/NNG
개혁·개방보다는	개혁/NNG+·/SP+개방/NNG+보다/JKB+는/JX
성장	성장/NNG
및	및/MAG
소득	소득/NNG
상승	상승/NNG
속도가	속도/NNG+가/JKS
다소	다소/MAG
느리지만	느리/VA+지만/EC
상당히	상당히/MAG
만족할	만족/NNG+하/XSA+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
성과라는	성과/NNG+이/VCP+라는/ETM
평가다.	평가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.309.7.1
북한이 단기적으로 폭발적 성장을 할 수 있다는 분석도 있다.

북한이	북한/NNP+이/JKS
단기적으로	단기/NNG+적/XSN+으로/JKB
폭발적	폭발/NNG+적/XSN
성장을	성장/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
분석도	분석/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.309.7.2
조동호 이화여대 교수도 "북한은 경제 규모가 작고 풍부한 노동력과 자원이 있기 때문에 국제사회의 지원만 들어간다면 연간 두 자릿수 성장이 가능하다"고 했다.

조동호	조동호/NNP
이화여대	이화여대/NNP
교수도	교수/NNG+도/JX
"북한은	"/SS+북한/NNP+은/JX
경제	경제/NNG
규모가	규모/NNG+가/JKS
작고	작/VA+고/EC
풍부한	풍부하/VA+ㄴ/ETM
노동력과	노동력/NNG+과/JC
자원이	자원/NNG+이/JKS
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
국제사회의	국제/NNG+사회/NNG+의/JKG
지원만	지원/NNG+만/JX
들어간다면	들어가/VV+ㄴ다면/EC
연간	연간/NNG
두	두/MMN
자릿수	자릿수/NNG
성장이	성장/NNG+이/JKS
가능하다"고	가능/NNG+하/XSA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.309.8.1
◇남북 통합 안 돼도 7% 독자 성장

◇남북	◇/SW+남북/NNP
통합	통합/NNG
안	안/MAG
돼도	되/VV+어도/EC
7%	7/SN+%/SW
독자	독자/NNG
성장	성장/NNG


# id : NWRW1800000046.309.9.1
서울대 통일평화연구원 김병연 교수팀은 북한이 남한과 경제통합을 추진하지 않더라도 전면적인 체제 전환에만 나선다면 연간 7%대 성장이 가능하다고 분석했다.

서울대	서울대/NNP
통일평화연구원	통일/NNG+평화/NNG+연구원/NNG
김병연	김병연/NNP
교수팀은	교수/NNG+팀/NNG+은/JX
북한이	북한/NNP+이/JKS
남한과	남한/NNP+과/JKB
경제통합을	경제/NNG+통합/NNG+을/JKO
추진하지	추진/NNG+하/XSV+지/EC
않더라도	않/VX+더라도/EC
전면적인	전면/NNG+적/XSN+이/VCP+ㄴ/ETM
체제	체제/NNG
전환에만	전환/NNG+에/JKB+만/JX
나선다면	나서/VV+ㄴ다면/EC
연간	연간/NNG
7%대	7/SN+%/SW+대/XSN
성장이	성장/NNG+이/JKS
가능하다고	가능/NNG+하/XSA+다고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.309.9.2
10년 내에 경제 규모가 2배 넘게 늘어날 수 있는 것이다.

10년	10/SN+년/NNB
내에	내/NNB+에/JKB
경제	경제/NNG
규모가	규모/NNG+가/JKS
2배	2/SN+배/NNG
넘게	넘/VV+게/EC
늘어날	늘어나/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.309.9.3
개혁·개방을 했다가 남한에 흡수통일 될 수 있다는 북한 내부의 우려와 달리 자체적으로 성장·발전이 가능하다는 얘기다.

개혁·개방을	개혁/NNG+·/SP+개방/NNG+을/JKO
했다가	하/VV+았/EP+다가/EC
남한에	남한/NNP+에/JKB
흡수통일	흡수/NNG+통일/NNG
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
북한	북한/NNP
내부의	내부/NNG+의/JKG
우려와	우려/NNG+와/JKB
달리	달리/MAG
자체적으로	자체/NNG+적/XSN+으로/JKB
성장·발전이	성장/NNG+·/SP+발전/NNG+이/JKS
가능하다는	가능/NNG+하/XSA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.309.9.4
물론 체제 전환과 함께 남한과 경제적 통합까지 추진하면 성장률은 13%대로 껑충 뛸 것으로 예상됐다.

물론	물론/MAG
체제	체제/NNG
전환과	전환/NNG+과/JKB
함께	함께/MAG
남한과	남한/NNP+과/JKB
경제적	경제/NNG+적/XSN
통합까지	통합/NNG+까지/JX
추진하면	추진/NNG+하/XSV+면/EC
성장률은	성장/NNG+률/XSN+은/JX
13%대로	13/SN+%/SW+대/XSN+로/JKB
껑충	껑충/MAG
뛸	뛰/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상됐다.	예상/NNG+되/XSV+었/EP+다/EF+./SF


