# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.165
metadata : {}


# id : NWRW1800000046.165.1.1
서울 '자사고 때리기' 1년… "엄마 나 전학갈래"

서울	서울/NNP
대상인	대상/NNG+이/VCP+ㄴ/ETM
11개	11/SN+개/NNB
자사고	자사고/NNG
가운데	가운데/NNG
경문고,	경문고/NNP+,/SP
미림여고,	미림여고/NNP+,/SP
세화여고,	세화여고/NNP+,/SP
장훈고	장훈고/NNP
등	등/NNB
4곳이	4/SN+곳/NNG+이/JKS
재(再)지정	재/XPN+(/SS+再/SH+)/SS+지정/NNG
기준	기준/NNG
점수(100점	점수/NNG+(/SS+100/SN+점/NNB
만점에	만점/NNG+에/JKB
60점)에	60/SN+점/NNB+)/SS+에/JKB
미달했다며	미달/NNG+하/XSV+았/EP+다며/EC
이	이/MMD
학교들을	학교/NNG+들/XSN+을/JKO
대상으로	대상/NNG+으로/JKB
청문을	청문/NNG+을/JKO
열겠다고	열/VV+겠/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.165.5.2
청문은 지정 취소 최종 결정 전에 학교 측 소명을 듣는 절차다.

청문은	청문/NNG+은/JX
지정	지정/NNG
취소	취소/NNG
최종	최종/NNG
결정	결정/NNG
전에	전/NNG+에/JKB
학교	학교/NNG
측	측/NNB
소명을	소명/NNG+을/JKO
듣는	듣/VV+는/ETM
절차다.	절차/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.165.5.3
자사고 지정이 취소되면 일반고로 전환된다.

자사고	자사고/NNG
지정이	지정/NNG+이/JKS
취소되면	취소/NNG+되/XSV+면/EC
일반고로	일반고/NNG+로/JKB
전환된다.	전환/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.165.5.4
하지만 교육부가 동의하지 않으면 자사고를 취소할 수 없기 때문에 최종 권한은 교육부에 있다.

하지만	하지만/MAJ
교육부가	교육부/NNG+가/JKS
동의하지	동의/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
자사고를	자사고/NNG+를/JKO
취소할	취소/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
최종	최종/NNG
권한은	권한/NNG+은/JX
교육부에	교육부/NNG+에/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.165.6.1
서울자사고연합회는 "교육청 입맛대로 한 자사고 평가 결과를 받아들일 수 없다"고 집단 반발했고, 학부모들은 서울시교육청 앞에서 연일 집단 시위를 벌이고 있다.

서울자사고연합회는	서울자사고연합회/NNP+는/JX
"교육청	"/SS+교육청/NNG
입맛대로	입맛/NNG+대로/JX
한	하/VV+ㄴ/ETM
자사고	자사고/NNG
평가	평가/NNG
결과를	결과/NNG+를/JKO
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
집단	집단/NNG
반발했고,	반발/NNG+하/XSV+았/EP+고/EC+,/SP
학부모들은	학부모/NNG+들/XSN+은/JX
서울시교육청	서울시교육청/NNP
앞에서	앞/NNG+에서/JKB
연일	연일/MAG
시위를	시위/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.165.6.2
학부모들 반발로 6~7일 이틀간 개최한 청문도 파행을 거듭했다.

학부모들	학부모/NNG+들/XSN
반발로	반발/NNG+로/JKB
6~7일	6/SN+~/SO+7/SN+일/NNB
이틀간	이틀/NNG+간/XSN
개최한	개최/NNG+하/XSV+ㄴ/ETM
청문도	청문/NNG+도/JX
파행을	파행/NNG+을/JKO
거듭했다.	거듭/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.165.7.1
이런 가운데 기준 점수 미달 4개교 중 미림여고는 서울시교육청에 "일반고로 전환하겠다"는 의사를 서면으로 밝힌 상황이다.

이런	이런/MMD
가운데	가운데/NNG
기준	기준/NNG
점수	점수/NNG
미달	미달/NNG
4개교	4/SN+개교/NNB
중	중/NNB
미림여고는	미림여고/NNP+는/JX
서울시교육청에	서울시교육청/NNP+에/JKB
"일반고로	"/SS+일반고/NNG+로/JKB
전환하겠다"는	전환/NNG+하/XSV+겠/EP+다/EF+"/SS+는/ETM
의사를	의사/NNG+를/JKO
서면으로	서면/NNG+으로/JKB
밝힌	밝히/VV+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.165.7.2
그러자 이 학교 학부모들이 "받아들일 수 없다"고 반발하고 있다.

그러자	그러/VV+자/EC
이	이/MMD
학교	학교/NNG
학부모들이	학부모/NNG+들/XSN+이/JKS
"받아들일	"/SS+받아들이/VV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
반발하고	반발/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.165.7.3
미림여고 1학년 학부모 홍모(53)씨는 "학교가 일반고로 바뀐다는 이야기가 나오자 이미 30여명이 전학을 신청한 것으로 알고 있다"며 "학군이 좋지 않은 지역에 자사고가 생겨 아이를 믿고 보냈는데, 이제 아이들은 어떻게 해야 하느냐"고 말했다.

미림여고	미림여고/NNP
1학년	1/SN+학년/NNG
학부모	학부모/NNG
홍모(53)씨는	홍/NNP+모/NP+(/SS+53/SN+)/SS+씨/NNB+는/JX
"학교가	"/SS+학교/NNG+가/JKS
일반고로	일반고/NNG+로/JKB
바뀐다는	바뀌/VV+ㄴ다는/ETM
이야기가	이야기/NNG+가/JKS
나오자	나오/VV+자/EC
이미	이미/MAG
30여명이	30/SN+여/XSN+명/NNB+이/JKS
전학을	전학/NNG+을/JKO
신청한	신청/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"학군이	"/SS+학군/NNG+이/JKS
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
지역에	지역/NNG+에/JKB
자사고가	자사고/NNG+가/JKS
생겨	생기/VV+어/EC
아이를	아이/NNG+를/JKO
믿고	믿/VV+고/EC
보냈는데,	보내/VV+었/EP+는데/EC+,/SP
이제	이제/MAG
아이들은	아이/NNG+들/XSN+은/JX
어떻게	어떻/VA+게/EC
해야	하/VV+아야/EC
하느냐"고	하/VX+느냐/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.165.7.4
장훈고의 한 학부모는 "아이들도 자사고가 폐지될 수도 있다고 하니까 공부가 안된다고 한다"고 말했다.

장훈고의	장훈고/NNP+의/JKG
한	한/MMN
학부모는	학부모/NNG+는/JX
"아이들도	"/SS+아이/NNG+들/XSN+도/JX
자사고가	자사고/NNG+가/JKS
폐지될	폐지/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다고	있/VA+다고/EC
하니까	하/VV+니까/EC
공부가	공부/NNG+가/JKS
안된다고	안/MAG+되/XSV+ㄴ다고/EC
한다"고	하/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.165.8.1
서울시교육청은 학부모들의 반발로 예정된 청문이 파행되자, 8일 추가로 청문을 열었다.

서울시교육청은	서울시교육청/NNP+은/JX
학부모들의	학부모/NNG+들/XSN+의/JKG
반발로	반발/NNG+로/JKB
예정된	예정/NNG+되/XSV+ㄴ/ETM
청문이	청문/NNG+이/JKS
파행되자,	파행/NNG+되/XSV+자/EC+,/SP
8일	8/SN+일/NNB
추가로	추가/NNG+로/JKB
청문을	청문/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.165.8.2
일반고로 전환하겠다는 의사를 밝힌 미림여고를 제외한 경문고와 세화여고, 장훈고 관계자가 청문에 참석해 평가 결과에 대한 입장을 밝혔다.

일반고로	일반고/NNG+로/JKB
전환하겠다는	전환/NNG+하/XSV+겠/EP+다는/ETM
의사를	의사/NNG+를/JKO
밝힌	밝히/VV+ㄴ/ETM
미림여고를	미림여고/NNP+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
경문고와	경문고/NNP+와/JC
세화여고,	세화여고/NNP+,/SP
장훈고	장훈고/NNP
관계자가	관계자/NNG+가/JKS
청문에	청문/NNG+에/JKB
참석해	참석/NNG+하/XSV+아/EC
평가	평가/NNG
결과에	결과/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.165.8.3
서울시교육청은 청문 내용을 반영해 곧 최종적으로 지정 취소할 학교를 교육부에 전달한다는 계획이다.

서울시교육청은	서울시교육청/NNP+은/JX
청문	청문/NNG
내용을	내용/NNG+을/JKO
반영해	반영/NNG+하/XSV+아/EC
곧	곧/MAG
최종적으로	최종/NNG+적/XSN+으로/JKB
지정	지정/NNG
취소할	취소/NNG+하/XSV+ㄹ/ETM
학교를	학교/NNG+를/JKO
교육부에	교육부/NNG+에/JKB
전달한다는	전달/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.165.9.1
서울시교육청의 특목고 평가 역시 난항을 겪고 있다.

서울시교육청의	서울시교육청/NNP+의/JKG
특목고	특목고/NNG
평가	평가/NNG
역시	역시/MAG
난항을	난항/NNG+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.165.9.2
서울시교육청은 지난 5월 평가 통과 기준 점수에 미달한 서울외고를 '지정 취소' 하겠다고 발표했다.

서울시교육청은	서울시교육청/NNP+은/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
평가	평가/NNG
통과	통과/NNG
기준	기준/NNG
점수에	점수/NNG+에/JKB
미달한	미달/NNG+하/XSV+ㄴ/ETM
서울외고를	서울외고/NNP+를/JKO
'지정	'/SS+지정/NNG
취소'	취소/NNG+'/SS
하겠다고	하/VV+겠/EP+다고/EC
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.165.9.3
그러나 서울외고는 세 번의 교육청 청문에 모두 응하지 않았고, 서울시교육청은 교육부에 '지정 취소 동의 신청'을 해놓은 상태다.

그러나	그러나/MAJ
서울외고는	서울외고/NNP+는/JX
세	세/MMN
번의	번/NNB+의/JKG
교육청	교육청/NNG
청문에	청문/NNG+에/JKB
모두	모두/MAG
응하지	응하/VV+지/EC
않았고,	않/VX+았/EP+고/EC+,/SP
서울시교육청은	서울시교육청/NNP+은/JX
교육부에	교육부/NNG+에/JKB
'지정	'/SS+지정/NNG
취소	취소/NNG
동의	동의/NNG
신청'을	신청/NNG+'/SS+을/JKO
해놓은	하/VV+아/EC+놓/VX+은/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.165.9.4
8일 서울외고 학부모와 동문 등 300여명은 세종시 교육부 청사 앞에서 집회를 열고 "교육부는 서울시교육청의 지정 취소 처분을 거부하라"고 촉구했다.

8일	8/SN+일/NNB
서울외고	서울외고/NNP
학부모와	학부모/NNG+와/JC
동문	동문/NNG
등	등/NNB
300여명은	300/SN+여/XSN+명/NNB+은/JX
세종시	세종시/NNP
교육부	교육부/NNG
청사	청사/NNG
앞에서	앞/NNG+에서/JKB
집회를	집회/NNG+를/JKO
열고	열/VV+고/EC
"교육부는	"/SS+교육부/NNG+는/JX
서울시교육청의	서울시교육청/NNP+의/JKG
지정	지정/NNG
취소	취소/NNG
처분을	처분/NNG+을/JKO
거부하라"고	거부/NNG+하/XSV+라/EF+"/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.165.10.1
◇"평가 불신은 조 교육감이 초래"

◇"평가	◇/SW+"/SS+평가/NNG
불신은	불신/NNG+은/JX
조	조/NNP
교육감이	교육감/NNG+이/JKS
초래"	초래/NNG+"/SS


# id : NWRW1800000046.165.11.1
자사고와 외고 학부모들의 반발에 대해 서울시교육청 측은 "올해 자사고와 특목고 평가는 교육부의 평가 가이드라인대로 신중하고 합리적으로 진행됐다.

자사고와	자사고/NNG+와/JC
외고	외고/NNG
학부모들의	학부모/NNG+들/XSN+의/JKG
반발에	반발/NNG+에/JKB
대해	대하/VV+아/EC
서울시교육청	서울시교육청/NNP
측은	측/NNB+은/JX
"올해	"/SS+올해/NNG
특목고	특목고/NNG
평가는	평가/NNG+는/JX
교육부의	교육부/NNG+의/JKG
평가	평가/NNG
가이드라인대로	가이드라인/NNG+대로/JX
신중하고	신중/NNG+하/XSA+고/EC
합리적으로	합리/NNG+적/XSN+으로/JKB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.165.11.2
학부모들도 결과를 받아들여야 한다"고 밝혔다.

학부모들도	학부모/NNG+들/XSN+도/JX
결과를	결과/NNG+를/JKO
받아들여야	받아들이/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.165.12.1
하지만 교육계에선 이런 혼란을 서울시교육청이 초래했다는 이야기가 나온다.

하지만	하지만/MAJ
교육계에선	교육/NNG+계/XSN+에서/JKB+ㄴ/JX
이런	이런/MMD
혼란을	혼란/NNG+을/JKO
서울시교육청이	서울시교육청/NNP+이/JKS
초래했다는	초래/NNG+하/XSV+았/EP+다는/ETM
이야기가	이야기/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.165.12.2
지난해 서울시교육청이 진행한 첫 자사고 평가가 공정하지 못했기 때문에 교육청의 평가 자체가 신뢰를 잃었다는 것이다.

지난해	지난해/NNG
서울시교육청이	서울시교육청/NNP+이/JKS
진행한	진행/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
자사고	자사고/NNG
평가가	평가/NNG+가/JKS
공정하지	공정/NNG+하/XSA+지/EC
못했기	못하/VX+았/EP+기/ETN
때문에	때문/NNB+에/JKB
교육청의	교육청/NNG+의/JKG
평가	평가/NNG
자체가	자체/NNG+가/JKS
신뢰를	신뢰/NNG+를/JKO
잃었다는	잃/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.165.12.3
작년 조 교육감은 취임 전에 이미 끝난 자사고 평가 결과를 뒤집고 재평가를 실시해 6개 자사고를 취소하겠다고 발표했고, 결국 교육부가 서울시교육청의 평가 절차를 무효화하는 소동이 있었다.

작년	작년/NNG
조	조/NNP
교육감은	교육감/NNG+은/JX
취임	취임/NNG
전에	전/NNG+에/JKB
이미	이미/MAG
끝난	끝나/VV+ㄴ/ETM
자사고	자사고/NNG
평가	평가/NNG
결과를	결과/NNG+를/JKO
뒤집고	뒤집/VV+고/EC
재평가를	재/XPN+평가/NNG+를/JKO
실시해	실시/NNG+하/XSV+아/EC
6개	6/SN+개/NNB
자사고를	자사고/NNG+를/JKO
취소하겠다고	취소/NNG+하/XSV+겠/EP+다고/EC
발표했고,	발표/NNG+하/XSV+았/EP+고/EC+,/SP
결국	결국/MAG
교육부가	교육부/NNG+가/JKS
서울시교육청의	서울시교육청/NNP+의/JKG
절차를	절차/NNG+를/JKO
무효화하는	무효/NNG+화/XSN+하/XSV+는/ETM
소동이	소동/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.165.12.4
6개 자사고는 현재 정상적으로 운영되고 있다.

6개	6/SN+개/NNB
자사고는	자사고/NNG+는/JX
현재	현재/MAG
정상적으로	정상/NNG+적/XSN+으로/JKB
운영되고	운영/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.165.13.1
서울 지역의 한 고교 교장은 "조 교육감이 선거 때부터 자사고나 외국어고를 '특권 학교'로 칭하면서 폐지를 주장하는 것을 모두가 알고 있고, 작년에 무리하게 자사고 폐지를 추진한 전례도 있기 때문에 자사고·특목고 학부모뿐 아니라 일반 학부모들도 교육청의 평가를 믿지 않는 분위기"라고 말했다.

서울	서울/NNP
지역의	지역/NNG+의/JKG
한	한/MMN
고교	고교/NNG
교장은	교장/NNG+은/JX
"조	"/SS+조/NNP
교육감이	교육감/NNG+이/JKS
선거	선거/NNG
때부터	때/NNG+부터/JX
자사고나	자사고/NNG+나/JC
외국어고를	외국어고/NNG+를/JKO
'특권	'/SS+특권/NNG
학교'로	학교/NNG+'/SS+로/JKB
칭하면서	칭하/VV+면서/EC
폐지를	폐지/NNG+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
모두가	모두/NNG+가/JKS
알고	알/VV+고/EC
있고,	있/VX+고/EC+,/SP
작년에	작년/NNG+에/JKB
무리하게	무리/NNG+하/XSA+게/EC
자사고	자사고/NNG
추진한	추진/NNG+하/XSV+ㄴ/ETM
전례도	전례/NNG+도/JX
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
자사고·특목고	자사고/NNG+·/SP+특목고/NNG
학부모뿐	학부모/NNG+뿐/JX
아니라	아니/VCN+라/EC
일반	일반/NNG
학부모들도	학부모/NNG+들/XSN+도/JX
교육청의	교육청/NNG+의/JKG
평가를	평가/NNG+를/JKO
믿지	믿/VV+지/EC
않는	않/VX+는/ETM
분위기"라고	분위기/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


