# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.193
metadata : {}


# id : NWRW1800000041.193.1.1
許 뉴질랜드 17개 법인 모두 페이퍼컴퍼니

許	許/SH
찾아왔는데,	찾아오/VV+았/EP+는데/EC+,/SP
이	이/MMD
회사밖에	회사/NNG+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.193.4.3
어떻게 된 일이냐.”

어떻게	어떻/VA+게/EC
된	되/VV+ㄴ/ETM
일이냐.”	일/NNG+이/VCP+냐/EF+./SF+”/SS


# id : NWRW1800000041.193.4.4
한국인 직원은 “담당자에게 보고해야 한다”며 자리를 떴다.

한국인	한국인/NNG
직원은	직원/NNG+은/JX
“담당자에게	“/SS+담당자/NNG+에게/JKB
보고해야	보고/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
자리를	자리/NNG+를/JKO
떴다.	뜨/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.193.4.5
한참 뒤 뉴질랜드 여직원이 나와서 “나가 주세요, 많이 바빠요(Please leave! It’s very busy)”라며 답변을 거부했다.

한참	한참/NNG
뒤	뒤/NNG
뉴질랜드	뉴질랜드/NNP
여직원이	여직원/NNG+이/JKS
나와서	나오/VV+아서/EC
“나가	“/SS+나가/VV+아/EC
주세요,	주/VX+시/EP+어요/EF+,/SP
많이	많이/MAG
바빠요(Please	바쁘/VA+아요/EF+(/SS+Please/SL
leave!	leave/SL+!/SF
It’s	It/SL+’/SS+s/SL
very	very/SL
busy)”라며	busy/SL+)/SS+”/SS+이/VCP+라며/EC
답변을	답변/NNG+을/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.193.5.1
이곳을 주소로 둔 서류상 회사인 가나다개발은 허 전 회장이 100% 지분을 보유하고 있다.

이곳을	이곳/NP+을/JKO
주소로	주소/NNG+로/JKB
둔	두/VV+ㄴ/ETM
서류상	서류/NNG+상/XSN
회사인	회사/NNG+이/VCP+ㄴ/ETM
가나다개발은	가나다개발/NNP+은/JX
허	허/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
100%	100/SN+%/SW
지분을	지분/NNG+을/JKO
보유하고	보유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.193.5.2
2003년 1월 2일에 설립됐는데, 그해 10월 앨버트스트리트에 있는 4417m² 규모의 윌슨 주차장을 2450만 달러(약 220억 원)에 매입한 뒤 7년 뒤 중국계 부동산 개발업체에 490억 원에 팔았다.

2003년	2003/SN+년/NNB
1월	1/SN+월/NNB
2일에	2/SN+일/NNB+에/JKB
설립됐는데,	설립/NNG+되/XSV+었/EP+는데/EC+,/SP
그해	그해/NNG
10월	10/SN+월/NNB
앨버트스트리트에	앨버트스트리트/NNP+에/JKB
있는	있/VA+는/ETM
4417m²	4417/SN+m²/SW
규모의	규모/NNG+의/JKG
윌슨	윌슨/NNP
주차장을	주차장/NNG+을/JKO
2450만	2450/SN+만/NR
달러(약	달러/NNB+(/SS+약/MMA
220억	220/SN+억/NR
원)에	원/NNB+)/SS+에/JKB
매입한	매입/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
7년	7/SN+년/NNB
중국계	중국/NNP+계/XSN
부동산	부동산/NNG
개발업체에	개발업체/NNG+에/JKB
490억	490/SN+억/NR
원에	원/NNB+에/JKB
팔았다.	팔/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.193.5.3
시세 차익을 무려 270억 원이나 거둔 것이다.

시세	시세/NNG
차익을	차익/NNG+을/JKO
무려	무려/MAG
270억	270/SN+억/NR
원이나	원/NNB+이나/JX
거둔	거두/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.193.5.4
이 땅에는 당초 900채, 40층 규모의 고층 아파트를 지으려 했지만 공사가 이뤄지지 않았다.

이	이/MMD
땅에는	땅/NNG+에/JKB+는/JX
당초	당초/NNG
900채,	900/SN+채/NNB+,/SP
40층	40/SN+층/NNG
규모의	규모/NNG+의/JKG
고층	고층/NNG
아파트를	아파트/NNG+를/JKO
지으려	짓/VV+으려/EC
했지만	하/VX+았/EP+지만/EC
공사가	공사/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.193.6.1
허 전 회장이 지분 40%, 부인 황모 씨가 60%를 가진 KNZ인터내셔널은 홉슨스트리트에서 피오레 아파트 분양사업을 했다.

허	허/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
지분	지분/NNG
40%,	40/SN+%/SW+,/SP
부인	부인/NNG
황모	황/NNP+모/NP
씨가	씨/NNB+가/JKS
60%를	60/SN+%/SW+를/JKO
가진	가지/VV+ㄴ/ETM
KNZ인터내셔널은	KNZ인터내셔널/NNP+은/JX
홉슨스트리트에서	홉슨스트리트/NNP+에서/JKB
피오레	피오레/NNP
아파트	아파트/NNG
분양사업을	분양/NNG+사업/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.193.6.2
현재 입주가 진행되고 있다.

현재	현재/MAG
입주가	입주/NNG+가/JKS
진행되고	진행/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.193.6.3
허 전 회장의 아들 스콧 허 씨가 100% 지분을 가진 KNZ건설은 마운트이든 지역에 피오레 2차 아파트를 분양하고 있다.

허	허/NNP
전	전/MMD
회장의	회장/NNG+의/JKG
아들	아들/NNG
스콧	스콧/NNP
씨가	씨/NNB+가/JKS
100%	100/SN+%/SW
지분을	지분/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
KNZ건설은	KNZ건설/NNP+은/JX
마운트이든	마운트이든/NNP
지역에	지역/NNG+에/JKB
피오레	피오레/NNP
2차	2/SN+차/NNB
아파트를	아파트/NNG+를/JKO
분양하고	분양/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.193.6.4
분양 2개월 만에 절반 이상 예약됐다.

분양	분양/NNG
2개월	2/SN+개월/NNB
만에	만/NNB+에/JKB
절반	절반/NNG
이상	이상/NNG
예약됐다.	예약/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.193.6.5
회사 관계자는 “이든 기차역까지 3분 거리이고, 오클랜드 명문 사립학교도 2분 거리에 있어 한인은 물론이고 키위(뉴질랜드인을 일컫는 속어)에게도 인기가 좋다”고 자랑했다.

회사	회사/NNG
관계자는	관계자/NNG+는/JX
“이든	“/SS+이든/NNP
기차역까지	기차역/NNG+까지/JX
3분	3/SN+분/NNB
거리이고,	거리/NNG+이/VCP+고/EC+,/SP
오클랜드	오클랜드/NNP
명문	명문/NNG
사립학교도	사립/NNG+학교/NNG+도/JX
2분	2/SN+분/NNB
거리에	거리/NNG+에/JKB
있어	있/VA+어/EC
한인은	한인/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
키위(뉴질랜드인을	키위/NNG+(/SS+뉴질랜드인/NNG+을/JKO
일컫는	일컫/VV+는/ETM
속어)에게도	속어/NNG+)/SS+에게/JKB+도/JX
인기가	인기/NNG+가/JKS
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
자랑했다.	자랑/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.193.7.1
허 전 회장이 현지 법인 17곳 소재지를 모두 같은 회계법인에 둔 이유는 불분명하지만 통상 서류상 회사는 적은 비용으로 세무대리를 할 수 있는 회계법인에 본사를 두는 사례가 많다.

허	허/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
현지	현지/NNG
법인	법인/NNG
17곳	17/SN+곳/NNG
소재지를	소재지/NNG+를/JKO
모두	모두/MAG
같은	같/VA+은/ETM
회계법인에	회계/NNG+법인/NNG+에/JKB
둔	두/VV+ㄴ/ETM
이유는	이유/NNG+는/JX
불분명하지만	불분명하/VA+지만/EC
통상	통상/NNG
서류상	서류/NNG+상/XSN
회사는	회사/NNG+는/JX
적은	적/VA+은/ETM
비용으로	비용/NNG+으로/JKB
세무대리를	세무/NNG+대리/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
본사를	본사/NNG+를/JKO
두는	두/VV+는/ETM
사례가	사례/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000041.193.7.2
뉴질랜드의 한 변호사는 “현지 법에는 본사 주소를 밝히지 않아도 된다”고 설명했다.

뉴질랜드의	뉴질랜드/NNP+의/JKG
한	한/MMN
변호사는	변호사/NNG+는/JX
“현지	“/SS+현지/NNG
법에는	법/NNG+에/JKB+는/JX
본사	본사/NNG
주소를	주소/NNG+를/JKO
밝히지	밝히/VV+지/EC
않아도	않/VX+아도/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.193.7.3
검찰은 허 전 회장이 서류상 회사를 통해 해외로 재산을 빼돌렸는지를 추적하고 있다.

검찰은	검찰/NNG+은/JX
허	허/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
서류상	서류/NNG+상/XSN
회사를	회사/NNG+를/JKO
통해	통하/VV+아/EC
해외로	해외/NNG+로/JKB
재산을	재산/NNG+을/JKO
빼돌렸는지를	빼돌리/VV+었/EP+는지/EF+를/JKO
추적하고	추적/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.193.8.1
3만 명 안팎의 현지 교민 사회는 허 전 회장 사건에 민감하게 반응하고 있다.

3만	3/SN+만/NR
명	명/NNB
안팎의	안팎/NNG+의/JKG
현지	현지/NNG
교민	교민/NNG
사회는	사회/NNG+는/JX
허	허/NNP
전	전/MMD
회장	회장/NNG
사건에	사건/NNG+에/JKB
민감하게	민감/NNG+하/XSA+게/EC
반응하고	반응/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.193.8.2
한 교민은 “허 전 회장이 주로 돈 많은 중국인을 상대로 사업을 했지 한인들과는 교류가 없었다”고 말했다.

한	한/MMN
교민은	교민/NNG+은/JX
“허	“/SS+허/NNP
전	전/MMD
회장이	회장/NNG+이/JKS
주로	주로/MAG
돈	돈/NNG
많은	많/VA+은/ETM
중국인을	중국인/NNG+을/JKO
상대로	상대/NNG+로/JKB
사업을	사업/NNG+을/JKO
했지	하/VV+았/EP+지/EC
한인들과는	한인/NNG+들/XSN+과/JKB+는/JX
교류가	교류/NNG+가/JKS
없었다”고	없/VA+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


