# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.155
metadata : {}


# id : NWRW1800000022.155.1.1
"黨政과 충분한 공감대 없이 월권" "곽 위원장이 '교육 부통령'이냐";여야 '곽승준 때리기'

"黨政과	"/SS+黨政/SH+과/JKB
집행기관인	집행/NNG+기관/NNG+이/VCP+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
(언론에)	(/SS+언론/NNG+에/JKB+)/SS
마음대로	마음대로/MAG
이야기하고	이야기/NNG+하/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
"교과부와	"/SS+교과부/NNG+와/JC
혼선을	혼선/NNG+을/JKO
빚는	빚/VV+는/ETM
것은	것/NNB+은/JX
옳지	옳/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.155.3.2
홍 원내대표는 곽 위원장이 작년 1기 청와대 수석비서관 교체 때 물러났던 점을 거론하며 "곽 위원장은 한 번 문제가 되어서 나갔던 사람인 만큼 언론에 나오지 말고 자기분수에 충실하라"고 했다.

홍	홍/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
곽	곽/NNP
위원장이	위원장/NNG+이/JKS
작년	작년/NNG
1기	1/SN+기/NNG
청와대	청와대/NNP
수석비서관	수석/NNG+비서관/NNG
교체	교체/NNG
때	때/NNG
물러났던	물러나/VV+았/EP+던/ETM
점을	점/NNG+을/JKO
거론하며	거론/NNG+하/XSV+며/EC
"곽	"/SS+곽/NNP
위원장은	위원장/NNG+은/JX
한	한/MMN
번	번/NNB
문제가	문제/NNG+가/JKS
되어서	되/VV+어서/EC
나갔던	나가/VV+았/EP+던/ETM
사람인	사람/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
언론에	언론/NNG+에/JKB
나오지	나오/VV+지/EC
말고	말/VX+고/EC
자기분수에	자기/NP+분수/NNG+에/JKB
충실하라"고	충실/NNG+하/XSA+라/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.155.4.1
민주당 원혜영 원내대표는 원내대책회의에서 "'상왕'이라는 말이 유행하고 '왕차관'이라는 말이 등장하더니 이제는 '교육 부통령' 얘기까지 나오게 됐다"며 "이것이야말로 무분별하고 무원칙한 이명박 정부의 국정운영의 실태"라고 비난했다.

민주당	민주당/NNP
원혜영	원혜영/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
원내대책회의에서	원내/NNG+대책/NNG+회의/NNG+에서/JKB
"'상왕'이라는	"/SS+'/SS+상왕/NNG+'/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
유행하고	유행/NNG+하/XSV+고/EC
'왕차관'이라는	'/SS+왕/XPN+차관/NNG+'/SS+이/VCP+라는/ETM
등장하더니	등장/NNG+하/XSV+더니/EC
이제는	이제/NNG+는/JX
'교육	'/SS+교육/NNG
부통령'	부통령/NNG+'/SS
얘기까지	얘기/NNG+까지/JX
나오게	나오/VV+게/EC
됐다"며	되/VV+었/EP+다/EF+"/SS+며/EC
"이것이야말로	"/SS+이것/NP+이야말로/JX
무분별하고	무/XPN+분별/NNG+하/XSA+고/EC
무원칙한	무/XPN+원칙/NNG+하/XSA+ㄴ/ETM
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
국정운영의	국정/NNG+운영/NNG+의/JKG
실태"라고	실태/NNG+"/SS+라고/JKQ
비난했다.	비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.155.5.1
자유선진당 박선영 대변인은 논평에서 "미래기획위원회는 구체적인 교육 정책을 입안하는 곳이 아니며 정책은 전문가에게 맡겨야 한다"고 비판했다.

자유선진당	자유선진당/NNP
박선영	박선영/NNP
대변인은	대변인/NNG+은/JX
논평에서	논평/NNG+에서/JKB
"미래기획위원회는	"/SS+미래/NNG+기획/NNG+위원회/NNG+는/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
교육	교육/NNG
정책을	정책/NNG+을/JKO
입안하는	입안/NNG+하/XSV+는/ETM
곳이	곳/NNG+이/JKC
아니며	아니/VCN+며/EC
정책은	정책/NNG+은/JX
전문가에게	전문가/NNG+에게/JKB
맡겨야	맡기/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


