# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.14
metadata : {}


# id : NWRW1800000052.14.1.1
진화나선 이주열 한은 총재…“필요한 역할 적극 수행”

진화나선	진화/NNG+나서/VV+ㄴ/ETM
한은 관계자는 “이런 식이면, 우리는 할 수 있는 것도 못 하는 부담을 안게 된다”고 말했다.

한은	한은/NNP
관계자는	관계자/NNG+는/JX
“이런	“/SS+이런/MMD
식이면,	식/NNB+이/VCP+면/EC+,/SP
우리는	우리/NP+는/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
것도	것/NNB+도/JX
못	못/MAG
하는	하/VV+는/ETM
부담을	부담/NNG+을/JKO
안게	안/VV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.14.10.1
한편 정부는 연일 한은에 대한 압박을 이어갔다.

한편	한편/MAG
정부는	정부/NNG+는/JX
연일	연일/MAG
한은에	한은/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
압박을	압박/NNG+을/JKO
이어갔다.	잇/VV+어/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.14.10.2
최상목 기획재정부 1차관은 이날 기자간담회를 열어 “금융위기 과정에서 보듯 중앙은행의 전통적인 역할 모델이라는 것이 상황에 따라 바뀌기도 한다.

최상목	최상목/NNP
기획재정부	기획/NNG+재정부/NNG
1차관은	1/SN+차관/NNG+은/JX
이날	이날/NNG
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
“금융위기	“/SS+금융/NNG+위기/NNG
과정에서	과정/NNG+에서/JKB
보듯	보/VV+듯/EC
중앙은행의	중앙은행/NNG+의/JKG
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
역할	역할/NNG
모델이라는	모델/NNG+이/VCP+라는/ETM
것이	것/NNB+이/JKS
상황에	상황/NNG+에/JKB
따라	따르/VV+아/EC
바뀌기도	바뀌/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.14.10.3
정부뿐만 아니라 중앙은행도 발상의 전환이 필요할 수 있다”고 말했다.

정부뿐만	정부/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
중앙은행도	중앙은행/NNG+도/JX
발상의	발상/NNG+의/JKG
전환이	전환/NNG+이/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.14.10.4
최 차관은 이어 “구조조정 과정에서 발생할 수 있는 금융 불안에 대비하기 위해 정부 재정과 중앙은행이 가진 정책 수단을 포괄적으로 검토해 적절한 대책을 강구해야 한다”고 강조했다.

최	최/NNP
차관은	차관/NNG+은/JX
이어	이어/MAG
“구조조정	“/SS+구조/NNG+조정/NNG
과정에서	과정/NNG+에서/JKB
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
금융	금융/NNG
불안에	불안/NNG+에/JKB
대비하기	대비/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
정부	정부/NNG
재정과	재정/NNG+과/JC
중앙은행이	중앙은행/NNG+이/JKS
가진	가지/VV+ㄴ/ETM
정책	정책/NNG
수단을	수단/NNG+을/JKO
포괄적으로	포괄/NNG+적/XSN+으로/JKB
검토해	검토/NNG+하/XSV+아/EC
적절한	적절하/VA+ㄴ/ETM
대책을	대책/NNG+을/JKO
강구해야	강구/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


