# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.197
metadata : {}


# id : NWRW1800000040.197.1.1
‘남남’된 인권위-서울시 인권 조형사업

‘남남’된	‘/SS+남남/NNG+’/SS+되/XSV+ㄴ/ETM
# id : NWRW1800000040.197.6.3
하지만 주요 시정의 인권 영향을 심의·자문하는 서울시 인권위에선 ‘부적절 사업’이란 공식 의견을 냈다.

하지만	하지만/MAJ
주요	주요/NNG
시정의	시정/NNG+의/JKG
인권	인권/NNG
영향을	영향/NNG+을/JKO
심의·자문하는	심의/NNG+·/SP+자문/NNG+하/XSV+는/ETM
서울시	서울시/NNP
인권위에선	인권위/NNP+에서/JKB+ㄴ/JX
‘부적절	‘/SS+부적절/XR
사업’이란	사업/NNG+’/SS+이/VCP+란/ETM
공식	공식/NNG
의견을	의견/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.197.6.4
한 위원은 “예산이 많다면 모르지만, 올해 인권 실태조사 비용도 부족했던 터에 우선사업이 아니지 않으냐”고 말했다.

한	한/MMN
위원은	위원/NNG+은/JX
“예산이	“/SS+예산/NNG+이/JKS
많다면	많/VA+다면/EC
모르지만,	모르/VV+지만/EC+,/SP
올해	올해/NNG
인권	인권/NNG
실태조사	실태/NNG+조사/NNG
비용도	비용/NNG+도/JX
부족했던	부족/NNG+하/XSA+았/EP+던/ETM
터에	터/NNB+에/JKB
우선사업이	우선/NNG+사업/NNG+이/JKC
아니지	아니/VCN+지/EC
않으냐”고	않/VX+으냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.197.6.5
인권 조형물 사업비는 시 인권부서의 지난해 예산 1억원과 맞먹고, 올해 예산 7억7990만원의 12% 규모다.

인권	인권/NNG
조형물	조형물/NNG
사업비는	사업비/NNG+는/JX
시	시/NNG
인권부서의	인권/NNG+부서/NNG+의/JKG
지난해	지난해/NNG
예산	예산/NNG
1억원과	1/SN+억/NR+원/NNB+과/JKB
맞먹고,	맞먹/VV+고/EC+,/SP
올해	올해/NNG
7억7990만원의	7/SN+억/NR+7990/SN+만/NR+원/NNB+의/JKG
12%	12/SN+%/SW
규모다.	규모/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.197.7.1
서울시는 반대 입장의 시 인권위에 “국가인권위와의 매칭펀드 사업이라 독단으로 철회하기 어렵다”고 말했다고 한다.

서울시는	서울시/NNP+는/JX
반대	반대/NNG
입장의	입장/NNG+의/JKG
시	시/NNG
인권위에	인권위/NNP+에/JKB
“국가인권위와의	“/SS+국가인권위/NNP+와/JKB+의/JKG
매칭펀드	매칭펀드/NNG
사업이라	사업/NNG+이/VCP+라/EC
독단으로	독단/NNG+으로/JKB
철회하기	철회/NNG+하/XSV+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.197.7.2
하지만 국가인권위 관계자는 “매칭펀드를 언급한 적 없고 ‘인권위는 디자인, 시는 장소 협조’ 식의 역할 분담 논의였다”고 말했다.

하지만	하지만/MAJ
국가인권위	국가인권위/NNP
관계자는	관계자/NNG+는/JX
“매칭펀드를	“/SS+매칭펀드/NNG+를/JKO
언급한	언급/NNG+하/XSV+ㄴ/ETM
적	적/NNB
없고	없/VA+고/EC
‘인권위는	‘/SS+인권위/NNP+는/JX
디자인,	디자인/NNG+,/SP
시는	시/NNG+는/JX
장소	장소/NNG
협조’	협조/NNG+’/SS
식의	식/NNB+의/JKG
역할	역할/NNG
분담	분담/NNG
논의였다”고	논의/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.197.8.1
국가인권위의 ‘인권 공공디자인 프로젝트’ 계획을 보면, ‘지하철역사의 벽, 바닥 등에 세계인권선언 전문을 디자인하고, 역사내 조화로운 상징물(세계인권선언탑 등)을 배치한다’는 게 주요 내용이다.

국가인권위의	국가인권위/NNP+의/JKG
‘인권	‘/SS+인권/NNG
공공디자인	공공/NNG+디자인/NNG
프로젝트’	프로젝트/NNG+’/SS
계획을	계획/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
‘지하철역사의	‘/SS+지하철/NNG+역사/NNG+의/JKG
벽,	벽/NNG+,/SP
바닥	바닥/NNG
등에	등/NNB+에/JKB
세계인권선언	세계/NNG+인권/NNG+선언/NNG
전문을	전문/NNG+을/JKO
디자인하고,	디자인/NNG+하/XSV+고/EC+,/SP
역사내	역사/NNG+내/NNB
조화로운	조화/NNG+롭/XSA+ㄴ/ETM
상징물(세계인권선언탑	상징물/NNG+(/SS+세계/NNG+인권/NNG+선언/NNG+탑/NNG
등)을	등/NNB+)/SS+을/JKO
배치한다’는	배치/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
게	거/NNB+이/JKS
주요	주요/NNG
내용이다.	내용/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.197.8.2
상징물 쪽에만 2000만원을 책정한 것으로 전해진다.

상징물	상징물/NNG
쪽에만	쪽/NNB+에/JKB+만/JX
2000만원을	2000/SN+만/NR+원/NNB+을/JKO
책정한	책정/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해진다.	전하/VV+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.197.9.1
시 관계자는 “해당 사업을 인권단체, 철도청과도 논의하고 있다.

시	시/NNG
관계자는	관계자/NNG+는/JX
“해당	“/SS+해당/NNG
사업을	사업/NNG+을/JKO
인권단체,	인권/NNG+단체/NNG+,/SP
철도청과도	철도청/NNG+과/JKB+도/JX
논의하고	논의/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.197.9.2
서울시와 인권위 사업이 통일성을 갖추되 장소 등 중복을 피하기 위해 실무협의를 할 것”이라고 말했다.

서울시와	서울시/NNP+와/JC
인권위	인권위/NNP
사업이	사업/NNG+이/JKS
통일성을	통일/NNG+성/XSN+을/JKO
갖추되	갖추/VV+되/EC
장소	장소/NNG
등	등/NNB
중복을	중복/NNG+을/JKO
피하기	피하/VV+기/ETN
위해	위하/VV+아/EC
실무협의를	실무/NNG+협의/NNG+를/JKO
할	하/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.197.10.1
애초 두 기관은 서울시청역사를 유력 후보지로 논의하다, 사업이 갈라지면서 서울시가 남영역 등을 추가 대상지로 검토하는 모양새다.

애초	애초/NNG
두	두/MMN
기관은	기관/NNG+은/JX
서울시청역사를	서울시청역사/NNP+를/JKO
유력	유력/NNG
후보지로	후보지/NNG+로/JKB
논의하다,	논의/NNG+하/XSV+다/EC+,/SP
사업이	사업/NNG+이/JKS
갈라지면서	갈라지/VV+면서/EC
서울시가	서울시/NNP+가/JKS
남영역	남영역/NNP
등을	등/NNB+을/JKO
추가	추가/NNG
대상지로	대상지/NNG+로/JKB
검토하는	검토/NNG+하/XSV+는/ETM
모양새다.	모양새/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.197.10.2
남영역이 확정되면, 인권유린의 상징인 남영동 대공분실 길목이 ‘인권역사’로 특화되는 셈이다.

남영역이	남영역/NNP+이/JKS
확정되면,	확정/NNG+되/XSV+면/EC+,/SP
인권유린의	인권/NNG+유린/NNG+의/JKG
상징인	상징/NNG+이/VCP+ㄴ/ETM
남영동	남영동/NNP
대공분실	대공/NNG+분실/NNG
길목이	길목/NNG+이/JKS
‘인권역사’로	‘/SS+인권/NNG+역사/NNG+’/SS+로/JKB
특화되는	특화/NNG+되/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.197.11.1
박원순 시장은 2004년 독일에서 세계인권선언 조문이 새겨진 베를린역을 보고 당시 이명박 시장에게 활용안을 권유한 바 있다.

박원순	박원순/NNP
시장은	시장/NNG+은/JX
2004년	2004/SN+년/NNB
독일에서	독일/NNP+에서/JKB
세계인권선언	세계/NNG+인권/NNG+선언/NNG
조문이	조문/NNG+이/JKS
새겨진	새기/VV+어/EC+지/VX+ㄴ/ETM
베를린역을	베를린역/NNP+을/JKO
보고	보/VV+고/EC
당시	당시/NNG
이명박	이명박/NNP
시장에게	시장/NNG+에게/JKB
활용안을	활용/NNG+안/NNG+을/JKO
권유한	권유/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


