# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.370
metadata : {}


# id : NWRW1800000048.370.1.1
[아침 햇발] ‘배신의 정치’와 경제 현실 / 이경

[아침	[/SS+아침/NNG
정부	정부/NNG
부처	부처/NNG
국장,	국장/NNG+,/SP
과장을	과장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
실무자들에게	실무자/NNG+들/XSN+에게/JKB
지금까지	지금/NNG+까지/JX
진행	진행/NNG
상황을	상황/NNG+을/JKO
듣고	듣/VV+고/EC
하반기	하반기/NNG
추진	추진/NNG
전략을	전략/NNG+을/JKO
직접	직접/MAG
챙기고	챙기/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.370.4.4
지난해 10월 예산안 시정연설에서는 ‘경제’란 말을 59차례나 들먹였다.

지난해	지난해/NNG
10월	10/SN+월/NNB
예산안	예산안/NNG
시정연설에서는	시정/NNG+연설/NNG+에서/JKB+는/JX
‘경제’란	‘/SS+경제/NNG+’/SS+이/VCP+란/ETM
말을	말/NNG+을/JKO
59차례나	59/SN+차례/NNG+나/JX
들먹였다.	들먹이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.370.4.5
“지금이야말로 우리 경제가 도약하느냐 정체하느냐의 갈림길에서 경제를 다시 세울 수 있는 마지막 골든타임입니다”라며….

“지금이야말로	“/SS+지금/NNG+이야말로/JX
우리	우리/NP
경제가	경제/NNG+가/JKS
도약하느냐	도약/NNG+하/XSV+느냐/EF
정체하느냐의	정체/NNG+하/XSV+느냐/EF+의/JKG
갈림길에서	갈림길/NNG+에서/JKB
경제를	경제/NNG+를/JKO
다시	다시/MAG
세울	세우/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
마지막	마지막/NNG
골든타임입니다”라며….	골든타임/NNG+이/VCP+ㅂ니다/EF+”/SS+라며/EC+…/SE+./SF


# id : NWRW1800000048.370.5.1
하지만 경제 상황은 녹록지 않다.

하지만	하지만/MAJ
경제	경제/NNG
상황은	상황/NNG+은/JX
녹록지	녹록하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000048.370.5.2
성장률은 취임 첫해 2.9%, 지난해 3.3%를 나타낸 데 이어 올해 3.1%가 될 것으로 정부는 전망하고 있다.

성장률은	성장/NNG+률/XSN+은/JX
취임	취임/NNG
첫해	첫해/NNG
2.9%,	2/SN+./SP+9/SN+%/SW+,/SP
지난해	지난해/NNG
3.3%를	3/SN+./SP+3/SN+%/SW+를/JKO
나타낸	나타내/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
올해	올해/NNG
3.1%가	3/SN+./SP+1/SN+%/SW+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
정부는	정부/NNG+는/JX
전망하고	전망/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.370.5.3
세 해 모두 추가경정예산이나 재정 보강에 힘입었는데도 이 정도다.

세	세/MMN
해	해/NNG
모두	모두/MAG
추가경정예산이나	추가/NNG+경정/NNG+예산/NNG+이나/JC
재정	재정/NNG
보강에	보강/NNG+에/JKB
힘입었는데도	힘입/VV+었/EP+는데/EC+도/JX
이	이/MMD
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.370.5.4
3%대 중반으로 추정되는 잠재성장률에 계속 못 미친다.

3%대	3/SN+%/SW+대/XSN
중반으로	중반/NNG+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
잠재성장률에	잠재/NNG+성장/NNG+률/XSN+에/JKB
계속	계속/MAG
못	못/MAG
미친다.	미치/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.370.5.5
경제혁신 3개년계획에서 밝힌 ‘474비전’을 실현하기는 힘들어 보인다.

경제혁신	경제/NNG+혁신/NNG
3개년계획에서	3/SN+개년/NNB+계획/NNG+에서/JKB
밝힌	밝히/VV+ㄴ/ETM
‘474비전’을	‘/SS+474/SN+비전/NNG+’/SS+을/JKO
실현하기는	실현/NNG+하/XSV+기/ETN+는/JX
힘들어	힘들/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.370.5.6
474비전은 임기 안에 잠재성장률 4%, 고용률 70%, 국민소득 4만달러를 이루겠다는 구상이다.

474비전은	474/SN+비전/NNG+은/JX
임기	임기/NNG
안에	안/NNG+에/JKB
잠재성장률	잠재/NNG+성장/NNG+률/XSN
4%,	4/SN+%/SW+,/SP
고용률	고용/NNG+률/XSN
70%,	70/SN+%/SW+,/SP
국민소득	국민/NNG+소득/NNG
4만달러를	4/SN+만/NR+달러/NNB+를/JKO
이루겠다는	이루/VV+겠/EP+다는/ETM
구상이다.	구상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.370.5.7
국민들의 경제행복지수가 크게 낮아졌다는 며칠 전 한 발표는 이런 상황과 무관해 보이지 않는다.

국민들의	국민/NNG+들/XSN+의/JKG
경제행복지수가	경제/NNG+행복/NNG+지수/NNG+가/JKS
크게	크/VA+게/EC
낮아졌다는	낮/VA+아/EC+지/VX+었/EP+다는/ETM
며칠	며칠/NNG
전	전/NNG
한	한/MMN
발표는	발표/NNG+는/JX
이런	이런/MMD
상황과	상황/NNG+과/JKB
무관해	무관하/VA+아/EC
보이지	보이/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000048.370.5.8
현대경제연구원이 2007년 12월부터 반기별로 내고 있는 경제행복지수(100점 만점)가 올해 상반기 40.4점으로 2012년 하반기(40.4점) 이후 가장 낮은 수치를 기록했다.

현대경제연구원이	현대경제연구원/NNP+이/JKS
2007년	2007/SN+년/NNB
12월부터	12/SN+월/NNB+부터/JX
반기별로	반기/NNG+별/XSN+로/JKB
내고	내/VV+고/EC
있는	있/VX+는/ETM
경제행복지수(100점	경제/NNG+행복/NNG+지수/NNG+(/SS+100/SN+점/NNB
만점)가	만점/NNG+)/SS+가/JKS
올해	올해/NNG
상반기	상반기/NNG
40.4점으로	40/SN+./SP+4/SN+점/NNB+으로/JKB
2012년	2012/SN+년/NNB
하반기(40.4점)	하반기/NNG+(/SS+40/SN+./SP+4/SN+점/NNB+)/SS
이후	이후/NNG
가장	가장/MAG
낮은	낮/VA+은/ETM
수치를	수치/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.370.6.1
실망스런 결과다.

실망스런	실망/NNG+스럽/XSA+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.370.6.2
세계금융위기 여진에서 벗어나지 못한 나라가 한둘 아니라는 점을 고려해도 이런 평가는 바뀌기 어렵다.

세계금융위기	세계/NNG+금융/NNG+위기/NNG
여진에서	여진/NNG+에서/JKB
벗어나지	벗어나/VV+지/EC
못한	못하/VX+ㄴ/ETM
나라가	나라/NNG+가/JKS
한둘	한둘/NR
아니라는	아니/VCN+라는/ETM
점을	점/NNG+을/JKO
고려해도	고려/NNG+하/XSV+아도/EC
이런	이런/MMD
평가는	평가/NNG+는/JX
바뀌기	바뀌/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000048.370.6.3
정책방향과 경제팀에 문제가 있음은 두말할 나위가 없다.

정책방향과	정책/NNG+방향/NNG+과/JC
경제팀에	경제/NNG+팀/NNG+에/JKB
문제가	문제/NNG+가/JKS
있음은	있/VA+음/ETN+은/JX
두말할	두말/NNG+하/XSV+ㄹ/ETM
나위가	나위/NNB+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000048.370.6.4
특히 대통령 선거 때 경제민주화를 강조한 뒤 이를 뒷전으로 물린 것 등은 크게 유감이다.

특히	특히/MAG
대통령	대통령/NNG
선거	선거/NNG
때	때/NNG
경제민주화를	경제/NNG+민주/NNG+화/XSN+를/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
뒷전으로	뒷전/NNG+으로/JKB
물린	물리/VV+ㄴ/ETM
것	것/NNB
등은	등/NNB+은/JX
크게	크/VA+게/EC
유감이다.	유감/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.370.6.5
박 대통령은 “저는 우리 경제의 패러다임을 그동안의 양적 성장에서 질적 발전으로 전환하고, 성장의 온기가 온 국민에게 골고루 퍼지게 하기 위해서는 반드시 경제민주화를 실현해야 한다고 굳게 믿습니다.

박	박/NNP
대통령은	대통령/NNG+은/JX
“저는	“/SS+저/NP+는/JX
우리	우리/NP
경제의	경제/NNG+의/JKG
패러다임을	패러다임/NNG+을/JKO
그동안의	그동안/NNG+의/JKG
양적	양/NNG+적/XSN
성장에서	성장/NNG+에서/JKB
질적	질/NNG+적/XSN
발전으로	발전/NNG+으로/JKB
전환하고,	전환/NNG+하/XSV+고/EC+,/SP
성장의	성장/NNG+의/JKG
온기가	온기/NNG+가/JKS
온	온/MMN
국민에게	국민/NNG+에게/JKB
골고루	골고루/MAG
퍼지게	퍼지/VV+게/EC
하기	하/VX+기/ETN
위해서는	위하/VV+아서/EC+는/JX
반드시	반드시/MAG
경제민주화를	경제/NNG+민주/NNG+화/XSN+를/JKO
실현해야	실현/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
굳게	굳/VA+게/EC
믿습니다.	믿/VV+습니다/EF+./SF


# id : NWRW1800000048.370.6.6
국민 여러분과 함께 경제민주화를 흔들림 없이 추진하겠습니다”라고 분명히 밝혔다.

국민	국민/NNG
여러분과	여러분/NP+과/JKB
함께	함께/MAG
경제민주화를	경제/NNG+민주/NNG+화/XSN+를/JKO
흔들림	흔들리/VV+ㅁ/ETN
없이	없이/MAG
추진하겠습니다”라고	추진/NNG+하/XSV+겠/EP+습니다/EF+”/SS+라고/JKQ
분명히	분명히/MAG
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.370.6.7
당선인 시절에는 전국경제인연합회를 찾아가 이런 말도 했다.

당선인	당선인/NNG
시절에는	시절/NNG+에/JKB+는/JX
전국경제인연합회를	전국경제인연합회/NNP+를/JKO
찾아가	찾아가/VV+아/EC
이런	이런/MMD
말도	말/NNG+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.370.6.8
“(여러분이 이끄는 기업이) 대기업으로 성장하기까지 국민의 희생과 국가 지원이 많았기 때문에 국민기업 성격도 큽니다 … 경영목표가 이윤 극대화에 머물면 안 되고 공동체 전체와의 상생을 추구해야 합니다.”

“(여러분이	“/SS+(/SS+여러분/NP+이/JKS
이끄는	이끌/VV+는/ETM
기업이)	기업/NNG+이/JKS+)/SS
대기업으로	대/XPN+기업/NNG+으로/JKB
성장하기까지	성장/NNG+하/XSV+기/ETN+까지/JX
국민의	국민/NNG+의/JKG
희생과	희생/NNG+과/JC
국가	국가/NNG
지원이	지원/NNG+이/JKS
많았기	많/VA+았/EP+기/ETN
때문에	때문/NNB+에/JKB
국민기업	국민/NNG+기업/NNG
성격도	성격/NNG+도/JX
큽니다	크/VA+ㅂ니다/EF
…	…/SE
경영목표가	경영/NNG+목표/NNG+가/JKS
이윤	이윤/NNG
극대화에	극대/NNG+화/XSN+에/JKB
머물면	머물/VV+면/EC
안	안/MAG
되고	되/VV+고/EC
공동체	공동체/NNG
전체와의	전체/NNG+와/JKB+의/JKG
상생을	상생/NNG+을/JKO
추구해야	추구/NNG+하/XSV+아야/EC
합니다.”	하/VX+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000048.370.7.1
박 대통령이 정말 이런 방향으로 정책을 폈으면 우리 경제의 모습은 달라졌을 것이고 실망감도 덜했을 것이다.

박	박/NNP
대통령이	대통령/NNG+이/JKS
정말	정말/MAG
이런	이런/MMD
방향으로	방향/NNG+으로/JKB
정책을	정책/NNG+을/JKO
폈으면	펴/VV+었/EP+으면/EC
우리	우리/NP
경제의	경제/NNG+의/JKG
모습은	모습/NNG+은/JX
달라졌을	달라지/VV+었/EP+을/ETM
것이고	것/NNB+이/VCP+고/EC
실망감도	실망감/NNG+도/JX
덜했을	덜/MAG+하/XSA+았/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.370.7.2
스스로 “정치권에서 얘기하는 것은 안 믿는 것이 대부분이었는데 ‘이번 정부에서는 국민께 한 약속은 정말 아주 정성들여서 지킨다.

스스로	스스로/MAG
“정치권에서	“/SS+정치/NNG+권/XSN+에서/JKB
얘기하는	얘기/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
안	안/MAG
믿는	믿/VV+는/ETM
것이	것/NNB+이/JKS
대부분이었는데	대/XPN+부분/NNG+이/VCP+었/EP+는데/EC
‘이번	‘/SS+이번/NNG
정부에서는	정부/NNG+에서/JKB+는/JX
국민께	국민/NNG+께/JKB
한	하/VV+ㄴ/ETM
약속은	약속/NNG+은/JX
정말	정말/MAG
아주	아주/MAG
정성들여서	정성/NNG+들이/VV+어서/EC
지킨다.	지키/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.370.7.3
그래서 그 말은 믿을 수 있다’고 할 때 굉장한 신뢰가 쌓일 수 있을 것 같습니다”라고 말하고는 제대로 실행하지 않았다.

그래서	그래서/MAJ
그	그/MMD
말은	말/NNG+은/JX
믿을	믿/VV+을/ETM
수	수/NNB
있다’고	있/VA+다/EF+’/SS+고/JKQ
할	하/VV+ㄹ/ETM
때	때/NNG
굉장한	굉장하/VA+ㄴ/ETM
신뢰가	신뢰/NNG+가/JKS
쌓일	쌓이/VV+ㄹ/ETM
있을	있/VA+을/ETM
것	것/NNB
같습니다”라고	같/VA+습니다/EF+”/SS+라고/JKQ
말하고는	말/NNG+하/XSV+고/EC+는/JX
제대로	제대로/MAG
실행하지	실행/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.370.7.4
그러니 유승민 전 원내대표를 질책하며 “정치적으로 선거 수단으로 삼아서 당선된 후에 신뢰를 어기는 배신의 정치…”를 언급한 게 씁쓸하게 오버랩된다.

그러니	그러니/MAJ
유승민	유승민/NNP
전	전/MMD
원내대표를	원내/NNG+대표/NNG+를/JKO
질책하며	질책/NNG+하/XSV+며/EC
“정치적으로	“/SS+정치/NNG+적/XSN+으로/JKB
선거	선거/NNG
수단으로	수단/NNG+으로/JKB
삼아서	삼/VV+아서/EC
당선된	당선/NNG+되/XSV+ㄴ/ETM
후에	후/NNG+에/JKB
신뢰를	신뢰/NNG+를/JKO
어기는	어기/VV+는/ETM
배신의	배신/NNG+의/JKG
정치…”를	정치/NNG+…/SE+”/SS+를/JKO
언급한	언급/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
씁쓸하게	씁쓸하/VA+게/EC
오버랩된다.	오버랩/NNG+되/XSV+ㄴ다/EF+./SF


