# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.411
metadata : {}


# id : NWRW1800000032.411.1.1
“북 핵무기 6기 가능” 영국 민간 연구기관 보고서

“북	“/SS+북/NNP
만들	만들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
양이라고	양/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.411.3.2
또 보고서는 북한이 지난해 11월 공개한 우라늄 농축 시설로 핵물질을 추가로 생산할 수 있을 것이라고 덧붙였다.

또	또/MAG
보고서는	보고서/NNG+는/JX
북한이	북한/NNP+이/JKS
지난해	지난해/NNG
11월	11/SN+월/NNB
공개한	공개/NNG+하/XSV+ㄴ/ETM
우라늄	우라늄/NNG
농축	농축/NNG
시설로	시설/NNG+로/JKB
핵물질을	핵물질/NNG+을/JKO
추가로	추가/NNG+로/JKB
생산할	생산/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것이라고	것/NNB+이/VCP+라고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.411.3.3
그러나 보고서는 북한이 장거리 미사일에 핵탄두를 장착할 수 있는 능력을 확보했는지는 불투명하다고 평가했다.

그러나	그러나/MAJ
보고서는	보고서/NNG+는/JX
북한이	북한/NNP+이/JKS
장거리	장거리/NNG
미사일에	미사일/NNG+에/JKB
핵탄두를	핵탄두/NNG+를/JKO
장착할	장착/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
능력을	능력/NNG+을/JKO
확보했는지는	확보/NNG+하/XSV+았/EP+는지/EF+는/JX
불투명하다고	불/XPN+투명/NNG+하/XSA+다고/EC
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.411.3.4
로월 제이코비 미국 국방정보국 전 국장은 2005년 4월 미 상원 국방위에서 북한이 핵무기를 장거리 미사일에 탑재할 능력을 확보했다고 증언했으나, 이후 다른 관리들은 이를 부인했다고 보고서는 전했다.

로월	로월/NNP
제이코비	제이코비/NNP
미국	미국/NNP
국방정보국	국방/NNG+정보국/NNG
전	전/MMD
국장은	국장/NNG+은/JX
2005년	2005/SN+년/NNB
4월	4/SN+월/NNB
미	미/NNP
상원	상원/NNG
국방위에서	국방위/NNG+에서/JKB
북한이	북한/NNP+이/JKS
핵무기를	핵무기/NNG+를/JKO
장거리	장거리/NNG
미사일에	미사일/NNG+에/JKB
탑재할	탑재/NNG+하/XSV+ㄹ/ETM
능력을	능력/NNG+을/JKO
확보했다고	확보/NNG+하/XSV+았/EP+다고/EC
증언했으나,	증언/NNG+하/XSV+았/EP+으나/EC+,/SP
이후	이후/NNG
다른	다른/MMD
관리들은	관리/NNG+들/XSN+은/JX
이를	이/NP+를/JKO
부인했다고	부인/NNG+하/XSV+았/EP+다고/EC
보고서는	보고서/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.411.3.5
보고서는 북한의 핵무장 이유로 남·북한간 재래식 전력의 심각한 불균형을 들었다.

보고서는	보고서/NNG+는/JX
북한의	북한/NNP+의/JKG
핵무장	핵무장/NNG
이유로	이유/NNG+로/JKB
남·북한간	남/NNP+·/SP+북한/NNP+간/NNB
재래식	재래식/NNG
전력의	전력/NNG+의/JKG
심각한	심각하/VA+ㄴ/ETM
불균형을	불/XPN+균형/NNG+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.411.3.6
보고서는 북한의 재래식 무기가 노후화와 자원 부족 등으로 남한에 압도적인 열세를 보이고 있다는 미국 정보당국의 평가를 인용하며, 북한의 핵무장 추진은 이런 재래식 전력 열세를 극복하기 위한 것이라고 분석했다.

보고서는	보고서/NNG+는/JX
북한의	북한/NNP+의/JKG
재래식	재래식/NNG
무기가	무기/NNG+가/JKS
노후화와	노후/NNG+화/XSN+와/JC
자원	자원/NNG
부족	부족/NNG
등으로	등/NNB+으로/JKB
남한에	남한/NNP+에/JKB
압도적인	압도/NNG+적/XSN+이/VCP+ㄴ/ETM
열세를	열세/NNG+를/JKO
보이고	보이/VV+고/EC
있다는	있/VX+다는/ETM
미국	미국/NNP
정보당국의	정보/NNG+당국/NNG+의/JKG
평가를	평가/NNG+를/JKO
인용하며,	인용/NNG+하/XSV+며/EC+,/SP
핵무장	핵무장/NNG
추진은	추진/NNG+은/JX
이런	이런/MMD
전력	전력/NNG
극복하기	극복/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
것이라고	것/NNB+이/VCP+라고/EC
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.411.4.1
보고서는 핵확산금지조약(NPT)에 따른 핵보유국으로 미국, 러시아, 영국, 프랑스, 중국 등 5개 나라를, 핵확산금지조약 바깥의 핵보유국으로 북한, 인도, 파키스탄, 이스라엘 등 4개 나라를 꼽았다.

보고서는	보고서/NNG+는/JX
핵확산금지조약(NPT)에	핵/NNG+확산/NNG+금지/NNG+조약/NNG+(/SS+NPT/SL+)/SS+에/JKB
따른	따르/VV+ㄴ/ETM
핵보유국으로	핵보유국/NNG+으로/JKB
미국,	미국/NNP+,/SP
러시아,	러시아/NNP+,/SP
영국,	영국/NNP+,/SP
프랑스,	프랑스/NNP+,/SP
중국	중국/NNP
등	등/NNB
5개	5/SN+개/NNB
나라를,	나라/NNG+를/JKO+,/SP
핵확산금지조약	핵/NNG+확산/NNG+금지/NNG+조약/NNG
바깥의	바깥/NNG+의/JKG
북한,	북한/NNP+,/SP
인도,	인도/NNP+,/SP
파키스탄,	파키스탄/NNP+,/SP
이스라엘	이스라엘/NNP
4개	4/SN+개/NNB
나라를	나라/NNG+를/JKO
꼽았다.	꼽/VV+았/EP+다/EF+./SF


