# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.112
metadata : {}


# id : NWRW1800000041.112.1.1
‘디자인 서울’ 새 랜드마크 내려앉다

‘디자인	‘/SS+디자인/NNG
3차원(3D)	3/SN+차원/NNG+(/SS+3/SN+D/SL+)/SS
비정형	비/XPN+정형/NNG
건물이다.	건물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.112.6.3
곡면과 사면, 예각과 둔각이 교차하면서 비대칭을 이루는데 이는 기존의 평면 설계 방식으로는 구현할 수 없다.

곡면과	곡면/NNG+과/JKB
사면,	사면/NNG+,/SP
예각과	예각/NNG+과/JC
둔각이	둔각/NNG+이/JKS
교차하면서	교차/NNG+하/XSV+면서/EC
비대칭을	비/XPN+대칭/NNG+을/JKO
이루는데	이루/VV+는데/EC
이는	이/NP+는/JX
기존의	기존/NNG+의/JKG
평면	평면/NNG
설계	설계/NNG
방식으로는	방식/NNG+으로/JKB+는/JX
구현할	구현/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.112.6.4
일반 축구장의 3.1배 크기인 곡면 외관은 회색 알루미늄 패널이 덮고 있다.

일반	일반/NNG
축구장의	축구장/NNG+의/JKG
3.1배	3/SN+./SP+1/SN+배/NNG
크기인	크기/NNG+이/VCP+ㄴ/ETM
곡면	곡면/NNG
외관은	외관/NNG+은/JX
회색	회색/NNG
알루미늄	알루미늄/NNG
패널이	패널/NNG+이/JKS
덮고	덮/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.112.6.5
곡면을 매끄럽게 덮기 위해 4만5133장의 패널은 크기와 모양이 모두 다르다고 한다.

곡면을	곡면/NNG+을/JKO
매끄럽게	매끄럽/VA+게/EC
덮기	덮/VV+기/ETN
위해	위하/VV+아/EC
4만5133장의	4/SN+만/NR+5133/SN+장/NNB+의/JKG
패널은	패널/NNG+은/JX
크기와	크기/NNG+와/JC
모양이	모양/NNG+이/JKS
모두	모두/MAG
다르다고	다르/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.112.7.1
DDP 내부에는 기둥이 없는 대형 공간들이 많다.

DDP	DDP/SL
내부에는	내부/NNG+에/JKB+는/JX
기둥이	기둥/NNG+이/JKS
없는	없/VA+는/ETM
대형	대형/NNG
공간들이	공간/NNG+들/XSN+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000041.112.7.2
이는 기둥으로 건물을 지지하는 대신 초대형 지붕 트러스를 이용해 건물 전체를 위로 당겨 지탱하는 기술을 이용했기 때문이다.

이는	이/NP+는/JX
기둥으로	기둥/NNG+으로/JKB
건물을	건물/NNG+을/JKO
지지하는	지지/NNG+하/XSV+는/ETM
대신	대신/NNG
초대형	초/XPN+대형/NNG
지붕	지붕/NNG
트러스를	트러스/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
건물	건물/NNG
전체를	전체/NNG+를/JKO
위로	위/NNG+로/JKB
당겨	당기/VV+어/EC
지탱하는	지탱/NNG+하/XSV+는/ETM
기술을	기술/NNG+을/JKO
이용했기	이용/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.112.7.3
그 덕분에 1500석 규모로 가장 큰 콘퍼런스홀인 알림 1관의 경우 2991m²(약 900평)에 높이가 20m인데 기둥 하나 없이 탁 트여 있다.

그	그/MMD
덕분에	덕분/NNG+에/JKB
1500석	1500/SN+석/NNB
규모로	규모/NNG+로/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
콘퍼런스홀인	콘퍼런스/NNG+홀/NNG+이/VCP+ㄴ/ETM
알림	알리/VV+ㅁ/ETN
1관의	1관/NNG+의/JKG
경우	경우/NNG
2991m²(약	2991/SN+m²/SW+(/SS+약/MMA
900평)에	900/SN+평/NNB+)/SS+에/JKB
높이가	높이/NNG+가/JKS
20m인데	20/SN+m/SW+이/VCP+ㄴ데/EC
기둥	기둥/NNG
하나	하나/NR
없이	없이/MAG
탁	탁/MAG
트여	트이/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.112.7.4
건물 외부의 캔틸레버(외팔보) 지붕도 기둥 없이 아찔하게 공중으로 튀어나와 있다.

건물	건물/NNG
외부의	외부/NNG+의/JKG
캔틸레버(외팔보)	캔틸레버/NNG+(/SS+외팔보/NNG+)/SS
지붕도	지붕/NNG+도/JX
기둥	기둥/NNG
없이	없이/MAG
아찔하게	아찔하/VA+게/EC
공중으로	공중/NNG+으로/JKB
튀어나와	튀어나오/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.112.8.1
DDP를 둘러본 건축 전문가들은 “건물의 세세한 부분까지 건축가의 의도가 완벽하게 실현된 완성도가 높은 작품”이라고 평가했다.

DDP를	DDP/SL+를/JKO
둘러본	둘러보/VV+ㄴ/ETM
건축	건축/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
“건물의	“/SS+건물/NNG+의/JKG
세세한	세세하/VA+ㄴ/ETM
부분까지	부분/NNG+까지/JX
건축가의	건축가/NNG+의/JKG
의도가	의도/NNG+가/JKS
완벽하게	완벽/NNG+하/XSA+게/EC
실현된	실현/NNG+되/XSV+ㄴ/ETM
완성도가	완성도/NNG+가/JKS
높은	높/VA+은/ETM
작품”이라고	작품/NNG+”/SS+이라고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.112.9.1
그러나 ‘명품’ 건축물을 얻기 위한 대가도 컸다.

그러나	그러나/MAJ
‘명품’	‘/SS+명품/NNG+’/SS
건축물을	건축물/NNG+을/JKO
얻기	얻/VV+기/ETN
위한	위하/VV+ㄴ/ETM
대가도	대가/NNG+도/JX
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000041.112.9.2
우선 한국 근현대 스포츠의 기억을 담고 있는 동대문운동장을 잃었다.

우선	우선/MAG
한국	한국/NNP
근현대	근현대/NNG
스포츠의	스포츠/NNG+의/JKG
기억을	기억/NNG+을/JKO
담고	담/VV+고/EC
있는	있/VX+는/ETM
동대문운동장을	동대문/NNP+운동장/NNG+을/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.112.9.3
이곳은 조선의 주요 군사시설이 있던 터여서 공사 중간에 유구와 유물이 나왔지만 이 중 일부는 신축 건물을 위해 장소를 이전해 복원됐다.

이곳은	이곳/NP+은/JX
조선의	조선/NNP+의/JKG
주요	주요/NNG
군사시설이	군사/NNG+시설/NNG+이/JKS
있던	있/VA+던/ETM
터여서	터/NNG+이/VCP+어서/EC
공사	공사/NNG
중간에	중간/NNG+에/JKB
유구와	유구/NNG+와/JC
유물이	유물/NNG+이/JKS
나왔지만	나오/VV+았/EP+지만/EC
이	이/MMD
중	중/NNB
일부는	일부/NNG+는/JX
신축	신축/NNG
건물을	건물/NNG+을/JKO
위해	위하/VV+아/EC
장소를	장소/NNG+를/JKO
이전해	이전/NNG+하/XSV+아/EC
복원됐다.	복원/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.112.9.4
DDP는 오세훈 전 서울시장이 내세웠던 ‘디자인 서울’의 핵심 프로젝트로 2006년 8월 시작됐으나 도중에 시장이 바뀌면서 시설 활용 계획도 변경됐다.

DDP는	DDP/SL+는/JX
오세훈	오세훈/NNP
전	전/MMD
서울시장이	서울시장/NNG+이/JKS
내세웠던	내세우/VV+었/EP+던/ETM
‘디자인	‘/SS+디자인/NNG
서울’의	서울/NNP+’/SS+의/JKG
핵심	핵심/NNG
프로젝트로	프로젝트/NNG+로/JKB
2006년	2006/SN+년/NNB
8월	8/SN+월/NNB
시작됐으나	시작/NNG+되/XSV+었/EP+으나/EC
도중에	도중/NNG+에/JKB
시장이	시장/NNG+이/JKS
바뀌면서	바뀌/VV+면서/EC
시설	시설/NNG
활용	활용/NNG
계획도	계획/NNG+도/JX
변경됐다.	변경/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.112.9.5
결과적으로 완공은 3년 늦어졌고, 총사업비도 4840억 원이 들었다.

결과적으로	결과/NNG+적/XSN+으로/JKB
완공은	완공/NNG+은/JX
3년	3/SN+년/NNB
늦어졌고,	늦어지/VV+었/EP+고/EC+,/SP
총사업비도	총/MMA+사업비/NNG+도/JX
4840억	4840/SN+억/NR
원이	원/NNB+이/JKS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.112.10.1
이 때문에 DDP는 “서울의 역사와 맥락에 대한 이해가 없는 건축”이라는 혹평과 함께 지난해 본보가 건축 전문가 100명에게 의뢰해 선정한 ‘한국 최악의 현대건축’ 5위에 올랐다.

이	이/MMD
때문에	때문/NNB+에/JKB
DDP는	DDP/SL+는/JX
“서울의	“/SS+서울/NNP+의/JKG
역사와	역사/NNG+와/JC
맥락에	맥락/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해가	이해/NNG+가/JKS
없는	없/VA+는/ETM
건축”이라는	건축/NNG+”/SS+이/VCP+라는/ETM
혹평과	혹평/NNG+과/JKB
함께	함께/MAG
지난해	지난해/NNG
본보가	본보/NNG+가/JKS
건축	건축/NNG
전문가	전문가/NNG
100명에게	100/SN+명/NNB+에게/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
선정한	선정/NNG+하/XSV+ㄴ/ETM
‘한국	‘/SS+한국/NNP
최악의	최악/NNG+의/JKG
현대건축’	현대/NNG+건축/NNG+’/SS
5위에	5/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.112.10.2
건축가 곽희수 씨는 “외형적 화려함만을 추구했다”, 이진오 씨는 “(한국인의) 기억을 지워버리는 폭력적인 건축”이라고 비평했다.

건축가	건축가/NNG
곽희수	곽희수/NNP
씨는	씨/NNB+는/JX
“외형적	“/SS+외형/NNG+적/XSN
화려함만을	화려하/VA+ㅁ/ETN+만/JX+을/JKO
추구했다”,	추구/NNG+하/XSV+았/EP+다/EF+”/SS+,/SP
이진오	이진오/NNP
“(한국인의)	“/SS+(/SS+한국인/NNG+의/JKG+)/SS
기억을	기억/NNG+을/JKO
지워버리는	지우/VV+어/EC+버리/VX+는/ETM
폭력적인	폭력/NNG+적/XSN+이/VCP+ㄴ/ETM
건축”이라고	건축/NNG+”/SS+이라고/JKQ
비평했다.	비평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.112.11.1
DDP 현상 설계 공모에서 운동장을 보존하는 안을 제치고 운동장 철거를 전제로 한 하디드 씨의 설계안을 뽑았던 심사위원들은 “시드니의 오페라하우스나 빌바오의 구겐하임 같은 서울의 랜드마크가 될 것”이라고 기대했다.

DDP	DDP/SL
현상	현상/NNG
설계	설계/NNG
공모에서	공모/NNG+에서/JKB
운동장을	운동장/NNG+을/JKO
보존하는	보존/NNG+하/XSV+는/ETM
안을	안/NNG+을/JKO
제치고	제치/VV+고/EC
운동장	운동장/NNG
철거를	철거/NNG+를/JKO
전제로	전제/NNG+로/JKB
한	하/VV+ㄴ/ETM
하디드	하디드/NNP
씨의	씨/NNB+의/JKG
설계안을	설계안/NNG+을/JKO
뽑았던	뽑/VV+았/EP+던/ETM
심사위원들은	심사/NNG+위원/NNG+들/XSN+은/JX
“시드니의	“/SS+시드니/NNP+의/JKG
오페라하우스나	오페라하우스/NNG+나/JC
빌바오의	빌바오/NNP+의/JKG
구겐하임	구겐하임/NNP
같은	같/VA+은/ETM
서울의	서울/NNP+의/JKG
랜드마크가	랜드마크/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.112.12.1
남성택 한양대 건축학부 교수는 “DDP는 좋은 의미에서든 나쁜 의미에서든 사람들의 입에 자주 오르내리며 누구나 기억하는 기념비적인 건축물이 될 것이다.

남성택	남성택/NNP
한양대	한양대/NNP
건축학부	건축학부/NNG
교수는	교수/NNG+는/JX
“DDP는	“/SS+DDP/SL+는/JX
좋은	좋/VA+은/ETM
의미에서든	의미/NNG+에서/JKB+든/JX
나쁜	나쁘/VA+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
입에	입/NNG+에/JKB
자주	자주/MAG
오르내리며	오르내리/VV+며/EC
누구나	누구/NP+나/JX
기억하는	기억/NNG+하/XSV+는/ETM
기념비적인	기념비/NNG+적/XSN+이/VCP+ㄴ/ETM
건축물이	건축물/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.112.12.2
그런 점에서 마케팅적인 효과는 크다”고 평가했다.

그런	그런/MMD
점에서	점/NNG+에서/JKB
마케팅적인	마케팅/NNG+적/XSN+이/VCP+ㄴ/ETM
효과는	효과/NNG+는/JX
크다”고	크/VA+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.112.13.1
▼ 5개시설 15개공간… 전시-공연 등 종합문화공간 ▼

▼	▼/SW
5개시설	5/SN+개/NNB+시설/NNG
15개공간…	15/SN+개/NNB+공간/NNG+…/SE
전시-공연	전시/NNG+-/SO+공연/NNG
등	등/NNB
종합문화공간	종합/NNG+문화/NNG+공간/NNG


# id : NWRW1800000041.112.14.1
동대문디자인플라자&파크(DDP)는 알림터 배움터 살림터 동대문역사문화공원 디자인장터 등 5개 시설 15개 공간으로 구성돼 있다.

동대문디자인플라자&파크(DDP)는	동대문디자인플라자/NNP+&/SW+파크/NNG+(/SS+DDP/SL+)/SS+는/JX
알림터	알림터/NNG
배움터	배움터/NNG
살림터	살림터/NNG
동대문역사문화공원	동대문역사문화공원/NNP
디자인장터	디자인/NNG+장터/NNG
등	등/NNB
5개	5/SN+개/NNB
시설	시설/NNG
15개	15/SN+개/NNB
공간으로	공간/NNG+으로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.112.15.1
알림터는 각종 회의와 패션쇼, 콘서트, 영화 시사회 등을 열 수 있는 시설이다.

알림터는	알림터/NNG+는/JX
각종	각종/NNG
회의와	회의/NNG+와/JC
패션쇼,	패션쇼/NNG+,/SP
콘서트,	콘서트/NNG+,/SP
영화	영화/NNG
시사회	시사회/NNG
등을	등/NNB+을/JKO
열	열/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
시설이다.	시설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.112.15.2
배움터엔 디자인박물관과 전시관, 카페가

배움터엔	배움터/NNG+에/JKB+ㄴ/JX
디자인박물관과	디자인/NNG+박물관/NNG+과/JC
전시관,	전시관/NNG+,/SP
카페가	카페/NNG+가/JKS


# id : NWRW1800000041.112.16.1
들어선다.

들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.112.16.2
살림터는 디자인 관련 강연과 비즈니스를 위한 공간이다.

살림터는	살림터/NNG+는/JX
디자인	디자인/NNG
관련	관련/NNG
강연과	강연/NNG+과/JC
비즈니스를	비즈니스/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
공간이다.	공간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.112.16.3
개관은 3월 21일.

개관은	개관/NNG+은/JX
3월	3/SN+월/NNB
21일.	21/SN+일/NNB+./SF


# id : NWRW1800000041.112.16.4
개관전인 ‘간송문화전’을 비롯해 9개의

개관전인	개관전/NNG+이/VCP+ㄴ/ETM
‘간송문화전’을	‘/SS+간송/NNP+문화전/NNG+’/SS+을/JKO
비롯해	비롯하/VV+아/EC
9개의	9/SN+개/NNB+의/JKG


# id : NWRW1800000041.112.17.1
기획전을 마련했다.

기획전을	기획전/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


