# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.382
metadata : {}


# id : NWRW1800000037.382.1.1
“SW 육성” 20여년간 말만 요란했다

“SW	“/SS+SW/SL
신설했던	신설/NNG+하/XSV+았/EP+던/ETM
김영삼	김영삼/NNP
정부는	정부/NNG+는/JX
전국적	전국/NNG+적/XSN
통신망	통신망/NNG
구축과	구축/NNG+과/JC
행정전산화	행정/NNG+전산/NNG+화/XSN
등	등/NNB
정보기술(IT)	정보/NNG+기술/NNG+(/SS+IT/SL+)/SS
분야에서	분야/NNG+에서/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
업적을	업적/NNG+을/JKO
쌓았다.	쌓/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.382.5.2
그러나 정통부는 통신 중심의 정책을 펼쳤고 소프트웨어산업은 하나의 ‘과(課)’ 수준에서 다루는 데 그쳐 장기적인 안목으로 육성책을 만들지 못했다.

그러나	그러나/MAJ
정통부는	정통부/NNG+는/JX
통신	통신/NNG
중심의	중심/NNG+의/JKG
정책을	정책/NNG+을/JKO
펼쳤고	펼치/VV+었/EP+고/EC
소프트웨어산업은	소프트웨어/NNG+산업/NNG+은/JX
하나의	하나/NR+의/JKG
‘과(課)’	‘/SS+과/NNG+(/SS+課/SH+)/SS+’/SS
수준에서	수준/NNG+에서/JKB
다루는	다루/VV+는/ETM
데	데/NNB
그쳐	그치/VV+어/EC
장기적인	장기/NNG+적/XSN+이/VCP+ㄴ/ETM
안목으로	안목/NNG+으로/JKB
육성책을	육성책/NNG+을/JKO
만들지	만들/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.382.6.1
김대중 대통령은 취임식에서 “세계에서 컴퓨터를 가장 잘 쓰는 나라를 만들고 대학입시에도 컴퓨터 과목을 반영하겠다”고 천명했을 정도로 소프트웨어에 큰 관심을 보였다.

김대중	김대중/NNP
대통령은	대통령/NNG+은/JX
취임식에서	취임식/NNG+에서/JKB
“세계에서	“/SS+세계/NNG+에서/JKB
컴퓨터를	컴퓨터/NNG+를/JKO
가장	가장/MAG
잘	잘/MAG
쓰는	쓰/VV+는/ETM
나라를	나라/NNG+를/JKO
만들고	만들/VV+고/EC
대학입시에도	대학/NNG+입시/NNG+에/JKB+도/JX
컴퓨터	컴퓨터/NNG
과목을	과목/NNG+을/JKO
반영하겠다”고	반영/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
천명했을	천명/NNG+하/XSV+았/EP+을/ETM
정도로	정도/NNG+로/JKB
소프트웨어에	소프트웨어/NNG+에/JKB
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.382.6.2
그러나 현실은 소프트웨어산업의 발전에 역행하는 방향으로 진행됐다.

그러나	그러나/MAJ
현실은	현실/NNG+은/JX
소프트웨어산업의	소프트웨어/NNG+산업/NNG+의/JKG
발전에	발전/NNG+에/JKB
역행하는	역행/NNG+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
진행됐다.	진행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.382.6.3
당시 유일한 소프트웨어 관련 국책연구소였던 시스템공학연구소가 전자통신연구소에 통폐합됐고, 대학의 컴퓨터학과들은 전자공학과로 통합됐다.

당시	당시/NNG
유일한	유일/NNG+하/XSA+ㄴ/ETM
소프트웨어	소프트웨어/NNG
관련	관련/NNG
국책연구소였던	국책/NNG+연구소/NNG+이/VCP+었/EP+던/ETM
시스템공학연구소가	시스템/NNG+공학/NNG+연구소/NNG+가/JKS
전자통신연구소에	전자통신연구소/NNP+에/JKB
통폐합됐고,	통폐합/NNG+되/XSV+었/EP+고/EC+,/SP
대학의	대학/NNG+의/JKG
컴퓨터학과들은	컴퓨터학과/NNG+들/XSN+은/JX
전자공학과로	전자/NNG+공학과/NNG+로/JKB
통합됐다.	통합/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.382.6.4
김 교수는 “당시에도 주무 부처인 정통부가 통신 분야에 집중하면서 소프트웨어산업이 별로 빛을 보지 못했다”고 평가했다.

김	김/NNP
교수는	교수/NNG+는/JX
“당시에도	“/SS+당시/NNG+에/JKB+도/JX
주무	주무/NNG
부처인	부처/NNG+이/VCP+ㄴ/ETM
정통부가	정통부/NNG+가/JKS
통신	통신/NNG
분야에	분야/NNG+에/JKB
집중하면서	집중/NNG+하/XSV+면서/EC
소프트웨어산업이	소프트웨어/NNG+산업/NNG+이/JKS
별로	별로/MAG
빛을	빛/NNG+을/JKO
보지	보/VV+지/EC
못했다”고	못하/VX+았/EP+다/EF+”/SS+고/JKQ
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.382.7.1
노무현 대통령은 자신이 직접 소프트웨어를 개발해 봤다고 강조하며 ‘IT 강국에서 소프트웨어 강국으로’라는 구호까지 내걸었지만 정책은 하드웨어 중심으로 흘렀다.

노무현	노무현/NNP
대통령은	대통령/NNG+은/JX
자신이	자신/NNG+이/JKS
직접	직접/MAG
소프트웨어를	소프트웨어/NNG+를/JKO
개발해	개발/NNG+하/XSV+아/EC
봤다고	보/VX+았/EP+다고/EC
강조하며	강조/NNG+하/XSV+며/EC
‘IT	‘/SS+IT/SL
강국에서	강국/NNG+에서/JKB
소프트웨어	소프트웨어/NNG
강국으로’라는	강국/NNG+으로/JKB+’/SS+이/VCP+라는/ETM
구호까지	구호/NNG+까지/JX
내걸었지만	내걸/VV+었/EP+지만/EC
정책은	정책/NNG+은/JX
하드웨어	하드웨어/NNG
중심으로	중심/NNG+으로/JKB
흘렀다.	흐르/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.382.7.2
대통령의 의지를 실현할 소프트웨어 전문가가 주변에 없었기 때문이라는 분석이 나온다.

대통령의	대통령/NNG+의/JKG
의지를	의지/NNG+를/JKO
실현할	실현/NNG+하/XSV+ㄹ/ETM
소프트웨어	소프트웨어/NNG
전문가가	전문가/NNG+가/JKS
주변에	주변/NNG+에/JKB
없었기	없/VA+었/EP+기/ETN
때문이라는	때문/NNB+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.382.8.1
이명박 정부는 IT를 국정 전반으로 확산시키겠다는 취지에서 정통부를 폐지하고 관련 업무를 4개 부처로 분산시켰다.

이명박	이명박/NNP
정부는	정부/NNG+는/JX
IT를	IT/SL+를/JKO
국정	국정/NNG
전반으로	전반/NNG+으로/JKB
확산시키겠다는	확산/NNG+시키/XSV+겠/EP+다는/ETM
취지에서	취지/NNG+에서/JKB
정통부를	정통부/NNG+를/JKO
폐지하고	폐지/NNG+하/XSV+고/EC
관련	관련/NNG
업무를	업무/NNG+를/JKO
4개	4/SN+개/NNB
부처로	부처/NNG+로/JKB
분산시켰다.	분산/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.382.8.2
소프트웨어 업무를 이관 받은 지식경제부는 소프트웨어보다 하드웨어와 에너지산업에 역량을 집중했다.

소프트웨어	소프트웨어/NNG
업무를	업무/NNG+를/JKO
이관	이관/NNG
받은	받/VV+은/ETM
지식경제부는	지식/NNG+경제부/NNG+는/JX
소프트웨어보다	소프트웨어/NNG+보다/JKB
하드웨어와	하드웨어/NNG+와/JKB
에너지산업에	에너지/NNG+산업/NNG+에/JKB
역량을	역량/NNG+을/JKO
집중했다.	집중/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.382.8.3
소프트웨어는 하드웨어처럼 단기간에 눈에 보이는 성과가 나지 않기 때문에 소프트웨어 정책이 우선순위에서 밀리는 경향이 있다는 지적이 제기된다.

소프트웨어는	소프트웨어/NNG+는/JX
하드웨어처럼	하드웨어/NNG+처럼/JKB
단기간에	단기간/NNG+에/JKB
눈에	눈/NNG+에/JKB
보이는	보이/VV+는/ETM
성과가	성과/NNG+가/JKS
나지	나/VV+지/EC
않기	않/VX+기/ETN
때문에	때문/NNB+에/JKB
소프트웨어	소프트웨어/NNG
정책이	정책/NNG+이/JKS
우선순위에서	우선순위/NNG+에서/JKB
밀리는	밀리/VV+는/ETM
경향이	경향/NNG+이/JKS
있다는	있/VA+다는/ETM
지적이	지적/NNG+이/JKS
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


