# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.137
metadata : {}


# id : NWRW1800000028.137.1.1
프, 대학생에 와인 교육?

프,	프/NNP+,/SP
이로	이/NP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
과도한	과도/NNG+하/XSA+ㄴ/ETM
알코올	알코올/NNG
소비로	소비/NNG+로/JKB
15~24살의	15/SN+~/SO+24/SN+살/NNB+의/JKG
젊은이들이	젊은이/NNG+들/XSN+이/JKS
병원	병원/NNG
신세를	신세/NNG+를/JKO
지는	지/VV+는/ETM
경우가	경우/NNG+가/JKS
50%	50/SN+%/SW
늘어나면서,	늘어나/VV+면서/EC+,/SP
프랑스	프랑스/NNP
젊은이들의	젊은이/NNG+들/XSN+의/JKG
건전한	건전/NNG+하/XSA+ㄴ/ETM
음주문화를	음주/NNG+문화/NNG+를/JKO
진작하고	진작/NNG+하/XSV+고/EC
포도주	포도주/NNG
소비를	소비/NNG+를/JKO
늘리려는	늘리/VV+려는/ETM
고민이	고민/NNG+이/JKS
쏟아지고	쏟아지/VV+고/EC
있다고	있/VX+다고/EC
<뉴스위크>가	</SS+뉴스위크/NNP+>/SS+가/JKS
24일	24/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.137.3.1
미식가로 이름난 장로베르 피트 전 소르본대학 학장과 텔레비전 유명 사회자인 장피에르 코프는 프랑스 고등교육부의 의뢰로 지난달 제출한 보고서에서, 대학에 점심시간 카페테리아에서 ‘와인 테이스팅’을 강의할 필요가 있다고 건의했다.

미식가로	미식가/NNG+로/JKB
이름난	이름나/VV+ㄴ/ETM
장로베르	장로베르/NNP
피트	피트/NNP
전	전/MMD
소르본대학	소르본대학/NNP
학장과	학장/NNG+과/JC
텔레비전	텔레비전/NNG
유명	유명/NNG
사회자인	사회자/NNG+이/VCP+ㄴ/ETM
장피에르	장피에르/NNP
코프는	코프/NNP+는/JX
프랑스	프랑스/NNP
고등교육부의	고등/NNG+교육부/NNG+의/JKG
의뢰로	의뢰/NNG+로/JKB
지난달	지난달/NNG
제출한	제출/NNG+하/XSV+ㄴ/ETM
보고서에서,	보고서/NNG+에서/JKB+,/SP
대학에	대학/NNG+에/JKB
점심시간	점심시간/NNG
카페테리아에서	카페테리아/NNG+에서/JKB
‘와인	‘/SS+와인/NNG
테이스팅’을	테이스팅/NNG+’/SS+을/JKO
강의할	강의/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다고	있/VA+다고/EC
건의했다.	건의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.137.3.2
피트는 “젊은이들에게 좋은 포도주에 대한 감식법 등을 가르침으로써 포도주 마시기가 건강에 좋고 즐거운 전통유산임을 보여줄 필요가 있다”고 말했다.

피트는	피트/NNP+는/JX
“젊은이들에게	“/SS+젊은이/NNG+들/XSN+에게/JKB
좋은	좋/VA+은/ETM
포도주에	포도주/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감식법	감식법/NNG
등을	등/NNB+을/JKO
가르침으로써	가르치/VV+ㅁ/ETN+으로써/JKB
포도주	포도주/NNG
마시기가	마시/VV+기/ETN+가/JKS
건강에	건강/NNG+에/JKB
좋고	좋/VA+고/EC
즐거운	즐겁/VA+ㄴ/ETM
전통유산임을	전통/NNG+유산/NNG+이/VCP+ㅁ/ETN+을/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.137.4.1
그러나 이들의 건의가 받아들여질 것 같지는 않다.

그러나	그러나/MAJ
이들의	이/NP+들/XSN+의/JKG
건의가	건의/NNG+가/JKS
받아들여질	받아들이/VV+어/EC+지/VX+ㄹ/ETM
것	것/NNB
같지는	같/VA+지/EC+는/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000028.137.4.2
발레리 페크레스 교육부 장관은 “대학 식당 식단에 포도주를 추가할 생각이 없다”며 반대 뜻을 분명히 했다.

발레리	발레리/NNP
페크레스	페크레스/NNP
교육부	교육부/NNG
장관은	장관/NNG+은/JX
“대학	“/SS+대학/NNG
식당	식당/NNG
식단에	식단/NNG+에/JKB
포도주를	포도주/NNG+를/JKO
추가할	추가/NNG+하/XSV+ㄹ/ETM
생각이	생각/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
반대	반대/NNG
뜻을	뜻/NNG+을/JKO
분명히	분명히/MAG
했다.	하/VV+았/EP+다/EF+./SF


