# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.21
metadata : {}


# id : NWRW1800000024.21.1.1
“데이터요금 과다, 업체 책임없다” 뒤집힌 판결

“데이터요금	“/SS+데이터/NNG+요금/NNG
것은	것/NNB+은/JX
무효”라는	무효/NNG+”/SS+라는/ETM
원고	원고/NNG
주장도	주장/NNG+도/JX
“김군	“/SS+김/NNP+군/NNB
등과	등/NNB+과/JKB
계약을	계약/NNG+을/JKO
맺은	맺/VV+은/ETM
당사자는	당사자/NNG+는/JX
에스케이텔레콤이	에스케이텔레콤/NNP+이/JKC
아닌	아니/VCN+ㄴ/ETM
정보제공업체”라며	정보/NNG+제공/NNG+업체/NNG+”/SS+이/VCP+라며/EC
받아들이지	받아들이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.21.5.1
1심 법원은 “회사가 데이터통신요금의 과금 방식을 가입자들이 쉽게 이해할 수 있도록 설명해야 할 의무를 소홀히 했고, 사전에 예측하기 힘들 정도의 과도한 이용요금을 부과했다”며 원고 손을 들어줬다.

1심	1심/NNG
법원은	법원/NNG+은/JX
“회사가	“/SS+회사/NNG+가/JKS
데이터통신요금의	데이터/NNG+통신/NNG+요금/NNG+의/JKG
과금	과금/NNG
방식을	방식/NNG+을/JKO
가입자들이	가입자/NNG+들/XSN+이/JKS
쉽게	쉽/VA+게/EC
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
설명해야	설명/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
의무를	의무/NNG+를/JKO
소홀히	소홀히/MAG
했고,	하/VV+았/EP+고/EC+,/SP
사전에	사전/NNG+에/JKB
예측하기	예측/NNG+하/XSV+기/ETN
힘들	힘들/VA+ㄹ/ETM
정도의	정도/NNG+의/JKG
과도한	과도/NNG+하/XSA+ㄴ/ETM
이용요금을	이용/NNG+요금/NNG+을/JKO
부과했다”며	부과/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
원고	원고/NNG
손을	손/NNG+을/JKO
들어줬다.	들/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000024.21.6.1
이번 판결에 대해 한 변호사는 “요금이 13만원을 넘기면 아무런 통지가 없고, 자신의 요금을 정액제로 알고 있던 가입자들이 어떻게 날마다 홈페이지에 들어가 이용요금을 확인할 수 있겠냐”고 말했다.

이번	이번/NNG
판결에	판결/NNG+에/JKB
대해	대하/VV+아/EC
한	한/MMN
변호사는	변호사/NNG+는/JX
“요금이	“/SS+요금/NNG+이/JKS
13만원을	13/SN+만/NR+원/NNB+을/JKO
넘기면	넘기/VV+면/EC
아무런	아무런/MMD
통지가	통지/NNG+가/JKS
없고,	없/VA+고/EC+,/SP
자신의	자신/NNG+의/JKG
요금을	요금/NNG+을/JKO
정액제로	정액/NNG+제/XSN+로/JKB
알고	알/VV+고/EC
있던	있/VX+던/ETM
가입자들이	가입자/NNG+들/XSN+이/JKS
어떻게	어떻/VA+게/EC
날마다	날/NNG+마다/JX
홈페이지에	홈페이지/NNG+에/JKB
들어가	들어가/VV+아/EC
이용요금을	이용/NNG+요금/NNG+을/JKO
확인할	확인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있겠냐”고	있/VA+겠/EP+냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.21.6.2
실제 원고들 대부분은 한 달 데이터요금이 20만~130만원까지 나왔지만 요금 통지 문자메시지를 받지 못했다.

실제	실제/MAG
원고들	원고/NNG+들/XSN
대부분은	대/XPN+부분/NNG+은/JX
한	한/MMN
달	달/NNB
데이터요금이	데이터/NNG+요금/NNG+이/JKS
20만~130만원까지	20/SN+만/NR+~/SO+130/SN+만/NR+원/NNB+까지/JX
나왔지만	나오/VV+았/EP+지만/EC
요금	요금/NNG
통지	통지/NNG
문자메시지를	문자/NNG+메시지/NNG+를/JKO
받지	받/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


