# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.341
metadata : {}


# id : NWRW1800000026.341.1.1
[부산·경남] 경남도 특위 "낙동강 사업 반대" 결론;"보 건설 등 수질악화" 주장 특위 대부분 '4대강' 반대파

[부산·경남]	[/SS+부산/NNP+·/SP+경남/NNP+]/SS
특위로부터 이날 보고서를 전달받은 김두관 경남지사는 "보고서 내용을 충분히 검토하고, 다른 전문가들의 의견도 수렴, 이달 중 경남도의 입장을 정리해 국토해양부에 전달하겠다"고 밝혔다.

특위로부터	특위/NNG+로부터/JKB
이날	이날/NNG
보고서를	보고서/NNG+를/JKO
전달받은	전달/NNG+받/XSV+은/ETM
김두관	김두관/NNP
경남지사는	경남/NNP+지사/NNG+는/JX
"보고서	"/SS+보고서/NNG
내용을	내용/NNG+을/JKO
충분히	충분히/MAG
검토하고,	검토/NNG+하/XSV+고/EC+,/SP
다른	다른/MMD
전문가들의	전문가/NNG+들/XSN+의/JKG
의견도	의견/NNG+도/JX
수렴,	수렴/NNG+,/SP
이달	이달/NNG
중	중/NNB
경남도의	경남도/NNP+의/JKG
입장을	입장/NNG+을/JKO
정리해	정리/NNG+하/XSV+아/EC
국토해양부에	국토/NNG+해양부/NNG+에/JKB
전달하겠다"고	전달/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.341.3.2
최근 이재오 특임장관을 만나 낙동강조정협의회 구성을 제의한 김 지사는 조만간 정종환 국토해양부 장관도 만날 계획이다.

최근	최근/MAG
이재오	이재오/NNP
특임장관을	특임/NNG+장관/NNG+을/JKO
만나	만나/VV+아/EC
낙동강조정협의회	낙동강조정협의회/NNP
구성을	구성/NNG+을/JKO
제의한	제의/NNG+하/XSV+ㄴ/ETM
김	김/NNP
지사는	지사/NNG+는/JX
조만간	조만간/MAG
정종환	정종환/NNP
국토해양부	국토/NNG+해양부/NNG
장관도	장관/NNG+도/JX
만날	만나/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.341.4.1
특위는 경남도 내 18개 공구 가운데 16~20공구에 대해 보 건설로 농경지 침수피해 발생, 공사로 인한 탁도 증가 등의 문제가 발생한 만큼 합리적 해결책이 나올 때까지 경남도가 공사중단을 요청해야 한다고 밝혔다.

특위는	특위/NNG+는/JX
경남도	경남도/NNP
내	내/NNB
18개	18/SN+개/NNB
공구	공구/NNG
가운데	가운데/NNG
16~20공구에	16/SN+~/SO+20/SN+공구/NNG+에/JKB
대해	대하/VV+아/EC
보	보/NNG
건설로	건설/NNG+로/JKB
농경지	농경지/NNG
침수피해	침수/NNG+피해/NNG
발생,	발생/NNG+,/SP
공사로	공사/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
탁도	탁도/NNG
증가	증가/NNG
등의	등/NNB+의/JKG
문제가	문제/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
합리적	합리/NNG+적/XSN
해결책이	해결책/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
때까지	때/NNG+까지/JX
경남도가	경남도/NNP+가/JKS
공사중단을	공사/NNG+중단/NNG+을/JKO
요청해야	요청/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.341.4.2
이들 공구는 수자원공사와 부산지방국토관리청 시행 공구다.

이들	이/NP+들/XSN
공구는	공구/NNG+는/JX
수자원공사와	수자원공사/NNP+와/JC
부산지방국토관리청	부산지방국토관리청/NNP
시행	시행/NNG
공구다.	공구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.341.4.3
특위는 또 경남도가 시행하는 6~15공구는 하천 둔치 매립 폐기물 처리 등의 문제가 있는 만큼 해결책 마련 때까지 공사를 중지하는 것이 타당하다고 밝혔다.

특위는	특위/NNG+는/JX
또	또/MAG
경남도가	경남도/NNP+가/JKS
시행하는	시행/NNG+하/XSV+는/ETM
6~15공구는	6/SN+~/SO+15/SN+공구/NNG+는/JX
하천	하천/NNG
둔치	둔치/NNG
매립	매립/NNG
폐기물	폐기물/NNG
처리	처리/NNG
등의	등/NNB+의/JKG
문제가	문제/NNG+가/JKS
있는	있/VA+는/ETM
만큼	만큼/NNB
해결책	해결책/NNG
마련	마련/NNG
때까지	때/NNG+까지/JX
공사를	공사/NNG+를/JKO
중지하는	중지/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
타당하다고	타당하/VA+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.341.5.1
낙동강사업특위는 낙동강 살리기 사업에 대한 경남도 차원의 대책 마련을 위해 지난 8월 5일 출범한 도지사 자문기구로, 공동위원장인 강병기 정무부지사와 박창근 관동대 교수를 포함, 19명의 특위 위원 대부분이 낙동강 사업 반대론자들이다.

낙동강사업특위는	낙동강사업특위/NNP+는/JX
낙동강	낙동강/NNP
살리기	살리/VV+기/ETN
사업에	사업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경남도	경남도/NNP
차원의	차원/NNG+의/JKG
대책	대책/NNG
마련을	마련/NNG+을/JKO
위해	위하/VV+아/EC
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
5일	5/SN+일/NNB
출범한	출범/NNG+하/XSV+ㄴ/ETM
도지사	도지사/NNG
자문기구로,	자문/NNG+기구/NNG+로/JKB+,/SP
공동위원장인	공동/NNG+위원장/NNG+이/VCP+ㄴ/ETM
강병기	강병기/NNP
정무부지사와	정무/NNG+부지사/NNG+와/JC
박창근	박창근/NNP
관동대	관동대/NNP
교수를	교수/NNG+를/JKO
포함,	포함/NNG+,/SP
19명의	19/SN+명/NNB+의/JKG
특위	특위/NNG
위원	위원/NNG
대부분이	대/XPN+부분/NNG+이/JKS
사업	사업/NNG
반대론자들이다.	반대론자/NNG+들/XSN+이/VCP+다/EF+./SF


