# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.202
metadata : {}


# id : NWRW1800000045.202.1.1
관공서 公示에 이름-주소 줄줄 샌다

관공서	관공서/NNG
같은	같/VA+은/ETM
효과를	효과/NNG+를/JKO
거두는	거두/VV+는/ETM
절차다.	절차/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.202.5.1
문제는 이 공시송달 과정에서 민감한 개인정보가 그대로 노출되는 사례가 많다는 점이다.

문제는	문제/NNG+는/JX
이	이/MMD
공시송달	공시/NNG+송달/NNG
과정에서	과정/NNG+에서/JKB
민감한	민감/NNG+하/XSA+ㄴ/ETM
개인정보가	개인/NNG+정보/NNG+가/JKS
그대로	그대로/MAG
노출되는	노출/NNG+되/XSV+는/ETM
사례가	사례/NNG+가/JKS
많다는	많/VA+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.202.5.2
대규모 개인정보 유출 사건이 끊이지 않는데도 일부 공공기관의 무신경한 행정 탓에 공개된 개인정보를 악용한 보이스피싱 등 2차 피해를 낳을 수 있다는 우려가 나오고 있다.

대규모	대/XPN+규모/NNG
개인정보	개인/NNG+정보/NNG
유출	유출/NNG
사건이	사건/NNG+이/JKS
끊이지	끊이/VV+지/EC
않는데도	않/VX+는데/EC+도/JX
일부	일부/NNG
공공기관의	공공/NNG+기관/NNG+의/JKG
무신경한	무/XPN+신경/NNG+하/XSA+ㄴ/ETM
행정	행정/NNG
탓에	탓/NNG+에/JKB
공개된	공개/NNG+되/XSV+ㄴ/ETM
개인정보를	개인/NNG+정보/NNG+를/JKO
악용한	악용/NNG+하/XSV+ㄴ/ETM
보이스피싱	보이스피싱/NNG
등	등/NNB
2차	2/SN+차/NNB
피해를	피해/NNG+를/JKO
낳을	낳/VV+을/ETM
수	수/NNB
있다는	있/VA+다는/ETM
우려가	우려/NNG+가/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.202.6.1
2일 동아일보 취재진이 간단한 검색을 통해 지자체 홈페이지를 살펴본 결과 손쉽게 성명과 주소, 차량번호 등이 포함된 자료를 찾을 수 있었다.

2일	2/SN+일/NNB
동아일보	동아일보/NNP
취재진이	취재진/NNG+이/JKS
간단한	간단하/VA+ㄴ/ETM
검색을	검색/NNG+을/JKO
통해	통하/VV+아/EC
지자체	지자체/NNG
홈페이지를	홈페이지/NNG+를/JKO
살펴본	살펴보/VV+ㄴ/ETM
결과	결과/NNG
손쉽게	손쉽/VA+게/EC
성명과	성명/NNG+과/JC
주소,	주소/NNG+,/SP
차량번호	차량/NNG+번호/NNG
등이	등/NNB+이/JKS
포함된	포함/NNG+되/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
찾을	찾/VV+을/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000045.202.6.2
인천 남구는 최근 오랫동안 정기 검사를 받지 않은 건설기계 관련 공시송달에서 건설기계 소유자 수십 명의 이름과 등록번호, 주소를 전혀 가리지 않은 채 문서를 공개했다.

인천	인천/NNP
남구는	남구/NNP+는/JX
최근	최근/MAG
오랫동안	오랫동안/NNG
정기	정기/NNG
검사를	검사/NNG+를/JKO
받지	받/VV+지/EC
않은	않/VX+은/ETM
건설기계	건설/NNG+기계/NNG
관련	관련/NNG
공시송달에서	공시/NNG+송달/NNG+에서/JKB
소유자	소유자/NNG
수십	수십/NR
명의	명/NNB+의/JKG
이름과	이름/NNG+과/JC
등록번호,	등록/NNG+번호/NNG+,/SP
주소를	주소/NNG+를/JKO
전혀	전혀/MAG
가리지	가리/VV+지/EC
채	채/NNB
문서를	문서/NNG+를/JKO
공개했다.	공개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.202.6.3
또 서울 영등포구는 최근 과태료 처분 명세를 공시하면서 주소지 아파트의 동과 호수가 그대로 적힌 개인정보를 노출했다.

또	또/MAG
서울	서울/NNP
영등포구는	영등포구/NNP+는/JX
최근	최근/MAG
과태료	과태료/NNG
처분	처분/NNG
명세를	명세/NNG+를/JKO
공시하면서	공시/NNG+하/XSV+면서/EC
주소지	주소지/NNG
아파트의	아파트/NNG+의/JKG
동과	동/NNB+과/JC
호수가	호수/NNG+가/JKS
그대로	그대로/MAG
적힌	적히/VV+ㄴ/ETM
개인정보를	개인/NNG+정보/NNG+를/JKO
노출했다.	노출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.202.6.4
전북 정읍시는 20일까지 무단방치차량 자진처리명령을 공시송달하며 소유자의 이름과 생년월일, 주소, 차종, 차량번호, 차대번호를 그대로 표기하기도 했다.

전북	전북/NNP
정읍시는	정읍시/NNP+는/JX
20일까지	20/SN+일/NNB+까지/JX
무단방치차량	무단/NNG+방치/NNG+차량/NNG
자진처리명령을	자진/NNG+처리/NNG+명령/NNG+을/JKO
공시송달하며	공시/NNG+송달/NNG+하/XSV+며/EC
소유자의	소유자/NNG+의/JKG
이름과	이름/NNG+과/JC
생년월일,	생년월일/NNG+,/SP
주소,	주소/NNG+,/SP
차종,	차종/NNG+,/SP
차량번호,	차량/NNG+번호/NNG+,/SP
차대번호를	차대/NNG+번호/NNG+를/JKO
그대로	그대로/MAG
표기하기도	표기/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.202.7.1
지자체 담당자들은 문제점을 인식하면서도 적극적인 해결 자세를 보이지 않았다.

지자체	지자체/NNG
담당자들은	담당자/NNG+들/XSN+은/JX
문제점을	문제점/NNG+을/JKO
인식하면서도	인식/NNG+하/XSV+면서/EC+도/JX
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
해결	해결/NNG
자세를	자세/NNG+를/JKO
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.202.7.2
홈페이지에 성별과 생년월일, 상세 주소, 과태료 부과 명세를 그대로 올려놓은 경기지역의 한 지자체 관계자는 “명확한 규정이 없다.

홈페이지에	홈페이지/NNG+에/JKB
성별과	성별/NNG+과/JKB
생년월일,	생년월일/NNG+,/SP
상세	상세/XR
주소,	주소/NNG+,/SP
과태료	과태료/NNG
부과	부과/NNG
명세를	명세/NNG+를/JKO
그대로	그대로/MAG
올려놓은	올려놓/VV+은/ETM
경기지역의	경기지역/NNP+의/JKG
한	한/MMN
지자체	지자체/NNG
관계자는	관계자/NNG+는/JX
“명확한	“/SS+명확하/VA+ㄴ/ETM
규정이	규정/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.202.7.3
일부 정보는 가리는 것이 더 좋을 것 같다”는 반응을 보였다.

일부	일부/NNG
정보는	정보/NNG+는/JX
가리는	가리/VV+는/ETM
것이	것/NNB+이/JKS
더	더/MAG
좋을	좋/VA+을/ETM
것	것/NNB
같다”는	같/VA+다/EF+”/SS+는/ETM
반응을	반응/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.202.8.1
정부의 개인정보 보호 정책을 총괄하는 행정자치부는 적절한 공시송달 방법을 안내하고 있지만 막상 행정 일선에서는 제대로 지켜지지 않고 있다.

정부의	정부/NNG+의/JKG
개인정보	개인/NNG+정보/NNG
보호	보호/NNG
정책을	정책/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
행정자치부는	행정/NNG+자치부/NNG+는/JX
적절한	적절하/VA+ㄴ/ETM
공시송달	공시/NNG+송달/NNG
방법을	방법/NNG+을/JKO
안내하고	안내/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
막상	막상/MAG
행정	행정/NNG
일선에서는	일선/NNG+에서/JKB+는/JX
제대로	제대로/MAG
지켜지지	지키/VV+어/EC+지/VX+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.202.8.2
공시송달 절차에서 이름과 생년월일은 개인을 식별하는 최소한의 정보로 볼 수 있지만 주소 등은 일부만 기재해도 충분하다는 것이다.

공시송달	공시/NNG+송달/NNG
절차에서	절차/NNG+에서/JKB
이름과	이름/NNG+과/JC
생년월일은	생년월일/NNG+은/JX
개인을	개인/NNG+을/JKO
식별하는	식별/NNG+하/XSV+는/ETM
최소한의	최소한/NNG+의/JKG
정보로	정보/NNG+로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
있지만	있/VA+지만/EC
주소	주소/NNG
등은	등/NNB+은/JX
일부만	일부/NNG+만/JX
기재해도	기재/NNG+하/XSV+아도/EC
충분하다는	충분하/VA+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000045.202.8.3
하지만 이 가이드라인에는 의무 규정이 없기 때문에 지자체들이 지키지 않아도 뾰족한 대책이 없는 실정이다.

하지만	하지만/MAJ
이	이/MMD
가이드라인에는	가이드라인/NNG+에/JKB+는/JX
의무	의무/NNG
규정이	규정/NNG+이/JKS
없기	없/VA+기/ETN
때문에	때문/NNB+에/JKB
지자체들이	지자체/NNG+들/XSN+이/JKS
지키지	지키/VV+지/EC
않아도	않/VX+아도/EC
뾰족한	뾰족/MAG+하/XSA+ㄴ/ETM
대책이	대책/NNG+이/JKS
없는	없/VA+는/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.202.8.4
행자부 관계자는 “주소와 차량 번호 등은 개략적으로만 표기하라는 공시송달 관련 기준을 2009년부터 제시하고 있지만 지키지 않는 사례가 종종 있다”고 밝혔다.

행자부	행자부/NNG
관계자는	관계자/NNG+는/JX
“주소와	“/SS+주소/NNG+와/JC
차량	차량/NNG
번호	번호/NNG
등은	등/NNB+은/JX
개략적으로만	개략/NNG+적/XSN+으로/JKB+만/JX
표기하라는	표기/NNG+하/XSV+라는/ETM
공시송달	공시/NNG+송달/NNG
관련	관련/NNG
기준을	기준/NNG+을/JKO
2009년부터	2009/SN+년/NNB+부터/JX
제시하고	제시/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
지키지	지키/VV+지/EC
않는	않/VX+는/ETM
사례가	사례/NNG+가/JKS
종종	종종/MAG
있다”고	있/VV+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.202.9.1
전문가들은 이렇게 노출된 개인정보가 각종 범죄에 악용될 수 있기 때문에 보다 적극적인 보호가 필요하다고 지적한다.

전문가들은	전문가/NNG+들/XSN+은/JX
이렇게	이렇/VA+게/EC
노출된	노출/NNG+되/XSV+ㄴ/ETM
개인정보가	개인/NNG+정보/NNG+가/JKS
각종	각종/NNG
범죄에	범죄/NNG+에/JKB
악용될	악용/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문에	때문/NNB+에/JKB
보다	보다/MAG
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
보호가	보호/NNG+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.202.9.2
이경호 고려대 정보대학원 교수는 “공공기관이 보유한 개인정보는 정확도가 높기 때문에 그만큼 범죄에 활용될 가능성도 크다”며 “개인정보 보호와 관련해 국민의 눈높이가 높아진 만큼 이를 고려한 공무원 교육과 예산 투입이 필요하다”고 지적했다.

이경호	이경호/NNP
고려대	고려대/NNP
정보대학원	정보/NNG+대학원/NNG
교수는	교수/NNG+는/JX
“공공기관이	“/SS+공공/NNG+기관/NNG+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
개인정보는	개인/NNG+정보/NNG+는/JX
정확도가	정확도/NNG+가/JKS
높기	높/VA+기/ETN
때문에	때문/NNB+에/JKB
그만큼	그만큼/MAG
범죄에	범죄/NNG+에/JKB
활용될	활용/NNG+되/XSV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
크다”며	크/VA+다/EF+”/SS+며/EC
“개인정보	“/SS+개인/NNG+정보/NNG
보호와	보호/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
국민의	국민/NNG+의/JKG
눈높이가	눈높이/NNG+가/JKS
높아진	높아지/VV+ㄴ/ETM
만큼	만큼/NNB
이를	이/NP+를/JKO
고려한	고려/NNG+하/XSV+ㄴ/ETM
공무원	공무원/NNG
교육과	교육/NNG+과/JC
예산	예산/NNG
투입이	투입/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


