# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.354
metadata : {}


# id : NWRW1800000056.354.1.1
“투표용지는 한 종류” 선관위 확인에도 이어지는 의혹제기

“투표용지는	“/SS+투표용지/NNG+는/JX
뉴스’라며	뉴스/NNG+’/SS+이/VCP+라며/EC
관련	관련/NNG
주장을	주장/NNG+을/JKO
편	펴/VV+ㄴ/ETM
누리꾼들을	누리/NNG+꾼/XSN+들/XSN+을/JKO
고발했지만	고발/NNG+하/XSV+았/EP+지만/EC
파장은	파장/NNG+은/JX
쉬이	쉬이/MAG
가라앉지	가라앉/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.354.5.3
조기 대선에 대한 높은 관심과 비례해 선거관리 부실 등의 문제로 민의가 왜곡되는 게 아니냐는 불안감 또한 커지고 있기에 벌어지는 현상이라는 풀이가 나온다.

조기	조기/NNG
대선에	대선/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
높은	높/VA+은/ETM
관심과	관심/NNG+과/JKB
비례해	비례/NNG+하/XSV+아/EC
선거관리	선거/NNG+관리/NNG
부실	부실/NNG
등의	등/NNB+의/JKG
문제로	문제/NNG+로/JKB
민의가	민의/NNG+가/JKS
왜곡되는	왜곡/NNG+되/XSV+는/ETM
게	거/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
불안감	불안감/NNG
또한	또한/MAG
커지고	커지/VV+고/EC
있기에	있/VX+기에/EC
벌어지는	벌어지/VV+는/ETM
현상이라는	현상/NNG+이/VCP+라는/ETM
풀이가	풀이/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.354.6.1
에스엔에스(SNS) 등 인터넷 커뮤니티에는 사전투표 첫날인 4일부터 ‘후보자 이름 사이에 여백이 있는 것과 여백이 없는 두 가지 투표용지가 존재한다’는 문제제기가 확산했다.

에스엔에스(SNS)	에스엔에스/NNG+(/SS+SNS/SL+)/SS
등	등/NNB
인터넷	인터넷/NNG
커뮤니티에는	커뮤니티/NNG+에/JKB+는/JX
사전투표	사전/NNG+투표/NNG
첫날인	첫날/NNG+이/VCP+ㄴ/ETM
4일부터	4/SN+일/NNB+부터/JX
‘후보자	‘/SS+후보자/NNG
이름	이름/NNG
사이에	사이/NNG+에/JKB
여백이	여백/NNG+이/JKS
있는	있/VA+는/ETM
것과	것/NNB+과/JC
없는	없/VA+는/ETM
두	두/MMN
가지	가지/NNB
투표용지가	투표용지/NNG+가/JKS
존재한다’는	존재/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
문제제기가	문제/NNG+제기/NNG+가/JKS
확산했다.	확산/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.354.6.2
실제 사전투표를 하고 온 시민들 일부는 여백이 없는 투표용지를 직접 봤다는 주장을 쏟아냈고, 여백이 없는 것은 무효표 처리된다는 주장도 이어졌다.

실제	실제/MAG
사전투표를	사전/NNG+투표/NNG+를/JKO
하고	하/VV+고/EC
온	오/VV+ㄴ/ETM
시민들	시민/NNG+들/XSN
일부는	일부/NNG+는/JX
여백이	여백/NNG+이/JKS
없는	없/VA+는/ETM
투표용지를	투표용지/NNG+를/JKO
직접	직접/MAG
봤다는	보/VV+았/EP+다는/ETM
주장을	주장/NNG+을/JKO
쏟아냈고,	쏟/VV+아/EC+내/VX+었/EP+고/EC+,/SP
것은	것/NNB+은/JX
무효표	무효표/NNG
처리된다는	처리/NNG+되/XSV+ㄴ다는/ETM
주장도	주장/NNG+도/JX
이어졌다.	이어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.354.6.3
경기도 용인시 죽전1동 주민센터에서 사전투표를 한 이아무개씨는 <한겨레>와 한 통화에서 “나는 분명히 후보 사이 여백이 없는 용지를 받았는데, 아내는 여백이 있다고 했다.

경기도	경기도/NNP
용인시	용인시/NNP
죽전1동	죽전1동/NNP
주민센터에서	주민/NNG+센터/NNG+에서/JKB
사전투표를	사전/NNG+투표/NNG+를/JKO
한	하/VV+ㄴ/ETM
이아무개씨는	이/NNP+아무개/NP+씨/NNB+는/JX
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
통화에서	통화/NNG+에서/JKB
“나는	“/SS+나/NP+는/JX
분명히	분명히/MAG
후보	후보/NNG
사이	사이/NNG
여백이	여백/NNG+이/JKS
없는	없/VA+는/ETM
용지를	용지/NNG+를/JKO
받았는데,	받/VV+았/EP+는데/EC+,/SP
아내는	아내/NNG+는/JX
있다고	있/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.354.6.4
인터넷 검색해보니까 비슷한 사례가 많은 것 같다”고 말했다.

인터넷	인터넷/NNG
검색해보니까	검색/NNG+하/XSV+아/EC+보/VX+니까/EC
비슷한	비슷하/VA+ㄴ/ETM
사례가	사례/NNG+가/JKS
많은	많/VA+은/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.354.7.1
중앙선관위는 5일 “사전투표용지는 전국적으로 동일한 프로그램을 이용해 여백이 있는 투표용지만 출력된다”며 “허위사실 유포 등 혐의(공직선거법 위반)로 누리꾼 11명을 검찰에 고발했다”고 밝혔다.

중앙선관위는	중앙/NNG+선관위/NNG+는/JX
5일	5/SN+일/NNB
“사전투표용지는	“/SS+사전/NNG+투표용지/NNG+는/JX
전국적으로	전국/NNG+적/XSN+으로/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
프로그램을	프로그램/NNG+을/JKO
이용해	이용/NNG+하/XSV+아/EC
여백이	여백/NNG+이/JKS
있는	있/VA+는/ETM
투표용지만	투표용지/NNG+만/JX
출력된다”며	출력/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“허위사실	“/SS+허위/NNG+사실/NNG
유포	유포/NNG
등	등/NNB
혐의(공직선거법	혐의/NNG+(/SS+공직/NNG+선거법/NNG
위반)로	위반/NNG+)/SS+로/JKB
누리꾼	누리/NNG+꾼/XSN
11명을	11/SN+명/NNB+을/JKO
검찰에	검찰/NNG+에/JKB
고발했다”고	고발/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.354.8.1
일부 유권자들의 문제제기는 이번 19대 대선에 역대 가장 많은 후보가 출마한 탓에 기표칸 사이 틈이 0.5㎝에 불과하고 기표칸의 세로 길이도 이전에 견줘 0.3㎝ 줄어 칸 별 틈이 눈에 잘 띄지 않아 벌어진 해프닝이라는 분석이 나온다.

일부	일부/NNG
유권자들의	유권자/NNG+들/XSN+의/JKG
문제제기는	문제/NNG+제기/NNG+는/JX
이번	이번/NNG
19대	19/SN+대/NNB
대선에	대선/NNG+에/JKB
역대	역대/NNG
가장	가장/MAG
많은	많/VA+은/ETM
후보가	후보/NNG+가/JKS
출마한	출마/NNG+하/XSV+ㄴ/ETM
탓에	탓/NNG+에/JKB
기표칸	기표/NNG+칸/NNG
사이	사이/NNG
틈이	틈/NNG+이/JKS
0.5㎝에	0/SN+./SP+5/SN+㎝/SW+에/JKB
불과하고	불과/MAG+하/XSA+고/EC
기표칸의	기표/NNG+칸/NNG+의/JKG
세로	세로/NNG
길이도	길이/NNG+도/JX
이전에	이전/NNG+에/JKB
견줘	견주/VV+어/EC
0.3㎝	0/SN+./SP+3/SN+㎝/SW
줄어	줄/VV+어/EC
칸	칸/NNG
별	별/XSN
눈에	눈/NNG+에/JKB
잘	잘/MAG
띄지	띄/VV+지/EC
않아	않/VX+아/EC
벌어진	벌어지/VV+ㄴ/ETM
해프닝이라는	해프닝/NNG+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.354.8.2
지난 18대 대선 선거관리 부정 의혹을 제기한 다큐멘터리 영화가 최근 상영되는 등 선거관리에 대한 불신이 불거진 점도 영향을 끼친 것으로 보인다.

지난	지나/VV+ㄴ/ETM
18대	18/SN+대/NNB
대선	대선/NNG
선거관리	선거/NNG+관리/NNG
부정	부정/NNG
의혹을	의혹/NNG+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
다큐멘터리	다큐멘터리/NNG
영화가	영화/NNG+가/JKS
최근	최근/MAG
상영되는	상영/NNG+되/XSV+는/ETM
등	등/NNB
선거관리에	선거/NNG+관리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신이	불신/NNG+이/JKS
불거진	불거지/VV+ㄴ/ETM
점도	점/NNG+도/JX
영향을	영향/NNG+을/JKO
끼친	끼치/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.354.8.3
고동현 서울대 사회발전연구소 연구원은 “조기대선으로 정권교체에 다가갔는데 혹시라도 절차적 문제로 좌절되면 어떡하나 하는 불안감이, 이런 기대가 강한 성향의 사람들 사이에서 ‘사회적 동조효과’를 일으키며 표출되는 것”이라고 말했다.

고동현	고동현/NNP
서울대	서울대/NNP
사회발전연구소	사회/NNG+발전/NNG+연구소/NNG
연구원은	연구원/NNG+은/JX
“조기대선으로	“/SS+조기/NNG+대선/NNG+으로/JKB
정권교체에	정권/NNG+교체/NNG+에/JKB
다가갔는데	다가가/VV+았/EP+는데/EC
혹시라도	혹시/MAG+라도/JX
절차적	절차/NNG+적/XSN
문제로	문제/NNG+로/JKB
좌절되면	좌절/NNG+되/XSV+면/EC
어떡하나	어떡하/VV+나/EF
하는	하/VV+는/ETM
불안감이,	불안감/NNG+이/JKS+,/SP
이런	이런/MMD
기대가	기대/NNG+가/JKS
강한	강하/VA+ㄴ/ETM
성향의	성향/NNG+의/JKG
사람들	사람/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
‘사회적	‘/SS+사회/NNG+적/XSN
동조효과’를	동조/NNG+효과/NNG+’/SS+를/JKO
일으키며	일으키/VV+며/EC
표출되는	표출/NNG+되/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.354.9.1
더불어민주당 총괄선거대책본부 관계자는 5일 <한겨레>와 한 통화에서 “각 투표소에 나가있는 선거참관인들에게 기표용지에 문제가 있는 경우를 확인해달라고 연락했으나 아직까지 이상 사례가 보고된 경우는 없다”고 말했다.

더불어민주당	더불어민주당/NNP
총괄선거대책본부	총괄/NNG+선거/NNG+대책/NNG+본부/NNG
관계자는	관계자/NNG+는/JX
5일	5/SN+일/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
한	하/VV+ㄴ/ETM
통화에서	통화/NNG+에서/JKB
“각	“/SS+각/MMD
투표소에	투표소/NNG+에/JKB
나가있는	나가/VV+아/EC+있/VX+는/ETM
선거참관인들에게	선거/NNG+참관인/NNG+들/XSN+에게/JKB
기표용지에	기표/NNG+용지/NNG+에/JKB
문제가	문제/NNG+가/JKS
있는	있/VA+는/ETM
경우를	경우/NNG+를/JKO
확인해달라고	확인/NNG+하/XSV+아/EC+달/VX+라고/EC
연락했으나	연락/NNG+하/XSV+았/EP+으나/EC
아직까지	아직/MAG+까지/JX
이상	이상/NNG
사례가	사례/NNG+가/JKS
보고된	보고/NNG+되/XSV+ㄴ/ETM
경우는	경우/NNG+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.354.9.2
다만 시민들의 의혹 제기를 두고 선관위가 설득 노력보다 처벌을 앞세우는 것은 문제라는 지적도 나온다.

다만	다만/MAG
시민들의	시민/NNG+들/XSN+의/JKG
의혹	의혹/NNG
제기를	제기/NNG+를/JKO
두고	두/VV+고/EC
선관위가	선관위/NNG+가/JKS
설득	설득/NNG
노력보다	노력/NNG+보다/JKB
처벌을	처벌/NNG+을/JKO
앞세우는	앞세우/VV+는/ETM
것은	것/NNB+은/JX
문제라는	문제/NNG+이/VCP+라는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.354.9.3
표창원 더불어민주당 의원은 “과거 국정원 대선 부정개입 등이 벌어졌을 때 선관위가 제대로 적발하지 못하는 등 선거 관리에 대한 불신에 책임이 없지 않다. 의혹을 차단하는 가장 좋은 방법은 사실의 제공이지 입막음이 아니다”라고 말했다.

표창원	표창원/NNP
더불어민주당	더불어민주당/NNP
의원은	의원/NNG+은/JX
“과거	“/SS+과거/NNG
국정원	국정원/NNG
대선	대선/NNG
부정개입	부정/NNG+개입/NNG
등이	등/NNB+이/JKS
벌어졌을	벌어지/VV+었/EP+을/ETM
때	때/NNG
선관위가	선관위/NNG+가/JKS
제대로	제대로/MAG
적발하지	적발/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
등	등/NNB
선거	선거/NNG
관리에	관리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신에	불신/NNG+에/JKB
책임이	책임/NNG+이/JKS
없지	없/VA+지/EC
않다.	않/VX+다/EF+./SF
의혹을	의혹/NNG+을/JKO
차단하는	차단/NNG+하/XSV+는/ETM
가장	가장/MAG
좋은	좋/VA+은/ETM
방법은	방법/NNG+은/JX
사실의	사실/NNG+의/JKG
제공이지	제공/NNG+이/VCP+지/EC
입막음이	입막음/NNG+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.354.10.1
실제 일부에선 선관위의 투표함 및 투개표 관리에 대한 감시운동도 벌어지고 있다.

실제	실제/MAG
일부에선	일부/NNG+에서/JKB+ㄴ/JX
선관위의	선관위/NNG+의/JKG
투표함	투표함/NNG
및	및/MAG
투개표	투개표/NNG
관리에	관리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
감시운동도	감시/NNG+운동/NNG+도/JX
벌어지고	벌어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.354.10.2
투표함 및 투개표 감시운동을 벌이고 있는 시민단체 `시민의 눈’은 “소중한 주권이 왜곡되거나 사라지지 않도록 251개 지역 선관위의 사전투표함을 24시간 지킬 예정”이라고 밝혔다.

투표함	투표함/NNG
및	및/MAG
투개표	투개표/NNG
감시운동을	감시/NNG+운동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
시민단체	시민/NNG+단체/NNG
`시민의	`/SS+시민/NNG+의/JKG
눈’은	눈/NNG+’/SS+은/JX
“소중한	“/SS+소중하/VA+ㄴ/ETM
주권이	주권/NNG+이/JKS
왜곡되거나	왜곡/NNG+되/XSV+거나/EC
사라지지	사라지/VV+지/EC
않도록	않/VX+도록/EC
251개	251/SN+개/NNB
지역	지역/NNG
선관위의	선관위/NNG+의/JKG
사전투표함을	사전/NNG+투표함/NNG+을/JKO
24시간	24/SN+시간/NNB
지킬	지키/VV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


