# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.13
metadata : {}


# id : NWRW1800000046.13.1.1
[깨알지식] 최저時給, 한국은 5580원… 호주는 1만4000원

[깨알지식]	[/SS+깨알/NNG+지식/NNG+]/SS
나라들도	나라/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.13.5.2
이웃 일본은 지방자치단체들의 경제 사정에 따라 A~D의 4등급으로 구분해 최저임금 편차를 두는데 가장 비싼 'A급 지역'으로 분류된 수도 도쿄는 888엔(약 8200원)이다.

이웃	이웃/NNG
일본은	일본/NNP+은/JX
지방자치단체들의	지방/NNG+자치/NNG+단체/NNG+들/XSN+의/JKG
경제	경제/NNG
사정에	사정/NNG+에/JKB
따라	따르/VV+아/EC
A~D의	A/SL+~/SO+D/SL+의/JKG
4등급으로	4/SN+등급/NNG+으로/JKB
구분해	구분/NNG+하/XSV+아/EC
최저임금	최저/NNG+임금/NNG
편차를	편차/NNG+를/JKO
두는데	두/VV+는데/EC
가장	가장/MAG
비싼	비싸/VA+ㄴ/ETM
'A급	'/SS+A/SL+급/NNG
지역'으로	지역/NNG+'/SS+으로/JKB
분류된	분류/NNG+되/XSV+ㄴ/ETM
수도	수도/NNG
도쿄는	도쿄/NNP+는/JX
888엔(약	888/SN+엔/NNB+(/SS+약/MMA
8200원)이다.	8200/SN+원/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.13.6.1
캐나다의 경우 토론토가 있는 온타리오주 등이 가장 비싼 11캐나다달러(약 9700원)이다.

캐나다의	캐나다/NNP+의/JKG
경우	경우/NNG
토론토가	토론토/NNP+가/JKS
있는	있/VA+는/ETM
온타리오주	온타리오주/NNP
등이	등/NNB+이/JKS
가장	가장/MAG
비싼	비싸/VA+ㄴ/ETM
11캐나다달러(약	11/SN+캐나다/NNP+달러/NNB+(/SS+약/MMA
9700원)이다.	9700/SN+원/NNB+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000046.13.7.1
OECD(경제협력개발기구) 가입국 중에서 시간당 최저임금이 한국과 비슷한 나라는 이스라엘(23.12셰켈·약 6500원)이 있다.

OECD(경제협력개발기구)	OECD/SL+(/SS+경제협력개발기구/NNP+)/SS
가입국	가입국/NNG
중에서	중/NNB+에서/JKB
시간당	시간/NNG+당/XSN
최저임금이	최저/NNG+임금/NNG+이/JKS
한국과	한국/NNP+과/JKB
비슷한	비슷하/VA+ㄴ/ETM
나라는	나라/NNG+는/JX
이스라엘(23.12셰켈·약	이스라엘/NNP+(/SS+23/SN+./SP+12/SN+셰켈/NNB+·/SP+약/MMA
6500원)이	6500/SN+원/NNB+)/SS+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.13.7.2
1인당 GDP가 3만113달러로 한국보다 조금 높은 스페인(2.68유로·약 3300원)은 오히려 한국의 60% 수준에 불과하다.

1인당	1/SN+인/NNG+당/XSN
GDP가	GDP/SL+가/JKS
3만113달러로	3/SN+만/NR+113/SN+달러/NNB+로/JKB
한국보다	한국/NNP+보다/JKB
조금	조금/MAG
높은	높/VA+은/ETM
스페인(2.68유로·약	스페인/NNP+(/SS+2/SN+./SP+68/SN+유로/NNB+·/SP+약/MMA
3300원)은	3300/SN+원/NNB+)/SS+은/JX
오히려	오히려/MAG
한국의	한국/NNP+의/JKG
60%	60/SN+%/SW
수준에	수준/NNG+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


