# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.349
metadata : {}


# id : NWRW1800000025.349.1.1
해운사 10년새 6배로 급증

해운사	해운사/NNG


# id : NWRW1800000025.349.5.5
3위는 독일, 4위는 중국이었다.

3위는	3/SN+위/NNB+는/JX
독일,	독일/NNP+,/SP
4위는	4/SN+위/NNB+는/JX
중국이었다.	중국/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.349.6.1
해운업체가 이처럼 급격하게 증가한 이유는 2008년 글로벌 금융위기 이후 배 값이 종전의 절반 수준으로 떨어지면서 진입장벽이 크게 낮아졌기 때문이다.

해운업체가	해운업체/NNG+가/JKS
이처럼	이/NP+처럼/JKB
급격하게	급격하/VA+게/EC
증가한	증가/NNG+하/XSV+ㄴ/ETM
이유는	이유/NNG+는/JX
2008년	2008/SN+년/NNB
글로벌	글로벌/NNG
금융위기	금융/NNG+위기/NNG
이후	이후/NNG
배	배/NNG
값이	값/NNG+이/JKS
종전의	종전/NNG+의/JKG
절반	절반/NNG
수준으로	수준/NNG+으로/JKB
떨어지면서	떨어지/VV+면서/EC
진입장벽이	진입/NNG+장벽/NNG+이/JKS
크게	크/VA+게/EC
낮아졌기	낮/VA+아/EC+지/VX+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.349.6.2
17만 DWT 새 선박의 경우 2008년 9500만 달러 수준이던 것이 올해 1월에는 5600만 달러로까지 떨어졌다.

17만	17/SN+만/NR
DWT	DWT/SL
새	새/MMA
선박의	선박/NNG+의/JKG
경우	경우/NNG
2008년	2008/SN+년/NNB
9500만	9500/SN+만/NR
달러	달러/NNB
수준이던	수준/NNG+이/VCP+던/ETM
것이	것/NNB+이/JKS
올해	올해/NNG
1월에는	1/SN+월/NNB+에/JKB+는/JX
5600만	5600/SN+만/NR
달러로까지	달러/NNB+로/JKB+까지/JX
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.349.6.3
해운업체들을 늘리기 위해 정부가 등록기준을 완화한 것도 이유다.

해운업체들을	해운업체/NNG+들/XSN+을/JKO
늘리기	늘리/VV+기/ETN
위해	위하/VV+아/EC
정부가	정부/NNG+가/JKS
등록기준을	등록/NNG+기준/NNG+을/JKO
완화한	완화/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.349.6.4
1999년 이전에는 해운업체로 등록하기 위해서는 자본금 10억 원이 필요했지만 5억 원으로 낮아졌다.

1999년	1999/SN+년/NNB
이전에는	이전/NNG+에/JKB+는/JX
해운업체로	해운업체/NNG+로/JKB
등록하기	등록/NNG+하/XSV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
자본금	자본금/NNG
10억	10/SN+억/NR
원이	원/NNB+이/JKS
필요했지만	필요/NNG+하/XSA+았/EP+지만/EC
5억	5/SN+억/NR
원으로	원/NNB+으로/JKB
낮아졌다.	낮/VA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000025.349.7.1
해운업체의 폭발적 증가에 대해 협회의 우려가 적지 않다.

해운업체의	해운업체/NNG+의/JKG
폭발적	폭발/NNG+적/XSN
증가에	증가/NNG+에/JKB
대해	대하/VV+아/EC
협회의	협회/NNG+의/JKG
우려가	우려/NNG+가/JKS
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.349.7.2
쉽게 설립됐다가 쉽게 사라지는 경우가 많아져 경쟁력 강화에 도움이 되지 않는다는 것이다.

쉽게	쉽/VA+게/EC
설립됐다가	설립/NNG+되/XSV+었/EP+다가/EC
사라지는	사라지/VV+는/ETM
경우가	경우/NNG+가/JKS
많아져	많아지/VV+어/EC
경쟁력	경쟁력/NNG
강화에	강화/NNG+에/JKB
도움이	도움/NNG+이/JKC
되지	되/VV+지/EC
않는다는	않/VX+는다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.349.7.3
이에 따라 정부도 올해 1월부터는 등록기준을 다시 강화해 자본금을 10억 원 이상으로 상향 조정했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
정부도	정부/NNG+도/JX
올해	올해/NNG
1월부터는	1/SN+월/NNB+부터/JX+는/JX
등록기준을	등록/NNG+기준/NNG+을/JKO
다시	다시/MAG
강화해	강화/NNG+하/XSV+아/EC
자본금을	자본금/NNG+을/JKO
10억	10/SN+억/NR
원	원/NNB
이상으로	이상/NNG+으로/JKB
상향	상향/NNG
조정했다.	조정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.349.7.4
한국선주협회 관계자는 “등록기준을 강화하는 것도 필요하지만 동시에 해운업체들의 경쟁력 강화를 위해 선진 선박 금융 전문기관을 설립하는 등 다각적인 노력이 필요하다”고 말했다.

한국선주협회	한국선주협회/NNP
관계자는	관계자/NNG+는/JX
“등록기준을	“/SS+등록/NNG+기준/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
필요하지만	필요/NNG+하/XSA+지만/EC
동시에	동시/NNG+에/JKB
해운업체들의	해운업체/NNG+들/XSN+의/JKG
경쟁력	경쟁력/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
선진	선진/NNG
선박	선박/NNG
금융	금융/NNG
전문기관을	전문/NNG+기관/NNG+을/JKO
설립하는	설립/NNG+하/XSV+는/ETM
등	등/NNB
다각적인	다각/NNG+적/XSN+이/VCP+ㄴ/ETM
노력이	노력/NNG+이/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


